Event Index,UTC Timestamp,UTC Date,Local Timestamp,Local Timezone,Local Date,Experiment ID,Experiment Version,Tree Node Key,Repeat Key,Schedule ID,Participant Public ID,Participant Private ID,Participant Starting Group,Participant Status,Participant Completion Code,Participant External Session ID,Participant Device Type,Participant Device,Participant OS,Participant Browser,Participant Monitor Size,Participant Viewport Size,Checkpoint,Task Name,Task Version,allocator-k3xu,Spreadsheet,Trial Number,Display,Screen,Screen ID,Screen Counter,Response Type,Response,Onset Time,Clock Time,Reaction Time,Absolute Onset Time,Absolute Clock Time,Absolute Reaction Time,Correct,Score,Response Onset,Response Duration,Proportion,Tag,Component Name,Object Name,Object Number,Object ID,Spreadsheet: display,Spreadsheet: Adventurer1,Spreadsheet: Adventurer2,Spreadsheet: Scenario,Spreadsheet: EncounterIntro,Spreadsheet: PlayerAction,Spreadsheet: RewardFeedback,Spreadsheet: NeutralFeedback,Spreadsheet: PunishFeedback,Spreadsheet: scenDelay,Spreadsheet: ,Manipulation: Spreadsheet,Store: pName,Store: participant,Store: respReward,Store: respNeutral,Store: respPunish,Store: decPunish,Store: outcome,Store: RewTally,Store: PunTally
1,1682388889579,25/04/2023 02:14:49,1682374489579,-4,24/04/2023 18:14:49,131186,3,task-2g93,,29070457,BLIND,8657262,,complete,,5ce2cd91-8bce-4901-8797-97f4a6741dc9,computer,Desktop or Laptop,Windows 10,Opera 97.0.0.0,1366x768,1325x627,,ImplicitDecisionAdventureTask_2Opts,1,Condition_InIn,WhiteMale_InGrp,,,,,,,BEGIN,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,1682388906222,25/04/2023 02:15:06,1682374506222,-4,24/04/2023 18:15:06,131186,3,task-2g93,,29070457,BLIND,8657262,,complete,,5ce2cd91-8bce-4901-8797-97f4a6741dc9,computer,Desktop or Laptop,Windows 10,Opera 97.0.0.0,1366x768,1472x696,,ImplicitDecisionAdventureTask_2Opts,1,Condition_InIn,WhiteMale_InGrp,1,Instructions,Instructions,cdub9g,1,timedOut,,16013.554,16007.437000000002,16013.554,16013.554,16007.437000000002,16013.554,1,0,16013.554,0,0,,Time Limit,screen,0,screen,Instructions,,,,,,,,,,,,,,,,,,,,
3,1682388913735,25/04/2023 02:15:13,1682374513735,-4,24/04/2023 18:15:13,131186,3,task-2g93,,29070457,BLIND,8657262,,complete,,5ce2cd91-8bce-4901-8797-97f4a6741dc9,computer,Desktop or Laptop,Windows 10,Opera 97.0.0.0,1366x768,1472x696,,ImplicitDecisionAdventureTask_2Opts,1,Condition_InIn,WhiteMale_InGrp,1,Instructions,Name,nn5ntg,2,response,mic,4628.131999999998,7493.556999999997,7510.223999999995,4628.131999999998,7493.556999999997,7510.223999999995,1,0,4628.131999999998,2882.091999999997,0,pName,Single Text Entry,ParticipantName,2,object-22,Instructions,,,,,,,,,,,,,mic,,,,,,,
4,1682388915703,25/04/2023 02:15:15,1682374515703,-4,24/04/2023 18:15:15,131186,3,task-2g93,,29070457,BLIND,8657262,,complete,,5ce2cd91-8bce-4901-8797-97f4a6741dc9,computer,Desktop or Laptop,Windows 10,Opera 97.0.0.0,1366x768,1472x696,,ImplicitDecisionAdventureTask_2Opts,1,Condition_InIn,WhiteMale_InGrp,1,Instructions,Delay,7riscs,3,timedOut,,1994.9599999985112,1993.2210000000014,1994.9599999985112,1994.9599999985112,1993.2210000000014,1994.9599999985112,1,0,1994.9599999985112,0,0,,Time Limit,screen,0,screen,Instructions,,,,,,,,,,,,,mic,,,,,,,
5,1682388930701,25/04/2023 02:15:30,1682374530701,-4,24/04/2023 18:15:30,131186,3,task-2g93,,29070457,BLIND,8657262,,complete,,5ce2cd91-8bce-4901-8797-97f4a6741dc9,computer,Desktop or Laptop,Windows 10,Opera 97.0.0.0,1366x768,1656x783,,ImplicitDecisionAdventureTask_2Opts,1,Condition_InIn,WhiteMale_InGrp,1,LoadingScreen,LoadScreen,95pybm,1,timedOut,,14999.23899999851,14998.231999999996,14999.23899999851,14999.23899999851,14998.231999999996,14999.23899999851,1,0,14999.23899999851,0,0,,Time Limit,screen,0,screen,LoadingScreen,Jack,Spencer,,,,,,,,,,,mic,,,,,,,
6,1682388933074,25/04/2023 02:15:33,1682374533074,-4,24/04/2023 18:15:33,131186,3,task-2g93,,29070457,BLIND,8657262,,complete,,5ce2cd91-8bce-4901-8797-97f4a6741dc9,computer,Desktop or Laptop,Windows 10,Opera 97.0.0.0,1366x768,1656x783,,ImplicitDecisionAdventureTask_2Opts,1,Condition_InIn,WhiteMale_InGrp,1,LoadingScreen,LoadingComplete,zy7h74,2,continue,,2374.3069999955333,2370.2990000000063,2374.3069999955333,2374.3069999955333,2370.2990000000063,2374.3069999955333,1,0,2374.3069999955333,0,0,,Click To Continue,Continue Button,2,object-59,LoadingScreen,Jack,Spencer,,,,,,,,,,,mic,,,,,,,
7,1682388945065,25/04/2023 02:15:45,1682374545065,-4,24/04/2023 18:15:45,131186,3,task-2g93,,29070457,BLIND,8657262,,complete,,5ce2cd91-8bce-4901-8797-97f4a6741dc9,computer,Desktop or Laptop,Windows 10,Opera 97.0.0.0,1366x768,1656x783,,ImplicitDecisionAdventureTask_2Opts,1,Condition_InIn,WhiteMale_InGrp,1,ScenarioIntro,ScenarioIntro,ghavr7,1,timedOut,,11994.907999994037,11994.134999999995,11994.907999994037,11994.907999994037,11994.134999999995,11994.907999994037,1,0,11994.907999994037,0,0,,Time Limit,screen,0,screen,ScenarioIntro,,,<em>Two traveling adventurers decide to enter a local tournament at a colosseum. The Gauntlet of Trials is a renowned and immensely challenging set of enemies and puzzles. The duo will need to rely on their strength and intelligence to make it through unharmed. Each adventurer will be rewarded proportional to performance.,,,,,,,,,,mic,,,,,,,
8,1682388950586,25/04/2023 02:15:50,1682374550586,-4,24/04/2023 18:15:50,131186,3,task-2g93,,29070457,BLIND,8657262,,complete,,5ce2cd91-8bce-4901-8797-97f4a6741dc9,computer,Desktop or Laptop,Windows 10,Opera 97.0.0.0,1366x768,1656x783,,ImplicitDecisionAdventureTask_2Opts,1,Condition_InIn,WhiteMale_InGrp,1,Trial/Encounter,EncounterIntro,wtupv3,1,continue,,5521.652000000002,5504.985000000001,5521.652000000002,5521.652000000002,5504.985000000001,5521.652000000002,1,0,5521.652000000002,0,0,,Click To Continue,Continue Button,2,object-65,Trial/Encounter,,,,"<em>A gate opens in front of the duo, and a menacing mechanical golem with a crossbow becomes activated.",<em><b>Jack</b> lunges forward attempting to force his blade through the protective plate.,<em><b>Jack’s</b> sword pierces the plate and destroys the construct before it is able to shoot. He is able to proceed uninjured.,,<em><b>Jack’s</b> sword grazes the exterior plate. He is shot by the crossbow and is dealt damage.,6687,,,,mic,,,,,,,
9,1682388957744,25/04/2023 02:15:57,1682374557744,-4,24/04/2023 18:15:57,131186,3,task-2g93,,29070457,BLIND,8657262,,complete,,5ce2cd91-8bce-4901-8797-97f4a6741dc9,computer,Desktop or Laptop,Windows 10,Opera 97.0.0.0,1366x768,1656x783,,ImplicitDecisionAdventureTask_2Opts,1,Condition_InIn,WhiteMale_InGrp,1,Trial/Encounter,Delay,4wo1q4,2,timedOut,,6685.721999999994,6684.885999999999,6685.721999999994,6685.721999999994,6684.885999999999,6685.721999999994,1,0,6685.721999999994,0,0,,Time Limit,screen,0,screen,Trial/Encounter,,,,"<em>A gate opens in front of the duo, and a menacing mechanical golem with a crossbow becomes activated.",<em><b>Jack</b> lunges forward attempting to force his blade through the protective plate.,<em><b>Jack’s</b> sword pierces the plate and destroys the construct before it is able to shoot. He is able to proceed uninjured.,,<em><b>Jack’s</b> sword grazes the exterior plate. He is shot by the crossbow and is dealt damage.,6687,,,,mic,,,,,,,
10,1682388964268,25/04/2023 02:16:04,1682374564268,-4,24/04/2023 18:16:04,131186,3,task-2g93,,29070457,BLIND,8657262,,complete,,5ce2cd91-8bce-4901-8797-97f4a6741dc9,computer,Desktop or Laptop,Windows 10,Opera 97.0.0.0,1366x768,1656x783,,ImplicitDecisionAdventureTask_2Opts,1,Condition_InIn,WhiteMale_InGrp,1,Trial/Encounter,PlayerAction,ga3y5r,3,response,Reward,6514.435999994035,6500.877999999997,6514.435999994035,6514.435999994035,6500.877999999997,6514.435999994035,1,0,6514.435999994035,0,0,decision,Click Response,RewardButton,2,object-70,Trial/Encounter,,,,"<em>A gate opens in front of the duo, and a menacing mechanical golem with a crossbow becomes activated.",<em><b>Jack</b> lunges forward attempting to force his blade through the protective plate.,<em><b>Jack’s</b> sword pierces the plate and destroys the construct before it is able to shoot. He is able to proceed uninjured.,,<em><b>Jack’s</b> sword grazes the exterior plate. He is shot by the crossbow and is dealt damage.,6687,,,,mic,,,,,Reward,1,
11,1682388969590,25/04/2023 02:16:09,1682374569590,-4,24/04/2023 18:16:09,131186,3,task-2g93,,29070457,BLIND,8657262,,complete,,5ce2cd91-8bce-4901-8797-97f4a6741dc9,computer,Desktop or Laptop,Windows 10,Opera 97.0.0.0,1366x768,1656x783,,ImplicitDecisionAdventureTask_2Opts,1,Condition_InIn,WhiteMale_InGrp,1,Trial/Encounter,Reward,56azq1,4,continue,,5341.557999994038,5338.998999999996,5341.557999994038,5341.557999994038,5338.998999999996,5341.557999994038,1,0,5341.557999994038,0,0,,Click To Continue,Continue Button,2,object-73,Trial/Encounter,,,,"<em>A gate opens in front of the duo, and a menacing mechanical golem with a crossbow becomes activated.",<em><b>Jack</b> lunges forward attempting to force his blade through the protective plate.,<em><b>Jack’s</b> sword pierces the plate and destroys the construct before it is able to shoot. He is able to proceed uninjured.,,<em><b>Jack’s</b> sword grazes the exterior plate. He is shot by the crossbow and is dealt damage.,6687,,,,mic,,,,,Reward,1,
12,1682388972574,25/04/2023 02:16:12,1682374572574,-4,24/04/2023 18:16:12,131186,3,task-2g93,,29070457,BLIND,8657262,,complete,,5ce2cd91-8bce-4901-8797-97f4a6741dc9,computer,Desktop or Laptop,Windows 10,Opera 97.0.0.0,1366x768,1656x783,,ImplicitDecisionAdventureTask_2Opts,1,Condition_InIn,WhiteMale_InGrp,1,Trial/Encounter,trialEnd,olwm64,5,continue,,1333.645999998509,1324.8389999999927,1333.645999998509,1333.645999998509,1324.8389999999927,1333.645999998509,1,0,1333.645999998509,0,0,,Click To Continue,Continue Button,2,object-89,Trial/Encounter,,,,"<em>A gate opens in front of the duo, and a menacing mechanical golem with a crossbow becomes activated.",<em><b>Jack</b> lunges forward attempting to force his blade through the protective plate.,<em><b>Jack’s</b> sword pierces the plate and destroys the construct before it is able to shoot. He is able to proceed uninjured.,,<em><b>Jack’s</b> sword grazes the exterior plate. He is shot by the crossbow and is dealt damage.,6687,,,,mic,,,,,Reward,1,
