Event Index,UTC Timestamp,UTC Date,Local Timestamp,Local Timezone,Local Date,Experiment ID,Experiment Version,Tree Node Key,Repeat Key,Schedule ID,Participant Public ID,Participant Private ID,Participant Starting Group,Participant Status,Participant Completion Code,Participant External Session ID,Participant Device Type,Participant Device,Participant OS,Participant Browser,Participant Monitor Size,Participant Viewport Size,Checkpoint,Task Name,Task Version,allocator-k3xu,Spreadsheet,Trial Number,Display,Screen,Screen ID,Screen Counter,Response Type,Response,Onset Time,Clock Time,Reaction Time,Absolute Onset Time,Absolute Clock Time,Absolute Reaction Time,Correct,Score,Response Onset,Response Duration,Proportion,Tag,Component Name,Object Name,Object Number,Object ID,Spreadsheet: display,Spreadsheet: Adventurer1,Spreadsheet: Adventurer2,Spreadsheet: Scenario,Spreadsheet: EncounterIntro,Spreadsheet: PlayerAction,Spreadsheet: RewardFeedback,Spreadsheet: NeutralFeedback,Spreadsheet: PunishFeedback,Spreadsheet: scenDelay,Spreadsheet: ,Manipulation: Spreadsheet,Store: pName,Store: participant,Store: respReward,Store: respNeutral,Store: respPunish,Store: decPunish,Store: outcome,Store: RewTally,Store: PunTally
1,1682392522349,25/04/2023 03:15:22,1682374522349,-5,24/04/2023 17:15:22,131169,4,task-ykpr,,29070547,BLIND,8657277,,complete,,42bcc406-8406-459f-b6db-90741960cef1,computer,Desktop or Laptop,Windows 10,Chrome 112.0.0.0,1366x768,1366x657,,ImplicitDecisionAdventureTask_2Opts,1,Condition_InOut-both,BlackMale_OutGrp_Both,,,,,,,BEGIN,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,1682392539029,25/04/2023 03:15:39,1682374539029,-5,24/04/2023 17:15:39,131169,4,task-ykpr,,29070547,BLIND,8657277,,complete,,42bcc406-8406-459f-b6db-90741960cef1,computer,Desktop or Laptop,Windows 10,Chrome 112.0.0.0,1366x768,1366x657,,ImplicitDecisionAdventureTask_2Opts,1,Condition_InOut-both,BlackMale_OutGrp_Both,1,Instructions,Instructions,cdub9g,1,timedOut,,16014.24699999851,16007.462000000001,16014.24699999851,16014.24699999851,16007.462000000001,16014.24699999851,1,0,16014.24699999851,0,0,,Time Limit,screen,0,screen,Instructions,,,,,,,,,,,,,,,,,,,,
3,1682392545521,25/04/2023 03:15:45,1682374545521,-5,24/04/2023 17:15:45,131169,4,task-ykpr,,29070547,BLIND,8657277,,complete,,42bcc406-8406-459f-b6db-90741960cef1,computer,Desktop or Laptop,Windows 10,Chrome 112.0.0.0,1366x768,1366x657,,ImplicitDecisionAdventureTask_2Opts,1,Condition_InOut-both,BlackMale_OutGrp_Both,1,Instructions,Name,nn5ntg,2,response,tom,4268.506999999998,6486.2959999999985,6497.284999998508,4268.506999999998,6486.2959999999985,6497.284999998508,1,0,4268.506999999998,2228.7779999985105,0,pName,Single Text Entry,ParticipantName,2,object-22,Instructions,,,,,,,,,,,,,tom,,,,,,,
4,1682392547510,25/04/2023 03:15:47,1682374547510,-5,24/04/2023 17:15:47,131169,4,task-ykpr,,29070547,BLIND,8657277,,complete,,42bcc406-8406-459f-b6db-90741960cef1,computer,Desktop or Laptop,Windows 10,Chrome 112.0.0.0,1366x768,1366x657,,ImplicitDecisionAdventureTask_2Opts,1,Condition_InOut-both,BlackMale_OutGrp_Both,1,Instructions,Delay,7riscs,3,timedOut,,2001.8889999970197,2000.9170000000013,2001.8889999970197,2001.8889999970197,2000.9170000000013,2001.8889999970197,1,0,2001.8889999970197,0,0,,Time Limit,screen,0,screen,Instructions,,,,,,,,,,,,,tom,,,,,,,
5,1682392562517,25/04/2023 03:16:02,1682374562517,-5,24/04/2023 17:16:02,131169,4,task-ykpr,,29070547,BLIND,8657277,,complete,,42bcc406-8406-459f-b6db-90741960cef1,computer,Desktop or Laptop,Windows 10,Chrome 112.0.0.0,1366x768,1366x657,,ImplicitDecisionAdventureTask_2Opts,1,Condition_InOut-both,BlackMale_OutGrp_Both,1,LoadingScreen,LoadScreen,95pybm,1,timedOut,,15007.471999997018,15006.265999999996,15007.471999997018,15007.471999997018,15006.265999999996,15007.471999997018,1,0,15007.471999997018,0,0,,Time Limit,screen,0,screen,LoadingScreen,Deshawn,Becky,,,,,,,,,,,tom,,,,,,,
6,1682392565119,25/04/2023 03:16:05,1682374565119,-5,24/04/2023 17:16:05,131169,4,task-ykpr,,29070547,BLIND,8657277,,complete,,42bcc406-8406-459f-b6db-90741960cef1,computer,Desktop or Laptop,Windows 10,Chrome 112.0.0.0,1366x768,1366x657,,ImplicitDecisionAdventureTask_2Opts,1,Condition_InOut-both,BlackMale_OutGrp_Both,1,LoadingScreen,LoadingComplete,zy7h74,2,continue,,2601.176999999996,2584.495999999999,2601.176999999996,2601.176999999996,2584.495999999999,2601.176999999996,1,0,2601.176999999996,0,0,,Click To Continue,Continue Button,2,object-59,LoadingScreen,Deshawn,Becky,,,,,,,,,,,tom,,,,,,,
7,1682392577107,25/04/2023 03:16:17,1682374577107,-5,24/04/2023 17:16:17,131169,4,task-ykpr,,29070547,BLIND,8657277,,complete,,42bcc406-8406-459f-b6db-90741960cef1,computer,Desktop or Laptop,Windows 10,Chrome 112.0.0.0,1366x768,1366x657,,ImplicitDecisionAdventureTask_2Opts,1,Condition_InOut-both,BlackMale_OutGrp_Both,1,ScenarioIntro,ScenarioIntro,ghavr7,1,timedOut,,12007.010000001494,12005.345000000001,12007.010000001494,12007.010000001494,12005.345000000001,12007.010000001494,1,0,12007.010000001494,0,0,,Time Limit,screen,0,screen,ScenarioIntro,,,<em>Two traveling adventurers decide to enter a local tournament at a colosseum. The Gauntlet of Trials is a renowned and immensely challenging set of enemies and puzzles. The duo will need to rely on their strength and intelligence to make it through unharmed. Each adventurer will be rewarded proportional to performance.,,,,,,,,,,tom,,,,,,,
8,1682392581786,25/04/2023 03:16:21,1682374581786,-5,24/04/2023 17:16:21,131169,4,task-ykpr,,29070547,BLIND,8657277,,complete,,42bcc406-8406-459f-b6db-90741960cef1,computer,Desktop or Laptop,Windows 10,Chrome 112.0.0.0,1366x768,1366x657,,ImplicitDecisionAdventureTask_2Opts,1,Condition_InOut-both,BlackMale_OutGrp_Both,1,Trial/Encounter,EncounterIntro,wtupv3,1,continue,,4681.364999997022,4668.761000000006,4681.364999997022,4681.364999997022,4668.761000000006,4681.364999997022,1,0,4681.364999997022,0,0,,Click To Continue,Continue Button,2,object-65,Trial/Encounter,,,,"<em>A gate opens in front of the duo, and a menacing mechanical golem with a crossbow becomes activated.",<em><b>Deshawn</b> lunges forward attempting to force his blade through the protective plate.,<em><b>Deshawn’s</b> sword pierces the plate and destroys the construct before it is able to shoot. He is able to proceed uninjured.,,<em><b>Deshawn’s</b> sword grazes the exterior plate. He is shot by the crossbow and is dealt damage.,6687,,,,tom,,,,,,,
9,1682392589795,25/04/2023 03:16:29,1682374589795,-5,24/04/2023 17:16:29,131169,4,task-ykpr,,29070547,BLIND,8657277,,complete,,42bcc406-8406-459f-b6db-90741960cef1,computer,Desktop or Laptop,Windows 10,Chrome 112.0.0.0,1366x768,1366x657,,ImplicitDecisionAdventureTask_2Opts,1,Condition_InOut-both,BlackMale_OutGrp_Both,1,Trial/Encounter,Delay,4wo1q4,2,timedOut,,6687.332000000002,6686.457000000002,6687.332000000002,6687.332000000002,6686.457000000002,6687.332000000002,1,0,6687.332000000002,0,0,,Time Limit,screen,0,screen,Trial/Encounter,,,,"<em>A gate opens in front of the duo, and a menacing mechanical golem with a crossbow becomes activated.",<em><b>Deshawn</b> lunges forward attempting to force his blade through the protective plate.,<em><b>Deshawn’s</b> sword pierces the plate and destroys the construct before it is able to shoot. He is able to proceed uninjured.,,<em><b>Deshawn’s</b> sword grazes the exterior plate. He is shot by the crossbow and is dealt damage.,6687,,,,tom,,,,,,,
10,1682392596288,25/04/2023 03:16:36,1682374596288,-5,24/04/2023 17:16:36,131169,4,task-ykpr,,29070547,BLIND,8657277,,complete,,42bcc406-8406-459f-b6db-90741960cef1,computer,Desktop or Laptop,Windows 10,Chrome 112.0.0.0,1366x768,1366x657,,ImplicitDecisionAdventureTask_2Opts,1,Condition_InOut-both,BlackMale_OutGrp_Both,1,Trial/Encounter,PlayerAction,ga3y5r,3,response,Reward,6485.994999999995,6469.331999999995,6485.994999999995,6485.994999999995,6469.331999999995,6485.994999999995,1,0,6485.994999999995,0,0,decision,Click Response,RewardButton,2,object-70,Trial/Encounter,,,,"<em>A gate opens in front of the duo, and a menacing mechanical golem with a crossbow becomes activated.",<em><b>Deshawn</b> lunges forward attempting to force his blade through the protective plate.,<em><b>Deshawn’s</b> sword pierces the plate and destroys the construct before it is able to shoot. He is able to proceed uninjured.,,<em><b>Deshawn’s</b> sword grazes the exterior plate. He is shot by the crossbow and is dealt damage.,6687,,,,tom,,,,,Reward,1,
11,1682392600401,25/04/2023 03:16:40,1682374600401,-5,24/04/2023 17:16:40,131169,4,task-ykpr,,29070547,BLIND,8657277,,complete,,42bcc406-8406-459f-b6db-90741960cef1,computer,Desktop or Laptop,Windows 10,Chrome 112.0.0.0,1366x768,1366x657,,ImplicitDecisionAdventureTask_2Opts,1,Condition_InOut-both,BlackMale_OutGrp_Both,1,Trial/Encounter,Reward,56azq1,4,continue,,4135.094000000012,4118.453000000009,4135.094000000012,4135.094000000012,4118.453000000009,4135.094000000012,1,0,4135.094000000012,0,0,,Click To Continue,Continue Button,2,object-73,Trial/Encounter,,,,"<em>A gate opens in front of the duo, and a menacing mechanical golem with a crossbow becomes activated.",<em><b>Deshawn</b> lunges forward attempting to force his blade through the protective plate.,<em><b>Deshawn’s</b> sword pierces the plate and destroys the construct before it is able to shoot. He is able to proceed uninjured.,,<em><b>Deshawn’s</b> sword grazes the exterior plate. He is shot by the crossbow and is dealt damage.,6687,,,,tom,,,,,Reward,1,
12,1682392604887,25/04/2023 03:16:44,1682374604887,-5,24/04/2023 17:16:44,131169,4,task-ykpr,,29070547,BLIND,8657277,,complete,,42bcc406-8406-459f-b6db-90741960cef1,computer,Desktop or Laptop,Windows 10,Chrome 112.0.0.0,1366x768,1366x657,,ImplicitDecisionAdventureTask_2Opts,1,Condition_InOut-both,BlackMale_OutGrp_Both,1,Trial/Encounter,trialEnd,olwm64,5,continue,,1619.853000001487,1617.2160000000003,1619.853000001487,1619.853000001487,1617.2160000000003,1619.853000001487,1,0,1619.853000001487,0,0,,Click To Continue,Continue Button,2,object-89,Trial/Encounter,,,,"<em>A gate opens in front of the duo, and a menacing mechanical golem with a crossbow becomes activated.",<em><b>Deshawn</b> lunges forward attempting to force his blade through the protective plate.,<em><b>Deshawn’s</b> sword pierces the plate and destroys the construct before it is able to shoot. He is able to proceed uninjured.,,<em><b>Deshawn’s</b> sword grazes the exterior plate. He is shot by the crossbow and is dealt damage.,6687,,,,tom,,,,,Reward,1,
13,1682392606464,25/04/2023 03:16:46,1682374606464,-5,24/04/2023 17:16:46,131169,4,task-ykpr,,29070547,BLIND,8657277,,complete,,42bcc406-8406-459f-b6db-90741960cef1,computer,Desktop or Laptop,Windows 10,Chrome 112.0.0.0,1366x768,1366x657,,ImplicitDecisionAdventureTask_2Opts,1,Condition_InOut-both,BlackMale_OutGrp_Both,2,Trial/Encounter,EncounterIntro,wtupv3,1,continue,,1578.9369999985065,1567.3640000000014,1578.9369999985065,1578.9369999985065,1567.3640000000014,1578.9369999985065,1,0,1578.9369999985065,0,0,,Click To Continue,Continue Button,2,object-65,Trial/Encounter,,,,"<em>A gigantic salamander emerges from the shadows, hungry for flesh.",<em><b>Becky</b> tries to climb on the salamander’s back and wrestle it into a choke hold.,<em><b>Becky</b> chokes the salamander into unconsciousness. She is unharmed in the encounter.,,"<em>The salamander’s giant maw bites <b>Becky’s</b> arm. She takes damage, but the salamander cowers into its den.",6927.9,,,,tom,,,,,Reward,1,
14,1682392617808,25/04/2023 03:16:57,1682374617808,-5,24/04/2023 17:16:57,131169,4,task-ykpr,,29070547,BLIND,8657277,,complete,,42bcc406-8406-459f-b6db-90741960cef1,computer,Desktop or Laptop,Windows 10,Chrome 112.0.0.0,1366x768,1366x657,,ImplicitDecisionAdventureTask_2Opts,1,Condition_InOut-both,BlackMale_OutGrp_Both,2,Trial/Encounter,Delay,4wo1q4,2,timedOut,,6920.441999997027,6919.661000000007,6920.441999997027,6920.441999997027,6919.661000000007,6920.441999997027,1,0,6920.441999997027,0,0,,Time Limit,screen,0,screen,Trial/Encounter,,,,"<em>A gigantic salamander emerges from the shadows, hungry for flesh.",<em><b>Becky</b> tries to climb on the salamander’s back and wrestle it into a choke hold.,<em><b>Becky</b> chokes the salamander into unconsciousness. She is unharmed in the encounter.,,"<em>The salamander’s giant maw bites <b>Becky’s</b> arm. She takes damage, but the salamander cowers into its den.",6927.9,,,,tom,,,,,Reward,1,
15,1682392622683,25/04/2023 03:17:02,1682374622683,-5,24/04/2023 17:17:02,131169,4,task-ykpr,,29070547,BLIND,8657277,,complete,,42bcc406-8406-459f-b6db-90741960cef1,computer,Desktop or Laptop,Windows 10,Chrome 112.0.0.0,1366x768,1366x657,,ImplicitDecisionAdventureTask_2Opts,1,Condition_InOut-both,BlackMale_OutGrp_Both,2,Trial/Encounter,PlayerAction,ga3y5r,3,response,Reward,4868.981,4852.2880000000005,4868.981,4868.981,4852.2880000000005,4868.981,1,0,4868.981,0,0,decision,Click Response,RewardButton,2,object-70,Trial/Encounter,,,,"<em>A gigantic salamander emerges from the shadows, hungry for flesh.",<em><b>Becky</b> tries to climb on the salamander’s back and wrestle it into a choke hold.,<em><b>Becky</b> chokes the salamander into unconsciousness. She is unharmed in the encounter.,,"<em>The salamander’s giant maw bites <b>Becky’s</b> arm. She takes damage, but the salamander cowers into its den.",6927.9,,,,tom,,,,,Reward,2,
16,1682392623572,25/04/2023 03:17:03,1682374623572,-5,24/04/2023 17:17:03,131169,4,task-ykpr,,29070547,BLIND,8657277,,complete,,42bcc406-8406-459f-b6db-90741960cef1,computer,Desktop or Laptop,Windows 10,Chrome 112.0.0.0,1366x768,1366x657,,ImplicitDecisionAdventureTask_2Opts,1,Condition_InOut-both,BlackMale_OutGrp_Both,2,Trial/Encounter,Reward,56azq1,4,continue,,912.1929999999993,900.1919999999955,912.1929999999993,912.1929999999993,900.1919999999955,912.1929999999993,1,0,912.1929999999993,0,0,,Click To Continue,Continue Button,2,object-73,Trial/Encounter,,,,"<em>A gigantic salamander emerges from the shadows, hungry for flesh.",<em><b>Becky</b> tries to climb on the salamander’s back and wrestle it into a choke hold.,<em><b>Becky</b> chokes the salamander into unconsciousness. She is unharmed in the encounter.,,"<em>The salamander’s giant maw bites <b>Becky’s</b> arm. She takes damage, but the salamander cowers into its den.",6927.9,,,,tom,,,,,Reward,2,
17,1682392630675,25/04/2023 03:17:10,1682374630675,-5,24/04/2023 17:17:10,131169,4,task-ykpr,,29070547,BLIND,8657277,,complete,,42bcc406-8406-459f-b6db-90741960cef1,computer,Desktop or Laptop,Windows 10,Chrome 112.0.0.0,1366x768,1366x657,,ImplicitDecisionAdventureTask_2Opts,1,Condition_InOut-both,BlackMale_OutGrp_Both,2,Trial/Encounter,trialEnd,olwm64,5,continue,,1013.0299999955314,1000.4410000000062,1013.0299999955314,1013.0299999955314,1000.4410000000062,1013.0299999955314,1,0,1013.0299999955314,0,0,,Click To Continue,Continue Button,2,object-89,Trial/Encounter,,,,"<em>A gigantic salamander emerges from the shadows, hungry for flesh.",<em><b>Becky</b> tries to climb on the salamander’s back and wrestle it into a choke hold.,<em><b>Becky</b> chokes the salamander into unconsciousness. She is unharmed in the encounter.,,"<em>The salamander’s giant maw bites <b>Becky’s</b> arm. She takes damage, but the salamander cowers into its den.",6927.9,,,,tom,,,,,Reward,2,
18,1682392635702,25/04/2023 03:17:15,1682374635702,-5,24/04/2023 17:17:15,131169,4,task-ykpr,,29070547,BLIND,8657277,,complete,,42bcc406-8406-459f-b6db-90741960cef1,computer,Desktop or Laptop,Windows 10,Chrome 112.0.0.0,1366x768,1366x657,,ImplicitDecisionAdventureTask_2Opts,1,Condition_InOut-both,BlackMale_OutGrp_Both,3,Trial/Encounter,EncounterIntro,wtupv3,1,continue,,5035.694000000003,5018.978000000003,5035.694000000003,5035.694000000003,5018.978000000003,5035.694000000003,1,0,5035.694000000003,0,0,,Click To Continue,Continue Button,2,object-65,Trial/Encounter,,,,<em>The floor between the entrance and exit of this chamber is segmented by large tiles with magical symbols. The tiles rest over a sticky tar-like substance. ,<em><b>Becky</b> attempts to rely on her intellect to solve the puzzle of the magical symbols.,<em><b>Becky</b> correctly identifies the sequence of tiles necessary to get across. She is showered by applause from the crowd.,,<em><b>Becky</b> repeatedly steps on incorrect tiles but manages to make it across. She loses some valuables from his pack to the tar-like substance.,4783.5,,,,tom,,,,,Reward,2,
19,1682392641452,25/04/2023 03:17:21,1682374641452,-5,24/04/2023 17:17:21,131169,4,task-ykpr,,29070547,BLIND,8657277,,complete,,42bcc406-8406-459f-b6db-90741960cef1,computer,Desktop or Laptop,Windows 10,Chrome 112.0.0.0,1366x768,1366x657,,ImplicitDecisionAdventureTask_2Opts,1,Condition_InOut-both,BlackMale_OutGrp_Both,3,Trial/Encounter,Delay,4wo1q4,2,timedOut,,4786.726999999999,4785.725000000006,4786.726999999999,4786.726999999999,4785.725000000006,4786.726999999999,1,0,4786.726999999999,0,0,,Time Limit,screen,0,screen,Trial/Encounter,,,,<em>The floor between the entrance and exit of this chamber is segmented by large tiles with magical symbols. The tiles rest over a sticky tar-like substance. ,<em><b>Becky</b> attempts to rely on her intellect to solve the puzzle of the magical symbols.,<em><b>Becky</b> correctly identifies the sequence of tiles necessary to get across. She is showered by applause from the crowd.,,<em><b>Becky</b> repeatedly steps on incorrect tiles but manages to make it across. She loses some valuables from his pack to the tar-like substance.,4783.5,,,,tom,,,,,Reward,2,
20,1682392644433,25/04/2023 03:17:24,1682374644433,-5,24/04/2023 17:17:24,131169,4,task-ykpr,,29070547,BLIND,8657277,,complete,,42bcc406-8406-459f-b6db-90741960cef1,computer,Desktop or Laptop,Windows 10,Chrome 112.0.0.0,1366x768,1366x657,,ImplicitDecisionAdventureTask_2Opts,1,Condition_InOut-both,BlackMale_OutGrp_Both,3,Trial/Encounter,PlayerAction,ga3y5r,3,response,Punish,2975.1020000014832,2967.8410000000003,2975.1020000014832,2975.1020000014832,2967.8410000000003,2975.1020000014832,1,0,2975.1020000014832,0,0,decision,Click Response,PunishButton,3,object-69,Trial/Encounter,,,,<em>The floor between the entrance and exit of this chamber is segmented by large tiles with magical symbols. The tiles rest over a sticky tar-like substance. ,<em><b>Becky</b> attempts to rely on her intellect to solve the puzzle of the magical symbols.,<em><b>Becky</b> correctly identifies the sequence of tiles necessary to get across. She is showered by applause from the crowd.,,<em><b>Becky</b> repeatedly steps on incorrect tiles but manages to make it across. She loses some valuables from his pack to the tar-like substance.,4783.5,,,,tom,,,,,Punish,2,1
21,1682392648818,25/04/2023 03:17:28,1682374648818,-5,24/04/2023 17:17:28,131169,4,task-ykpr,,29070547,BLIND,8657277,,complete,,42bcc406-8406-459f-b6db-90741960cef1,computer,Desktop or Laptop,Windows 10,Chrome 112.0.0.0,1366x768,1366x657,,ImplicitDecisionAdventureTask_2Opts,1,Condition_InOut-both,BlackMale_OutGrp_Both,3,Trial/Encounter,Punish,bufrmy,4,continue,,4399.160999999993,4385.409999999989,4399.160999999993,4399.160999999993,4385.409999999989,4399.160999999993,1,0,4399.160999999993,0,0,,Click To Continue,Continue Button,2,object-86,Trial/Encounter,,,,<em>The floor between the entrance and exit of this chamber is segmented by large tiles with magical symbols. The tiles rest over a sticky tar-like substance. ,<em><b>Becky</b> attempts to rely on her intellect to solve the puzzle of the magical symbols.,<em><b>Becky</b> correctly identifies the sequence of tiles necessary to get across. She is showered by applause from the crowd.,,<em><b>Becky</b> repeatedly steps on incorrect tiles but manages to make it across. She loses some valuables from his pack to the tar-like substance.,4783.5,,,,tom,,,,,Punish,2,1
