Event Index,UTC Timestamp,UTC Date,Local Timestamp,Local Timezone,Local Date,Experiment ID,Experiment Version,Tree Node Key,Repeat Key,Schedule ID,Participant Public ID,Participant Private ID,Participant Starting Group,Participant Status,Participant Completion Code,Participant External Session ID,Participant Device Type,Participant Device,Participant OS,Participant Browser,Participant Monitor Size,Participant Viewport Size,Checkpoint,Task Name,Task Version,allocator-k3xu,Spreadsheet,Trial Number,Display,Screen,Screen ID,Screen Counter,Response Type,Response,Onset Time,Clock Time,Reaction Time,Absolute Onset Time,Absolute Clock Time,Absolute Reaction Time,Correct,Score,Response Onset,Response Duration,Proportion,Tag,Component Name,Object Name,Object Number,Object ID,Spreadsheet: display,Spreadsheet: Adventurer1,Spreadsheet: Adventurer2,Spreadsheet: Scenario,Spreadsheet: EncounterIntro,Spreadsheet: PlayerAction,Spreadsheet: RewardFeedback,Spreadsheet: NeutralFeedback,Spreadsheet: PunishFeedback,Spreadsheet: scenDelay,Spreadsheet: ,Manipulation: Spreadsheet,Store: pName,Store: participant,Store: respReward,Store: respNeutral,Store: respPunish,Store: decPunish,Store: outcome,Store: RewTally,Store: PunTally
1,1682388888473,25/04/2023 02:14:48,1682374488473,-4,24/04/2023 18:14:48,131186,3,task-ykpr,,29070456,BLIND,8657274,,complete,,9bea2f37-f822-48f9-8ca0-e42331c7687b,computer,Desktop or Laptop,Windows 10,Chrome 112.0.0.0,1920x1080,1920x975,,ImplicitDecisionAdventureTask_2Opts,1,Condition_InOut-both,WhiteMale_OutGrp_Both,,,,,,,BEGIN,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,1682388904532,25/04/2023 02:15:04,1682374504532,-4,24/04/2023 18:15:04,131186,3,task-ykpr,,29070456,BLIND,8657274,,complete,,9bea2f37-f822-48f9-8ca0-e42331c7687b,computer,Desktop or Laptop,Windows 10,Chrome 112.0.0.0,1920x1080,1920x975,,ImplicitDecisionAdventureTask_2Opts,1,Condition_InOut-both,WhiteMale_OutGrp_Both,1,Instructions,Instructions,cdub9g,1,timedOut,,16001.213999904632,15998.974,16001.213999904632,16001.213999904632,15998.974,16001.213999904632,1,0,16001.213999904632,0,0,,Time Limit,screen,0,screen,Instructions,,,,,,,,,,,,,,,,,,,,
3,1682388909804,25/04/2023 02:15:09,1682374509804,-4,24/04/2023 18:15:09,131186,3,task-ykpr,,29070456,BLIND,8657274,,complete,,9bea2f37-f822-48f9-8ca0-e42331c7687b,computer,Desktop or Laptop,Windows 10,Chrome 112.0.0.0,1920x1080,1920x975,,ImplicitDecisionAdventureTask_2Opts,1,Condition_InOut-both,WhiteMale_OutGrp_Both,1,Instructions,Name,nn5ntg,2,response,J,3553.4120000000003,5255.097999999998,5271.780999999995,3553.4120000000003,5255.097999999998,5271.780999999995,1,0,3553.4120000000003,1718.3689999999951,0,pName,Single Text Entry,ParticipantName,2,object-22,Instructions,,,,,,,,,,,,,J,,,,,,,
4,1682388911787,25/04/2023 02:15:11,1682374511787,-4,24/04/2023 18:15:11,131186,3,task-ykpr,,29070456,BLIND,8657274,,complete,,9bea2f37-f822-48f9-8ca0-e42331c7687b,computer,Desktop or Laptop,Windows 10,Chrome 112.0.0.0,1920x1080,1920x975,,ImplicitDecisionAdventureTask_2Opts,1,Condition_InOut-both,WhiteMale_OutGrp_Both,1,Instructions,Delay,7riscs,3,timedOut,,2002.3419999523176,2001.920000000002,2002.3419999523176,2002.3419999523176,2001.920000000002,2002.3419999523176,1,0,2002.3419999523176,0,0,,Time Limit,screen,0,screen,Instructions,,,,,,,,,,,,,J,,,,,,,
5,1682388926786,25/04/2023 02:15:26,1682374526786,-4,24/04/2023 18:15:26,131186,3,task-ykpr,,29070456,BLIND,8657274,,complete,,9bea2f37-f822-48f9-8ca0-e42331c7687b,computer,Desktop or Laptop,Windows 10,Chrome 112.0.0.0,1920x1080,1920x975,,ImplicitDecisionAdventureTask_2Opts,1,Condition_InOut-both,WhiteMale_OutGrp_Both,1,LoadingScreen,LoadScreen,95pybm,1,timedOut,,14998.622,14997.990999999998,14998.622,14998.622,14997.990999999998,14998.622,1,0,14998.622,0,0,,Time Limit,screen,0,screen,LoadingScreen,Jack,Aisha,,,,,,,,,,,J,,,,,,,
6,1682388928336,25/04/2023 02:15:28,1682374528336,-4,24/04/2023 18:15:28,131186,3,task-ykpr,,29070456,BLIND,8657274,,complete,,9bea2f37-f822-48f9-8ca0-e42331c7687b,computer,Desktop or Laptop,Windows 10,Chrome 112.0.0.0,1920x1080,1920x975,,ImplicitDecisionAdventureTask_2Opts,1,Condition_InOut-both,WhiteMale_OutGrp_Both,1,LoadingScreen,LoadingComplete,zy7h74,2,continue,,1550.9309999523175,1534.8199999999997,1550.9309999523175,1550.9309999523175,1534.8199999999997,1550.9309999523175,1,0,1550.9309999523175,0,0,,Click To Continue,Continue Button,2,object-59,LoadingScreen,Jack,Aisha,,,,,,,,,,,J,,,,,,,
7,1682388933480,25/04/2023 02:15:33,1682374533480,-4,24/04/2023 18:15:33,131186,3,task-ykpr,,29070456,BLIND,8657274,,complete,,9bea2f37-f822-48f9-8ca0-e42331c7687b,computer,Desktop or Laptop,Windows 10,Chrome 112.0.0.0,1920x1080,1920x975,,ImplicitDecisionAdventureTask_2Opts,1,Condition_InOut-both,WhiteMale_OutGrp_Both,1,ScenarioIntro,ScenarioIntro,ghavr7,1,response,Next,5160.511000047685,5155.041000000005,5160.511000047685,5160.511000047685,5155.041000000005,5160.511000047685,1,0,5160.511000047685,0,0,,Click Response,Continue Button,2,object-62,ScenarioIntro,,,<em>Two traveling adventurers decide to enter a local tournament at a colosseum. The Gauntlet of Trials is a renowned and immensely challenging set of enemies and puzzles. The duo will need to rely on their strength and intelligence to make it through unharmed. Each adventurer will be rewarded proportional to performance.,,,,,,,,,,J,,,,,,,
8,1682388946321,25/04/2023 02:15:46,1682374546321,-4,24/04/2023 18:15:46,131186,3,task-ykpr,,29070456,BLIND,8657274,,complete,,9bea2f37-f822-48f9-8ca0-e42331c7687b,computer,Desktop or Laptop,Windows 10,Chrome 112.0.0.0,1920x1080,1920x975,,ImplicitDecisionAdventureTask_2Opts,1,Condition_InOut-both,WhiteMale_OutGrp_Both,1,Trial/Encounter,EncounterIntro,wtupv3,1,timedOut,,6006.0329999523165,6005.851000000002,6006.0329999523165,6006.0329999523165,6005.851000000002,6006.0329999523165,1,0,6006.0329999523165,0,0,,Time Limit,screen,0,screen,Trial/Encounter,,,,"<em>A gate opens in front of the duo, and a menacing mechanical golem with a crossbow becomes activated.",<em><b>Jack</b> lunges forward attempting to force his blade through the protective plate.,<em><b>Jack’s</b> sword pierces the plate and destroys the construct before it is able to shoot. He is able to proceed uninjured.,,<em><b>Jack’s</b> sword grazes the exterior plate. He is shot by the crossbow and is dealt damage.,6687,,,,J,,,,,,,
9,1682388953011,25/04/2023 02:15:53,1682374553011,-4,24/04/2023 18:15:53,131186,3,task-ykpr,,29070456,BLIND,8657274,,complete,,9bea2f37-f822-48f9-8ca0-e42331c7687b,computer,Desktop or Laptop,Windows 10,Chrome 112.0.0.0,1920x1080,1920x975,,ImplicitDecisionAdventureTask_2Opts,1,Condition_InOut-both,WhiteMale_OutGrp_Both,1,Trial/Encounter,Delay,4wo1q4,2,timedOut,,6690.681999952314,6689.831999999995,6690.681999952314,6690.681999952314,6689.831999999995,6690.681999952314,1,0,6690.681999952314,0,0,,Time Limit,screen,0,screen,Trial/Encounter,,,,"<em>A gate opens in front of the duo, and a menacing mechanical golem with a crossbow becomes activated.",<em><b>Jack</b> lunges forward attempting to force his blade through the protective plate.,<em><b>Jack’s</b> sword pierces the plate and destroys the construct before it is able to shoot. He is able to proceed uninjured.,,<em><b>Jack’s</b> sword grazes the exterior plate. He is shot by the crossbow and is dealt damage.,6687,,,,J,,,,,,,
10,1682388960463,25/04/2023 02:16:00,1682374560463,-4,24/04/2023 18:16:00,131186,3,task-ykpr,,29070456,BLIND,8657274,,complete,,9bea2f37-f822-48f9-8ca0-e42331c7687b,computer,Desktop or Laptop,Windows 10,Chrome 112.0.0.0,1920x1080,1920x975,,ImplicitDecisionAdventureTask_2Opts,1,Condition_InOut-both,WhiteMale_OutGrp_Both,1,Trial/Encounter,PlayerAction,ga3y5r,3,response,Reward,7450.1499999046355,7440.573000000004,7450.1499999046355,7450.1499999046355,7440.573000000004,7450.1499999046355,1,0,7450.1499999046355,0,0,decision,Click Response,RewardButton,2,object-70,Trial/Encounter,,,,"<em>A gate opens in front of the duo, and a menacing mechanical golem with a crossbow becomes activated.",<em><b>Jack</b> lunges forward attempting to force his blade through the protective plate.,<em><b>Jack’s</b> sword pierces the plate and destroys the construct before it is able to shoot. He is able to proceed uninjured.,,<em><b>Jack’s</b> sword grazes the exterior plate. He is shot by the crossbow and is dealt damage.,6687,,,,J,,,,,Reward,1,
