Event Index,UTC Timestamp,UTC Date,Local Timestamp,Local Timezone,Local Date,Experiment ID,Experiment Version,Tree Node Key,Repeat Key,Schedule ID,Participant Public ID,Participant Private ID,Participant Starting Group,Participant Status,Participant Completion Code,Participant External Session ID,Participant Device Type,Participant Device,Participant OS,Participant Browser,Participant Monitor Size,Participant Viewport Size,Checkpoint,Task Name,Task Version,allocator-k3xu,Spreadsheet,Trial Number,Display,Screen,Screen ID,Screen Counter,Response Type,Response,Onset Time,Clock Time,Reaction Time,Absolute Onset Time,Absolute Clock Time,Absolute Reaction Time,Correct,Score,Response Onset,Response Duration,Proportion,Tag,Component Name,Object Name,Object Number,Object ID,Spreadsheet: display,Spreadsheet: Adventurer1,Spreadsheet: Adventurer2,Spreadsheet: Scenario,Spreadsheet: EncounterIntro,Spreadsheet: PlayerAction,Spreadsheet: RewardFeedback,Spreadsheet: NeutralFeedback,Spreadsheet: PunishFeedback,Spreadsheet: scenDelay,Spreadsheet: ,Manipulation: Spreadsheet,Store: pName,Store: participant,Store: respReward,Store: respNeutral,Store: respPunish,Store: decPunish,Store: outcome,Store: RewTally,Store: PunTally
1,1682399909071,25/04/2023 05:18:29,1682374709071,-7,24/04/2023 15:18:29,131169,4,task-2zn7,,29070711,BLIND,8657271,,complete,,0c8b115d-6493-4a93-951f-da3864408b03,computer,Desktop or Laptop,Windows 10,Firefox 112.0,1366x768,1366x635,,ImplicitDecisionAdventureTask_2Opts,1,Condition_InOut-gender,BlackMale_OutGrp_Gender,,,,,,,BEGIN,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,1682399925683,25/04/2023 05:18:45,1682374725683,-7,24/04/2023 15:18:45,131169,4,task-2zn7,,29070711,BLIND,8657271,,complete,,0c8b115d-6493-4a93-951f-da3864408b03,computer,Desktop or Laptop,Windows 10,Firefox 112.0,1366x768,1366x635,,ImplicitDecisionAdventureTask_2Opts,1,Condition_InOut-gender,BlackMale_OutGrp_Gender,1,Instructions,Instructions,cdub9g,1,timedOut,,16003.080000000002,16001.5,16003.080000000002,16003.080000000002,16001.5,16003.080000000002,1,0,16003.080000000002,0,0,,Time Limit,screen,0,screen,Instructions,,,,,,,,,,,,,,,,,,,,
3,1682399944344,25/04/2023 05:19:04,1682374744344,-7,24/04/2023 15:19:04,131169,4,task-2zn7,,29070711,BLIND,8657271,,complete,,0c8b115d-6493-4a93-951f-da3864408b03,computer,Desktop or Laptop,Windows 10,Firefox 112.0,1366x768,1366x635,,ImplicitDecisionAdventureTask_2Opts,1,Condition_InOut-gender,BlackMale_OutGrp_Gender,1,Instructions,Name,nn5ntg,2,response,Ajibola,15617.779999999999,18648.200000000004,18663.58,15617.779999999999,18648.200000000004,18663.58,1,0,15617.779999999999,3045.800000000003,0,pName,Single Text Entry,ParticipantName,2,object-22,Instructions,,,,,,,,,,,,,Ajibola,,,,,,,
4,1682399946327,25/04/2023 05:19:06,1682374746327,-7,24/04/2023 15:19:06,131169,4,task-2zn7,,29070711,BLIND,8657271,,complete,,0c8b115d-6493-4a93-951f-da3864408b03,computer,Desktop or Laptop,Windows 10,Firefox 112.0,1366x768,1366x635,,ImplicitDecisionAdventureTask_2Opts,1,Condition_InOut-gender,BlackMale_OutGrp_Gender,1,Instructions,Delay,7riscs,3,timedOut,,1998.3799999999974,1998.0999999999985,1998.3799999999974,1998.3799999999974,1998.0999999999985,1998.3799999999974,1,0,1998.3799999999974,0,0,,Time Limit,screen,0,screen,Instructions,,,,,,,,,,,,,Ajibola,,,,,,,
5,1682399961793,25/04/2023 05:19:21,1682374761793,-7,24/04/2023 15:19:21,131169,4,task-2zn7,,29070711,BLIND,8657271,,complete,,0c8b115d-6493-4a93-951f-da3864408b03,computer,Desktop or Laptop,Windows 10,Firefox 112.0,1366x768,1366x635,,ImplicitDecisionAdventureTask_2Opts,1,Condition_InOut-gender,BlackMale_OutGrp_Gender,1,LoadingScreen,LoadScreen,95pybm,1,timedOut,,15466.279999999999,15465.800000000003,15466.279999999999,15466.279999999999,15465.800000000003,15466.279999999999,1,0,15466.279999999999,0,0,,Time Limit,screen,0,screen,LoadingScreen,Deshawn,Aisha,,,,,,,,,,,Ajibola,,,,,,,
6,1682399970830,25/04/2023 05:19:30,1682374770830,-7,24/04/2023 15:19:30,131169,4,task-2zn7,,29070711,BLIND,8657271,,complete,,0c8b115d-6493-4a93-951f-da3864408b03,computer,Desktop or Laptop,Windows 10,Firefox 112.0,1366x768,1366x635,,ImplicitDecisionAdventureTask_2Opts,1,Condition_InOut-gender,BlackMale_OutGrp_Gender,1,LoadingScreen,LoadingComplete,zy7h74,2,continue,,9038.479999999996,9027.619999999995,9038.479999999996,9038.479999999996,9027.619999999995,9038.479999999996,1,0,9038.479999999996,0,0,,Click To Continue,Continue Button,2,object-59,LoadingScreen,Deshawn,Aisha,,,,,,,,,,,Ajibola,,,,,,,
7,1682399982946,25/04/2023 05:19:42,1682374782946,-7,24/04/2023 15:19:42,131169,4,task-2zn7,,29070711,BLIND,8657271,,complete,,0c8b115d-6493-4a93-951f-da3864408b03,computer,Desktop or Laptop,Windows 10,Firefox 112.0,1366x768,1366x635,,ImplicitDecisionAdventureTask_2Opts,1,Condition_InOut-gender,BlackMale_OutGrp_Gender,1,ScenarioIntro,ScenarioIntro,ghavr7,1,timedOut,,12126.86,12125.460000000006,12126.86,12126.86,12125.460000000006,12126.86,1,0,12126.86,0,0,,Time Limit,screen,0,screen,ScenarioIntro,,,<em>Two traveling adventurers decide to enter a local tournament at a colosseum. The Gauntlet of Trials is a renowned and immensely challenging set of enemies and puzzles. The duo will need to rely on their strength and intelligence to make it through unharmed. Each adventurer will be rewarded proportional to performance.,,,,,,,,,,Ajibola,,,,,,,
8,1682399988991,25/04/2023 05:19:48,1682374788991,-7,24/04/2023 15:19:48,131169,4,task-2zn7,,29070711,BLIND,8657271,,complete,,0c8b115d-6493-4a93-951f-da3864408b03,computer,Desktop or Laptop,Windows 10,Firefox 112.0,1366x768,1366x635,,ImplicitDecisionAdventureTask_2Opts,1,Condition_InOut-gender,BlackMale_OutGrp_Gender,1,Trial/Encounter,EncounterIntro,wtupv3,1,timedOut,,6046.399999999994,6043.899999999994,6046.399999999994,6046.399999999994,6043.899999999994,6046.399999999994,1,0,6046.399999999994,0,0,,Time Limit,screen,0,screen,Trial/Encounter,,,,"<em>A gate opens in front of the duo, and a menacing mechanical golem with a crossbow becomes activated.",<em><b>Deshawn</b> lunges forward attempting to force his blade through the protective plate.,<em><b>Deshawn’s</b> sword pierces the plate and destroys the construct before it is able to shoot. He is able to proceed uninjured.,,<em><b>Deshawn’s</b> sword grazes the exterior plate. He is shot by the crossbow and is dealt damage.,6687,,,,Ajibola,,,,,,,
9,1682399995219,25/04/2023 05:19:55,1682374795219,-7,24/04/2023 15:19:55,131169,4,task-2zn7,,29070711,BLIND,8657271,,complete,,0c8b115d-6493-4a93-951f-da3864408b03,computer,Desktop or Laptop,Windows 10,Firefox 112.0,1366x768,1366x635,,ImplicitDecisionAdventureTask_2Opts,1,Condition_InOut-gender,BlackMale_OutGrp_Gender,1,Trial/Encounter,Delay,4wo1q4,2,timedOut,,6229.5,6229.479999999996,6229.5,6229.5,6229.479999999996,6229.5,1,0,6229.5,0,0,,Time Limit,screen,0,screen,Trial/Encounter,,,,"<em>A gate opens in front of the duo, and a menacing mechanical golem with a crossbow becomes activated.",<em><b>Deshawn</b> lunges forward attempting to force his blade through the protective plate.,<em><b>Deshawn’s</b> sword pierces the plate and destroys the construct before it is able to shoot. He is able to proceed uninjured.,,<em><b>Deshawn’s</b> sword grazes the exterior plate. He is shot by the crossbow and is dealt damage.,6687,,,,Ajibola,,,,,,,
10,1682400017590,25/04/2023 05:20:17,1682374817590,-7,24/04/2023 15:20:17,131169,4,task-2zn7,,29070711,BLIND,8657271,,complete,,0c8b115d-6493-4a93-951f-da3864408b03,computer,Desktop or Laptop,Windows 10,Firefox 112.0,1366x768,1366x635,,ImplicitDecisionAdventureTask_2Opts,1,Condition_InOut-gender,BlackMale_OutGrp_Gender,1,Trial/Encounter,PlayerAction,ga3y5r,3,response,Punish,22365.020000000004,22356.280000000013,22365.020000000004,22365.020000000004,22356.280000000013,22365.020000000004,1,0,22365.020000000004,0,0,decision,Click Response,PunishButton,3,object-69,Trial/Encounter,,,,"<em>A gate opens in front of the duo, and a menacing mechanical golem with a crossbow becomes activated.",<em><b>Deshawn</b> lunges forward attempting to force his blade through the protective plate.,<em><b>Deshawn’s</b> sword pierces the plate and destroys the construct before it is able to shoot. He is able to proceed uninjured.,,<em><b>Deshawn’s</b> sword grazes the exterior plate. He is shot by the crossbow and is dealt damage.,6687,,,,Ajibola,,,,,Punish,,1
