Event Index,UTC Timestamp,UTC Date,Local Timestamp,Local Timezone,Local Date,Experiment ID,Experiment Version,Tree Node Key,Repeat Key,Schedule ID,Participant Public ID,Participant Private ID,Participant Starting Group,Participant Status,Participant Completion Code,Participant External Session ID,Participant Device Type,Participant Device,Participant OS,Participant Browser,Participant Monitor Size,Participant Viewport Size,Checkpoint,Task Name,Task Version,allocator-k3xu,Spreadsheet,Trial Number,Display,Screen,Screen ID,Screen Counter,Response Type,Response,Onset Time,Clock Time,Reaction Time,Absolute Onset Time,Absolute Clock Time,Absolute Reaction Time,Correct,Score,Response Onset,Response Duration,Proportion,Tag,Component Name,Object Name,Object Number,Object ID,Spreadsheet: display,Spreadsheet: Adventurer1,Spreadsheet: Adventurer2,Spreadsheet: Scenario,Spreadsheet: EncounterIntro,Spreadsheet: PlayerAction,Spreadsheet: RewardFeedback,Spreadsheet: NeutralFeedback,Spreadsheet: PunishFeedback,Spreadsheet: scenDelay,Spreadsheet: ,Manipulation: Spreadsheet,Store: pName,Store: participant,Store: respReward,Store: respNeutral,Store: respPunish,Store: decPunish,Store: outcome,Store: RewTally,Store: PunTally
1,1682388888169,25/04/2023 02:14:48,1682374488169,-4,24/04/2023 18:14:48,131186,3,task-2zn7,,29070460,BLIND,8657278,,complete,,3406ce98-b471-428c-8125-a07315ee79e9,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 112.0.0.0,1680x1050,1680x946,,ImplicitDecisionAdventureTask_2Opts,1,Condition_InOut-gender,WhiteMale_OutGrp_Gender,,,,,,,BEGIN,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,1682388904597,25/04/2023 02:15:04,1682374504597,-4,24/04/2023 18:15:04,131186,3,task-2zn7,,29070460,BLIND,8657278,,complete,,3406ce98-b471-428c-8125-a07315ee79e9,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 112.0.0.0,1680x1050,1680x946,,ImplicitDecisionAdventureTask_2Opts,1,Condition_InOut-gender,WhiteMale_OutGrp_Gender,1,Instructions,Instructions,cdub9g,1,timedOut,,16007.98,15999.724999999999,16007.98,16007.98,15999.724999999999,16007.98,1,0,16007.98,0,0,,Time Limit,screen,0,screen,Instructions,,,,,,,,,,,,,,,,,,,,
3,1682388908089,25/04/2023 02:15:08,1682374508089,-4,24/04/2023 18:15:08,131186,3,task-2zn7,,29070460,BLIND,8657278,,complete,,3406ce98-b471-428c-8125-a07315ee79e9,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 112.0.0.0,1680x1050,1680x946,,ImplicitDecisionAdventureTask_2Opts,1,Condition_InOut-gender,WhiteMale_OutGrp_Gender,1,Instructions,Name,nn5ntg,2,response,user,2267.0030000000006,3483.621000000003,3499.1550000059615,2267.0030000000006,3483.621000000003,3499.1550000059615,1,0,2267.0030000000006,1232.1520000059609,0,pName,Single Text Entry,ParticipantName,2,object-22,Instructions,,,,,,,,,,,,,user,,,,,,,
4,1682388910072,25/04/2023 02:15:10,1682374510072,-4,24/04/2023 18:15:10,131186,3,task-2zn7,,29070460,BLIND,8657278,,complete,,3406ce98-b471-428c-8125-a07315ee79e9,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 112.0.0.0,1680x1050,1680x946,,ImplicitDecisionAdventureTask_2Opts,1,Condition_InOut-gender,WhiteMale_OutGrp_Gender,1,Instructions,Delay,7riscs,3,timedOut,,2000.4339999821168,1999.9199999999983,2000.4339999821168,2000.4339999821168,1999.9199999999983,2000.4339999821168,1,0,2000.4339999821168,0,0,,Time Limit,screen,0,screen,Instructions,,,,,,,,,,,,,user,,,,,,,
5,1682388929140,25/04/2023 02:15:29,1682374529140,-4,24/04/2023 18:15:29,131186,3,task-2zn7,,29070460,BLIND,8657278,,complete,,3406ce98-b471-428c-8125-a07315ee79e9,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 112.0.0.0,1680x1050,1680x946,,ImplicitDecisionAdventureTask_2Opts,1,Condition_InOut-gender,WhiteMale_OutGrp_Gender,1,LoadingScreen,LoadScreen,95pybm,1,timedOut,,19068.01399998212,19066.239,19068.01399998212,19068.01399998212,19066.239,19068.01399998212,1,0,19068.01399998212,0,0,,Time Limit,screen,0,screen,LoadingScreen,Jack,Becky,,,,,,,,,,,user,,,,,,,
6,1682388930884,25/04/2023 02:15:30,1682374530884,-4,24/04/2023 18:15:30,131186,3,task-2zn7,,29070460,BLIND,8657278,,complete,,3406ce98-b471-428c-8125-a07315ee79e9,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 112.0.0.0,1680x1050,1680x946,,ImplicitDecisionAdventureTask_2Opts,1,Condition_InOut-gender,WhiteMale_OutGrp_Gender,1,LoadingScreen,LoadingComplete,zy7h74,2,continue,,1745.875000005959,1733.2639999999956,1745.875000005959,1745.875000005959,1733.2639999999956,1745.875000005959,1,0,1745.875000005959,0,0,,Click To Continue,Continue Button,2,object-59,LoadingScreen,Jack,Becky,,,,,,,,,,,user,,,,,,,
7,1682388937323,25/04/2023 02:15:37,1682374537323,-4,24/04/2023 18:15:37,131186,3,task-2zn7,,29070460,BLIND,8657278,,complete,,3406ce98-b471-428c-8125-a07315ee79e9,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 112.0.0.0,1680x1050,1680x946,,ImplicitDecisionAdventureTask_2Opts,1,Condition_InOut-gender,WhiteMale_OutGrp_Gender,1,ScenarioIntro,ScenarioIntro,ghavr7,1,response,Next,6450.2019999999975,6433.536,6450.2019999999975,6450.2019999999975,6433.536,6450.2019999999975,1,0,6450.2019999999975,0,0,,Click Response,Continue Button,2,object-62,ScenarioIntro,,,<em>Two traveling adventurers decide to enter a local tournament at a colosseum. The Gauntlet of Trials is a renowned and immensely challenging set of enemies and puzzles. The duo will need to rely on their strength and intelligence to make it through unharmed. Each adventurer will be rewarded proportional to performance.,,,,,,,,,,user,,,,,,,
8,1682388945935,25/04/2023 02:15:45,1682374545935,-4,24/04/2023 18:15:45,131186,3,task-2zn7,,29070460,BLIND,8657278,,complete,,3406ce98-b471-428c-8125-a07315ee79e9,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 112.0.0.0,1680x1050,1680x946,,ImplicitDecisionAdventureTask_2Opts,1,Condition_InOut-gender,WhiteMale_OutGrp_Gender,1,Trial/Encounter,EncounterIntro,wtupv3,1,continue,,3062.930999988079,3049.877999999997,3062.930999988079,3062.930999988079,3049.877999999997,3062.930999988079,1,0,3062.930999988079,0,0,,Click To Continue,Continue Button,2,object-65,Trial/Encounter,,,,"<em>A gate opens in front of the duo, and a menacing mechanical golem with a crossbow becomes activated.",<em><b>Jack</b> lunges forward attempting to force his blade through the protective plate.,<em><b>Jack’s</b> sword pierces the plate and destroys the construct before it is able to shoot. He is able to proceed uninjured.,,<em><b>Jack’s</b> sword grazes the exterior plate. He is shot by the crossbow and is dealt damage.,6687,,,,user,,,,,,,
9,1682388955561,25/04/2023 02:15:55,1682374555561,-4,24/04/2023 18:15:55,131186,3,task-2zn7,,29070460,BLIND,8657278,,complete,,3406ce98-b471-428c-8125-a07315ee79e9,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 112.0.0.0,1680x1050,1680x946,,ImplicitDecisionAdventureTask_2Opts,1,Condition_InOut-gender,WhiteMale_OutGrp_Gender,1,Trial/Encounter,Delay,4wo1q4,2,timedOut,,6689.570999994037,6683.368999999999,6689.570999994037,6689.570999994037,6683.368999999999,6689.570999994037,1,0,6689.570999994037,0,0,,Time Limit,screen,0,screen,Trial/Encounter,,,,"<em>A gate opens in front of the duo, and a menacing mechanical golem with a crossbow becomes activated.",<em><b>Jack</b> lunges forward attempting to force his blade through the protective plate.,<em><b>Jack’s</b> sword pierces the plate and destroys the construct before it is able to shoot. He is able to proceed uninjured.,,<em><b>Jack’s</b> sword grazes the exterior plate. He is shot by the crossbow and is dealt damage.,6687,,,,user,,,,,,,
10,1682388960253,25/04/2023 02:16:00,1682374560253,-4,24/04/2023 18:16:00,131186,3,task-2zn7,,29070460,BLIND,8657278,,complete,,3406ce98-b471-428c-8125-a07315ee79e9,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 112.0.0.0,1680x1050,1680x946,,ImplicitDecisionAdventureTask_2Opts,1,Condition_InOut-gender,WhiteMale_OutGrp_Gender,1,Trial/Encounter,PlayerAction,ga3y5r,3,response,Reward,4695.301999988078,4683.400999999998,4695.301999988078,4695.301999988078,4683.400999999998,4695.301999988078,1,0,4695.301999988078,0,0,decision,Click Response,RewardButton,2,object-70,Trial/Encounter,,,,"<em>A gate opens in front of the duo, and a menacing mechanical golem with a crossbow becomes activated.",<em><b>Jack</b> lunges forward attempting to force his blade through the protective plate.,<em><b>Jack’s</b> sword pierces the plate and destroys the construct before it is able to shoot. He is able to proceed uninjured.,,<em><b>Jack’s</b> sword grazes the exterior plate. He is shot by the crossbow and is dealt damage.,6687,,,,user,,,,,Reward,1,
11,1682388964184,25/04/2023 02:16:04,1682374564184,-4,24/04/2023 18:16:04,131186,3,task-2zn7,,29070460,BLIND,8657278,,complete,,3406ce98-b471-428c-8125-a07315ee79e9,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 112.0.0.0,1680x1050,1680x946,,ImplicitDecisionAdventureTask_2Opts,1,Condition_InOut-gender,WhiteMale_OutGrp_Gender,1,Trial/Encounter,Reward,56azq1,4,continue,,3945.5009999821195,3933.1760000000068,3945.5009999821195,3945.5009999821195,3933.1760000000068,3945.5009999821195,1,0,3945.5009999821195,0,0,,Click To Continue,Continue Button,2,object-73,Trial/Encounter,,,,"<em>A gate opens in front of the duo, and a menacing mechanical golem with a crossbow becomes activated.",<em><b>Jack</b> lunges forward attempting to force his blade through the protective plate.,<em><b>Jack’s</b> sword pierces the plate and destroys the construct before it is able to shoot. He is able to proceed uninjured.,,<em><b>Jack’s</b> sword grazes the exterior plate. He is shot by the crossbow and is dealt damage.,6687,,,,user,,,,,Reward,1,
