Event Index,UTC Timestamp,UTC Date,Local Timestamp,Local Timezone,Local Date,Experiment ID,Experiment Version,Tree Node Key,Repeat Key,Schedule ID,Participant Public ID,Participant Private ID,Participant Starting Group,Participant Status,Participant Completion Code,Participant External Session ID,Participant Device Type,Participant Device,Participant OS,Participant Browser,Participant Monitor Size,Participant Viewport Size,Checkpoint,Task Name,Task Version,allocator-k3xu,Spreadsheet,Trial Number,Display,Screen,Screen ID,Screen Counter,Response Type,Response,Onset Time,Clock Time,Reaction Time,Absolute Onset Time,Absolute Clock Time,Absolute Reaction Time,Correct,Score,Response Onset,Response Duration,Proportion,Tag,Component Name,Object Name,Object Number,Object ID,Spreadsheet: display,Spreadsheet: Adventurer1,Spreadsheet: Adventurer2,Spreadsheet: Scenario,Spreadsheet: EncounterIntro,Spreadsheet: PlayerAction,Spreadsheet: RewardFeedback,Spreadsheet: NeutralFeedback,Spreadsheet: PunishFeedback,Spreadsheet: scenDelay,Spreadsheet: ,Manipulation: Spreadsheet,Store: pName,Store: participant,Store: respReward,Store: respNeutral,Store: respPunish,Store: decPunish,Store: outcome,Store: RewTally,Store: PunTally
1,1682388878179,25/04/2023 02:14:38,1682374478179,-4,24/04/2023 18:14:38,131169,4,task-sbxy,,29070450,BLIND,8657254,,complete,,000a83f0-558a-4469-902b-c6c2417fb76d,computer,Desktop or Laptop,Windows 10,Chrome 112.0.0.0,1536x864,1536x746,,ImplicitDecisionAdventureTask_2Opts,1,Condition_InOut-race,BlackMale_OutGrp_Race,,,,,,,BEGIN,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,1682388894595,25/04/2023 02:14:54,1682374494595,-4,24/04/2023 18:14:54,131169,4,task-sbxy,,29070450,BLIND,8657254,,complete,,000a83f0-558a-4469-902b-c6c2417fb76d,computer,Desktop or Laptop,Windows 10,Chrome 112.0.0.0,1536x864,1536x746,,ImplicitDecisionAdventureTask_2Opts,1,Condition_InOut-race,BlackMale_OutGrp_Race,1,Instructions,Instructions,cdub9g,1,timedOut,,16003.154000000186,16000.068000000001,16003.154000000186,16003.154000000186,16000.068000000001,16003.154000000186,1,0,16003.154000000186,0,0,,Time Limit,screen,0,screen,Instructions,,,,,,,,,,,,,,,,,,,,
3,1682388900471,25/04/2023 02:15:00,1682374500471,-4,24/04/2023 18:15:00,131169,4,task-sbxy,,29070450,BLIND,8657254,,complete,,000a83f0-558a-4469-902b-c6c2417fb76d,computer,Desktop or Laptop,Windows 10,Chrome 112.0.0.0,1536x864,1536x746,,ImplicitDecisionAdventureTask_2Opts,1,Condition_InOut-race,BlackMale_OutGrp_Race,1,Instructions,Name,nn5ntg,2,response,Oh,2883.3979999999974,5866.407999999999,5877.786000000138,2883.3979999999974,5866.407999999999,5877.786000000138,1,0,2883.3979999999974,2994.388000000141,0,pName,Single Text Entry,ParticipantName,2,object-22,Instructions,,,,,,,,,,,,,Oh,,,,,,,
4,1682388902459,25/04/2023 02:15:02,1682374502459,-4,24/04/2023 18:15:02,131169,4,task-sbxy,,29070450,BLIND,8657254,,complete,,000a83f0-558a-4469-902b-c6c2417fb76d,computer,Desktop or Laptop,Windows 10,Chrome 112.0.0.0,1536x864,1536x746,,ImplicitDecisionAdventureTask_2Opts,1,Condition_InOut-race,BlackMale_OutGrp_Race,1,Instructions,Delay,7riscs,3,timedOut,,2000.5780000000923,2000.0599999999977,2000.5780000000923,2000.5780000000923,2000.0599999999977,2000.5780000000923,1,0,2000.5780000000923,0,0,,Time Limit,screen,0,screen,Instructions,,,,,,,,,,,,,Oh,,,,,,,
5,1682388917460,25/04/2023 02:15:17,1682374517460,-4,24/04/2023 18:15:17,131169,4,task-sbxy,,29070450,BLIND,8657254,,complete,,000a83f0-558a-4469-902b-c6c2417fb76d,computer,Desktop or Laptop,Windows 10,Chrome 112.0.0.0,1536x864,1536x746,,ImplicitDecisionAdventureTask_2Opts,1,Condition_InOut-race,BlackMale_OutGrp_Race,1,LoadingScreen,LoadScreen,95pybm,1,timedOut,,15001.418000000001,15000.403000000002,15001.418000000001,15001.418000000001,15000.403000000002,15001.418000000001,1,0,15001.418000000001,0,0,,Time Limit,screen,0,screen,LoadingScreen,Deshawn,Spencer,,,,,,,,,,,Oh,,,,,,,
6,1682388919531,25/04/2023 02:15:19,1682374519531,-4,24/04/2023 18:15:19,131169,4,task-sbxy,,29070450,BLIND,8657254,,complete,,000a83f0-558a-4469-902b-c6c2417fb76d,computer,Desktop or Laptop,Windows 10,Chrome 112.0.0.0,1536x864,1536x746,,ImplicitDecisionAdventureTask_2Opts,1,Condition_InOut-race,BlackMale_OutGrp_Race,1,LoadingScreen,LoadingComplete,zy7h74,2,continue,,2072.5149999999994,2066.3799999999974,2072.5149999999994,2072.5149999999994,2066.3799999999974,2072.5149999999994,1,0,2072.5149999999994,0,0,,Click To Continue,Continue Button,2,object-59,LoadingScreen,Deshawn,Spencer,,,,,,,,,,,Oh,,,,,,,
7,1682388931526,25/04/2023 02:15:31,1682374531526,-4,24/04/2023 18:15:31,131169,4,task-sbxy,,29070450,BLIND,8657254,,complete,,000a83f0-558a-4469-902b-c6c2417fb76d,computer,Desktop or Laptop,Windows 10,Chrome 112.0.0.0,1536x864,1536x746,,ImplicitDecisionAdventureTask_2Opts,1,Condition_InOut-race,BlackMale_OutGrp_Race,1,ScenarioIntro,ScenarioIntro,ghavr7,1,timedOut,,12000.335000000188,11999.785000000003,12000.335000000188,12000.335000000188,11999.785000000003,12000.335000000188,1,0,12000.335000000188,0,0,,Time Limit,screen,0,screen,ScenarioIntro,,,<em>Two traveling adventurers decide to enter a local tournament at a colosseum. The Gauntlet of Trials is a renowned and immensely challenging set of enemies and puzzles. The duo will need to rely on their strength and intelligence to make it through unharmed. Each adventurer will be rewarded proportional to performance.,,,,,,,,,,Oh,,,,,,,
8,1682388937526,25/04/2023 02:15:37,1682374537526,-4,24/04/2023 18:15:37,131169,4,task-sbxy,,29070450,BLIND,8657254,,complete,,000a83f0-558a-4469-902b-c6c2417fb76d,computer,Desktop or Laptop,Windows 10,Chrome 112.0.0.0,1536x864,1536x746,,ImplicitDecisionAdventureTask_2Opts,1,Condition_InOut-race,BlackMale_OutGrp_Race,1,Trial/Encounter,EncounterIntro,wtupv3,1,timedOut,,6000.950000000092,5999.989999999998,6000.950000000092,6000.950000000092,5999.989999999998,6000.950000000092,1,0,6000.950000000092,0,0,,Time Limit,screen,0,screen,Trial/Encounter,,,,"<em>A gate opens in front of the duo, and a menacing mechanical golem with a crossbow becomes activated.",<em><b>Deshawn</b> lunges forward attempting to force his blade through the protective plate.,<em><b>Deshawn’s</b> sword pierces the plate and destroys the construct before it is able to shoot. He is able to proceed uninjured.,,<em><b>Deshawn’s</b> sword grazes the exterior plate. He is shot by the crossbow and is dealt damage.,6687,,,,Oh,,,,,,,
9,1682388944210,25/04/2023 02:15:44,1682374544210,-4,24/04/2023 18:15:44,131169,4,task-sbxy,,29070450,BLIND,8657254,,complete,,000a83f0-558a-4469-902b-c6c2417fb76d,computer,Desktop or Laptop,Windows 10,Chrome 112.0.0.0,1536x864,1536x746,,ImplicitDecisionAdventureTask_2Opts,1,Condition_InOut-race,BlackMale_OutGrp_Race,1,Trial/Encounter,Delay,4wo1q4,2,timedOut,,6684.060000000187,6683.330000000002,6684.060000000187,6684.060000000187,6683.330000000002,6684.060000000187,1,0,6684.060000000187,0,0,,Time Limit,screen,0,screen,Trial/Encounter,,,,"<em>A gate opens in front of the duo, and a menacing mechanical golem with a crossbow becomes activated.",<em><b>Deshawn</b> lunges forward attempting to force his blade through the protective plate.,<em><b>Deshawn’s</b> sword pierces the plate and destroys the construct before it is able to shoot. He is able to proceed uninjured.,,<em><b>Deshawn’s</b> sword grazes the exterior plate. He is shot by the crossbow and is dealt damage.,6687,,,,Oh,,,,,,,
10,1682388959367,25/04/2023 02:15:59,1682374559367,-4,24/04/2023 18:15:59,131169,4,task-sbxy,,29070450,BLIND,8657254,,complete,,000a83f0-558a-4469-902b-c6c2417fb76d,computer,Desktop or Laptop,Windows 10,Chrome 112.0.0.0,1536x864,1536x746,,ImplicitDecisionAdventureTask_2Opts,1,Condition_InOut-race,BlackMale_OutGrp_Race,1,Trial/Encounter,PlayerAction,ga3y5r,3,response,Punish,15156.830000000045,15150.448999999993,15156.830000000045,15156.830000000045,15150.448999999993,15156.830000000045,1,0,15156.830000000045,0,0,decision,Click Response,PunishButton,3,object-69,Trial/Encounter,,,,"<em>A gate opens in front of the duo, and a menacing mechanical golem with a crossbow becomes activated.",<em><b>Deshawn</b> lunges forward attempting to force his blade through the protective plate.,<em><b>Deshawn’s</b> sword pierces the plate and destroys the construct before it is able to shoot. He is able to proceed uninjured.,,<em><b>Deshawn’s</b> sword grazes the exterior plate. He is shot by the crossbow and is dealt damage.,6687,,,,Oh,,,,,Punish,,1
