Event Index,UTC Timestamp,UTC Date,Local Timestamp,Local Timezone,Local Date,Experiment ID,Experiment Version,Tree Node Key,Repeat Key,Schedule ID,Participant Public ID,Participant Private ID,Participant Starting Group,Participant Status,Participant Completion Code,Participant External Session ID,Participant Device Type,Participant Device,Participant OS,Participant Browser,Participant Monitor Size,Participant Viewport Size,Checkpoint,Task Name,Task Version,allocator-k3xu,Spreadsheet,Trial Number,Display,Screen,Screen ID,Screen Counter,Response Type,Response,Onset Time,Clock Time,Reaction Time,Absolute Onset Time,Absolute Clock Time,Absolute Reaction Time,Correct,Score,Response Onset,Response Duration,Proportion,Tag,Component Name,Object Name,Object Number,Object ID,Spreadsheet: display,Spreadsheet: Adventurer1,Spreadsheet: Adventurer2,Spreadsheet: Scenario,Spreadsheet: EncounterIntro,Spreadsheet: PlayerAction,Spreadsheet: RewardFeedback,Spreadsheet: NeutralFeedback,Spreadsheet: PunishFeedback,Spreadsheet: scenDelay,Spreadsheet: ,Manipulation: Spreadsheet,Store: pName,Store: participant,Store: respReward,Store: respNeutral,Store: respPunish,Store: decPunish,Store: outcome,Store: RewTally,Store: PunTally
1,1682399680560,25/04/2023 05:14:40,1682374480560,-7,24/04/2023 15:14:40,131186,3,task-sbxy,,29070438,BLIND,8657261,,complete,,5ab7a77c-4dd6-4b8e-a27c-64c004b53069,computer,Desktop or Laptop,Windows 10,Firefox 112.0,1366x768,1256x578,,ImplicitDecisionAdventureTask_2Opts,1,Condition_InOut-race,WhiteMale_OutGrp_Race,,,,,,,BEGIN,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,1682399697439,25/04/2023 05:14:57,1682374497439,-7,24/04/2023 15:14:57,131186,3,task-sbxy,,29070438,BLIND,8657261,,complete,,5ab7a77c-4dd6-4b8e-a27c-64c004b53069,computer,Desktop or Laptop,Windows 10,Firefox 112.0,1958x1101,1800x828,,ImplicitDecisionAdventureTask_2Opts,1,Condition_InOut-race,WhiteMale_OutGrp_Race,1,Instructions,Instructions,cdub9g,1,timedOut,,16002.380000000001,15998.64,16002.380000000001,16002.380000000001,15998.64,16002.380000000001,1,0,16002.380000000001,0,0,,Time Limit,screen,0,screen,Instructions,,,,,,,,,,,,,,,,,,,,
3,1682399723113,25/04/2023 05:15:23,1682374523113,-7,24/04/2023 15:15:23,131186,3,task-sbxy,,29070438,BLIND,8657261,,complete,,5ab7a77c-4dd6-4b8e-a27c-64c004b53069,computer,Desktop or Laptop,Windows 10,Firefox 112.0,1958x1101,1800x828,,ImplicitDecisionAdventureTask_2Opts,1,Condition_InOut-race,WhiteMale_OutGrp_Race,1,Instructions,Name,nn5ntg,2,response,Thomas,23148.000000000004,25664.460000000003,25674.74,23148.000000000004,25664.460000000003,25674.74,1,0,23148.000000000004,2526.739999999998,0,pName,Single Text Entry,ParticipantName,2,object-22,Instructions,,,,,,,,,,,,,Thomas,,,,,,,
4,1682399725100,25/04/2023 05:15:25,1682374525100,-7,24/04/2023 15:15:25,131186,3,task-sbxy,,29070438,BLIND,8657261,,complete,,5ab7a77c-4dd6-4b8e-a27c-64c004b53069,computer,Desktop or Laptop,Windows 10,Firefox 112.0,1958x1101,1800x828,,ImplicitDecisionAdventureTask_2Opts,1,Condition_InOut-race,WhiteMale_OutGrp_Race,1,Instructions,Delay,7riscs,3,timedOut,,2001.2799999999988,1999.7999999999956,2001.2799999999988,2001.2799999999988,1999.7999999999956,2001.2799999999988,1,0,2001.2799999999988,0,0,,Time Limit,screen,0,screen,Instructions,,,,,,,,,,,,,Thomas,,,,,,,
5,1682399740099,25/04/2023 05:15:40,1682374540099,-7,24/04/2023 15:15:40,131186,3,task-sbxy,,29070438,BLIND,8657261,,complete,,5ab7a77c-4dd6-4b8e-a27c-64c004b53069,computer,Desktop or Laptop,Windows 10,Firefox 112.0,1958x1101,1800x828,,ImplicitDecisionAdventureTask_2Opts,1,Condition_InOut-race,WhiteMale_OutGrp_Race,1,LoadingScreen,LoadScreen,95pybm,1,timedOut,,15000.480000000003,14998.760000000002,15000.480000000003,15000.480000000003,14998.760000000002,15000.480000000003,1,0,15000.480000000003,0,0,,Time Limit,screen,0,screen,LoadingScreen,Jack,Jamal,,,,,,,,,,,Thomas,,,,,,,
6,1682399754288,25/04/2023 05:15:54,1682374554288,-7,24/04/2023 15:15:54,131186,3,task-sbxy,,29070438,BLIND,8657261,,complete,,5ab7a77c-4dd6-4b8e-a27c-64c004b53069,computer,Desktop or Laptop,Windows 10,Firefox 112.0,1958x1101,1800x828,,ImplicitDecisionAdventureTask_2Opts,1,Condition_InOut-race,WhiteMale_OutGrp_Race,1,LoadingScreen,LoadingComplete,zy7h74,2,continue,,14182.080000000002,14165.419999999998,14182.080000000002,14182.080000000002,14165.419999999998,14182.080000000002,1,0,14182.080000000002,0,0,,Click To Continue,Continue Button,2,object-59,LoadingScreen,Jack,Jamal,,,,,,,,,,,Thomas,,,,,,,
7,1682399765157,25/04/2023 05:16:05,1682374565157,-7,24/04/2023 15:16:05,131186,3,task-sbxy,,29070438,BLIND,8657261,,complete,,5ab7a77c-4dd6-4b8e-a27c-64c004b53069,computer,Desktop or Laptop,Windows 10,Firefox 112.0,1958x1101,1800x828,,ImplicitDecisionAdventureTask_2Opts,1,Condition_InOut-race,WhiteMale_OutGrp_Race,1,ScenarioIntro,ScenarioIntro,ghavr7,1,response,Next,10894.300000000003,10882.460000000006,10894.300000000003,10894.300000000003,10882.460000000006,10894.300000000003,1,0,10894.300000000003,0,0,,Click Response,Continue Button,2,object-62,ScenarioIntro,,,<em>Two traveling adventurers decide to enter a local tournament at a colosseum. The Gauntlet of Trials is a renowned and immensely challenging set of enemies and puzzles. The duo will need to rely on their strength and intelligence to make it through unharmed. Each adventurer will be rewarded proportional to performance.,,,,,,,,,,Thomas,,,,,,,
8,1682399772262,25/04/2023 05:16:12,1682374572262,-7,24/04/2023 15:16:12,131186,3,task-sbxy,,29070438,BLIND,8657261,,complete,,5ab7a77c-4dd6-4b8e-a27c-64c004b53069,computer,Desktop or Laptop,Windows 10,Firefox 112.0,1958x1101,1800x828,,ImplicitDecisionAdventureTask_2Opts,1,Condition_InOut-race,WhiteMale_OutGrp_Race,1,Trial/Encounter,EncounterIntro,wtupv3,1,timedOut,,5999.479999999996,5999.479999999996,5999.479999999996,5999.479999999996,5999.479999999996,5999.479999999996,1,0,5999.479999999996,0,0,,Time Limit,screen,0,screen,Trial/Encounter,,,,"<em>A gate opens in front of the duo, and a menacing mechanical golem with a crossbow becomes activated.",<em><b>Jack</b> lunges forward attempting to force his blade through the protective plate.,<em><b>Jack’s</b> sword pierces the plate and destroys the construct before it is able to shoot. He is able to proceed uninjured.,,<em><b>Jack’s</b> sword grazes the exterior plate. He is shot by the crossbow and is dealt damage.,6687,,,,Thomas,,,,,,,
9,1682399778944,25/04/2023 05:16:18,1682374578944,-7,24/04/2023 15:16:18,131186,3,task-sbxy,,29070438,BLIND,8657261,,complete,,5ab7a77c-4dd6-4b8e-a27c-64c004b53069,computer,Desktop or Laptop,Windows 10,Firefox 112.0,1958x1101,1800x828,,ImplicitDecisionAdventureTask_2Opts,1,Condition_InOut-race,WhiteMale_OutGrp_Race,1,Trial/Encounter,Delay,4wo1q4,2,timedOut,,6683.820000000007,6682.760000000009,6683.820000000007,6683.820000000007,6682.760000000009,6683.820000000007,1,0,6683.820000000007,0,0,,Time Limit,screen,0,screen,Trial/Encounter,,,,"<em>A gate opens in front of the duo, and a menacing mechanical golem with a crossbow becomes activated.",<em><b>Jack</b> lunges forward attempting to force his blade through the protective plate.,<em><b>Jack’s</b> sword pierces the plate and destroys the construct before it is able to shoot. He is able to proceed uninjured.,,<em><b>Jack’s</b> sword grazes the exterior plate. He is shot by the crossbow and is dealt damage.,6687,,,,Thomas,,,,,,,
10,1682399791835,25/04/2023 05:16:31,1682374591835,-7,24/04/2023 15:16:31,131186,3,task-sbxy,,29070438,BLIND,8657261,,complete,,5ab7a77c-4dd6-4b8e-a27c-64c004b53069,computer,Desktop or Laptop,Windows 10,Firefox 112.0,1958x1101,1800x828,,ImplicitDecisionAdventureTask_2Opts,1,Condition_InOut-race,WhiteMale_OutGrp_Race,1,Trial/Encounter,PlayerAction,ga3y5r,3,response,Reward,12884.059999999998,12882.259999999995,12884.059999999998,12884.059999999998,12882.259999999995,12884.059999999998,1,0,12884.059999999998,0,0,decision,Click Response,RewardButton,2,object-70,Trial/Encounter,,,,"<em>A gate opens in front of the duo, and a menacing mechanical golem with a crossbow becomes activated.",<em><b>Jack</b> lunges forward attempting to force his blade through the protective plate.,<em><b>Jack’s</b> sword pierces the plate and destroys the construct before it is able to shoot. He is able to proceed uninjured.,,<em><b>Jack’s</b> sword grazes the exterior plate. He is shot by the crossbow and is dealt damage.,6687,,,,Thomas,,,,,Reward,1,
