,Participant Private ID,Spreadsheet: Type,Spreadsheet: Name,Spreadsheet: Group,Spreadsheet: Adv,Response
0,9395455.0,STR,Xinyi,In,2.0,Punish
1,9395455.0,DIR,Yuxi,In,1.0,Reward
2,9395455.0,DIR,Xinyi,In,2.0,Reward
3,9395455.0,STR,Yuxi,In,1.0,Punish
4,9395455.0,INT,Yuxi,In,1.0,Reward
5,9395455.0,STR,Xinyi,In,2.0,Punish
6,9395455.0,DIR,Yuxi,In,1.0,Punish
7,9395455.0,INT,Xinyi,In,2.0,Reward
8,9395455.0,STR,Yuxi,In,1.0,Reward
9,9395455.0,INT,Xinyi,In,2.0,Reward
10,9395455.0,DIR,Xinyi,In,2.0,Reward
11,9395455.0,STR,Yuxi,In,1.0,Punish
12,9395455.0,INT,Yuxi,In,1.0,Reward
13,9395455.0,DIR,Xinyi,In,2.0,Reward
14,9395455.0,DIR,Yuxi,In,1.0,Punish
15,9395455.0,INT,Xinyi,In,2.0,Reward
16,9395455.0,STR,Xinyi,In,2.0,Punish
17,9395455.0,INT,Yuxi,In,1.0,Punish
18,9395455.0,,,,,60-40
19,9395281.0,STR,Xinyi,In,2.0,Punish
20,9395281.0,DIR,Yuxi,In,1.0,Reward
21,9395281.0,DIR,Xinyi,In,2.0,Reward
22,9395281.0,STR,Yuxi,In,1.0,Reward
23,9395281.0,INT,Yuxi,In,1.0,Reward
24,9395281.0,STR,Xinyi,In,2.0,Reward
25,9395281.0,DIR,Yuxi,In,1.0,Reward
26,9395281.0,INT,Xinyi,In,2.0,Reward
27,9395281.0,STR,Yuxi,In,1.0,Reward
28,9395281.0,INT,Xinyi,In,2.0,Reward
29,9395281.0,DIR,Xinyi,In,2.0,Reward
30,9395281.0,STR,Yuxi,In,1.0,Punish
31,9395281.0,INT,Yuxi,In,1.0,Punish
32,9395281.0,DIR,Xinyi,In,2.0,Punish
33,9395281.0,DIR,Yuxi,In,1.0,Punish
34,9395281.0,INT,Xinyi,In,2.0,Punish
35,9395281.0,STR,Xinyi,In,2.0,Punish
36,9395281.0,INT,Yuxi,In,1.0,Punish
37,9395281.0,,,,,40-60
38,9395236.0,STR,Xinyi,In,2.0,Reward
39,9395236.0,DIR,Yuxi,In,1.0,Punish
40,9395236.0,DIR,Xinyi,In,2.0,Reward
41,9395236.0,STR,Yuxi,In,1.0,Punish
42,9395236.0,INT,Yuxi,In,1.0,Reward
43,9395236.0,STR,Xinyi,In,2.0,Reward
44,9395236.0,DIR,Yuxi,In,1.0,Reward
45,9395236.0,INT,Xinyi,In,2.0,Punish
46,9395236.0,STR,Yuxi,In,1.0,Reward
47,9395236.0,INT,Xinyi,In,2.0,Reward
48,9395236.0,DIR,Xinyi,In,2.0,Reward
49,9395236.0,STR,Yuxi,In,1.0,Reward
50,9395236.0,INT,Yuxi,In,1.0,Reward
51,9395236.0,DIR,Xinyi,In,2.0,Punish
52,9395236.0,DIR,Yuxi,In,1.0,Punish
53,9395236.0,INT,Xinyi,In,2.0,Punish
54,9395236.0,STR,Xinyi,In,2.0,Punish
55,9395236.0,INT,Yuxi,In,1.0,Punish
56,9395236.0,,,,,60-40
57,9395221.0,STR,Xinyi,In,2.0,Punish
58,9395221.0,DIR,Yuxi,In,1.0,Reward
59,9395221.0,DIR,Xinyi,In,2.0,Reward
60,9395221.0,STR,Yuxi,In,1.0,Punish
61,9395221.0,INT,Yuxi,In,1.0,Punish
62,9395221.0,STR,Xinyi,In,2.0,Reward
63,9395221.0,DIR,Yuxi,In,1.0,Punish
64,9395221.0,INT,Xinyi,In,2.0,Reward
65,9395221.0,STR,Yuxi,In,1.0,Reward
66,9395221.0,INT,Xinyi,In,2.0,Reward
67,9395221.0,DIR,Xinyi,In,2.0,Punish
68,9395221.0,STR,Yuxi,In,1.0,Punish
69,9395221.0,INT,Yuxi,In,1.0,Reward
70,9395221.0,DIR,Xinyi,In,2.0,Reward
71,9395221.0,DIR,Yuxi,In,1.0,Punish
72,9395221.0,INT,Xinyi,In,2.0,Punish
73,9395221.0,STR,Xinyi,In,2.0,Reward
74,9395221.0,INT,Yuxi,In,1.0,Reward
75,9395221.0,,,,,40-60
76,9395151.0,STR,Xinyi,In,2.0,Punish
77,9395151.0,DIR,Yuxi,In,1.0,Reward
78,9395151.0,DIR,Xinyi,In,2.0,Reward
79,9395151.0,STR,Yuxi,In,1.0,Reward
80,9395151.0,INT,Yuxi,In,1.0,Reward
81,9395151.0,STR,Xinyi,In,2.0,Punish
82,9395151.0,DIR,Yuxi,In,1.0,Punish
83,9395151.0,INT,Xinyi,In,2.0,Reward
84,9395151.0,STR,Yuxi,In,1.0,Reward
85,9395151.0,INT,Xinyi,In,2.0,Punish
86,9395151.0,DIR,Xinyi,In,2.0,Punish
87,9395151.0,STR,Yuxi,In,1.0,Reward
88,9395151.0,INT,Yuxi,In,1.0,Reward
89,9395151.0,DIR,Xinyi,In,2.0,Punish
90,9395151.0,DIR,Yuxi,In,1.0,Punish
91,9395151.0,INT,Xinyi,In,2.0,Reward
92,9395151.0,STR,Xinyi,In,2.0,Punish
93,9395151.0,INT,Yuxi,In,1.0,Reward
94,9395151.0,,,,,60-40
95,9394956.0,STR,Xinyi,In,2.0,Punish
96,9394956.0,DIR,Yuxi,In,1.0,Reward
97,9394956.0,DIR,Xinyi,In,2.0,Reward
98,9394956.0,STR,Yuxi,In,1.0,Punish
99,9394956.0,INT,Yuxi,In,1.0,Reward
100,9394956.0,STR,Xinyi,In,2.0,Reward
101,9394956.0,DIR,Yuxi,In,1.0,Reward
102,9394956.0,INT,Xinyi,In,2.0,Reward
103,9394956.0,STR,Yuxi,In,1.0,Reward
104,9394956.0,INT,Xinyi,In,2.0,Punish
105,9394956.0,DIR,Xinyi,In,2.0,Punish
106,9394956.0,STR,Yuxi,In,1.0,Punish
107,9394956.0,INT,Yuxi,In,1.0,Punish
108,9394956.0,DIR,Xinyi,In,2.0,Punish
109,9394956.0,DIR,Yuxi,In,1.0,Reward
110,9394956.0,INT,Xinyi,In,2.0,Reward
111,9394956.0,STR,Xinyi,In,2.0,Punish
112,9394956.0,INT,Yuxi,In,1.0,Reward
113,9394956.0,,,,,60-40
114,9395098.0,STR,Yuxi,In,1.0,Reward
115,9395098.0,DIR,Xinyi,In,2.0,Reward
116,9395098.0,DIR,Yuxi,In,1.0,Reward
117,9395098.0,STR,Xinyi,In,2.0,Punish
118,9395098.0,INT,Xinyi,In,2.0,Reward
119,9395098.0,STR,Yuxi,In,1.0,Reward
120,9395098.0,DIR,Xinyi,In,2.0,Punish
121,9395098.0,INT,Yuxi,In,1.0,Reward
122,9395098.0,STR,Xinyi,In,2.0,Reward
123,9395098.0,INT,Yuxi,In,1.0,Punish
124,9395098.0,DIR,Yuxi,In,1.0,Punish
125,9395098.0,STR,Xinyi,In,2.0,Reward
126,9395098.0,INT,Xinyi,In,2.0,Punish
127,9395098.0,DIR,Yuxi,In,1.0,Reward
128,9395098.0,DIR,Xinyi,In,2.0,Punish
129,9395098.0,INT,Yuxi,In,1.0,Reward
130,9395098.0,STR,Yuxi,In,1.0,Punish
131,9395098.0,INT,Xinyi,In,2.0,Punish
132,9395098.0,,,,,40-60
133,9394979.0,STR,Yuxi,In,1.0,Reward
134,9394979.0,DIR,Xinyi,In,2.0,Reward
135,9394979.0,DIR,Yuxi,In,1.0,Punish
136,9394979.0,STR,Xinyi,In,2.0,Punish
137,9394979.0,INT,Xinyi,In,2.0,Reward
138,9394979.0,STR,Yuxi,In,1.0,Reward
139,9394979.0,DIR,Xinyi,In,2.0,Punish
140,9394979.0,INT,Yuxi,In,1.0,Reward
141,9394979.0,STR,Xinyi,In,2.0,Reward
142,9394979.0,INT,Yuxi,In,1.0,Reward
143,9394979.0,DIR,Yuxi,In,1.0,Punish
144,9394979.0,STR,Xinyi,In,2.0,Punish
145,9394979.0,INT,Xinyi,In,2.0,Reward
146,9394979.0,DIR,Yuxi,In,1.0,Punish
147,9394979.0,DIR,Xinyi,In,2.0,Reward
148,9394979.0,INT,Yuxi,In,1.0,Reward
149,9394979.0,STR,Yuxi,In,1.0,Punish
150,9394979.0,INT,Xinyi,In,2.0,Punish
151,9394979.0,,,,,40-60
152,9394925.0,STR,Yuxi,In,1.0,Reward
153,9394925.0,DIR,Xinyi,In,2.0,Reward
154,9394925.0,DIR,Yuxi,In,1.0,Reward
155,9394925.0,STR,Xinyi,In,2.0,Punish
156,9394925.0,INT,Xinyi,In,2.0,Punish
157,9394925.0,STR,Yuxi,In,1.0,Reward
158,9394925.0,DIR,Xinyi,In,2.0,Punish
159,9394925.0,INT,Yuxi,In,1.0,Reward
160,9394925.0,STR,Xinyi,In,2.0,Reward
161,9394925.0,INT,Yuxi,In,1.0,Punish
162,9394925.0,DIR,Yuxi,In,1.0,Punish
163,9394925.0,STR,Xinyi,In,2.0,Reward
164,9394925.0,INT,Xinyi,In,2.0,Punish
165,9394925.0,DIR,Yuxi,In,1.0,Reward
166,9394925.0,DIR,Xinyi,In,2.0,Punish
167,9394925.0,INT,Yuxi,In,1.0,Reward
168,9394925.0,STR,Yuxi,In,1.0,Punish
169,9394925.0,INT,Xinyi,In,2.0,Reward
170,9394925.0,,,,,60-40
171,9394750.0,STR,Yuxi,In,1.0,Reward
172,9394750.0,DIR,Xinyi,In,2.0,Reward
173,9394750.0,DIR,Yuxi,In,1.0,Reward
174,9394750.0,STR,Xinyi,In,2.0,Punish
175,9394750.0,INT,Xinyi,In,2.0,Reward
176,9394750.0,STR,Yuxi,In,1.0,Punish
177,9394750.0,DIR,Xinyi,In,2.0,Punish
178,9394750.0,INT,Yuxi,In,1.0,Punish
179,9394750.0,STR,Xinyi,In,2.0,Reward
180,9394750.0,INT,Yuxi,In,1.0,Reward
181,9394750.0,DIR,Yuxi,In,1.0,Reward
182,9394750.0,STR,Xinyi,In,2.0,Reward
183,9394750.0,INT,Xinyi,In,2.0,Punish
184,9394750.0,DIR,Yuxi,In,1.0,Reward
185,9394750.0,DIR,Xinyi,In,2.0,Reward
186,9394750.0,INT,Yuxi,In,1.0,Punish
187,9394750.0,STR,Yuxi,In,1.0,Punish
188,9394750.0,INT,Xinyi,In,2.0,Punish
189,9394750.0,,,,,80-20
190,9394739.0,STR,Haoran,In,2.0,Reward
191,9394739.0,DIR,Haoyu,In,1.0,Reward
192,9394739.0,DIR,Haoran,In,2.0,Punish
193,9394739.0,STR,Haoyu,In,1.0,Punish
194,9394739.0,INT,Haoyu,In,1.0,Punish
195,9394739.0,STR,Haoran,In,2.0,Reward
196,9394739.0,DIR,Haoyu,In,1.0,Punish
197,9394739.0,INT,Haoran,In,2.0,Reward
198,9394739.0,STR,Haoyu,In,1.0,Reward
