,Participant Private ID,Spreadsheet: Type,Spreadsheet: Name,Spreadsheet: Group,Spreadsheet: Adv,Response
0,9362325.0,STR,Becky,In,2.0,Reward
1,9362325.0,DIR,Emma,In,1.0,Reward
2,9362325.0,DIR,Becky,In,2.0,Reward
3,9362325.0,STR,Emma,In,1.0,Punish
4,9362325.0,INT,Emma,In,1.0,Punish
5,9362325.0,STR,Becky,In,2.0,Punish
6,9362325.0,DIR,Emma,In,1.0,Punish
7,9362325.0,INT,Becky,In,2.0,Reward
8,9362325.0,STR,Emma,In,1.0,Reward
9,9362325.0,INT,Becky,In,2.0,Punish
10,9362325.0,DIR,Becky,In,2.0,Reward
11,9362325.0,STR,Emma,In,1.0,Punish
12,9362325.0,INT,Emma,In,1.0,Punish
13,9362325.0,DIR,Becky,In,2.0,Reward
14,9362325.0,DIR,Emma,In,1.0,Reward
15,9362325.0,INT,Becky,In,2.0,Reward
16,9362325.0,STR,Becky,In,2.0,Punish
17,9362325.0,INT,Emma,In,1.0,Reward
18,9362325.0,,,,,40-60
19,9362339.0,STR,Becky,In,2.0,Punish
20,9362339.0,DIR,Emma,In,1.0,Reward
21,9362339.0,DIR,Becky,In,2.0,Reward
22,9362339.0,STR,Emma,In,1.0,Reward
23,9362339.0,INT,Emma,In,1.0,Reward
24,9362339.0,STR,Becky,In,2.0,Reward
25,9362339.0,DIR,Emma,In,1.0,Reward
26,9362339.0,INT,Becky,In,2.0,Reward
27,9362339.0,STR,Emma,In,1.0,Reward
28,9362339.0,INT,Becky,In,2.0,Reward
29,9362339.0,DIR,Becky,In,2.0,Reward
30,9362339.0,STR,Emma,In,1.0,Punish
31,9362339.0,INT,Emma,In,1.0,Punish
32,9362339.0,DIR,Becky,In,2.0,Punish
33,9362339.0,DIR,Emma,In,1.0,Punish
34,9362339.0,INT,Becky,In,2.0,Punish
35,9362339.0,STR,Becky,In,2.0,Punish
36,9362339.0,INT,Emma,In,1.0,Punish
37,9362339.0,,,,,40-60
38,9362343.0,STR,Becky,In,2.0,Reward
39,9362343.0,DIR,Emma,In,1.0,Reward
40,9362343.0,DIR,Becky,In,2.0,Reward
41,9362343.0,STR,Emma,In,1.0,Reward
42,9362343.0,INT,Emma,In,1.0,Punish
