,Response,Response,Response,Response,Response,Response,Response,Response,Response,Response,Response,Response
Question Key,ZSum1,ZSum10,ZSum11,ZSum12,ZSum2,ZSum3,ZSum4,ZSum5,ZSum6,ZSum7,ZSum8,ZSum9
Participant Private ID,,,,,,,,,,,,
9394739.0,1.0,6.0,6.0,3.0,1.0,1.0,2.0,1.0,1.0,1.0,5.0,6.0
9394740.0,6.0,3.0,3.0,1.0,7.0,6.0,7.0,5.0,5.0,3.0,7.0,5.0
9394741.0,5.0,6.0,6.0,5.0,5.0,5.0,5.0,5.0,5.0,4.0,5.0,6.0
9394743.0,4.0,3.0,3.0,2.0,5.0,4.0,6.0,4.0,3.0,3.0,6.0,5.0
9394744.0,3.0,4.0,5.0,4.0,3.0,3.0,3.0,3.0,3.0,3.0,5.0,4.0
9394745.0,5.0,5.0,5.0,5.0,6.0,5.0,5.0,5.0,5.0,5.0,6.0,5.0
9394746.0,5.0,4.0,6.0,2.0,6.0,5.0,4.0,4.0,6.0,3.0,6.0,5.0
9394748.0,6.0,2.0,2.0,2.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,2.0
9394750.0,3.0,3.0,3.0,3.0,5.0,5.0,5.0,2.0,5.0,2.0,5.0,3.0
9394769.0,4.0,4.0,4.0,3.0,6.0,5.0,6.0,4.0,5.0,4.0,5.0,4.0
9394773.0,3.0,5.0,6.0,6.0,3.0,2.0,3.0,2.0,3.0,2.0,3.0,5.0
9394778.0,6.0,6.0,3.0,2.0,7.0,7.0,6.0,7.0,7.0,7.0,7.0,6.0
9394787.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0
9394799.0,4.0,6.0,5.0,4.0,4.0,4.0,5.0,4.0,4.0,3.0,5.0,6.0
9394801.0,3.0,3.0,4.0,4.0,4.0,4.0,4.0,3.0,4.0,4.0,5.0,4.0
9394804.0,6.0,3.0,5.0,5.0,2.0,3.0,7.0,2.0,2.0,2.0,2.0,5.0
9394806.0,4.0,4.0,3.0,3.0,5.0,5.0,4.0,5.0,5.0,3.0,5.0,5.0
9394818.0,1.0,4.0,4.0,3.0,1.0,1.0,3.0,1.0,1.0,4.0,4.0,4.0
9394846.0,3.0,5.0,3.0,2.0,3.0,2.0,4.0,3.0,3.0,2.0,7.0,5.0
9394852.0,2.0,3.0,4.0,2.0,5.0,3.0,5.0,2.0,4.0,2.0,5.0,4.0
9394866.0,5.0,4.0,3.0,2.0,5.0,5.0,5.0,5.0,5.0,4.0,6.0,4.0
9394925.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0
9394949.0,6.0,2.0,5.0,2.0,5.0,5.0,3.0,1.0,5.0,3.0,7.0,3.0
9394956.0,3.0,5.0,5.0,5.0,5.0,4.0,3.0,5.0,5.0,5.0,5.0,3.0
9394979.0,5.0,4.0,5.0,4.0,4.0,4.0,5.0,4.0,4.0,4.0,4.0,4.0
9395046.0,3.0,6.0,4.0,3.0,3.0,3.0,5.0,3.0,3.0,2.0,3.0,6.0
9395094.0,3.0,5.0,5.0,7.0,3.0,3.0,4.0,3.0,5.0,2.0,4.0,3.0
9395098.0,4.0,4.0,4.0,4.0,5.0,4.0,5.0,4.0,5.0,4.0,5.0,4.0
9395151.0,4.0,3.0,2.0,1.0,4.0,5.0,4.0,3.0,5.0,3.0,7.0,3.0
9395179.0,2.0,6.0,6.0,4.0,2.0,2.0,3.0,2.0,2.0,2.0,2.0,5.0
9395221.0,5.0,4.0,3.0,2.0,5.0,5.0,4.0,4.0,5.0,4.0,6.0,5.0
9395236.0,5.0,5.0,5.0,4.0,7.0,6.0,5.0,3.0,7.0,2.0,7.0,5.0
9395261.0,3.0,5.0,4.0,3.0,3.0,3.0,4.0,3.0,4.0,3.0,5.0,5.0
9395281.0,5.0,4.0,5.0,3.0,3.0,3.0,5.0,3.0,3.0,4.0,3.0,5.0
9395284.0,5.0,6.0,4.0,1.0,4.0,4.0,5.0,4.0,5.0,1.0,1.0,6.0
9395347.0,2.0,5.0,5.0,2.0,5.0,2.0,5.0,3.0,5.0,2.0,6.0,6.0
9395401.0,6.0,5.0,2.0,1.0,3.0,5.0,7.0,2.0,2.0,3.0,5.0,5.0
9395451.0,5.0,5.0,5.0,3.0,3.0,3.0,4.0,3.0,3.0,2.0,3.0,5.0
9395455.0,3.0,6.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,2.0,3.0,6.0
9395458.0,1.0,3.0,3.0,2.0,5.0,6.0,2.0,5.0,6.0,3.0,7.0,3.0
