Event Index,UTC Timestamp,UTC Date and Time,Local Timestamp,Local Timezone,Local Date and Time,Experiment ID,Experiment Version,Tree Node Key,Repeat Key,Schedule ID,Participant Public ID,Participant Private ID,Participant Starting Group,Participant Status,Participant Completion Code,Participant External Session ID,Participant Device Type,Participant Device,Participant OS,Participant Browser,Participant Monitor Size,Participant Viewport Size,Checkpoint,Room ID,Room Order,Task Name,Task Version,branch-jqbz,randomiser-745l,randomiser-hhua,Spreadsheet,Trial Number,Display,Screen,Screen ID,Screen Counter,Response Type,Response,Onset Time,Clock Time,Reaction Time,Absolute Onset Time,Absolute Clock Time,Absolute Reaction Time,Correct,Response Onset,Response Duration,Proportion,Tag,Component Name,Object Name,Object Number,Object ID,Spreadsheet: display,Spreadsheet: Adventurer1,Spreadsheet: Adventurer2,Spreadsheet: Scenario,Spreadsheet: EncounterIntro,Spreadsheet: PlayerAction,Spreadsheet: RewardFeedback,Spreadsheet: NeutralFeedback,Spreadsheet: PunishFeedback,Spreadsheet: scenDelay,Spreadsheet: Name,Spreadsheet: Group,Spreadsheet: Adv,Spreadsheet: Type,Manipulation: Spreadsheet,Store: pName,Store: participant,Store: respReward,Store: respNeutral,Store: respPunish,Store: decPunish,Store: outcome,Store: RewTally,Store: PunTally
1,1695265331912,21/09/2023 03:02:11,1695243731912,-6,20/09/2023 15:02:11,139457,3,task-c6pi,,31770052,BLIND,9395455,,complete,,3e709d57-06e4-4c6b-be5e-aaeb3aeff487,computer,Desktop or Laptop,Windows 10,Chrome 117.0.0.0,1067x600,1067x465,,,0,ImplicitDecisionAdventureTask_2Opts,8,FemaleBranch,Female_InIn,,ChineseFemale_InGrp,,,,,,5,BEGIN,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,1695265348507,21/09/2023 03:02:28,1695243748507,-6,20/09/2023 15:02:28,139457,3,task-c6pi,,31770052,BLIND,9395455,,complete,,3e709d57-06e4-4c6b-be5e-aaeb3aeff487,computer,Desktop or Laptop,Windows 10,Chrome 117.0.0.0,1067x600,2134x930,,,0,ImplicitDecisionAdventureTask_2Opts,8,FemaleBranch,Female_InIn,,ChineseFemale_InGrp,1,Instructions,Instructions,cdub9g,1,timedOut,,16003.647000001489,16000.071,16003.647000001489,16003.647000001489,16000.071,16003.647000001489,1,16003.647000001489,0,0,,Time Limit,screen,0,screen,Instructions,,,,,,,,,,,,,,,,,,,,,,,
3,1695265367715,21/09/2023 03:02:47,1695243767715,-6,20/09/2023 15:02:47,139457,3,task-c6pi,,31770052,BLIND,9395455,,complete,,3e709d57-06e4-4c6b-be5e-aaeb3aeff487,computer,Desktop or Laptop,Windows 10,Chrome 117.0.0.0,1067x600,2134x930,,,0,ImplicitDecisionAdventureTask_2Opts,8,FemaleBranch,Female_InIn,,ChineseFemale_InGrp,1,Instructions,Name,nn5ntg,2,response,Pat,15780.151999999998,19200.115,19211.37599999851,15780.151999999998,19200.115,19211.37599999851,1,15780.151999999998,3431.2239999985104,0,pName,Single Text Entry,ParticipantName,2,object-22,Instructions,,,,,,,,,,,,,,,,Pat,,,,,,,
4,1695265369704,21/09/2023 03:02:49,1695243769704,-6,20/09/2023 15:02:49,139457,3,task-c6pi,,31770052,BLIND,9395455,,complete,,3e709d57-06e4-4c6b-be5e-aaeb3aeff487,computer,Desktop or Laptop,Windows 10,Chrome 117.0.0.0,1067x600,2134x930,,,0,ImplicitDecisionAdventureTask_2Opts,8,FemaleBranch,Female_InIn,,ChineseFemale_InGrp,1,Instructions,Delay,7riscs,3,timedOut,,2000.9610000014873,2000.077999999994,2000.9610000014873,2000.9610000014873,2000.077999999994,2000.9610000014873,1,2000.9610000014873,0,0,,Time Limit,screen,0,screen,Instructions,,,,,,,,,,,,,,,,Pat,,,,,,,
5,1695265384705,21/09/2023 03:03:04,1695243784705,-6,20/09/2023 15:03:04,139457,3,task-c6pi,,31770052,BLIND,9395455,,complete,,3e709d57-06e4-4c6b-be5e-aaeb3aeff487,computer,Desktop or Laptop,Windows 10,Chrome 117.0.0.0,1067x600,2134x930,,,0,ImplicitDecisionAdventureTask_2Opts,8,FemaleBranch,Female_InIn,,ChineseFemale_InGrp,1,LoadingScreen,LoadScreen,95pybm,1,timedOut,,15001.982999999258,15000.044000000002,15001.982999999258,15001.982999999258,15000.044000000002,15001.982999999258,1,15001.982999999258,0,0,,Time Limit,screen,0,screen,LoadingScreen,Yuxi,Xinyi,,,,,,,,,,,,,,Pat,,,,,,,
6,1695265387044,21/09/2023 03:03:07,1695243787044,-6,20/09/2023 15:03:07,139457,3,task-c6pi,,31770052,BLIND,9395455,,complete,,3e709d57-06e4-4c6b-be5e-aaeb3aeff487,computer,Desktop or Laptop,Windows 10,Chrome 117.0.0.0,1067x600,2134x930,,,0,ImplicitDecisionAdventureTask_2Opts,8,FemaleBranch,Female_InIn,,ChineseFemale_InGrp,1,LoadingScreen,LoadingComplete,zy7h74,2,continue,,2341.7390000000014,2339.953999999998,2341.7390000000014,2341.7390000000014,2339.953999999998,2341.7390000000014,1,2341.7390000000014,0,0,,Click To Continue,Continue Button,2,object-59,LoadingScreen,Yuxi,Xinyi,,,,,,,,,,,,,,Pat,,,,,,,
7,1695265399044,21/09/2023 03:03:19,1695243799044,-6,20/09/2023 15:03:19,139457,3,task-c6pi,,31770052,BLIND,9395455,,complete,,3e709d57-06e4-4c6b-be5e-aaeb3aeff487,computer,Desktop or Laptop,Windows 10,Chrome 117.0.0.0,1067x600,2134x930,,,0,ImplicitDecisionAdventureTask_2Opts,8,FemaleBranch,Female_InIn,,ChineseFemale_InGrp,1,ScenarioIntro,ScenarioIntro,ghavr7,1,timedOut,,12001.885000001494,12000.050000000003,12001.885000001494,12001.885000001494,12000.050000000003,12001.885000001494,1,12001.885000001494,0,0,,Time Limit,screen,0,screen,ScenarioIntro,,,<em>Two traveling adventurers decide to enter a local tournament at a colosseum. The Gauntlet of Trials is a renowned and immensely challenging set of enemies and puzzles. The duo will need to rely on their strength and intelligence to make it through unharmed. Each adventurer will be rewarded proportional to performance.,,,,,,,,,,,,,Pat,,,,,,,
8,1695265404838,21/09/2023 03:03:24,1695243804838,-6,20/09/2023 15:03:24,139457,3,task-c6pi,,31770052,BLIND,9395455,,complete,,3e709d57-06e4-4c6b-be5e-aaeb3aeff487,computer,Desktop or Laptop,Windows 10,Chrome 117.0.0.0,1067x600,2134x930,,,0,ImplicitDecisionAdventureTask_2Opts,8,FemaleBranch,Female_InIn,,ChineseFemale_InGrp,1,Trial/Encounter,EncounterIntro,wtupv3,1,continue,,5795.335000001491,5780.0669999999955,5795.335000001491,5795.335000001491,5780.0669999999955,5795.335000001491,1,5795.335000001491,0,0,,Click To Continue,Continue Button,2,object-65,Trial/Encounter,,,,"<em>A gate opens in front of the duo, and a menacing mechanical golem with a crossbow becomes activated.",<em><b>Xinyi</b> lunges forward attempting to force her blade through the protective plate.,<em><b>Xinyi’s</b> sword pierces the plate and destroys the construct before it is able to shoot. She is able to proceed uninjured.,,<em><b>Xinyi’s</b> sword grazes the exterior plate. She is shot by the crossbow and is dealt damage.,6687,Xinyi,In,2,STR,,,Pat,,,,,,,
9,1695265411723,21/09/2023 03:03:31,1695243811723,-6,20/09/2023 15:03:31,139457,3,task-c6pi,,31770052,BLIND,9395455,,complete,,3e709d57-06e4-4c6b-be5e-aaeb3aeff487,computer,Desktop or Laptop,Windows 10,Chrome 117.0.0.0,1067x600,2134x930,,,0,ImplicitDecisionAdventureTask_2Opts,8,FemaleBranch,Female_InIn,,ChineseFemale_InGrp,1,Trial/Encounter,Delay,4wo1q4,2,timedOut,,6680.588999998508,6680.076000000001,6680.588999998508,6680.588999998508,6680.076000000001,6680.588999998508,1,6680.588999998508,0,0,,Time Limit,screen,0,screen,Trial/Encounter,,,,"<em>A gate opens in front of the duo, and a menacing mechanical golem with a crossbow becomes activated.",<em><b>Xinyi</b> lunges forward attempting to force her blade through the protective plate.,<em><b>Xinyi’s</b> sword pierces the plate and destroys the construct before it is able to shoot. She is able to proceed uninjured.,,<em><b>Xinyi’s</b> sword grazes the exterior plate. She is shot by the crossbow and is dealt damage.,6687,Xinyi,In,2,STR,,,Pat,,,,,,,
10,1695265445693,21/09/2023 03:04:05,1695243845693,-6,20/09/2023 15:04:05,139457,3,task-c6pi,,31770052,BLIND,9395455,,complete,,3e709d57-06e4-4c6b-be5e-aaeb3aeff487,computer,Desktop or Laptop,Windows 10,Chrome 117.0.0.0,1067x600,2134x930,,,0,ImplicitDecisionAdventureTask_2Opts,8,FemaleBranch,Female_InIn,,ChineseFemale_InGrp,1,Trial/Encounter,PlayerAction,ga3y5r,3,response,Punish,33968.51299999851,33960.026,33968.51299999851,33968.51299999851,33960.026,33968.51299999851,1,33968.51299999851,0,0,decision,Click Response,PunishButton,3,object-69,Trial/Encounter,,,,"<em>A gate opens in front of the duo, and a menacing mechanical golem with a crossbow becomes activated.",<em><b>Xinyi</b> lunges forward attempting to force her blade through the protective plate.,<em><b>Xinyi’s</b> sword pierces the plate and destroys the construct before it is able to shoot. She is able to proceed uninjured.,,<em><b>Xinyi’s</b> sword grazes the exterior plate. She is shot by the crossbow and is dealt damage.,6687,Xinyi,In,2,STR,,,Pat,,,,,Punish,,1
