Event Index,UTC Timestamp,UTC Date and Time,Local Timestamp,Local Timezone,Local Date and Time,Experiment ID,Experiment Version,Tree Node Key,Repeat Key,Schedule ID,Participant Public ID,Participant Private ID,Participant Starting Group,Participant Status,Participant Completion Code,Participant External Session ID,Participant Device Type,Participant Device,Participant OS,Participant Browser,Participant Monitor Size,Participant Viewport Size,Checkpoint,Room ID,Room Order,Task Name,Task Version,branch-jqbz,randomiser-745l,randomiser-hhua,Spreadsheet,Trial Number,Display,Screen,Screen ID,Screen Counter,Response Type,Response,Onset Time,Clock Time,Reaction Time,Absolute Onset Time,Absolute Clock Time,Absolute Reaction Time,Correct,Response Onset,Response Duration,Proportion,Tag,Component Name,Object Name,Object Number,Object ID,Spreadsheet: display,Spreadsheet: Adventurer1,Spreadsheet: Adventurer2,Spreadsheet: Scenario,Spreadsheet: EncounterIntro,Spreadsheet: PlayerAction,Spreadsheet: RewardFeedback,Spreadsheet: NeutralFeedback,Spreadsheet: PunishFeedback,Spreadsheet: scenDelay,Spreadsheet: Name,Spreadsheet: Group,Spreadsheet: Adv,Spreadsheet: Type,Manipulation: Spreadsheet,Store: pName,Store: participant,Store: respReward,Store: respNeutral,Store: respPunish,Store: decPunish,Store: outcome,Store: RewTally,Store: PunTally
1,1695250667499,20/09/2023 22:57:47,1695236267499,-4,20/09/2023 14:57:47,139457,3,task-xusd,,31768681,BLIND,9395098,,complete,,a849779c-e4c3-4c7d-8c77-dee7977331f9,computer,Desktop or Laptop,Windows 10,Chrome 116.0.0.0,1536x864,1536x747,,,0,ImplicitDecisionAdventureTask_2Opts,8,FemaleBranch,Female_InIn_Swap,,ChineseFemale_InGrp_Swap,,,,,,5,BEGIN,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,1695250683902,20/09/2023 22:58:03,1695236283902,-4,20/09/2023 14:58:03,139457,3,task-xusd,,31768681,BLIND,9395098,,complete,,a849779c-e4c3-4c7d-8c77-dee7977331f9,computer,Desktop or Laptop,Windows 10,Chrome 116.0.0.0,1536x864,1707x830,,,0,ImplicitDecisionAdventureTask_2Opts,8,FemaleBranch,Female_InIn_Swap,,ChineseFemale_InGrp_Swap,1,Instructions,Instructions,cdub9g,1,timedOut,,16008.871,16007.847999999998,16008.871,16008.871,16007.847999999998,16008.871,1,16008.871,0,0,,Time Limit,screen,0,screen,Instructions,,,,,,,,,,,,,,,,,,,,,,,
3,1695250690177,20/09/2023 22:58:10,1695236290177,-4,20/09/2023 14:58:10,139457,3,task-xusd,,31768681,BLIND,9395098,,complete,,a849779c-e4c3-4c7d-8c77-dee7977331f9,computer,Desktop or Laptop,Windows 10,Chrome 116.0.0.0,1536x864,1707x830,,,0,ImplicitDecisionAdventureTask_2Opts,8,FemaleBranch,Female_InIn_Swap,,ChineseFemale_InGrp_Swap,1,Instructions,Name,nn5ntg,2,response,J,4247.580000000002,6263.126,6275.523000000001,4247.580000000002,6263.126,6275.523000000001,1,4247.580000000002,2027.9429999999993,0,pName,Single Text Entry,ParticipantName,2,object-22,Instructions,,,,,,,,,,,,,,,,J,,,,,,,
4,1695250692163,20/09/2023 22:58:12,1695236292163,-4,20/09/2023 14:58:12,139457,3,task-xusd,,31768681,BLIND,9395098,,complete,,a849779c-e4c3-4c7d-8c77-dee7977331f9,computer,Desktop or Laptop,Windows 10,Chrome 116.0.0.0,1536x864,1707x830,,,0,ImplicitDecisionAdventureTask_2Opts,8,FemaleBranch,Female_InIn_Swap,,ChineseFemale_InGrp_Swap,1,Instructions,Delay,7riscs,3,timedOut,,1999.5969999999543,1998.9599999999991,1999.5969999999543,1999.5969999999543,1998.9599999999991,1999.5969999999543,1,1999.5969999999543,0,0,,Time Limit,screen,0,screen,Instructions,,,,,,,,,,,,,,,,J,,,,,,,
5,1695250707156,20/09/2023 22:58:27,1695236307156,-4,20/09/2023 14:58:27,139457,3,task-xusd,,31768681,BLIND,9395098,,complete,,a849779c-e4c3-4c7d-8c77-dee7977331f9,computer,Desktop or Laptop,Windows 10,Chrome 116.0.0.0,1536x864,1707x830,,,0,ImplicitDecisionAdventureTask_2Opts,8,FemaleBranch,Female_InIn_Swap,,ChineseFemale_InGrp_Swap,1,LoadingScreen,LoadScreen,95pybm,1,timedOut,,14992.536999999862,14991.685000000001,14992.536999999862,14992.536999999862,14991.685000000001,14992.536999999862,1,14992.536999999862,0,0,,Time Limit,screen,0,screen,LoadingScreen,Yuxi,Xinyi,,,,,,,,,,,,,,J,,,,,,,
6,1695250708991,20/09/2023 22:58:28,1695236308991,-4,20/09/2023 14:58:28,139457,3,task-xusd,,31768681,BLIND,9395098,,complete,,a849779c-e4c3-4c7d-8c77-dee7977331f9,computer,Desktop or Laptop,Windows 10,Chrome 116.0.0.0,1536x864,1707x830,,,0,ImplicitDecisionAdventureTask_2Opts,8,FemaleBranch,Female_InIn_Swap,,ChineseFemale_InGrp_Swap,1,LoadingScreen,LoadingComplete,zy7h74,2,continue,,1835.9519999999538,1832.3210000000036,1835.9519999999538,1835.9519999999538,1832.3210000000036,1835.9519999999538,1,1835.9519999999538,0,0,,Click To Continue,Continue Button,2,object-59,LoadingScreen,Yuxi,Xinyi,,,,,,,,,,,,,,J,,,,,,,
7,1695250720981,20/09/2023 22:58:40,1695236320981,-4,20/09/2023 14:58:40,139457,3,task-xusd,,31768681,BLIND,9395098,,complete,,a849779c-e4c3-4c7d-8c77-dee7977331f9,computer,Desktop or Laptop,Windows 10,Chrome 116.0.0.0,1536x864,1707x830,,,0,ImplicitDecisionAdventureTask_2Opts,8,FemaleBranch,Female_InIn_Swap,,ChineseFemale_InGrp_Swap,1,ScenarioIntro,ScenarioIntro,ghavr7,1,timedOut,,11993.930999999997,11993.440999999999,11993.930999999997,11993.930999999997,11993.440999999999,11993.930999999997,1,11993.930999999997,0,0,,Time Limit,screen,0,screen,ScenarioIntro,,,<em>Two traveling adventurers decide to enter a local tournament at a colosseum. The Gauntlet of Trials is a renowned and immensely challenging set of enemies and puzzles. The duo will need to rely on their strength and intelligence to make it through unharmed. Each adventurer will be rewarded proportional to performance.,,,,,,,,,,,,,J,,,,,,,
8,1695250726978,20/09/2023 22:58:46,1695236326978,-4,20/09/2023 14:58:46,139457,3,task-xusd,,31768681,BLIND,9395098,,complete,,a849779c-e4c3-4c7d-8c77-dee7977331f9,computer,Desktop or Laptop,Windows 10,Chrome 116.0.0.0,1536x864,1707x830,,,0,ImplicitDecisionAdventureTask_2Opts,8,FemaleBranch,Female_InIn_Swap,,ChineseFemale_InGrp_Swap,1,Trial/Encounter,EncounterIntro,wtupv3,1,timedOut,,5997.589999999858,5996.701000000001,5997.589999999858,5997.589999999858,5996.701000000001,5997.589999999858,1,5997.589999999858,0,0,,Time Limit,screen,0,screen,Trial/Encounter,,,,"<em>A gate opens in front of the duo, and a menacing mechanical golem with a crossbow becomes activated.",<em><b>Yuxi</b> lunges forward attempting to force her blade through the protective plate.,<em><b>Yuxi’s</b> sword pierces the plate and destroys the construct before it is able to shoot. She is able to proceed uninjured.,,<em><b>Yuxi’s</b> sword grazes the exterior plate. She is shot by the crossbow and is dealt damage.,6687,Yuxi,In,1,STR,,,J,,,,,,,
9,1695250733658,20/09/2023 22:58:53,1695236333658,-4,20/09/2023 14:58:53,139457,3,task-xusd,,31768681,BLIND,9395098,,complete,,a849779c-e4c3-4c7d-8c77-dee7977331f9,computer,Desktop or Laptop,Windows 10,Chrome 116.0.0.0,1536x864,1707x830,,,0,ImplicitDecisionAdventureTask_2Opts,8,FemaleBranch,Female_InIn_Swap,,ChineseFemale_InGrp_Swap,1,Trial/Encounter,Delay,4wo1q4,2,timedOut,,6681.088999999811,6680.276999999995,6681.088999999811,6681.088999999811,6680.276999999995,6681.088999999811,1,6681.088999999811,0,0,,Time Limit,screen,0,screen,Trial/Encounter,,,,"<em>A gate opens in front of the duo, and a menacing mechanical golem with a crossbow becomes activated.",<em><b>Yuxi</b> lunges forward attempting to force her blade through the protective plate.,<em><b>Yuxi’s</b> sword pierces the plate and destroys the construct before it is able to shoot. She is able to proceed uninjured.,,<em><b>Yuxi’s</b> sword grazes the exterior plate. She is shot by the crossbow and is dealt damage.,6687,Yuxi,In,1,STR,,,J,,,,,,,
10,1695250760606,20/09/2023 22:59:20,1695236360606,-4,20/09/2023 14:59:20,139457,3,task-xusd,,31768681,BLIND,9395098,,complete,,a849779c-e4c3-4c7d-8c77-dee7977331f9,computer,Desktop or Laptop,Windows 10,Chrome 116.0.0.0,1536x864,1707x830,,,0,ImplicitDecisionAdventureTask_2Opts,8,FemaleBranch,Female_InIn_Swap,,ChineseFemale_InGrp_Swap,1,Trial/Encounter,PlayerAction,ga3y5r,3,response,Reward,26945.41199999991,26930.073000000004,26945.41199999991,26945.41199999991,26930.073000000004,26945.41199999991,1,26945.41199999991,0,0,decision,Click Response,RewardButton,2,object-70,Trial/Encounter,,,,"<em>A gate opens in front of the duo, and a menacing mechanical golem with a crossbow becomes activated.",<em><b>Yuxi</b> lunges forward attempting to force her blade through the protective plate.,<em><b>Yuxi’s</b> sword pierces the plate and destroys the construct before it is able to shoot. She is able to proceed uninjured.,,<em><b>Yuxi’s</b> sword grazes the exterior plate. She is shot by the crossbow and is dealt damage.,6687,Yuxi,In,1,STR,,,J,,,,,Reward,1,
