Event Index,UTC Timestamp,UTC Date and Time,Local Timestamp,Local Timezone,Local Date and Time,Experiment ID,Experiment Version,Tree Node Key,Repeat Key,Schedule ID,Participant Public ID,Participant Private ID,Participant Starting Group,Participant Status,Participant Completion Code,Participant External Session ID,Participant Device Type,Participant Device,Participant OS,Participant Browser,Participant Monitor Size,Participant Viewport Size,Checkpoint,Room ID,Room Order,Task Name,Task Version,branch-jqbz,randomiser-745l,randomiser-hhua,Spreadsheet,Trial Number,Display,Screen,Screen ID,Screen Counter,Response Type,Response,Onset Time,Clock Time,Reaction Time,Absolute Onset Time,Absolute Clock Time,Absolute Reaction Time,Correct,Response Onset,Response Duration,Proportion,Tag,Component Name,Object Name,Object Number,Object ID,Spreadsheet: display,Spreadsheet: Adventurer1,Spreadsheet: Adventurer2,Spreadsheet: Scenario,Spreadsheet: EncounterIntro,Spreadsheet: PlayerAction,Spreadsheet: RewardFeedback,Spreadsheet: NeutralFeedback,Spreadsheet: PunishFeedback,Spreadsheet: scenDelay,Spreadsheet: Name,Spreadsheet: Group,Spreadsheet: Adv,Spreadsheet: Type,Manipulation: Spreadsheet,Store: pName,Store: participant,Store: respReward,Store: respNeutral,Store: respPunish,Store: decPunish,Store: outcome,Store: RewTally,Store: PunTally
1,1695256195268,21/09/2023 00:29:55,1695241795268,-4,20/09/2023 16:29:55,139457,3,task-7uof,,31769811,BLIND,9395401,,complete,,7688d789-e174-42ec-a390-0acb43662c4a,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 117.0.0.0,1445x832,1440x825,,,0,ImplicitDecisionAdventureTask_2Opts,8,FemaleBranch,Female_InOut,,ChineseFemale_OutGrp,,,,,,5,BEGIN,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,1695256211374,21/09/2023 00:30:11,1695241811374,-4,20/09/2023 16:30:11,139457,3,task-7uof,,31769811,BLIND,9395401,,complete,,7688d789-e174-42ec-a390-0acb43662c4a,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 117.0.0.0,1445x832,1440x825,,,0,ImplicitDecisionAdventureTask_2Opts,8,FemaleBranch,Female_InOut,,ChineseFemale_OutGrp,1,Instructions,Instructions,cdub9g,1,timedOut,,16012,16001,16012,16012,16001,16012,1,16012,0,0,,Time Limit,screen,0,screen,Instructions,,,,,,,,,,,,,,,,,,,,,,,
3,1695256222656,21/09/2023 00:30:22,1695241822656,-4,20/09/2023 16:30:22,139457,3,task-7uof,,31769811,BLIND,9395401,,complete,,7688d789-e174-42ec-a390-0acb43662c4a,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 117.0.0.0,1445x832,1440x825,,,0,ImplicitDecisionAdventureTask_2Opts,8,FemaleBranch,Female_InOut,,ChineseFemale_OutGrp,1,Instructions,Name,nn5ntg,2,response,connie,4900,11268,11285,4900,11268,11285,1,4900,6385,0,pName,Single Text Entry,ParticipantName,2,object-22,Instructions,,,,,,,,,,,,,,,,connie,,,,,,,
4,1695256224635,21/09/2023 00:30:24,1695241824635,-4,20/09/2023 16:30:24,139457,3,task-7uof,,31769811,BLIND,9395401,,complete,,7688d789-e174-42ec-a390-0acb43662c4a,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 117.0.0.0,1445x832,1440x825,,,0,ImplicitDecisionAdventureTask_2Opts,8,FemaleBranch,Female_InOut,,ChineseFemale_OutGrp,1,Instructions,Delay,7riscs,3,timedOut,,2005,2000,2005,2005,2000,2005,1,2005,0,0,,Time Limit,screen,0,screen,Instructions,,,,,,,,,,,,,,,,connie,,,,,,,
5,1695256239635,21/09/2023 00:30:39,1695241839635,-4,20/09/2023 16:30:39,139457,3,task-7uof,,31769811,BLIND,9395401,,complete,,7688d789-e174-42ec-a390-0acb43662c4a,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 117.0.0.0,1445x832,1440x825,,,0,ImplicitDecisionAdventureTask_2Opts,8,FemaleBranch,Female_InOut,,ChineseFemale_OutGrp,1,LoadingScreen,LoadScreen,95pybm,1,timedOut,,15004,15000,15004,15004,15000,15004,1,15004,0,0,,Time Limit,screen,0,screen,LoadingScreen,Yuxi,Emma,,,,,,,,,,,,,,connie,,,,,,,
6,1695256241679,21/09/2023 00:30:41,1695241841679,-4,20/09/2023 16:30:41,139457,3,task-7uof,,31769811,BLIND,9395401,,complete,,7688d789-e174-42ec-a390-0acb43662c4a,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 117.0.0.0,1445x832,1440x825,,,0,ImplicitDecisionAdventureTask_2Opts,8,FemaleBranch,Female_InOut,,ChineseFemale_OutGrp,1,LoadingScreen,LoadingComplete,zy7h74,2,continue,,2048,2034,2048,2048,2034,2048,1,2048,0,0,,Click To Continue,Continue Button,2,object-59,LoadingScreen,Yuxi,Emma,,,,,,,,,,,,,,connie,,,,,,,
7,1695256253669,21/09/2023 00:30:53,1695241853669,-4,20/09/2023 16:30:53,139457,3,task-7uof,,31769811,BLIND,9395401,,complete,,7688d789-e174-42ec-a390-0acb43662c4a,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 117.0.0.0,1445x832,1440x825,,,0,ImplicitDecisionAdventureTask_2Opts,8,FemaleBranch,Female_InOut,,ChineseFemale_OutGrp,1,ScenarioIntro,ScenarioIntro,ghavr7,1,timedOut,,12003,12001,12003,12003,12001,12003,1,12003,0,0,,Time Limit,screen,0,screen,ScenarioIntro,,,<em>Two traveling adventurers decide to enter a local tournament at a colosseum. The Gauntlet of Trials is a renowned and immensely challenging set of enemies and puzzles. The duo will need to rely on their strength and intelligence to make it through unharmed. Each adventurer will be rewarded proportional to performance.,,,,,,,,,,,,,connie,,,,,,,
8,1695256259672,21/09/2023 00:30:59,1695241859672,-4,20/09/2023 16:30:59,139457,3,task-7uof,,31769811,BLIND,9395401,,complete,,7688d789-e174-42ec-a390-0acb43662c4a,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 117.0.0.0,1445x832,1440x825,,,0,ImplicitDecisionAdventureTask_2Opts,8,FemaleBranch,Female_InOut,,ChineseFemale_OutGrp,1,Trial/Encounter,EncounterIntro,wtupv3,1,timedOut,,6004,6000,6004,6004,6000,6004,1,6004,0,0,,Time Limit,screen,0,screen,Trial/Encounter,,,,"<em>A gate opens in front of the duo, and a menacing mechanical golem with a crossbow becomes activated.",<em><b>Emma</b> lunges forward attempting to force her blade through the protective plate.,<em><b>Emma’s</b> sword pierces the plate and destroys the construct before it is able to shoot. She is able to proceed uninjured.,,<em><b>Emma’s</b> sword grazes the exterior plate. She is shot by the crossbow and is dealt damage.,6687,Emma,Out,2,STR,,,connie,,,,,,,
9,1695256266352,21/09/2023 00:31:06,1695241866352,-4,20/09/2023 16:31:06,139457,3,task-7uof,,31769811,BLIND,9395401,,complete,,7688d789-e174-42ec-a390-0acb43662c4a,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 117.0.0.0,1445x832,1440x825,,,0,ImplicitDecisionAdventureTask_2Opts,8,FemaleBranch,Female_InOut,,ChineseFemale_OutGrp,1,Trial/Encounter,Delay,4wo1q4,2,timedOut,,6685,6684,6685,6685,6684,6685,1,6685,0,0,,Time Limit,screen,0,screen,Trial/Encounter,,,,"<em>A gate opens in front of the duo, and a menacing mechanical golem with a crossbow becomes activated.",<em><b>Emma</b> lunges forward attempting to force her blade through the protective plate.,<em><b>Emma’s</b> sword pierces the plate and destroys the construct before it is able to shoot. She is able to proceed uninjured.,,<em><b>Emma’s</b> sword grazes the exterior plate. She is shot by the crossbow and is dealt damage.,6687,Emma,Out,2,STR,,,connie,,,,,,,
10,1695256283225,21/09/2023 00:31:23,1695241883225,-4,20/09/2023 16:31:23,139457,3,task-7uof,,31769811,BLIND,9395401,,complete,,7688d789-e174-42ec-a390-0acb43662c4a,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 117.0.0.0,1445x832,1440x825,,,0,ImplicitDecisionAdventureTask_2Opts,8,FemaleBranch,Female_InOut,,ChineseFemale_OutGrp,1,Trial/Encounter,PlayerAction,ga3y5r,3,response,Reward,16867,16851,16867,16867,16851,16867,1,16867,0,0,decision,Click Response,RewardButton,2,object-70,Trial/Encounter,,,,"<em>A gate opens in front of the duo, and a menacing mechanical golem with a crossbow becomes activated.",<em><b>Emma</b> lunges forward attempting to force her blade through the protective plate.,<em><b>Emma’s</b> sword pierces the plate and destroys the construct before it is able to shoot. She is able to proceed uninjured.,,<em><b>Emma’s</b> sword grazes the exterior plate. She is shot by the crossbow and is dealt damage.,6687,Emma,Out,2,STR,,,connie,,,,,Reward,1,
11,1695256288667,21/09/2023 00:31:28,1695241888667,-4,20/09/2023 16:31:28,139457,3,task-7uof,,31769811,BLIND,9395401,,complete,,7688d789-e174-42ec-a390-0acb43662c4a,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 117.0.0.0,1445x832,1440x825,,,0,ImplicitDecisionAdventureTask_2Opts,8,FemaleBranch,Female_InOut,,ChineseFemale_OutGrp,1,Trial/Encounter,Reward,56azq1,4,continue,,5464,5450,5464,5464,5450,5464,1,5464,0,0,,Click To Continue,Continue Button,2,object-73,Trial/Encounter,,,,"<em>A gate opens in front of the duo, and a menacing mechanical golem with a crossbow becomes activated.",<em><b>Emma</b> lunges forward attempting to force her blade through the protective plate.,<em><b>Emma’s</b> sword pierces the plate and destroys the construct before it is able to shoot. She is able to proceed uninjured.,,<em><b>Emma’s</b> sword grazes the exterior plate. She is shot by the crossbow and is dealt damage.,6687,Emma,Out,2,STR,,,connie,,,,,Reward,1,
12,1695256293208,21/09/2023 00:31:33,1695241893208,-4,20/09/2023 16:31:33,139457,3,task-7uof,,31769811,BLIND,9395401,,complete,,7688d789-e174-42ec-a390-0acb43662c4a,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 117.0.0.0,1445x832,1440x825,,,0,ImplicitDecisionAdventureTask_2Opts,8,FemaleBranch,Female_InOut,,ChineseFemale_OutGrp,1,Trial/Encounter,trialEnd,olwm64,5,timedOut,,3005,3001,3005,3005,3001,3005,1,3005,0,0,,Time Limit,screen,0,screen,Trial/Encounter,,,,"<em>A gate opens in front of the duo, and a menacing mechanical golem with a crossbow becomes activated.",<em><b>Emma</b> lunges forward attempting to force her blade through the protective plate.,<em><b>Emma’s</b> sword pierces the plate and destroys the construct before it is able to shoot. She is able to proceed uninjured.,,<em><b>Emma’s</b> sword grazes the exterior plate. She is shot by the crossbow and is dealt damage.,6687,Emma,Out,2,STR,,,connie,,,,,Reward,1,
13,1695256299205,21/09/2023 00:31:39,1695241899205,-4,20/09/2023 16:31:39,139457,3,task-7uof,,31769811,BLIND,9395401,,complete,,7688d789-e174-42ec-a390-0acb43662c4a,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 117.0.0.0,1445x832,1440x825,,,0,ImplicitDecisionAdventureTask_2Opts,8,FemaleBranch,Female_InOut,,ChineseFemale_OutGrp,2,Trial/Encounter,EncounterIntro,wtupv3,1,timedOut,,6002,6000,6002,6002,6000,6002,1,6002,0,0,,Time Limit,screen,0,screen,Trial/Encounter,,,,"<em>The path is blocked by a deep puddle of dirty sludge, there is a rope on the other side of the puddle. The adventures would need to not hesitate to make it across to avoid getting stuck. ",<em><b>Yuxi</b> swims across the puddle to throw the rope across.,<em><b>Yuxi</b> was able to make it across the puddle. She passes over the rope.,,<em><b>Yuxi</b> hesitates too much and manages to get stuck in the sludge. She makes it across but loses some valuables from the belt in the process.,4527.4,Yuxi,In,1,DIR,,,connie,,,,,Reward,1,
14,1695256303741,21/09/2023 00:31:43,1695241903741,-4,20/09/2023 16:31:43,139457,3,task-7uof,,31769811,BLIND,9395401,,complete,,7688d789-e174-42ec-a390-0acb43662c4a,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 117.0.0.0,1445x832,1440x825,,,0,ImplicitDecisionAdventureTask_2Opts,8,FemaleBranch,Female_InOut,,ChineseFemale_OutGrp,2,Trial/Encounter,Delay,4wo1q4,2,timedOut,,4537,4534,4537,4537,4534,4537,1,4537,0,0,,Time Limit,screen,0,screen,Trial/Encounter,,,,"<em>The path is blocked by a deep puddle of dirty sludge, there is a rope on the other side of the puddle. The adventures would need to not hesitate to make it across to avoid getting stuck. ",<em><b>Yuxi</b> swims across the puddle to throw the rope across.,<em><b>Yuxi</b> was able to make it across the puddle. She passes over the rope.,,<em><b>Yuxi</b> hesitates too much and manages to get stuck in the sludge. She makes it across but loses some valuables from the belt in the process.,4527.4,Yuxi,In,1,DIR,,,connie,,,,,Reward,1,
15,1695256319823,21/09/2023 00:31:59,1695241919823,-4,20/09/2023 16:31:59,139457,3,task-7uof,,31769811,BLIND,9395401,,complete,,7688d789-e174-42ec-a390-0acb43662c4a,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 117.0.0.0,1445x832,1440x825,,,0,ImplicitDecisionAdventureTask_2Opts,8,FemaleBranch,Female_InOut,,ChineseFemale_OutGrp,2,Trial/Encounter,PlayerAction,ga3y5r,3,response,Reward,16082,16067,16082,16082,16067,16082,1,16082,0,0,decision,Click Response,RewardButton,2,object-70,Trial/Encounter,,,,"<em>The path is blocked by a deep puddle of dirty sludge, there is a rope on the other side of the puddle. The adventures would need to not hesitate to make it across to avoid getting stuck. ",<em><b>Yuxi</b> swims across the puddle to throw the rope across.,<em><b>Yuxi</b> was able to make it across the puddle. She passes over the rope.,,<em><b>Yuxi</b> hesitates too much and manages to get stuck in the sludge. She makes it across but loses some valuables from the belt in the process.,4527.4,Yuxi,In,1,DIR,,,connie,,,,,Reward,2,
16,1695256326807,21/09/2023 00:32:06,1695241926807,-4,20/09/2023 16:32:06,139457,3,task-7uof,,31769811,BLIND,9395401,,complete,,7688d789-e174-42ec-a390-0acb43662c4a,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 117.0.0.0,1445x832,1440x825,,,0,ImplicitDecisionAdventureTask_2Opts,8,FemaleBranch,Female_InOut,,ChineseFemale_OutGrp,2,Trial/Encounter,Reward,56azq1,4,timedOut,,7002,7001,7002,7002,7001,7002,1,7002,0,0,,Time Limit,screen,0,screen,Trial/Encounter,,,,"<em>The path is blocked by a deep puddle of dirty sludge, there is a rope on the other side of the puddle. The adventures would need to not hesitate to make it across to avoid getting stuck. ",<em><b>Yuxi</b> swims across the puddle to throw the rope across.,<em><b>Yuxi</b> was able to make it across the puddle. She passes over the rope.,,<em><b>Yuxi</b> hesitates too much and manages to get stuck in the sludge. She makes it across but loses some valuables from the belt in the process.,4527.4,Yuxi,In,1,DIR,,,connie,,,,,Reward,2,
