Event Index,UTC Timestamp,UTC Date and Time,Local Timestamp,Local Timezone,Local Date and Time,Experiment ID,Experiment Version,Tree Node Key,Repeat Key,Schedule ID,Participant Public ID,Participant Private ID,Participant Starting Group,Participant Status,Participant Completion Code,Participant External Session ID,Participant Device Type,Participant Device,Participant OS,Participant Browser,Participant Monitor Size,Participant Viewport Size,Checkpoint,Room ID,Room Order,Task Name,Task Version,branch-jqbz,randomiser-745l,randomiser-hhua,Spreadsheet,Trial Number,Display,Screen,Screen ID,Screen Counter,Response Type,Response,Onset Time,Clock Time,Reaction Time,Absolute Onset Time,Absolute Clock Time,Absolute Reaction Time,Correct,Response Onset,Response Duration,Proportion,Tag,Component Name,Object Name,Object Number,Object ID,Spreadsheet: display,Spreadsheet: Adventurer1,Spreadsheet: Adventurer2,Spreadsheet: Scenario,Spreadsheet: EncounterIntro,Spreadsheet: PlayerAction,Spreadsheet: RewardFeedback,Spreadsheet: NeutralFeedback,Spreadsheet: PunishFeedback,Spreadsheet: scenDelay,Spreadsheet: Name,Spreadsheet: Group,Spreadsheet: Adv,Spreadsheet: Type,Manipulation: Spreadsheet,Store: pName,Store: participant,Store: respReward,Store: respNeutral,Store: respPunish,Store: decPunish,Store: outcome,Store: RewTally,Store: PunTally
1,1695244834769,20/09/2023 21:20:34,1695230434769,-4,20/09/2023 13:20:34,139457,3,task-il2c,,31766958,BLIND,9394769,,complete,,2e8f032c-dbf3-4486-bacf-404d321494f1,computer,Desktop or Laptop,Windows 10,Chrome 116.0.0.0,1280x720,1280x603,,,0,ImplicitDecisionAdventureTask_2Opts,8,FemaleBranch,Female_InOut_Swap,,ChineseFemale_OutGrp_Swap,,,,,,5,BEGIN,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,1695244850921,20/09/2023 21:20:50,1695230450921,-4,20/09/2023 13:20:50,139457,3,task-il2c,,31766958,BLIND,9394769,,complete,,2e8f032c-dbf3-4486-bacf-404d321494f1,computer,Desktop or Laptop,Windows 10,Chrome 116.0.0.0,1280x720,1280x603,,,0,ImplicitDecisionAdventureTask_2Opts,8,FemaleBranch,Female_InOut_Swap,,ChineseFemale_OutGrp_Swap,1,Instructions,Instructions,cdub9g,1,timedOut,,15998.979000011921,15997.122,15998.979000011921,15998.979000011921,15997.122,15998.979000011921,1,15998.979000011921,0,0,,Time Limit,screen,0,screen,Instructions,,,,,,,,,,,,,,,,,,,,,,,
3,1695244864471,20/09/2023 21:21:04,1695230464471,-4,20/09/2023 13:21:04,139457,3,task-il2c,,31766958,BLIND,9394769,,complete,,2e8f032c-dbf3-4486-bacf-404d321494f1,computer,Desktop or Laptop,Windows 10,Chrome 116.0.0.0,1280x720,1280x603,,,0,ImplicitDecisionAdventureTask_2Opts,8,FemaleBranch,Female_InOut_Swap,,ChineseFemale_OutGrp_Swap,1,Instructions,Name,nn5ntg,2,response,A,12746.865000000002,13546.672000000002,13550.857000011922,12746.865000000002,13546.672000000002,13550.857000011922,1,12746.865000000002,803.99200001192,0,pName,Single Text Entry,ParticipantName,2,object-22,Instructions,,,,,,,,,,,,,,,,A,,,,,,,
4,1695244866465,20/09/2023 21:21:06,1695230466465,-4,20/09/2023 13:21:06,139457,3,task-il2c,,31766958,BLIND,9394769,,complete,,2e8f032c-dbf3-4486-bacf-404d321494f1,computer,Desktop or Laptop,Windows 10,Chrome 116.0.0.0,1280x720,1280x603,,,0,ImplicitDecisionAdventureTask_2Opts,8,FemaleBranch,Female_InOut_Swap,,ChineseFemale_OutGrp_Swap,1,Instructions,Delay,7riscs,3,timedOut,,2000.2850000357612,1999.6419999999962,2000.2850000357612,2000.2850000357612,1999.6419999999962,2000.2850000357612,1,2000.2850000357612,0,0,,Time Limit,screen,0,screen,Instructions,,,,,,,,,,,,,,,,A,,,,,,,
5,1695244887733,20/09/2023 21:21:27,1695230487733,-4,20/09/2023 13:21:27,139457,3,task-il2c,,31766958,BLIND,9394769,,complete,,2e8f032c-dbf3-4486-bacf-404d321494f1,computer,Desktop or Laptop,Windows 10,Chrome 116.0.0.0,1280x720,1280x603,,,0,ImplicitDecisionAdventureTask_2Opts,8,FemaleBranch,Female_InOut_Swap,,ChineseFemale_OutGrp_Swap,1,LoadingScreen,LoadScreen,95pybm,1,timedOut,,21266.94299998808,21245.678,21266.94299998808,21266.94299998808,21245.678,21266.94299998808,1,21266.94299998808,0,0,,Time Limit,screen,0,screen,LoadingScreen,Yuxi,Emma,,,,,,,,,,,,,,A,,,,,,,
6,1695245380157,20/09/2023 21:29:40,1695230980157,-4,20/09/2023 13:29:40,139457,3,task-il2c,,31766958,BLIND,9394769,,complete,,2e8f032c-dbf3-4486-bacf-404d321494f1,computer,Desktop or Laptop,Windows 10,Chrome 116.0.0.0,1280x720,1280x603,,,0,ImplicitDecisionAdventureTask_2Opts,8,FemaleBranch,Female_InOut_Swap,,ChineseFemale_OutGrp_Swap,1,LoadingScreen,LoadingComplete,zy7h74,2,continue,,492446.16500002384,492431.068,492446.16500002384,492446.16500002384,492431.068,492446.16500002384,1,492446.16500002384,0,0,,Click To Continue,Continue Button,2,object-59,LoadingScreen,Yuxi,Emma,,,,,,,,,,,,,,A,,,,,,,
7,1695245392140,20/09/2023 21:29:52,1695230992140,-4,20/09/2023 13:29:52,139457,3,task-il2c,,31766958,BLIND,9394769,,complete,,2e8f032c-dbf3-4486-bacf-404d321494f1,computer,Desktop or Laptop,Windows 10,Chrome 116.0.0.0,1280x720,1280x720,,,0,ImplicitDecisionAdventureTask_2Opts,8,FemaleBranch,Female_InOut_Swap,,ChineseFemale_OutGrp_Swap,1,ScenarioIntro,ScenarioIntro,ghavr7,1,timedOut,,11998.196999988053,11997.535999999964,11998.196999988053,11998.196999988053,11997.535999999964,11998.196999988053,1,11998.196999988053,0,0,,Time Limit,screen,0,screen,ScenarioIntro,,,<em>Two traveling adventurers decide to enter a local tournament at a colosseum. The Gauntlet of Trials is a renowned and immensely challenging set of enemies and puzzles. The duo will need to rely on their strength and intelligence to make it through unharmed. Each adventurer will be rewarded proportional to performance.,,,,,,,,,,,,,A,,,,,,,
8,1695245398139,20/09/2023 21:29:58,1695230998139,-4,20/09/2023 13:29:58,139457,3,task-il2c,,31766958,BLIND,9394769,,complete,,2e8f032c-dbf3-4486-bacf-404d321494f1,computer,Desktop or Laptop,Windows 10,Chrome 116.0.0.0,1280x720,1280x603,,,0,ImplicitDecisionAdventureTask_2Opts,8,FemaleBranch,Female_InOut_Swap,,ChineseFemale_OutGrp_Swap,1,Trial/Encounter,EncounterIntro,wtupv3,1,timedOut,,5999.761000011931,5998.783000000054,5999.761000011931,5999.761000011931,5998.783000000054,5999.761000011931,1,5999.761000011931,0,0,,Time Limit,screen,0,screen,Trial/Encounter,,,,"<em>A gate opens in front of the duo, and a menacing mechanical golem with a crossbow becomes activated.",<em><b>Yuxi</b> lunges forward attempting to force her blade through the protective plate.,<em><b>Yuxi’s</b> sword pierces the plate and destroys the construct before it is able to shoot. She is able to proceed uninjured.,,<em><b>Yuxi’s</b> sword grazes the exterior plate. She is shot by the crossbow and is dealt damage.,6687,Yuxi,In,1,STR,,,A,,,,,,,
9,1695245404822,20/09/2023 21:30:04,1695231004822,-4,20/09/2023 13:30:04,139457,3,task-il2c,,31766958,BLIND,9394769,,complete,,2e8f032c-dbf3-4486-bacf-404d321494f1,computer,Desktop or Laptop,Windows 10,Chrome 116.0.0.0,1280x720,1280x603,,,0,ImplicitDecisionAdventureTask_2Opts,8,FemaleBranch,Female_InOut_Swap,,ChineseFemale_OutGrp_Swap,1,Trial/Encounter,Delay,4wo1q4,2,timedOut,,6684.677999999956,6681.930999999982,6684.677999999956,6684.677999999956,6681.930999999982,6684.677999999956,1,6684.677999999956,0,0,,Time Limit,screen,0,screen,Trial/Encounter,,,,"<em>A gate opens in front of the duo, and a menacing mechanical golem with a crossbow becomes activated.",<em><b>Yuxi</b> lunges forward attempting to force her blade through the protective plate.,<em><b>Yuxi’s</b> sword pierces the plate and destroys the construct before it is able to shoot. She is able to proceed uninjured.,,<em><b>Yuxi’s</b> sword grazes the exterior plate. She is shot by the crossbow and is dealt damage.,6687,Yuxi,In,1,STR,,,A,,,,,,,
10,1695245415752,20/09/2023 21:30:15,1695231015752,-4,20/09/2023 13:30:15,139457,3,task-il2c,,31766958,BLIND,9394769,,complete,,2e8f032c-dbf3-4486-bacf-404d321494f1,computer,Desktop or Laptop,Windows 10,Chrome 116.0.0.0,1280x720,1280x603,,,0,ImplicitDecisionAdventureTask_2Opts,8,FemaleBranch,Female_InOut_Swap,,ChineseFemale_OutGrp_Swap,1,Trial/Encounter,PlayerAction,ga3y5r,3,response,Reward,10927.446999988053,10914.395000000019,10927.446999988053,10927.446999988053,10914.395000000019,10927.446999988053,1,10927.446999988053,0,0,decision,Click Response,RewardButton,2,object-70,Trial/Encounter,,,,"<em>A gate opens in front of the duo, and a menacing mechanical golem with a crossbow becomes activated.",<em><b>Yuxi</b> lunges forward attempting to force her blade through the protective plate.,<em><b>Yuxi’s</b> sword pierces the plate and destroys the construct before it is able to shoot. She is able to proceed uninjured.,,<em><b>Yuxi’s</b> sword grazes the exterior plate. She is shot by the crossbow and is dealt damage.,6687,Yuxi,In,1,STR,,,A,,,,,Reward,1,
