Event Index,UTC Timestamp,UTC Date and Time,Local Timestamp,Local Timezone,Local Date and Time,Experiment ID,Experiment Version,Tree Node Key,Repeat Key,Schedule ID,Participant Public ID,Participant Private ID,Participant Starting Group,Participant Status,Participant Completion Code,Participant External Session ID,Participant Device Type,Participant Device,Participant OS,Participant Browser,Participant Monitor Size,Participant Viewport Size,Checkpoint,Room ID,Room Order,Task Name,Task Version,branch-jqbz,randomiser-745l,randomiser-hhua,Spreadsheet,Trial Number,Display,Screen,Screen ID,Screen Counter,Response Type,Response,Onset Time,Clock Time,Reaction Time,Absolute Onset Time,Absolute Clock Time,Absolute Reaction Time,Correct,Response Onset,Response Duration,Proportion,Tag,Component Name,Object Name,Object Number,Object ID,Spreadsheet: display,Spreadsheet: Adventurer1,Spreadsheet: Adventurer2,Spreadsheet: Scenario,Spreadsheet: EncounterIntro,Spreadsheet: PlayerAction,Spreadsheet: RewardFeedback,Spreadsheet: NeutralFeedback,Spreadsheet: PunishFeedback,Spreadsheet: scenDelay,Spreadsheet: Name,Spreadsheet: Group,Spreadsheet: Adv,Spreadsheet: Type,Manipulation: Spreadsheet,Store: pName,Store: participant,Store: respReward,Store: respNeutral,Store: respPunish,Store: decPunish,Store: outcome,Store: RewTally,Store: PunTally
1,1695244519633,20/09/2023 21:15:19,1695230119633,-4,20/09/2023 13:15:19,139457,3,task-iyxr,,31766856,BLIND,9394739,,complete,,576b87a8-8fd8-4b32-803f-f4e93faed1f9,computer,Desktop or Laptop,Windows 10,Chrome 116.0.0.0,1536x864,1536x739,,,0,ImplicitDecisionAdventureTask_2Opts,8,MaleBranch,,Male_InIn,ChineseMale_InGrp,,,,,,5,BEGIN,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,1695244551939,20/09/2023 21:15:51,1695230151939,-4,20/09/2023 13:15:51,139457,3,task-iyxr,,31766856,BLIND,9394739,,complete,,576b87a8-8fd8-4b32-803f-f4e93faed1f9,computer,Desktop or Laptop,Windows 10,Chrome 116.0.0.0,1536x864,1536x739,,,0,ImplicitDecisionAdventureTask_2Opts,8,MaleBranch,,Male_InIn,ChineseMale_InGrp,1,Instructions,Instructions,cdub9g,1,timedOut,,31774.11499923706,31762.014999999996,31774.11499923706,31774.11499923706,31762.014999999996,31774.11499923706,1,31774.11499923706,0,0,,Time Limit,screen,0,screen,Instructions,,,,,,,,,,,,,,,,,,,,,,,
3,1695244555239,20/09/2023 21:15:55,1695230155239,-4,20/09/2023 13:15:55,139457,3,task-iyxr,,31766856,BLIND,9394739,,complete,,576b87a8-8fd8-4b32-803f-f4e93faed1f9,computer,Desktop or Laptop,Windows 10,Chrome 116.0.0.0,1536x864,1536x739,,,0,ImplicitDecisionAdventureTask_2Opts,8,MaleBranch,,Male_InIn,ChineseMale_InGrp,1,Instructions,Name,nn5ntg,2,response,Josh,2033.9860000000044,3301.191000000006,3311.3999994277983,2033.9860000000044,3301.191000000006,3311.3999994277983,1,2033.9860000000044,1277.413999427794,0,pName,Single Text Entry,ParticipantName,2,object-22,Instructions,,,,,,,,,,,,,,,,Josh,,,,,,,
4,1695244557231,20/09/2023 21:15:57,1695230157231,-4,20/09/2023 13:15:57,139457,3,task-iyxr,,31766856,BLIND,9394739,,complete,,576b87a8-8fd8-4b32-803f-f4e93faed1f9,computer,Desktop or Laptop,Windows 10,Chrome 116.0.0.0,1536x864,1536x739,,,0,ImplicitDecisionAdventureTask_2Opts,8,MaleBranch,,Male_InIn,ChineseMale_InGrp,1,Instructions,Delay,7riscs,3,timedOut,,2003.3089998092619,2000.8609999999971,2003.3089998092619,2003.3089998092619,2000.8609999999971,2003.3089998092619,1,2003.3089998092619,0,0,,Time Limit,screen,0,screen,Instructions,,,,,,,,,,,,,,,,Josh,,,,,,,
5,1695244592902,20/09/2023 21:16:32,1695230192902,-4,20/09/2023 13:16:32,139457,3,task-iyxr,,31766856,BLIND,9394739,,complete,,576b87a8-8fd8-4b32-803f-f4e93faed1f9,computer,Desktop or Laptop,Windows 10,Chrome 116.0.0.0,1536x864,1536x739,,,0,ImplicitDecisionAdventureTask_2Opts,8,MaleBranch,,Male_InIn,ChineseMale_InGrp,1,LoadingScreen,LoadScreen,95pybm,1,timedOut,,35673.748,35663.267,35673.748,35673.748,35663.267,35673.748,1,35673.748,0,0,,Time Limit,screen,0,screen,LoadingScreen,Haoyu,Haoran,,,,,,,,,,,,,,Josh,,,,,,,
6,1695244593852,20/09/2023 21:16:33,1695230193852,-4,20/09/2023 13:16:33,139457,3,task-iyxr,,31766856,BLIND,9394739,,complete,,576b87a8-8fd8-4b32-803f-f4e93faed1f9,computer,Desktop or Laptop,Windows 10,Chrome 116.0.0.0,1536x864,1536x739,,,0,ImplicitDecisionAdventureTask_2Opts,8,MaleBranch,,Male_InIn,ChineseMale_InGrp,1,LoadingScreen,LoadingComplete,zy7h74,2,continue,,960.5809994277952,950.3880000000063,960.5809994277952,960.5809994277952,950.3880000000063,960.5809994277952,1,960.5809994277952,0,0,,Click To Continue,Continue Button,2,object-59,LoadingScreen,Haoyu,Haoran,,,,,,,,,,,,,,Josh,,,,,,,
7,1695244604014,20/09/2023 21:16:44,1695230204014,-4,20/09/2023 13:16:44,139457,3,task-iyxr,,31766856,BLIND,9394739,,complete,,576b87a8-8fd8-4b32-803f-f4e93faed1f9,computer,Desktop or Laptop,Windows 10,Chrome 116.0.0.0,1536x864,1536x739,,,0,ImplicitDecisionAdventureTask_2Opts,8,MaleBranch,,Male_InIn,ChineseMale_InGrp,1,ScenarioIntro,ScenarioIntro,ghavr7,1,response,Next,10172.392999237054,10170.46699999999,10172.392999237054,10172.392999237054,10170.46699999999,10172.392999237054,1,10172.392999237054,0,0,,Click Response,Continue Button,2,object-62,ScenarioIntro,,,<em>Two traveling adventurers decide to enter a local tournament at a colosseum. The Gauntlet of Trials is a renowned and immensely challenging set of enemies and puzzles. The duo will need to rely on their strength and intelligence to make it through unharmed. Each adventurer will be rewarded proportional to performance.,,,,,,,,,,,,,Josh,,,,,,,
8,1695244606427,20/09/2023 21:16:46,1695230206427,-4,20/09/2023 13:16:46,139457,3,task-iyxr,,31766856,BLIND,9394739,,complete,,576b87a8-8fd8-4b32-803f-f4e93faed1f9,computer,Desktop or Laptop,Windows 10,Chrome 116.0.0.0,1536x864,1536x739,,,0,ImplicitDecisionAdventureTask_2Opts,8,MaleBranch,,Male_InIn,ChineseMale_InGrp,1,Trial/Encounter,EncounterIntro,wtupv3,1,continue,,581.1859998092696,566.8660000000091,581.1859998092696,581.1859998092696,566.8660000000091,581.1859998092696,1,581.1859998092696,0,0,,Click To Continue,Continue Button,2,object-65,Trial/Encounter,,,,"<em>A gate opens in front of the duo, and a menacing mechanical golem with a crossbow becomes activated.",<em><b>Haoran</b> lunges forward attempting to force his blade through the protective plate.,<em><b>Haoran’s</b> sword pierces the plate and destroys the construct before it is able to shoot. He is able to proceed uninjured.,,<em><b>Haoran’s</b> sword grazes the exterior plate. He is shot by the crossbow and is dealt damage.,6687,Haoran,In,2,STR,,,Josh,,,,,,,
9,1695244618536,20/09/2023 21:16:58,1695230218536,-4,20/09/2023 13:16:58,139457,3,task-iyxr,,31766856,BLIND,9394739,,complete,,576b87a8-8fd8-4b32-803f-f4e93faed1f9,computer,Desktop or Laptop,Windows 10,Chrome 116.0.0.0,1536x864,1536x739,,,0,ImplicitDecisionAdventureTask_2Opts,8,MaleBranch,,Male_InIn,ChineseMale_InGrp,1,Trial/Encounter,Delay,4wo1q4,2,timedOut,,6687.335999999996,6685.885999999999,6687.335999999996,6687.335999999996,6685.885999999999,6687.335999999996,1,6687.335999999996,0,0,,Time Limit,screen,0,screen,Trial/Encounter,,,,"<em>A gate opens in front of the duo, and a menacing mechanical golem with a crossbow becomes activated.",<em><b>Haoran</b> lunges forward attempting to force his blade through the protective plate.,<em><b>Haoran’s</b> sword pierces the plate and destroys the construct before it is able to shoot. He is able to proceed uninjured.,,<em><b>Haoran’s</b> sword grazes the exterior plate. He is shot by the crossbow and is dealt damage.,6687,Haoran,In,2,STR,,,Josh,,,,,,,
10,1695244626915,20/09/2023 21:17:06,1695230226915,-4,20/09/2023 13:17:06,139457,3,task-iyxr,,31766856,BLIND,9394739,,complete,,576b87a8-8fd8-4b32-803f-f4e93faed1f9,computer,Desktop or Laptop,Windows 10,Chrome 116.0.0.0,1536x864,1536x739,,,0,ImplicitDecisionAdventureTask_2Opts,8,MaleBranch,,Male_InIn,ChineseMale_InGrp,1,Trial/Encounter,PlayerAction,ga3y5r,3,response,Reward,8376.849999618527,8369.807,8376.849999618527,8376.849999618527,8369.807,8376.849999618527,1,8376.849999618527,0,0,decision,Click Response,RewardButton,2,object-70,Trial/Encounter,,,,"<em>A gate opens in front of the duo, and a menacing mechanical golem with a crossbow becomes activated.",<em><b>Haoran</b> lunges forward attempting to force his blade through the protective plate.,<em><b>Haoran’s</b> sword pierces the plate and destroys the construct before it is able to shoot. He is able to proceed uninjured.,,<em><b>Haoran’s</b> sword grazes the exterior plate. He is shot by the crossbow and is dealt damage.,6687,Haoran,In,2,STR,,,Josh,,,,,Reward,1,
