Event Index,UTC Timestamp,UTC Date and Time,Local Timestamp,Local Timezone,Local Date and Time,Experiment ID,Experiment Version,Tree Node Key,Repeat Key,Schedule ID,Participant Public ID,Participant Private ID,Participant Starting Group,Participant Status,Participant Completion Code,Participant External Session ID,Participant Device Type,Participant Device,Participant OS,Participant Browser,Participant Monitor Size,Participant Viewport Size,Checkpoint,Room ID,Room Order,Task Name,Task Version,branch-jqbz,randomiser-745l,randomiser-hhua,Spreadsheet,Trial Number,Display,Screen,Screen ID,Screen Counter,Response Type,Response,Onset Time,Clock Time,Reaction Time,Absolute Onset Time,Absolute Clock Time,Absolute Reaction Time,Correct,Response Onset,Response Duration,Proportion,Tag,Component Name,Object Name,Object Number,Object ID,Spreadsheet: display,Spreadsheet: Adventurer1,Spreadsheet: Adventurer2,Spreadsheet: Scenario,Spreadsheet: EncounterIntro,Spreadsheet: PlayerAction,Spreadsheet: RewardFeedback,Spreadsheet: NeutralFeedback,Spreadsheet: PunishFeedback,Spreadsheet: scenDelay,Spreadsheet: Name,Spreadsheet: Group,Spreadsheet: Adv,Spreadsheet: Type,Manipulation: Spreadsheet,Store: pName,Store: participant,Store: respReward,Store: respNeutral,Store: respPunish,Store: decPunish,Store: outcome,Store: RewTally,Store: PunTally
1,1695248170813,20/09/2023 22:16:10,1695230170813,-5,20/09/2023 12:16:10,139457,3,task-xyd7,,31766874,BLIND,9394744,,complete,,7480e1a0-97a9-4192-af68-fc23ce2b63a0,computer,Desktop or Laptop,Windows 10,Firefox 117.0,2144x1206,2144x1066,,,0,ImplicitDecisionAdventureTask_2Opts,8,MaleBranch,,Male_InIn_Swap,ChineseMale_InGrp_Swap,,,,,,5,BEGIN,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,1695248187330,20/09/2023 22:16:27,1695230187330,-5,20/09/2023 12:16:27,139457,3,task-xyd7,,31766874,BLIND,9394744,,complete,,7480e1a0-97a9-4192-af68-fc23ce2b63a0,computer,Desktop or Laptop,Windows 10,Firefox 117.0,2144x1206,2144x1066,,,0,ImplicitDecisionAdventureTask_2Opts,8,MaleBranch,,Male_InIn_Swap,ChineseMale_InGrp_Swap,1,Instructions,Instructions,cdub9g,1,timedOut,,16000.08,15999.300000000001,16000.08,16000.08,15999.300000000001,16000.08,1,16000.08,0,0,,Time Limit,screen,0,screen,Instructions,,,,,,,,,,,,,,,,,,,,,,,
3,1695248194435,20/09/2023 22:16:34,1695230194435,-5,20/09/2023 12:16:34,139457,3,task-xyd7,,31766874,BLIND,9394744,,complete,,7480e1a0-97a9-4192-af68-fc23ce2b63a0,computer,Desktop or Laptop,Windows 10,Firefox 117.0,2144x1206,2144x1066,,,0,ImplicitDecisionAdventureTask_2Opts,8,MaleBranch,,Male_InIn_Swap,ChineseMale_InGrp_Swap,1,Instructions,Name,nn5ntg,2,response,Sam,5299.779999999999,7099.66,7103.779999999999,5299.779999999999,7099.66,7103.779999999999,1,5299.779999999999,1804,0,pName,Single Text Entry,ParticipantName,2,object-22,Instructions,,,,,,,,,,,,,,,,Sam,,,,,,,
4,1695248196430,20/09/2023 22:16:36,1695230196430,-5,20/09/2023 12:16:36,139457,3,task-xyd7,,31766874,BLIND,9394744,,complete,,7480e1a0-97a9-4192-af68-fc23ce2b63a0,computer,Desktop or Laptop,Windows 10,Firefox 117.0,2144x1206,2144x1066,,,0,ImplicitDecisionAdventureTask_2Opts,8,MaleBranch,,Male_InIn_Swap,ChineseMale_InGrp_Swap,1,Instructions,Delay,7riscs,3,timedOut,,2000.119999999999,1999.9199999999983,2000.119999999999,2000.119999999999,1999.9199999999983,2000.119999999999,1,2000.119999999999,0,0,,Time Limit,screen,0,screen,Instructions,,,,,,,,,,,,,,,,Sam,,,,,,,
5,1695248211429,20/09/2023 22:16:51,1695230211429,-5,20/09/2023 12:16:51,139457,3,task-xyd7,,31766874,BLIND,9394744,,complete,,7480e1a0-97a9-4192-af68-fc23ce2b63a0,computer,Desktop or Laptop,Windows 10,Firefox 117.0,2144x1206,2144x1066,,,0,ImplicitDecisionAdventureTask_2Opts,8,MaleBranch,,Male_InIn_Swap,ChineseMale_InGrp_Swap,1,LoadingScreen,LoadScreen,95pybm,1,timedOut,,14999.399999999998,14999.399999999998,14999.399999999998,14999.399999999998,14999.399999999998,14999.399999999998,1,14999.399999999998,0,0,,Time Limit,screen,0,screen,LoadingScreen,Haoyu,Haoran,,,,,,,,,,,,,,Sam,,,,,,,
6,1695248214053,20/09/2023 22:16:54,1695230214053,-5,20/09/2023 12:16:54,139457,3,task-xyd7,,31766874,BLIND,9394744,,complete,,7480e1a0-97a9-4192-af68-fc23ce2b63a0,computer,Desktop or Laptop,Windows 10,Firefox 117.0,2144x1206,2144x1066,,,0,ImplicitDecisionAdventureTask_2Opts,8,MaleBranch,,Male_InIn_Swap,ChineseMale_InGrp_Swap,1,LoadingScreen,LoadingComplete,zy7h74,2,continue,,2624.800000000003,2616.5,2624.800000000003,2624.800000000003,2616.5,2624.800000000003,1,2624.800000000003,0,0,,Click To Continue,Continue Button,2,object-59,LoadingScreen,Haoyu,Haoran,,,,,,,,,,,,,,Sam,,,,,,,
7,1695248220843,20/09/2023 22:17:00,1695230220843,-5,20/09/2023 12:17:00,139457,3,task-xyd7,,31766874,BLIND,9394744,,complete,,7480e1a0-97a9-4192-af68-fc23ce2b63a0,computer,Desktop or Laptop,Windows 10,Firefox 117.0,2144x1206,2144x1066,,,0,ImplicitDecisionAdventureTask_2Opts,8,MaleBranch,,Male_InIn_Swap,ChineseMale_InGrp_Swap,1,ScenarioIntro,ScenarioIntro,ghavr7,1,response,Next,6797.300000000003,6783.060000000005,6797.300000000003,6797.300000000003,6783.060000000005,6797.300000000003,1,6797.300000000003,0,0,,Click Response,Continue Button,2,object-62,ScenarioIntro,,,<em>Two traveling adventurers decide to enter a local tournament at a colosseum. The Gauntlet of Trials is a renowned and immensely challenging set of enemies and puzzles. The duo will need to rely on their strength and intelligence to make it through unharmed. Each adventurer will be rewarded proportional to performance.,,,,,,,,,,,,,Sam,,,,,,,
8,1695248229841,20/09/2023 22:17:09,1695230229841,-5,20/09/2023 12:17:09,139457,3,task-xyd7,,31766874,BLIND,9394744,,complete,,7480e1a0-97a9-4192-af68-fc23ce2b63a0,computer,Desktop or Laptop,Windows 10,Firefox 117.0,2144x1206,2144x1066,,,0,ImplicitDecisionAdventureTask_2Opts,8,MaleBranch,,Male_InIn_Swap,ChineseMale_InGrp_Swap,1,Trial/Encounter,EncounterIntro,wtupv3,1,continue,,3796.779999999999,3783.159999999996,3796.779999999999,3796.779999999999,3783.159999999996,3796.779999999999,1,3796.779999999999,0,0,,Click To Continue,Continue Button,2,object-65,Trial/Encounter,,,,"<em>A gate opens in front of the duo, and a menacing mechanical golem with a crossbow becomes activated.",<em><b>Haoyu</b> lunges forward attempting to force his blade through the protective plate.,<em><b>Haoyu’s</b> sword pierces the plate and destroys the construct before it is able to shoot. He is able to proceed uninjured.,,<em><b>Haoyu’s</b> sword grazes the exterior plate. He is shot by the crossbow and is dealt damage.,6687,Haoyu,In,1,STR,,,Sam,,,,,,,
9,1695248238729,20/09/2023 22:17:18,1695230238729,-5,20/09/2023 12:17:18,139457,3,task-xyd7,,31766874,BLIND,9394744,,complete,,7480e1a0-97a9-4192-af68-fc23ce2b63a0,computer,Desktop or Laptop,Windows 10,Firefox 117.0,2144x1206,2144x1066,,,0,ImplicitDecisionAdventureTask_2Opts,8,MaleBranch,,Male_InIn_Swap,ChineseMale_InGrp_Swap,1,Trial/Encounter,Delay,4wo1q4,2,timedOut,,6684.039999999994,6683.039999999994,6684.039999999994,6684.039999999994,6683.039999999994,6684.039999999994,1,6684.039999999994,0,0,,Time Limit,screen,0,screen,Trial/Encounter,,,,"<em>A gate opens in front of the duo, and a menacing mechanical golem with a crossbow becomes activated.",<em><b>Haoyu</b> lunges forward attempting to force his blade through the protective plate.,<em><b>Haoyu’s</b> sword pierces the plate and destroys the construct before it is able to shoot. He is able to proceed uninjured.,,<em><b>Haoyu’s</b> sword grazes the exterior plate. He is shot by the crossbow and is dealt damage.,6687,Haoyu,In,1,STR,,,Sam,,,,,,,
10,1695248248663,20/09/2023 22:17:28,1695230248663,-5,20/09/2023 12:17:28,139457,3,task-xyd7,,31766874,BLIND,9394744,,complete,,7480e1a0-97a9-4192-af68-fc23ce2b63a0,computer,Desktop or Laptop,Windows 10,Firefox 117.0,2144x1206,2144x1066,,,0,ImplicitDecisionAdventureTask_2Opts,8,MaleBranch,,Male_InIn_Swap,ChineseMale_InGrp_Swap,1,Trial/Encounter,PlayerAction,ga3y5r,3,response,Reward,9932.920000000013,9916.240000000005,9932.920000000013,9932.920000000013,9916.240000000005,9932.920000000013,1,9932.920000000013,0,0,decision,Click Response,RewardButton,2,object-70,Trial/Encounter,,,,"<em>A gate opens in front of the duo, and a menacing mechanical golem with a crossbow becomes activated.",<em><b>Haoyu</b> lunges forward attempting to force his blade through the protective plate.,<em><b>Haoyu’s</b> sword pierces the plate and destroys the construct before it is able to shoot. He is able to proceed uninjured.,,<em><b>Haoyu’s</b> sword grazes the exterior plate. He is shot by the crossbow and is dealt damage.,6687,Haoyu,In,1,STR,,,Sam,,,,,Reward,1,
