Event Index,UTC Timestamp,UTC Date and Time,Local Timestamp,Local Timezone,Local Date and Time,Experiment ID,Experiment Version,Tree Node Key,Repeat Key,Schedule ID,Participant Public ID,Participant Private ID,Participant Starting Group,Participant Status,Participant Completion Code,Participant External Session ID,Participant Device Type,Participant Device,Participant OS,Participant Browser,Participant Monitor Size,Participant Viewport Size,Checkpoint,Room ID,Room Order,Task Name,Task Version,branch-jqbz,randomiser-745l,randomiser-hhua,Spreadsheet,Trial Number,Display,Screen,Screen ID,Screen Counter,Response Type,Response,Onset Time,Clock Time,Reaction Time,Absolute Onset Time,Absolute Clock Time,Absolute Reaction Time,Correct,Response Onset,Response Duration,Proportion,Tag,Component Name,Object Name,Object Number,Object ID,Spreadsheet: display,Spreadsheet: Adventurer1,Spreadsheet: Adventurer2,Spreadsheet: Scenario,Spreadsheet: EncounterIntro,Spreadsheet: PlayerAction,Spreadsheet: RewardFeedback,Spreadsheet: NeutralFeedback,Spreadsheet: PunishFeedback,Spreadsheet: scenDelay,Spreadsheet: Name,Spreadsheet: Group,Spreadsheet: Adv,Spreadsheet: Type,Manipulation: Spreadsheet,Store: pName,Store: participant,Store: respReward,Store: respNeutral,Store: respPunish,Store: decPunish,Store: outcome,Store: RewTally,Store: PunTally
1,1695244531391,20/09/2023 21:15:31,1695230131391,-4,20/09/2023 13:15:31,139457,3,task-iepw,,31766857,BLIND,9394743,,complete,,e8c4970a-2376-4c6d-8b60-299c04c77c96,computer,Desktop or Laptop,Windows 10,Chrome 116.0.0.0,1920x1080,1920x931,,,0,ImplicitDecisionAdventureTask_2Opts,8,MaleBranch,,Male_InOut,ChineseMale_OutGrp,,,,,,5,BEGIN,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,1695244542696,20/09/2023 21:15:42,1695230142696,-4,20/09/2023 13:15:42,139457,3,task-iepw,,31766857,BLIND,9394743,,complete,,e8c4970a-2376-4c6d-8b60-299c04c77c96,computer,Desktop or Laptop,Windows 10,Chrome 116.0.0.0,1920x1080,1920x931,,,0,ImplicitDecisionAdventureTask_2Opts,8,MaleBranch,,Male_InOut,ChineseMale_OutGrp,1,Instructions,Instructions,cdub9g,1,response,Next,10883.525000011921,10866.209,10883.525000011921,10883.525000011921,10866.209,10883.525000011921,1,10883.525000011921,0,0,,Click Response,Continue Button,2,object-8,Instructions,,,,,,,,,,,,,,,,,,,,,,,
3,1695244551881,20/09/2023 21:15:51,1695230151881,-4,20/09/2023 13:15:51,139457,3,task-iepw,,31766857,BLIND,9394743,,complete,,e8c4970a-2376-4c6d-8b60-299c04c77c96,computer,Desktop or Laptop,Windows 10,Chrome 116.0.0.0,1920x1080,1920x931,,,0,ImplicitDecisionAdventureTask_2Opts,8,MaleBranch,,Male_InOut,ChineseMale_OutGrp,1,Instructions,Name,nn5ntg,2,response,Isaac,2482.0070000000014,4058.9500000000007,4074.359000011922,2482.0070000000014,4058.9500000000007,4074.359000011922,1,2482.0070000000014,1592.3520000119206,0,pName,Single Text Entry,ParticipantName,2,object-22,Instructions,,,,,,,,,,,,,,,,Isaac,,,,,,,
4,1695244553864,20/09/2023 21:15:53,1695230153864,-4,20/09/2023 13:15:53,139457,3,task-iepw,,31766857,BLIND,9394743,,complete,,e8c4970a-2376-4c6d-8b60-299c04c77c96,computer,Desktop or Laptop,Windows 10,Chrome 116.0.0.0,1920x1080,1920x931,,,0,ImplicitDecisionAdventureTask_2Opts,8,MaleBranch,,Male_InOut,ChineseMale_OutGrp,1,Instructions,Delay,7riscs,3,timedOut,,1999.4090000119213,1998.7079999999987,1999.4090000119213,1999.4090000119213,1998.7079999999987,1999.4090000119213,1,1999.4090000119213,0,0,,Time Limit,screen,0,screen,Instructions,,,,,,,,,,,,,,,,Isaac,,,,,,,
5,1695244568871,20/09/2023 21:16:08,1695230168871,-4,20/09/2023 13:16:08,139457,3,task-iepw,,31766857,BLIND,9394743,,complete,,e8c4970a-2376-4c6d-8b60-299c04c77c96,computer,Desktop or Laptop,Windows 10,Chrome 116.0.0.0,1920x1080,1920x931,,,0,ImplicitDecisionAdventureTask_2Opts,8,MaleBranch,,Male_InOut,ChineseMale_OutGrp,1,LoadingScreen,LoadScreen,95pybm,1,timedOut,,15007.001000023844,15006.481000000003,15007.001000023844,15007.001000023844,15006.481000000003,15007.001000023844,1,15007.001000023844,0,0,,Time Limit,screen,0,screen,LoadingScreen,Haoyu,Jack,,,,,,,,,,,,,,Isaac,,,,,,,
6,1695244570238,20/09/2023 21:16:10,1695230170238,-4,20/09/2023 13:16:10,139457,3,task-iepw,,31766857,BLIND,9394743,,complete,,e8c4970a-2376-4c6d-8b60-299c04c77c96,computer,Desktop or Laptop,Windows 10,Chrome 116.0.0.0,1920x1080,1920x931,,,0,ImplicitDecisionAdventureTask_2Opts,8,MaleBranch,,Male_InOut,ChineseMale_OutGrp,1,LoadingScreen,LoadingComplete,zy7h74,2,continue,,1367.4199999999983,1356.434000000001,1367.4199999999983,1367.4199999999983,1356.434000000001,1367.4199999999983,1,1367.4199999999983,0,0,,Click To Continue,Continue Button,2,object-59,LoadingScreen,Haoyu,Jack,,,,,,,,,,,,,,Isaac,,,,,,,
7,1695244578086,20/09/2023 21:16:18,1695230178086,-4,20/09/2023 13:16:18,139457,3,task-iepw,,31766857,BLIND,9394743,,complete,,e8c4970a-2376-4c6d-8b60-299c04c77c96,computer,Desktop or Laptop,Windows 10,Chrome 116.0.0.0,1920x1080,1920x931,,,0,ImplicitDecisionAdventureTask_2Opts,8,MaleBranch,,Male_InOut,ChineseMale_OutGrp,1,ScenarioIntro,ScenarioIntro,ghavr7,1,response,Next,7859.185999988076,7842.988999999994,7859.185999988076,7859.185999988076,7842.988999999994,7859.185999988076,1,7859.185999988076,0,0,,Click Response,Continue Button,2,object-62,ScenarioIntro,,,<em>Two traveling adventurers decide to enter a local tournament at a colosseum. The Gauntlet of Trials is a renowned and immensely challenging set of enemies and puzzles. The duo will need to rely on their strength and intelligence to make it through unharmed. Each adventurer will be rewarded proportional to performance.,,,,,,,,,,,,,Isaac,,,,,,,
8,1695244587282,20/09/2023 21:16:27,1695230187282,-4,20/09/2023 13:16:27,139457,3,task-iepw,,31766857,BLIND,9394743,,complete,,e8c4970a-2376-4c6d-8b60-299c04c77c96,computer,Desktop or Laptop,Windows 10,Chrome 116.0.0.0,1920x1080,1920x931,,,0,ImplicitDecisionAdventureTask_2Opts,8,MaleBranch,,Male_InOut,ChineseMale_OutGrp,1,Trial/Encounter,EncounterIntro,wtupv3,1,continue,,5047.214000023843,5042.363000000005,5047.214000023843,5047.214000023843,5042.363000000005,5047.214000023843,1,5047.214000023843,0,0,,Click To Continue,Continue Button,2,object-65,Trial/Encounter,,,,"<em>A gate opens in front of the duo, and a menacing mechanical golem with a crossbow becomes activated.",<em><b>Jack</b> lunges forward attempting to force his blade through the protective plate.,<em><b>Jack’s</b> sword pierces the plate and destroys the construct before it is able to shoot. He is able to proceed uninjured.,,<em><b>Jack’s</b> sword grazes the exterior plate. He is shot by the crossbow and is dealt damage.,6687,Jack,Out,2,STR,,,Isaac,,,,,,,
9,1695244594926,20/09/2023 21:16:34,1695230194926,-4,20/09/2023 13:16:34,139457,3,task-iepw,,31766857,BLIND,9394743,,complete,,e8c4970a-2376-4c6d-8b60-299c04c77c96,computer,Desktop or Laptop,Windows 10,Chrome 116.0.0.0,1920x1080,1920x931,,,0,ImplicitDecisionAdventureTask_2Opts,8,MaleBranch,,Male_InOut,ChineseMale_OutGrp,1,Trial/Encounter,Delay,4wo1q4,2,timedOut,,6691.554999988082,6690.689000000006,6691.554999988082,6691.554999988082,6690.689000000006,6691.554999988082,1,6691.554999988082,0,0,,Time Limit,screen,0,screen,Trial/Encounter,,,,"<em>A gate opens in front of the duo, and a menacing mechanical golem with a crossbow becomes activated.",<em><b>Jack</b> lunges forward attempting to force his blade through the protective plate.,<em><b>Jack’s</b> sword pierces the plate and destroys the construct before it is able to shoot. He is able to proceed uninjured.,,<em><b>Jack’s</b> sword grazes the exterior plate. He is shot by the crossbow and is dealt damage.,6687,Jack,Out,2,STR,,,Isaac,,,,,,,
10,1695244600459,20/09/2023 21:16:40,1695230200459,-4,20/09/2023 13:16:40,139457,3,task-iepw,,31766857,BLIND,9394743,,complete,,e8c4970a-2376-4c6d-8b60-299c04c77c96,computer,Desktop or Laptop,Windows 10,Chrome 116.0.0.0,1920x1080,1920x931,,,0,ImplicitDecisionAdventureTask_2Opts,8,MaleBranch,,Male_InOut,ChineseMale_OutGrp,1,Trial/Encounter,PlayerAction,ga3y5r,3,response,Reward,5523.565999976156,5517.842000000004,5523.565999976156,5523.565999976156,5517.842000000004,5523.565999976156,1,5523.565999976156,0,0,decision,Click Response,RewardButton,2,object-70,Trial/Encounter,,,,"<em>A gate opens in front of the duo, and a menacing mechanical golem with a crossbow becomes activated.",<em><b>Jack</b> lunges forward attempting to force his blade through the protective plate.,<em><b>Jack’s</b> sword pierces the plate and destroys the construct before it is able to shoot. He is able to proceed uninjured.,,<em><b>Jack’s</b> sword grazes the exterior plate. He is shot by the crossbow and is dealt damage.,6687,Jack,Out,2,STR,,,Isaac,,,,,Reward,1,
