Event Index,UTC Timestamp,UTC Date and Time,Local Timestamp,Local Timezone,Local Date and Time,Experiment ID,Experiment Version,Tree Node Key,Repeat Key,Schedule ID,Participant Public ID,Participant Private ID,Participant Starting Group,Participant Status,Participant Completion Code,Participant External Session ID,Participant Device Type,Participant Device,Participant OS,Participant Browser,Participant Monitor Size,Participant Viewport Size,Checkpoint,Room ID,Room Order,Task Name,Task Version,branch-jqbz,randomiser-745l,randomiser-hhua,Spreadsheet,Trial Number,Display,Screen,Screen ID,Screen Counter,Response Type,Response,Onset Time,Clock Time,Reaction Time,Absolute Onset Time,Absolute Clock Time,Absolute Reaction Time,Correct,Response Onset,Response Duration,Proportion,Tag,Component Name,Object Name,Object Number,Object ID,Spreadsheet: display,Spreadsheet: Adventurer1,Spreadsheet: Adventurer2,Spreadsheet: Scenario,Spreadsheet: EncounterIntro,Spreadsheet: PlayerAction,Spreadsheet: RewardFeedback,Spreadsheet: NeutralFeedback,Spreadsheet: PunishFeedback,Spreadsheet: scenDelay,Spreadsheet: Name,Spreadsheet: Group,Spreadsheet: Adv,Spreadsheet: Type,Manipulation: Spreadsheet,Store: pName,Store: participant,Store: respReward,Store: respNeutral,Store: respPunish,Store: decPunish,Store: outcome,Store: RewTally,Store: PunTally
1,1695245482003,20/09/2023 21:31:22,1695231082003,-4,20/09/2023 13:31:22,139457,3,task-hng5,,31767164,BLIND,9394818,,complete,,fb2926c5-f472-4421-bcf0-e96c1d26dfc8,computer,Desktop or Laptop,Windows 10,Chrome 116.0.0.0,1920x1080,1924x894,,,0,ImplicitDecisionAdventureTask_2Opts,8,MaleBranch,,Male_InOut_Swap,ChineseMale_OutGrp_Swap,,,,,,5,BEGIN,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,1695245498116,20/09/2023 21:31:38,1695231098116,-4,20/09/2023 13:31:38,139457,3,task-hng5,,31767164,BLIND,9394818,,complete,,fb2926c5-f472-4421-bcf0-e96c1d26dfc8,computer,Desktop or Laptop,Windows 10,Chrome 116.0.0.0,1920x1080,1924x894,,,0,ImplicitDecisionAdventureTask_2Opts,8,MaleBranch,,Male_InOut_Swap,ChineseMale_OutGrp_Swap,1,Instructions,Instructions,cdub9g,1,timedOut,,16001.865999976158,15999.402000000002,16001.865999976158,16001.865999976158,15999.402000000002,16001.865999976158,1,16001.865999976158,0,0,,Time Limit,screen,0,screen,Instructions,,,,,,,,,,,,,,,,,,,,,,,
3,1695245504284,20/09/2023 21:31:44,1695231104284,-4,20/09/2023 13:31:44,139457,3,task-hng5,,31767164,BLIND,9394818,,complete,,fb2926c5-f472-4421-bcf0-e96c1d26dfc8,computer,Desktop or Laptop,Windows 10,Chrome 116.0.0.0,1920x1080,1924x894,,,0,ImplicitDecisionAdventureTask_2Opts,8,MaleBranch,,Male_InOut_Swap,ChineseMale_OutGrp_Swap,1,Instructions,Name,nn5ntg,2,response,John,4167.284,6150.560999999998,6167.226999999999,4167.284,6150.560999999998,6167.226999999999,1,4167.284,1999.9429999999993,0,pName,Single Text Entry,ParticipantName,2,object-22,Instructions,,,,,,,,,,,,,,,,John,,,,,,,
4,1695245506265,20/09/2023 21:31:46,1695231106265,-4,20/09/2023 13:31:46,139457,3,task-hng5,,31767164,BLIND,9394818,,complete,,fb2926c5-f472-4421-bcf0-e96c1d26dfc8,computer,Desktop or Laptop,Windows 10,Chrome 116.0.0.0,1920x1080,1924x894,,,0,ImplicitDecisionAdventureTask_2Opts,8,MaleBranch,,Male_InOut_Swap,ChineseMale_OutGrp_Swap,1,Instructions,Delay,7riscs,3,timedOut,,2001.6029999642378,2000.0020000000004,2001.6029999642378,2001.6029999642378,2000.0020000000004,2001.6029999642378,1,2001.6029999642378,0,0,,Time Limit,screen,0,screen,Instructions,,,,,,,,,,,,,,,,John,,,,,,,
5,1695245521265,20/09/2023 21:32:01,1695231121265,-4,20/09/2023 13:32:01,139457,3,task-hng5,,31767164,BLIND,9394818,,complete,,fb2926c5-f472-4421-bcf0-e96c1d26dfc8,computer,Desktop or Laptop,Windows 10,Chrome 116.0.0.0,1920x1080,1924x894,,,0,ImplicitDecisionAdventureTask_2Opts,8,MaleBranch,,Male_InOut_Swap,ChineseMale_OutGrp_Swap,1,LoadingScreen,LoadScreen,95pybm,1,timedOut,,15000.501,14999.946,15000.501,15000.501,14999.946,15000.501,1,15000.501,0,0,,Time Limit,screen,0,screen,LoadingScreen,Haoyu,Jack,,,,,,,,,,,,,,John,,,,,,,
6,1695245523757,20/09/2023 21:32:03,1695231123757,-4,20/09/2023 13:32:03,139457,3,task-hng5,,31767164,BLIND,9394818,,complete,,fb2926c5-f472-4421-bcf0-e96c1d26dfc8,computer,Desktop or Laptop,Windows 10,Chrome 116.0.0.0,1920x1080,1924x894,,,0,ImplicitDecisionAdventureTask_2Opts,8,MaleBranch,,Male_InOut_Swap,ChineseMale_OutGrp_Swap,1,LoadingScreen,LoadingComplete,zy7h74,2,continue,,2492.7549999880794,2483.3669999999984,2492.7549999880794,2492.7549999880794,2483.3669999999984,2492.7549999880794,1,2492.7549999880794,0,0,,Click To Continue,Continue Button,2,object-59,LoadingScreen,Haoyu,Jack,,,,,,,,,,,,,,John,,,,,,,
7,1695245534999,20/09/2023 21:32:14,1695231134999,-4,20/09/2023 13:32:14,139457,3,task-hng5,,31767164,BLIND,9394818,,complete,,fb2926c5-f472-4421-bcf0-e96c1d26dfc8,computer,Desktop or Laptop,Windows 10,Chrome 116.0.0.0,1920x1080,1924x894,,,0,ImplicitDecisionAdventureTask_2Opts,8,MaleBranch,,Male_InOut_Swap,ChineseMale_OutGrp_Swap,1,ScenarioIntro,ScenarioIntro,ghavr7,1,response,Next,11250.006999999998,11233.341,11250.006999999998,11250.006999999998,11233.341,11250.006999999998,1,11250.006999999998,0,0,,Click Response,Continue Button,2,object-62,ScenarioIntro,,,<em>Two traveling adventurers decide to enter a local tournament at a colosseum. The Gauntlet of Trials is a renowned and immensely challenging set of enemies and puzzles. The duo will need to rely on their strength and intelligence to make it through unharmed. Each adventurer will be rewarded proportional to performance.,,,,,,,,,,,,,John,,,,,,,
8,1695245541749,20/09/2023 21:32:21,1695231141749,-4,20/09/2023 13:32:21,139457,3,task-hng5,,31767164,BLIND,9394818,,complete,,fb2926c5-f472-4421-bcf0-e96c1d26dfc8,computer,Desktop or Laptop,Windows 10,Chrome 116.0.0.0,1920x1080,1924x894,,,0,ImplicitDecisionAdventureTask_2Opts,8,MaleBranch,,Male_InOut_Swap,ChineseMale_OutGrp_Swap,1,Trial/Encounter,EncounterIntro,wtupv3,1,timedOut,,6002.0090000119235,5999.781999999999,6002.0090000119235,6002.0090000119235,5999.781999999999,6002.0090000119235,1,6002.0090000119235,0,0,,Time Limit,screen,0,screen,Trial/Encounter,,,,"<em>A gate opens in front of the duo, and a menacing mechanical golem with a crossbow becomes activated.",<em><b>Haoyu</b> lunges forward attempting to force his blade through the protective plate.,<em><b>Haoyu’s</b> sword pierces the plate and destroys the construct before it is able to shoot. He is able to proceed uninjured.,,<em><b>Haoyu’s</b> sword grazes the exterior plate. He is shot by the crossbow and is dealt damage.,6687,Haoyu,In,1,STR,,,John,,,,,,,
9,1695245548431,20/09/2023 21:32:28,1695231148431,-4,20/09/2023 13:32:28,139457,3,task-hng5,,31767164,BLIND,9394818,,complete,,fb2926c5-f472-4421-bcf0-e96c1d26dfc8,computer,Desktop or Laptop,Windows 10,Chrome 116.0.0.0,1920x1080,1924x894,,,0,ImplicitDecisionAdventureTask_2Opts,8,MaleBranch,,Male_InOut_Swap,ChineseMale_OutGrp_Swap,1,Trial/Encounter,Delay,4wo1q4,2,timedOut,,6683.8269999761615,6683.589,6683.8269999761615,6683.8269999761615,6683.589,6683.8269999761615,1,6683.8269999761615,0,0,,Time Limit,screen,0,screen,Trial/Encounter,,,,"<em>A gate opens in front of the duo, and a menacing mechanical golem with a crossbow becomes activated.",<em><b>Haoyu</b> lunges forward attempting to force his blade through the protective plate.,<em><b>Haoyu’s</b> sword pierces the plate and destroys the construct before it is able to shoot. He is able to proceed uninjured.,,<em><b>Haoyu’s</b> sword grazes the exterior plate. He is shot by the crossbow and is dealt damage.,6687,Haoyu,In,1,STR,,,John,,,,,,,
10,1695245572162,20/09/2023 21:32:52,1695231172162,-4,20/09/2023 13:32:52,139457,3,task-hng5,,31767164,BLIND,9394818,,complete,,fb2926c5-f472-4421-bcf0-e96c1d26dfc8,computer,Desktop or Laptop,Windows 10,Chrome 116.0.0.0,1920x1080,1924x894,,,0,ImplicitDecisionAdventureTask_2Opts,8,MaleBranch,,Male_InOut_Swap,ChineseMale_OutGrp_Swap,1,Trial/Encounter,PlayerAction,ga3y5r,3,response,Reward,23728.138000011924,23716.111000000004,23728.138000011924,23728.138000011924,23716.111000000004,23728.138000011924,1,23728.138000011924,0,0,decision,Click Response,RewardButton,2,object-70,Trial/Encounter,,,,"<em>A gate opens in front of the duo, and a menacing mechanical golem with a crossbow becomes activated.",<em><b>Haoyu</b> lunges forward attempting to force his blade through the protective plate.,<em><b>Haoyu’s</b> sword pierces the plate and destroys the construct before it is able to shoot. He is able to proceed uninjured.,,<em><b>Haoyu’s</b> sword grazes the exterior plate. He is shot by the crossbow and is dealt damage.,6687,Haoyu,In,1,STR,,,John,,,,,Reward,1,
