Event Index,UTC Timestamp,UTC Date and Time,Local Timestamp,Local Timezone,Local Date and Time,Experiment ID,Experiment Version,Tree Node Key,Repeat Key,Schedule ID,Participant Public ID,Participant Private ID,Participant Starting Group,Participant Status,Participant Completion Code,Participant External Session ID,Participant Device Type,Participant Device,Participant OS,Participant Browser,Participant Monitor Size,Participant Viewport Size,Checkpoint,Room ID,Room Order,Task Name,Task Version,branch-jqbz,randomiser-745l,randomiser-hhua,Spreadsheet,Trial Number,Display,Screen,Screen ID,Screen Counter,Response Type,Response,Onset Time,Clock Time,Reaction Time,Absolute Onset Time,Absolute Clock Time,Absolute Reaction Time,Correct,Response Onset,Response Duration,Proportion,Tag,Component Name,Object Name,Object Number,Object ID,Spreadsheet: display,Spreadsheet: Adventurer1,Spreadsheet: Adventurer2,Spreadsheet: Scenario,Spreadsheet: EncounterIntro,Spreadsheet: PlayerAction,Spreadsheet: RewardFeedback,Spreadsheet: NeutralFeedback,Spreadsheet: PunishFeedback,Spreadsheet: scenDelay,Spreadsheet: Name,Spreadsheet: Group,Spreadsheet: Adv,Spreadsheet: Type,Manipulation: Spreadsheet,Store: pName,Store: participant,Store: respReward,Store: respNeutral,Store: respPunish,Store: decPunish,Store: outcome,Store: RewTally,Store: PunTally
1,1694638737513,13/09/2023 20:58:57,1694620737513,-5,13/09/2023 10:58:57,132991,7,task-c6pi,,31672094,BLIND,9362325,,complete,,8956b9ee-cf4a-4ab7-8e5d-6750980297f7,computer,Desktop or Laptop,Windows 10,Chrome 117.0.0.0,1920x1080,1125x928,,,0,ImplicitDecisionAdventureTask_2Opts,8,FemaleBranch,Female_InIn,,WhiteFemale_InGrp,,,,,,5,BEGIN,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,1694638742741,13/09/2023 20:59:02,1694620742741,-5,13/09/2023 10:59:02,132991,7,task-c6pi,,31672094,BLIND,9362325,,complete,,8956b9ee-cf4a-4ab7-8e5d-6750980297f7,computer,Desktop or Laptop,Windows 10,Chrome 117.0.0.0,1920x1080,1125x928,,,0,ImplicitDecisionAdventureTask_2Opts,8,FemaleBranch,Female_InIn,,WhiteFemale_InGrp,1,Instructions,Instructions,cdub9g,1,response,Next,4699.342999999813,4683.395999999999,4699.342999999813,4699.342999999813,4683.395999999999,4699.342999999813,1,4699.342999999813,0,0,,Click Response,Continue Button,2,object-8,Instructions,,,,,,,,,,,,,,,,,,,,,,,
3,1694638763336,13/09/2023 20:59:23,1694620763336,-5,13/09/2023 10:59:23,132991,7,task-c6pi,,31672094,BLIND,9362325,,complete,,8956b9ee-cf4a-4ab7-8e5d-6750980297f7,computer,Desktop or Laptop,Windows 10,Chrome 117.0.0.0,1920x1080,1125x928,,,0,ImplicitDecisionAdventureTask_2Opts,8,FemaleBranch,Female_InIn,,WhiteFemale_InGrp,1,Instructions,Name,nn5ntg,2,response,Calleigh,6416.745999999999,9283.432,9293.577000000187,6416.745999999999,9283.432,9293.577000000187,1,6416.745999999999,2876.8310000001875,0,pName,Single Text Entry,ParticipantName,2,object-22,Instructions,,,,,,,,,,,,,,,,Calleigh,,,,,,,
4,1694638765325,13/09/2023 20:59:25,1694620765325,-5,13/09/2023 10:59:25,132991,7,task-c6pi,,31672094,BLIND,9362325,,complete,,8956b9ee-cf4a-4ab7-8e5d-6750980297f7,computer,Desktop or Laptop,Windows 10,Chrome 117.0.0.0,1920x1080,1125x928,,,0,ImplicitDecisionAdventureTask_2Opts,8,FemaleBranch,Female_InIn,,WhiteFemale_InGrp,1,Instructions,Delay,7riscs,3,timedOut,,2000.3450000003722,2000.0339999999997,2000.3450000003722,2000.3450000003722,2000.0339999999997,2000.3450000003722,1,2000.3450000003722,0,0,,Time Limit,screen,0,screen,Instructions,,,,,,,,,,,,,,,,Calleigh,,,,,,,
5,1694638780325,13/09/2023 20:59:40,1694620780325,-5,13/09/2023 10:59:40,132991,7,task-c6pi,,31672094,BLIND,9362325,,complete,,8956b9ee-cf4a-4ab7-8e5d-6750980297f7,computer,Desktop or Laptop,Windows 10,Chrome 117.0.0.0,1920x1080,1125x928,,,0,ImplicitDecisionAdventureTask_2Opts,8,FemaleBranch,Female_InIn,,WhiteFemale_InGrp,1,LoadingScreen,LoadScreen,95pybm,1,timedOut,,15000.411,15000.158000000003,15000.411,15000.411,15000.158000000003,15000.411,1,15000.411,0,0,,Time Limit,screen,0,screen,LoadingScreen,Emma,Becky,,,,,,,,,,,,,,Calleigh,,,,,,,
6,1694638789676,13/09/2023 20:59:49,1694620789676,-5,13/09/2023 10:59:49,132991,7,task-c6pi,,31672094,BLIND,9362325,,complete,,8956b9ee-cf4a-4ab7-8e5d-6750980297f7,computer,Desktop or Laptop,Windows 10,Chrome 117.0.0.0,1920x1080,1125x928,,,0,ImplicitDecisionAdventureTask_2Opts,8,FemaleBranch,Female_InIn,,WhiteFemale_InGrp,1,LoadingScreen,LoadingComplete,zy7h74,2,continue,,9350.155000000006,9333.466,9350.155000000006,9350.155000000006,9333.466,9350.155000000006,1,9350.155000000006,0,0,,Click To Continue,Continue Button,2,object-59,LoadingScreen,Emma,Becky,,,,,,,,,,,,,,Calleigh,,,,,,,
7,1694638791387,13/09/2023 20:59:51,1694620791387,-5,13/09/2023 10:59:51,132991,7,task-c6pi,,31672094,BLIND,9362325,,complete,,8956b9ee-cf4a-4ab7-8e5d-6750980297f7,computer,Desktop or Laptop,Windows 10,Chrome 117.0.0.0,1920x1080,1125x928,,,0,ImplicitDecisionAdventureTask_2Opts,8,FemaleBranch,Female_InIn,,WhiteFemale_InGrp,1,ScenarioIntro,ScenarioIntro,ghavr7,1,response,Next,1728.987000000183,1716.5439999999944,1728.987000000183,1728.987000000183,1716.5439999999944,1728.987000000183,1,1728.987000000183,0,0,,Click Response,Continue Button,2,object-62,ScenarioIntro,,,<em>Two traveling adventurers decide to enter a local tournament at a colosseum. The Gauntlet of Trials is a renowned and immensely challenging set of enemies and puzzles. The duo will need to rely on their strength and intelligence to make it through unharmed. Each adventurer will be rewarded proportional to performance.,,,,,,,,,,,,,Calleigh,,,,,,,
8,1694638806267,13/09/2023 21:00:06,1694620806267,-5,13/09/2023 11:00:06,132991,7,task-c6pi,,31672094,BLIND,9362325,,complete,,8956b9ee-cf4a-4ab7-8e5d-6750980297f7,computer,Desktop or Laptop,Windows 10,Chrome 117.0.0.0,1920x1080,1125x928,,,0,ImplicitDecisionAdventureTask_2Opts,8,FemaleBranch,Female_InIn,,WhiteFemale_InGrp,1,Trial/Encounter,EncounterIntro,wtupv3,1,continue,,4607.631999999998,4600.012000000002,4607.631999999998,4607.631999999998,4600.012000000002,4607.631999999998,1,4607.631999999998,0,0,,Click To Continue,Continue Button,2,object-65,Trial/Encounter,,,,"<em>A gate opens in front of the duo, and a menacing mechanical golem with a crossbow becomes activated.",<em><b>Becky</b> lunges forward attempting to force her blade through the protective plate.,<em><b>Becky’s</b> sword pierces the plate and destroys the construct before it is able to shoot. She is able to proceed uninjured.,,<em><b>Becky’s</b> sword grazes the exterior plate. She is shot by the crossbow and is dealt damage.,6687,Becky,In,2,STR,,,Calleigh,,,,,,,
9,1694638814343,13/09/2023 21:00:14,1694620814343,-5,13/09/2023 11:00:14,132991,7,task-c6pi,,31672094,BLIND,9362325,,complete,,8956b9ee-cf4a-4ab7-8e5d-6750980297f7,computer,Desktop or Laptop,Windows 10,Chrome 117.0.0.0,1920x1080,1125x928,,,0,ImplicitDecisionAdventureTask_2Opts,8,FemaleBranch,Female_InIn,,WhiteFemale_InGrp,1,Trial/Encounter,Delay,4wo1q4,2,timedOut,,6683.620999999999,6683.434999999998,6683.620999999999,6683.620999999999,6683.434999999998,6683.620999999999,1,6683.620999999999,0,0,,Time Limit,screen,0,screen,Trial/Encounter,,,,"<em>A gate opens in front of the duo, and a menacing mechanical golem with a crossbow becomes activated.",<em><b>Becky</b> lunges forward attempting to force her blade through the protective plate.,<em><b>Becky’s</b> sword pierces the plate and destroys the construct before it is able to shoot. She is able to proceed uninjured.,,<em><b>Becky’s</b> sword grazes the exterior plate. She is shot by the crossbow and is dealt damage.,6687,Becky,In,2,STR,,,Calleigh,,,,,,,
10,1694638830915,13/09/2023 21:00:30,1694620830915,-5,13/09/2023 11:00:30,132991,7,task-c6pi,,31672094,BLIND,9362325,,complete,,8956b9ee-cf4a-4ab7-8e5d-6750980297f7,computer,Desktop or Laptop,Windows 10,Chrome 117.0.0.0,1920x1080,1125x928,,,0,ImplicitDecisionAdventureTask_2Opts,8,FemaleBranch,Female_InIn,,WhiteFemale_InGrp,1,Trial/Encounter,PlayerAction,ga3y5r,3,response,Reward,16570.386000000188,16566.861000000004,16570.386000000188,16570.386000000188,16566.861000000004,16570.386000000188,1,16570.386000000188,0,0,decision,Click Response,RewardButton,2,object-70,Trial/Encounter,,,,"<em>A gate opens in front of the duo, and a menacing mechanical golem with a crossbow becomes activated.",<em><b>Becky</b> lunges forward attempting to force her blade through the protective plate.,<em><b>Becky’s</b> sword pierces the plate and destroys the construct before it is able to shoot. She is able to proceed uninjured.,,<em><b>Becky’s</b> sword grazes the exterior plate. She is shot by the crossbow and is dealt damage.,6687,Becky,In,2,STR,,,Calleigh,,,,,Reward,1,
