Event Index,UTC Timestamp,UTC Date and Time,Local Timestamp,Local Timezone,Local Date and Time,Experiment ID,Experiment Version,Tree Node Key,Repeat Key,Schedule ID,Participant Public ID,Participant Private ID,Participant Starting Group,Participant Status,Participant Completion Code,Participant External Session ID,Participant Device Type,Participant Device,Participant OS,Participant Browser,Participant Monitor Size,Participant Viewport Size,Checkpoint,Room ID,Room Order,Task Name,Task Version,branch-jqbz,randomiser-745l,randomiser-hhua,Spreadsheet,Trial Number,Display,Screen,Screen ID,Screen Counter,Response Type,Response,Onset Time,Clock Time,Reaction Time,Absolute Onset Time,Absolute Clock Time,Absolute Reaction Time,Correct,Response Onset,Response Duration,Proportion,Tag,Component Name,Object Name,Object Number,Object ID,Spreadsheet: display,Spreadsheet: Adventurer1,Spreadsheet: Adventurer2,Spreadsheet: Scenario,Spreadsheet: EncounterIntro,Spreadsheet: PlayerAction,Spreadsheet: RewardFeedback,Spreadsheet: NeutralFeedback,Spreadsheet: PunishFeedback,Spreadsheet: scenDelay,Spreadsheet: Name,Spreadsheet: Group,Spreadsheet: Adv,Spreadsheet: Type,Manipulation: Spreadsheet,Store: pName,Store: participant,Store: respReward,Store: respNeutral,Store: respPunish,Store: decPunish,Store: outcome,Store: RewTally,Store: PunTally
1,1694635145242,13/09/2023 19:59:05,1694620745242,-4,13/09/2023 11:59:05,132991,7,task-xusd,,31672098,BLIND,9362341,,complete,,cf5216a8-d08d-4103-a952-4871799e036b,computer,Desktop or Laptop,Windows 10,Firefox 117.0,1440x900,1440x747,,,0,ImplicitDecisionAdventureTask_2Opts,8,FemaleBranch,Female_InIn_Swap,,WhiteFemale_InGrp_Swap,,,,,,5,BEGIN,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,1694635161616,13/09/2023 19:59:21,1694620761616,-4,13/09/2023 11:59:21,132991,7,task-xusd,,31672098,BLIND,9362341,,complete,,cf5216a8-d08d-4103-a952-4871799e036b,computer,Desktop or Laptop,Windows 10,Firefox 117.0,1440x900,1440x747,,,0,ImplicitDecisionAdventureTask_2Opts,8,FemaleBranch,Female_InIn_Swap,,WhiteFemale_InGrp_Swap,1,Instructions,Instructions,cdub9g,1,timedOut,,15996.36,15996.119999999999,15996.36,15996.36,15996.119999999999,15996.36,1,15996.36,0,0,,Time Limit,screen,0,screen,Instructions,,,,,,,,,,,,,,,,,,,,,,,
3,1694635166566,13/09/2023 19:59:26,1694620766566,-4,13/09/2023 11:59:26,132991,7,task-xusd,,31672098,BLIND,9362341,,complete,,cf5216a8-d08d-4103-a952-4871799e036b,computer,Desktop or Laptop,Windows 10,Firefox 117.0,1440x900,1440x747,,,0,ImplicitDecisionAdventureTask_2Opts,8,FemaleBranch,Female_InIn_Swap,,WhiteFemale_InGrp_Swap,1,Instructions,Name,nn5ntg,2,response,Rochelle,2588.16,4942.440000000002,4950.240000000002,2588.16,4942.440000000002,4950.240000000002,1,2588.16,2362.0800000000017,0,pName,Single Text Entry,ParticipantName,2,object-22,Instructions,,,,,,,,,,,,,,,,Rochelle,,,,,,,
4,1694635168561,13/09/2023 19:59:28,1694620768561,-4,13/09/2023 11:59:28,132991,7,task-xusd,,31672098,BLIND,9362341,,complete,,cf5216a8-d08d-4103-a952-4871799e036b,computer,Desktop or Laptop,Windows 10,Firefox 117.0,1440x900,1440x747,,,0,ImplicitDecisionAdventureTask_2Opts,8,FemaleBranch,Female_InIn_Swap,,WhiteFemale_InGrp_Swap,1,Instructions,Delay,7riscs,3,timedOut,,2004.7999999999993,2003.739999999998,2004.7999999999993,2004.7999999999993,2003.739999999998,2004.7999999999993,1,2004.7999999999993,0,0,,Time Limit,screen,0,screen,Instructions,,,,,,,,,,,,,,,,Rochelle,,,,,,,
5,1694635183556,13/09/2023 19:59:43,1694620783556,-4,13/09/2023 11:59:43,132991,7,task-xusd,,31672098,BLIND,9362341,,complete,,cf5216a8-d08d-4103-a952-4871799e036b,computer,Desktop or Laptop,Windows 10,Firefox 117.0,1440x900,1440x815,,,0,ImplicitDecisionAdventureTask_2Opts,8,FemaleBranch,Female_InIn_Swap,,WhiteFemale_InGrp_Swap,1,LoadingScreen,LoadScreen,95pybm,1,timedOut,,14994.240000000002,14994.240000000002,14994.240000000002,14994.240000000002,14994.240000000002,14994.240000000002,1,14994.240000000002,0,0,,Time Limit,screen,0,screen,LoadingScreen,Emma,Becky,,,,,,,,,,,,,,Rochelle,,,,,,,
6,1694635185261,13/09/2023 19:59:45,1694620785261,-4,13/09/2023 11:59:45,132991,7,task-xusd,,31672098,BLIND,9362341,,complete,,cf5216a8-d08d-4103-a952-4871799e036b,computer,Desktop or Laptop,Windows 10,Firefox 117.0,1440x900,1440x815,,,0,ImplicitDecisionAdventureTask_2Opts,8,FemaleBranch,Female_InIn_Swap,,WhiteFemale_InGrp_Swap,1,LoadingScreen,LoadingComplete,zy7h74,2,continue,,1704.8199999999997,1703.0800000000017,1704.8199999999997,1704.8199999999997,1703.0800000000017,1704.8199999999997,1,1704.8199999999997,0,0,,Click To Continue,Continue Button,2,object-59,LoadingScreen,Emma,Becky,,,,,,,,,,,,,,Rochelle,,,,,,,
7,1694635197265,13/09/2023 19:59:57,1694620797265,-4,13/09/2023 11:59:57,132991,7,task-xusd,,31672098,BLIND,9362341,,complete,,cf5216a8-d08d-4103-a952-4871799e036b,computer,Desktop or Laptop,Windows 10,Firefox 117.0,1440x900,1440x815,,,0,ImplicitDecisionAdventureTask_2Opts,8,FemaleBranch,Female_InIn_Swap,,WhiteFemale_InGrp_Swap,1,ScenarioIntro,ScenarioIntro,ghavr7,1,timedOut,,12005.739999999998,12005.479999999996,12005.739999999998,12005.739999999998,12005.479999999996,12005.739999999998,1,12005.739999999998,0,0,,Time Limit,screen,0,screen,ScenarioIntro,,,<em>Two traveling adventurers decide to enter a local tournament at a colosseum. The Gauntlet of Trials is a renowned and immensely challenging set of enemies and puzzles. The duo will need to rely on their strength and intelligence to make it through unharmed. Each adventurer will be rewarded proportional to performance.,,,,,,,,,,,,,Rochelle,,,,,,,
8,1694635203259,13/09/2023 20:00:03,1694620803259,-4,13/09/2023 12:00:03,132991,7,task-xusd,,31672098,BLIND,9362341,,complete,,cf5216a8-d08d-4103-a952-4871799e036b,computer,Desktop or Laptop,Windows 10,Firefox 117.0,1440x900,1440x815,,,0,ImplicitDecisionAdventureTask_2Opts,8,FemaleBranch,Female_InIn_Swap,,WhiteFemale_InGrp_Swap,1,Trial/Encounter,EncounterIntro,wtupv3,1,timedOut,,5994.32,5994.32,5994.32,5994.32,5994.32,5994.32,1,5994.32,0,0,,Time Limit,screen,0,screen,Trial/Encounter,,,,"<em>A gate opens in front of the duo, and a menacing mechanical golem with a crossbow becomes activated.",<em><b>Emma</b> lunges forward attempting to force her blade through the protective plate.,<em><b>Emma’s</b> sword pierces the plate and destroys the construct before it is able to shoot. She is able to proceed uninjured.,,<em><b>Emma’s</b> sword grazes the exterior plate. She is shot by the crossbow and is dealt damage.,6687,Emma,In,1,STR,,,Rochelle,,,,,,,
9,1694635209938,13/09/2023 20:00:09,1694620809938,-4,13/09/2023 12:00:09,132991,7,task-xusd,,31672098,BLIND,9362341,,complete,,cf5216a8-d08d-4103-a952-4871799e036b,computer,Desktop or Laptop,Windows 10,Firefox 117.0,1440x900,1440x815,,,0,ImplicitDecisionAdventureTask_2Opts,8,FemaleBranch,Female_InIn_Swap,,WhiteFemale_InGrp_Swap,1,Trial/Encounter,Delay,4wo1q4,2,timedOut,,6678.960000000006,6678.960000000006,6678.960000000006,6678.960000000006,6678.960000000006,6678.960000000006,1,6678.960000000006,0,0,,Time Limit,screen,0,screen,Trial/Encounter,,,,"<em>A gate opens in front of the duo, and a menacing mechanical golem with a crossbow becomes activated.",<em><b>Emma</b> lunges forward attempting to force her blade through the protective plate.,<em><b>Emma’s</b> sword pierces the plate and destroys the construct before it is able to shoot. She is able to proceed uninjured.,,<em><b>Emma’s</b> sword grazes the exterior plate. She is shot by the crossbow and is dealt damage.,6687,Emma,In,1,STR,,,Rochelle,,,,,,,
10,1694635229543,13/09/2023 20:00:29,1694620829543,-4,13/09/2023 12:00:29,132991,7,task-xusd,,31672098,BLIND,9362341,,complete,,cf5216a8-d08d-4103-a952-4871799e036b,computer,Desktop or Laptop,Windows 10,Firefox 117.0,1440x900,1440x815,,,0,ImplicitDecisionAdventureTask_2Opts,8,FemaleBranch,Female_InIn_Swap,,WhiteFemale_InGrp_Swap,1,Trial/Encounter,PlayerAction,ga3y5r,3,response,Punish,19603.979999999996,19602.78,19603.979999999996,19603.979999999996,19602.78,19603.979999999996,1,19603.979999999996,0,0,decision,Click Response,PunishButton,3,object-69,Trial/Encounter,,,,"<em>A gate opens in front of the duo, and a menacing mechanical golem with a crossbow becomes activated.",<em><b>Emma</b> lunges forward attempting to force her blade through the protective plate.,<em><b>Emma’s</b> sword pierces the plate and destroys the construct before it is able to shoot. She is able to proceed uninjured.,,<em><b>Emma’s</b> sword grazes the exterior plate. She is shot by the crossbow and is dealt damage.,6687,Emma,In,1,STR,,,Rochelle,,,,,Punish,,1
