Event Index,UTC Timestamp,UTC Date and Time,Local Timestamp,Local Timezone,Local Date and Time,Experiment ID,Experiment Version,Tree Node Key,Repeat Key,Schedule ID,Participant Public ID,Participant Private ID,Participant Starting Group,Participant Status,Participant Completion Code,Participant External Session ID,Participant Device Type,Participant Device,Participant OS,Participant Browser,Participant Monitor Size,Participant Viewport Size,Checkpoint,Room ID,Room Order,Task Name,Task Version,branch-jqbz,randomiser-745l,randomiser-hhua,Spreadsheet,Trial Number,Display,Screen,Screen ID,Screen Counter,Response Type,Response,Onset Time,Clock Time,Reaction Time,Absolute Onset Time,Absolute Clock Time,Absolute Reaction Time,Correct,Response Onset,Response Duration,Proportion,Tag,Component Name,Object Name,Object Number,Object ID,Spreadsheet: display,Spreadsheet: Adventurer1,Spreadsheet: Adventurer2,Spreadsheet: Scenario,Spreadsheet: EncounterIntro,Spreadsheet: PlayerAction,Spreadsheet: RewardFeedback,Spreadsheet: NeutralFeedback,Spreadsheet: PunishFeedback,Spreadsheet: scenDelay,Spreadsheet: Name,Spreadsheet: Group,Spreadsheet: Adv,Spreadsheet: Type,Manipulation: Spreadsheet,Store: pName,Store: participant,Store: respReward,Store: respNeutral,Store: respPunish,Store: decPunish,Store: outcome,Store: RewTally,Store: PunTally
1,1694638637398,13/09/2023 20:57:17,1694620637398,-5,13/09/2023 10:57:17,132991,7,task-il2c,,31671996,BLIND,9362305,,complete,,67a486cf-4669-40f4-a6ed-5345ed3cc7d4,computer,Desktop or Laptop,Windows 10,Chrome 116.0.0.0,1920x1080,1536x745,,,0,ImplicitDecisionAdventureTask_2Opts,8,FemaleBranch,Female_InOut_Swap,,WhiteFemale_OutGrp_Swap,,,,,,5,BEGIN,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,1694638654162,13/09/2023 20:57:34,1694620654162,-5,13/09/2023 10:57:34,132991,7,task-il2c,,31671996,BLIND,9362305,,complete,,67a486cf-4669-40f4-a6ed-5345ed3cc7d4,computer,Desktop or Laptop,Windows 10,Chrome 116.0.0.0,1920x1080,1536x745,,,0,ImplicitDecisionAdventureTask_2Opts,8,FemaleBranch,Female_InOut_Swap,,WhiteFemale_OutGrp_Swap,1,Instructions,Instructions,cdub9g,1,timedOut,,16001.180999713899,15999.300000000003,16001.180999713899,16001.180999713899,15999.300000000003,16001.180999713899,1,16001.180999713899,0,0,,Time Limit,screen,0,screen,Instructions,,,,,,,,,,,,,,,,,,,,,,,
3,1694638663423,13/09/2023 20:57:43,1694620663423,-5,13/09/2023 10:57:43,132991,7,task-il2c,,31671996,BLIND,9362305,,complete,,67a486cf-4669-40f4-a6ed-5345ed3cc7d4,computer,Desktop or Laptop,Windows 10,Chrome 116.0.0.0,1920x1080,1536x745,,,0,ImplicitDecisionAdventureTask_2Opts,8,FemaleBranch,Female_InOut_Swap,,WhiteFemale_OutGrp_Swap,1,Instructions,Name,nn5ntg,2,response,Jason,5555.531999999999,9242.396999999997,9258.979999999996,5555.531999999999,9242.396999999997,9258.979999999996,1,5555.531999999999,3703.4479999999967,0,pName,Single Text Entry,ParticipantName,2,object-22,Instructions,,,,,,,,,,,,,,,,Jason,,,,,,,
4,1694638665408,13/09/2023 20:57:45,1694620665408,-5,13/09/2023 10:57:45,132991,7,task-il2c,,31671996,BLIND,9362305,,complete,,67a486cf-4669-40f4-a6ed-5345ed3cc7d4,computer,Desktop or Laptop,Windows 10,Chrome 116.0.0.0,1920x1080,1536x745,,,0,ImplicitDecisionAdventureTask_2Opts,8,FemaleBranch,Female_InOut_Swap,,WhiteFemale_OutGrp_Swap,1,Instructions,Delay,7riscs,3,timedOut,,2005.0839996185314,2002.073000000004,2005.0839996185314,2005.0839996185314,2002.073000000004,2005.0839996185314,1,2005.0839996185314,0,0,,Time Limit,screen,0,screen,Instructions,,,,,,,,,,,,,,,,Jason,,,,,,,
5,1694638680405,13/09/2023 20:58:00,1694620680405,-5,13/09/2023 10:58:00,132991,7,task-il2c,,31671996,BLIND,9362305,,complete,,67a486cf-4669-40f4-a6ed-5345ed3cc7d4,computer,Desktop or Laptop,Windows 10,Chrome 116.0.0.0,1920x1080,1536x745,,,0,ImplicitDecisionAdventureTask_2Opts,8,FemaleBranch,Female_InOut_Swap,,WhiteFemale_OutGrp_Swap,1,LoadingScreen,LoadScreen,95pybm,1,timedOut,,14999.910999713895,14998.369999999995,14999.910999713895,14999.910999713895,14998.369999999995,14999.910999713895,1,14999.910999713895,0,0,,Time Limit,screen,0,screen,LoadingScreen,Emma,Yuxi,,,,,,,,,,,,,,Jason,,,,,,,
6,1694638682350,13/09/2023 20:58:02,1694620682350,-5,13/09/2023 10:58:02,132991,7,task-il2c,,31671996,BLIND,9362305,,complete,,67a486cf-4669-40f4-a6ed-5345ed3cc7d4,computer,Desktop or Laptop,Windows 10,Chrome 116.0.0.0,1920x1080,1536x745,,,0,ImplicitDecisionAdventureTask_2Opts,8,FemaleBranch,Female_InOut_Swap,,WhiteFemale_OutGrp_Swap,1,LoadingScreen,LoadingComplete,zy7h74,2,continue,,1947.2410000000018,1935.1529999999984,1947.2410000000018,1947.2410000000018,1935.1529999999984,1947.2410000000018,1,1947.2410000000018,0,0,,Click To Continue,Continue Button,2,object-59,LoadingScreen,Emma,Yuxi,,,,,,,,,,,,,,Jason,,,,,,,
7,1694638694336,13/09/2023 20:58:14,1694620694336,-5,13/09/2023 10:58:14,132991,7,task-il2c,,31671996,BLIND,9362305,,complete,,67a486cf-4669-40f4-a6ed-5345ed3cc7d4,computer,Desktop or Laptop,Windows 10,Chrome 116.0.0.0,1920x1080,1536x745,,,0,ImplicitDecisionAdventureTask_2Opts,8,FemaleBranch,Female_InOut_Swap,,WhiteFemale_OutGrp_Swap,1,ScenarioIntro,ScenarioIntro,ghavr7,1,timedOut,,11997.588000000003,11995.423000000003,11997.588000000003,11997.588000000003,11995.423000000003,11997.588000000003,1,11997.588000000003,0,0,,Time Limit,screen,0,screen,ScenarioIntro,,,<em>Two traveling adventurers decide to enter a local tournament at a colosseum. The Gauntlet of Trials is a renowned and immensely challenging set of enemies and puzzles. The duo will need to rely on their strength and intelligence to make it through unharmed. Each adventurer will be rewarded proportional to performance.,,,,,,,,,,,,,Jason,,,,,,,
8,1694638700341,13/09/2023 20:58:20,1694620700341,-5,13/09/2023 10:58:20,132991,7,task-il2c,,31671996,BLIND,9362305,,complete,,67a486cf-4669-40f4-a6ed-5345ed3cc7d4,computer,Desktop or Laptop,Windows 10,Chrome 116.0.0.0,1920x1080,1536x745,,,0,ImplicitDecisionAdventureTask_2Opts,8,FemaleBranch,Female_InOut_Swap,,WhiteFemale_OutGrp_Swap,1,Trial/Encounter,EncounterIntro,wtupv3,1,timedOut,,6007.564999618531,6006.010000000002,6007.564999618531,6007.564999618531,6006.010000000002,6007.564999618531,1,6007.564999618531,0,0,,Time Limit,screen,0,screen,Trial/Encounter,,,,"<em>A gate opens in front of the duo, and a menacing mechanical golem with a crossbow becomes activated.",<em><b>Emma</b> lunges forward attempting to force her blade through the protective plate.,<em><b>Emma’s</b> sword pierces the plate and destroys the construct before it is able to shoot. She is able to proceed uninjured.,,<em><b>Emma’s</b> sword grazes the exterior plate. She is shot by the crossbow and is dealt damage.,6687,Emma,In,1,STR,,,Jason,,,,,,,
9,1694638707032,13/09/2023 20:58:27,1694620707032,-5,13/09/2023 10:58:27,132991,7,task-il2c,,31671996,BLIND,9362305,,complete,,67a486cf-4669-40f4-a6ed-5345ed3cc7d4,computer,Desktop or Laptop,Windows 10,Chrome 116.0.0.0,1920x1080,1536x745,,,0,ImplicitDecisionAdventureTask_2Opts,8,FemaleBranch,Female_InOut_Swap,,WhiteFemale_OutGrp_Swap,1,Trial/Encounter,Delay,4wo1q4,2,timedOut,,6692.654999999999,6689.907999999996,6692.654999999999,6692.654999999999,6689.907999999996,6692.654999999999,1,6692.654999999999,0,0,,Time Limit,screen,0,screen,Trial/Encounter,,,,"<em>A gate opens in front of the duo, and a menacing mechanical golem with a crossbow becomes activated.",<em><b>Emma</b> lunges forward attempting to force her blade through the protective plate.,<em><b>Emma’s</b> sword pierces the plate and destroys the construct before it is able to shoot. She is able to proceed uninjured.,,<em><b>Emma’s</b> sword grazes the exterior plate. She is shot by the crossbow and is dealt damage.,6687,Emma,In,1,STR,,,Jason,,,,,,,
10,1694638719302,13/09/2023 20:58:39,1694620719302,-5,13/09/2023 10:58:39,132991,7,task-il2c,,31671996,BLIND,9362305,,complete,,67a486cf-4669-40f4-a6ed-5345ed3cc7d4,computer,Desktop or Laptop,Windows 10,Chrome 116.0.0.0,1920x1080,1536x745,,,0,ImplicitDecisionAdventureTask_2Opts,8,FemaleBranch,Female_InOut_Swap,,WhiteFemale_OutGrp_Swap,1,Trial/Encounter,PlayerAction,ga3y5r,3,response,Punish,12262.376000000004,12245.652000000002,12262.376000000004,12262.376000000004,12245.652000000002,12262.376000000004,1,12262.376000000004,0,0,decision,Click Response,PunishButton,3,object-69,Trial/Encounter,,,,"<em>A gate opens in front of the duo, and a menacing mechanical golem with a crossbow becomes activated.",<em><b>Emma</b> lunges forward attempting to force her blade through the protective plate.,<em><b>Emma’s</b> sword pierces the plate and destroys the construct before it is able to shoot. She is able to proceed uninjured.,,<em><b>Emma’s</b> sword grazes the exterior plate. She is shot by the crossbow and is dealt damage.,6687,Emma,In,1,STR,,,Jason,,,,,Punish,,1
