Event Index,UTC Timestamp,UTC Date and Time,Local Timestamp,Local Timezone,Local Date and Time,Experiment ID,Experiment Version,Tree Node Key,Repeat Key,Schedule ID,Participant Public ID,Participant Private ID,Participant Starting Group,Participant Status,Participant Completion Code,Participant External Session ID,Participant Device Type,Participant Device,Participant OS,Participant Browser,Participant Monitor Size,Participant Viewport Size,Checkpoint,Room ID,Room Order,Task Name,Task Version,branch-jqbz,randomiser-745l,randomiser-hhua,Spreadsheet,Trial Number,Display,Screen,Screen ID,Screen Counter,Response Type,Response,Onset Time,Clock Time,Reaction Time,Absolute Onset Time,Absolute Clock Time,Absolute Reaction Time,Correct,Response Onset,Response Duration,Proportion,Tag,Component Name,Object Name,Object Number,Object ID,Spreadsheet: display,Spreadsheet: Adventurer1,Spreadsheet: Adventurer2,Spreadsheet: Scenario,Spreadsheet: EncounterIntro,Spreadsheet: PlayerAction,Spreadsheet: RewardFeedback,Spreadsheet: NeutralFeedback,Spreadsheet: PunishFeedback,Spreadsheet: scenDelay,Spreadsheet: Name,Spreadsheet: Group,Spreadsheet: Adv,Spreadsheet: Type,Manipulation: Spreadsheet,Store: pName,Store: participant,Store: respReward,Store: respNeutral,Store: respPunish,Store: decPunish,Store: outcome,Store: RewTally,Store: PunTally
1,1694638719245,13/09/2023 20:58:39,1694620719245,-5,13/09/2023 10:58:39,132991,7,task-iyxr,,31672078,BLIND,9362320,,complete,,c69b201a-de95-4b81-b921-e5f262af6515,computer,Desktop or Laptop,Windows 10,Firefox 117.0,1920x1080,1920x947,,,0,ImplicitDecisionAdventureTask_2Opts,8,MaleBranch,,Male_InIn,WhiteMale_InGrp,,,,,,5,BEGIN,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,1694638735364,13/09/2023 20:58:55,1694620735364,-5,13/09/2023 10:58:55,132991,7,task-iyxr,,31672078,BLIND,9362320,,complete,,c69b201a-de95-4b81-b921-e5f262af6515,computer,Desktop or Laptop,Windows 10,Firefox 117.0,1920x1080,1920x947,,,0,ImplicitDecisionAdventureTask_2Opts,8,MaleBranch,,Male_InIn,WhiteMale_InGrp,1,Instructions,Instructions,cdub9g,1,timedOut,,16001.119999999999,16000.5,16001.119999999999,16001.119999999999,16000.5,16001.119999999999,1,16001.119999999999,0,0,,Time Limit,screen,0,screen,Instructions,,,,,,,,,,,,,,,,,,,,,,,
3,1694638740296,13/09/2023 20:59:00,1694620740296,-5,13/09/2023 10:59:00,132991,7,task-iyxr,,31672078,BLIND,9362320,,complete,,c69b201a-de95-4b81-b921-e5f262af6515,computer,Desktop or Laptop,Windows 10,Firefox 117.0,1920x1080,1920x947,,,0,ImplicitDecisionAdventureTask_2Opts,8,MaleBranch,,Male_InIn,WhiteMale_InGrp,1,Instructions,Name,nn5ntg,2,response,Martin,1866.619999999999,4916.759999999998,4932.619999999999,1866.619999999999,4916.759999999998,4932.619999999999,1,1866.619999999999,3066,0,pName,Single Text Entry,ParticipantName,2,object-22,Instructions,,,,,,,,,,,,,,,,Martin,,,,,,,
4,1694638742279,13/09/2023 20:59:02,1694620742279,-5,13/09/2023 10:59:02,132991,7,task-iyxr,,31672078,BLIND,9362320,,complete,,c69b201a-de95-4b81-b921-e5f262af6515,computer,Desktop or Laptop,Windows 10,Firefox 117.0,1920x1080,1920x947,,,0,ImplicitDecisionAdventureTask_2Opts,8,MaleBranch,,Male_InIn,WhiteMale_InGrp,1,Instructions,Delay,7riscs,3,timedOut,,2001.8600000000006,2000.0800000000017,2001.8600000000006,2001.8600000000006,2000.0800000000017,2001.8600000000006,1,2001.8600000000006,0,0,,Time Limit,screen,0,screen,Instructions,,,,,,,,,,,,,,,,Martin,,,,,,,
5,1694638757280,13/09/2023 20:59:17,1694620757280,-5,13/09/2023 10:59:17,132991,7,task-iyxr,,31672078,BLIND,9362320,,complete,,c69b201a-de95-4b81-b921-e5f262af6515,computer,Desktop or Laptop,Windows 10,Firefox 117.0,1920x1080,1920x947,,,0,ImplicitDecisionAdventureTask_2Opts,8,MaleBranch,,Male_InIn,WhiteMale_InGrp,1,LoadingScreen,LoadScreen,95pybm,1,timedOut,,15000.779999999999,15000.400000000001,15000.779999999999,15000.779999999999,15000.400000000001,15000.779999999999,1,15000.779999999999,0,0,,Time Limit,screen,0,screen,LoadingScreen,Jack,Spencer,,,,,,,,,,,,,,Martin,,,,,,,
6,1694638759458,13/09/2023 20:59:19,1694620759458,-5,13/09/2023 10:59:19,132991,7,task-iyxr,,31672078,BLIND,9362320,,complete,,c69b201a-de95-4b81-b921-e5f262af6515,computer,Desktop or Laptop,Windows 10,Firefox 117.0,1920x1080,1920x947,,,0,ImplicitDecisionAdventureTask_2Opts,8,MaleBranch,,Male_InIn,WhiteMale_InGrp,1,LoadingScreen,LoadingComplete,zy7h74,2,continue,,2179.3799999999974,2166.699999999997,2179.3799999999974,2179.3799999999974,2166.699999999997,2179.3799999999974,1,2179.3799999999974,0,0,,Click To Continue,Continue Button,2,object-59,LoadingScreen,Jack,Spencer,,,,,,,,,,,,,,Martin,,,,,,,
7,1694638771447,13/09/2023 20:59:31,1694620771447,-5,13/09/2023 10:59:31,132991,7,task-iyxr,,31672078,BLIND,9362320,,complete,,c69b201a-de95-4b81-b921-e5f262af6515,computer,Desktop or Laptop,Windows 10,Firefox 117.0,1920x1080,1920x947,,,0,ImplicitDecisionAdventureTask_2Opts,8,MaleBranch,,Male_InIn,WhiteMale_InGrp,1,ScenarioIntro,ScenarioIntro,ghavr7,1,timedOut,,12000.68,12000.340000000004,12000.68,12000.68,12000.340000000004,12000.68,1,12000.68,0,0,,Time Limit,screen,0,screen,ScenarioIntro,,,<em>Two traveling adventurers decide to enter a local tournament at a colosseum. The Gauntlet of Trials is a renowned and immensely challenging set of enemies and puzzles. The duo will need to rely on their strength and intelligence to make it through unharmed. Each adventurer will be rewarded proportional to performance.,,,,,,,,,,,,,Martin,,,,,,,
8,1694638777448,13/09/2023 20:59:37,1694620777448,-5,13/09/2023 10:59:37,132991,7,task-iyxr,,31672078,BLIND,9362320,,complete,,c69b201a-de95-4b81-b921-e5f262af6515,computer,Desktop or Laptop,Windows 10,Firefox 117.0,1920x1080,1920x947,,,0,ImplicitDecisionAdventureTask_2Opts,8,MaleBranch,,Male_InIn,WhiteMale_InGrp,1,Trial/Encounter,EncounterIntro,wtupv3,1,timedOut,,6001.3399999999965,6000.179999999993,6001.3399999999965,6001.3399999999965,6000.179999999993,6001.3399999999965,1,6001.3399999999965,0,0,,Time Limit,screen,0,screen,Trial/Encounter,,,,"<em>A gate opens in front of the duo, and a menacing mechanical golem with a crossbow becomes activated.",<em><b>Spencer</b> lunges forward attempting to force his blade through the protective plate.,<em><b>Spencer’s</b> sword pierces the plate and destroys the construct before it is able to shoot. He is able to proceed uninjured.,,<em><b>Spencer’s</b> sword grazes the exterior plate. He is shot by the crossbow and is dealt damage.,6687,Spencer,In,2,STR,,,Martin,,,,,,,
9,1694638784130,13/09/2023 20:59:44,1694620784130,-5,13/09/2023 10:59:44,132991,7,task-iyxr,,31672078,BLIND,9362320,,complete,,c69b201a-de95-4b81-b921-e5f262af6515,computer,Desktop or Laptop,Windows 10,Firefox 117.0,1920x1080,1920x947,,,0,ImplicitDecisionAdventureTask_2Opts,8,MaleBranch,,Male_InIn,WhiteMale_InGrp,1,Trial/Encounter,Delay,4wo1q4,2,timedOut,,6684.1600000000035,6683.540000000008,6684.1600000000035,6684.1600000000035,6683.540000000008,6684.1600000000035,1,6684.1600000000035,0,0,,Time Limit,screen,0,screen,Trial/Encounter,,,,"<em>A gate opens in front of the duo, and a menacing mechanical golem with a crossbow becomes activated.",<em><b>Spencer</b> lunges forward attempting to force his blade through the protective plate.,<em><b>Spencer’s</b> sword pierces the plate and destroys the construct before it is able to shoot. He is able to proceed uninjured.,,<em><b>Spencer’s</b> sword grazes the exterior plate. He is shot by the crossbow and is dealt damage.,6687,Spencer,In,2,STR,,,Martin,,,,,,,
10,1694638797106,13/09/2023 20:59:57,1694620797106,-5,13/09/2023 10:59:57,132991,7,task-iyxr,,31672078,BLIND,9362320,,complete,,c69b201a-de95-4b81-b921-e5f262af6515,computer,Desktop or Laptop,Windows 10,Firefox 117.0,1920x1080,1920x947,,,0,ImplicitDecisionAdventureTask_2Opts,8,MaleBranch,,Male_InIn,WhiteMale_InGrp,1,Trial/Encounter,PlayerAction,ga3y5r,3,response,Reward,12974.619999999995,12967,12974.619999999995,12974.619999999995,12967,12974.619999999995,1,12974.619999999995,0,0,decision,Click Response,RewardButton,2,object-70,Trial/Encounter,,,,"<em>A gate opens in front of the duo, and a menacing mechanical golem with a crossbow becomes activated.",<em><b>Spencer</b> lunges forward attempting to force his blade through the protective plate.,<em><b>Spencer’s</b> sword pierces the plate and destroys the construct before it is able to shoot. He is able to proceed uninjured.,,<em><b>Spencer’s</b> sword grazes the exterior plate. He is shot by the crossbow and is dealt damage.,6687,Spencer,In,2,STR,,,Martin,,,,,Reward,1,
