Event Index,UTC Timestamp,UTC Date and Time,Local Timestamp,Local Timezone,Local Date and Time,Experiment ID,Experiment Version,Tree Node Key,Repeat Key,Schedule ID,Participant Public ID,Participant Private ID,Participant Starting Group,Participant Status,Participant Completion Code,Participant External Session ID,Participant Device Type,Participant Device,Participant OS,Participant Browser,Participant Monitor Size,Participant Viewport Size,Checkpoint,Room ID,Room Order,Task Name,Task Version,branch-jqbz,randomiser-745l,randomiser-hhua,Spreadsheet,Trial Number,Display,Screen,Screen ID,Screen Counter,Response Type,Response,Onset Time,Clock Time,Reaction Time,Absolute Onset Time,Absolute Clock Time,Absolute Reaction Time,Correct,Response Onset,Response Duration,Proportion,Tag,Component Name,Object Name,Object Number,Object ID,Spreadsheet: display,Spreadsheet: Adventurer1,Spreadsheet: Adventurer2,Spreadsheet: Scenario,Spreadsheet: EncounterIntro,Spreadsheet: PlayerAction,Spreadsheet: RewardFeedback,Spreadsheet: NeutralFeedback,Spreadsheet: PunishFeedback,Spreadsheet: scenDelay,Spreadsheet: Name,Spreadsheet: Group,Spreadsheet: Adv,Spreadsheet: Type,Manipulation: Spreadsheet,Store: pName,Store: participant,Store: respReward,Store: respNeutral,Store: respPunish,Store: decPunish,Store: outcome,Store: RewTally,Store: PunTally
1,1694645584865,13/09/2023 22:53:04,1694620384865,-7,13/09/2023 08:53:04,132991,7,task-xyd7,,31671832,BLIND,9362285,,complete,,9c20b238-139d-4c44-8bad-341efc394d5e,computer,Desktop or Laptop,Windows 10,Chrome 116.0.0.0,1366x768,1366x651,,,0,ImplicitDecisionAdventureTask_2Opts,8,MaleBranch,,Male_InIn_Swap,WhiteMale_InGrp_Swap,,,,,,5,BEGIN,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,1694645601485,13/09/2023 22:53:21,1694620401485,-7,13/09/2023 08:53:21,132991,7,task-xyd7,,31671832,BLIND,9362285,,complete,,9c20b238-139d-4c44-8bad-341efc394d5e,computer,Desktop or Laptop,Windows 10,Chrome 116.0.0.0,1366x768,1707x813,,,0,ImplicitDecisionAdventureTask_2Opts,8,MaleBranch,,Male_InIn_Swap,WhiteMale_InGrp_Swap,1,Instructions,Instructions,cdub9g,1,timedOut,,16001.569000023843,15998.933,16001.569000023843,16001.569000023843,15998.933,16001.569000023843,1,16001.569000023843,0,0,,Time Limit,screen,0,screen,Instructions,,,,,,,,,,,,,,,,,,,,,,,
3,1694645609456,13/09/2023 22:53:29,1694620409456,-7,13/09/2023 08:53:29,132991,7,task-xyd7,,31671832,BLIND,9362285,,complete,,9c20b238-139d-4c44-8bad-341efc394d5e,computer,Desktop or Laptop,Windows 10,Chrome 116.0.0.0,1366x768,1707x813,,,0,ImplicitDecisionAdventureTask_2Opts,8,MaleBranch,,Male_InIn_Swap,WhiteMale_InGrp_Swap,1,Instructions,Name,nn5ntg,2,response,jacob,2899.8179999999993,7965.968000000001,7975.536,2899.8179999999993,7965.968000000001,7975.536,1,2899.8179999999993,5075.718000000001,0,pName,Single Text Entry,ParticipantName,2,object-22,Instructions,,,,,,,,,,,,,,,,jacob,,,,,,,
4,1694645611447,13/09/2023 22:53:31,1694620411447,-7,13/09/2023 08:53:31,132991,7,task-xyd7,,31671832,BLIND,9362285,,complete,,9c20b238-139d-4c44-8bad-341efc394d5e,computer,Desktop or Laptop,Windows 10,Chrome 116.0.0.0,1366x768,1707x813,,,0,ImplicitDecisionAdventureTask_2Opts,8,MaleBranch,,Male_InIn_Swap,WhiteMale_InGrp_Swap,1,Instructions,Delay,7riscs,3,timedOut,,2000.768000047683,2000.058000000001,2000.768000047683,2000.768000047683,2000.058000000001,2000.768000047683,1,2000.768000047683,0,0,,Time Limit,screen,0,screen,Instructions,,,,,,,,,,,,,,,,jacob,,,,,,,
5,1694645626446,13/09/2023 22:53:46,1694620426446,-7,13/09/2023 08:53:46,132991,7,task-xyd7,,31671832,BLIND,9362285,,complete,,9c20b238-139d-4c44-8bad-341efc394d5e,computer,Desktop or Laptop,Windows 10,Chrome 116.0.0.0,1366x768,1707x813,,,0,ImplicitDecisionAdventureTask_2Opts,8,MaleBranch,,Male_InIn_Swap,WhiteMale_InGrp_Swap,1,LoadingScreen,LoadScreen,95pybm,1,timedOut,,14999.509999999998,14998.812000000002,14999.509999999998,14999.509999999998,14998.812000000002,14999.509999999998,1,14999.509999999998,0,0,,Time Limit,screen,0,screen,LoadingScreen,Jack,Spencer,,,,,,,,,,,,,,jacob,,,,,,,
6,1694645628140,13/09/2023 22:53:48,1694620428140,-7,13/09/2023 08:53:48,132991,7,task-xyd7,,31671832,BLIND,9362285,,complete,,9c20b238-139d-4c44-8bad-341efc394d5e,computer,Desktop or Laptop,Windows 10,Chrome 116.0.0.0,1366x768,1707x813,,,0,ImplicitDecisionAdventureTask_2Opts,8,MaleBranch,,Male_InIn_Swap,WhiteMale_InGrp_Swap,1,LoadingScreen,LoadingComplete,zy7h74,2,continue,,1694.6979999999967,1683.153999999995,1694.6979999999967,1694.6979999999967,1683.153999999995,1694.6979999999967,1,1694.6979999999967,0,0,,Click To Continue,Continue Button,2,object-59,LoadingScreen,Jack,Spencer,,,,,,,,,,,,,,jacob,,,,,,,
7,1694645635924,13/09/2023 22:53:55,1694620435924,-7,13/09/2023 08:53:55,132991,7,task-xyd7,,31671832,BLIND,9362285,,complete,,9c20b238-139d-4c44-8bad-341efc394d5e,computer,Desktop or Laptop,Windows 10,Chrome 116.0.0.0,1366x768,1707x813,,,0,ImplicitDecisionAdventureTask_2Opts,8,MaleBranch,,Male_InIn_Swap,WhiteMale_InGrp_Swap,1,ScenarioIntro,ScenarioIntro,ghavr7,1,response,Next,7795.244000047685,7782.771000000001,7795.244000047685,7795.244000047685,7782.771000000001,7795.244000047685,1,7795.244000047685,0,0,,Click Response,Continue Button,2,object-62,ScenarioIntro,,,<em>Two traveling adventurers decide to enter a local tournament at a colosseum. The Gauntlet of Trials is a renowned and immensely challenging set of enemies and puzzles. The duo will need to rely on their strength and intelligence to make it through unharmed. Each adventurer will be rewarded proportional to performance.,,,,,,,,,,,,,jacob,,,,,,,
8,1694645644848,13/09/2023 22:54:04,1694620444848,-7,13/09/2023 08:54:04,132991,7,task-xyd7,,31671832,BLIND,9362285,,complete,,9c20b238-139d-4c44-8bad-341efc394d5e,computer,Desktop or Laptop,Windows 10,Chrome 116.0.0.0,1366x768,1707x813,,,0,ImplicitDecisionAdventureTask_2Opts,8,MaleBranch,,Male_InIn_Swap,WhiteMale_InGrp_Swap,1,Trial/Encounter,EncounterIntro,wtupv3,1,continue,,4719.898999999998,4716.18,4719.898999999998,4719.898999999998,4716.18,4719.898999999998,1,4719.898999999998,0,0,,Click To Continue,Continue Button,2,object-65,Trial/Encounter,,,,"<em>A gate opens in front of the duo, and a menacing mechanical golem with a crossbow becomes activated.",<em><b>Jack</b> lunges forward attempting to force his blade through the protective plate.,<em><b>Jack’s</b> sword pierces the plate and destroys the construct before it is able to shoot. He is able to proceed uninjured.,,<em><b>Jack’s</b> sword grazes the exterior plate. He is shot by the crossbow and is dealt damage.,6687,Jack,In,1,STR,,,jacob,,,,,,,
9,1694645652811,13/09/2023 22:54:12,1694620452811,-7,13/09/2023 08:54:12,132991,7,task-xyd7,,31671832,BLIND,9362285,,complete,,9c20b238-139d-4c44-8bad-341efc394d5e,computer,Desktop or Laptop,Windows 10,Chrome 116.0.0.0,1366x768,1707x813,,,0,ImplicitDecisionAdventureTask_2Opts,8,MaleBranch,,Male_InIn_Swap,WhiteMale_InGrp_Swap,1,Trial/Encounter,Delay,4wo1q4,2,timedOut,,6683.966,6682.997000000003,6683.966,6683.966,6682.997000000003,6683.966,1,6683.966,0,0,,Time Limit,screen,0,screen,Trial/Encounter,,,,"<em>A gate opens in front of the duo, and a menacing mechanical golem with a crossbow becomes activated.",<em><b>Jack</b> lunges forward attempting to force his blade through the protective plate.,<em><b>Jack’s</b> sword pierces the plate and destroys the construct before it is able to shoot. He is able to proceed uninjured.,,<em><b>Jack’s</b> sword grazes the exterior plate. He is shot by the crossbow and is dealt damage.,6687,Jack,In,1,STR,,,jacob,,,,,,,
10,1694645659503,13/09/2023 22:54:19,1694620459503,-7,13/09/2023 08:54:19,132991,7,task-xyd7,,31671832,BLIND,9362285,,complete,,9c20b238-139d-4c44-8bad-341efc394d5e,computer,Desktop or Laptop,Windows 10,Chrome 116.0.0.0,1366x768,1707x813,,,0,ImplicitDecisionAdventureTask_2Opts,8,MaleBranch,,Male_InIn_Swap,WhiteMale_InGrp_Swap,1,Trial/Encounter,PlayerAction,ga3y5r,3,response,Reward,6688.669000047681,6682.665999999997,6688.669000047681,6688.669000047681,6682.665999999997,6688.669000047681,1,6688.669000047681,0,0,decision,Click Response,RewardButton,2,object-70,Trial/Encounter,,,,"<em>A gate opens in front of the duo, and a menacing mechanical golem with a crossbow becomes activated.",<em><b>Jack</b> lunges forward attempting to force his blade through the protective plate.,<em><b>Jack’s</b> sword pierces the plate and destroys the construct before it is able to shoot. He is able to proceed uninjured.,,<em><b>Jack’s</b> sword grazes the exterior plate. He is shot by the crossbow and is dealt damage.,6687,Jack,In,1,STR,,,jacob,,,,,Reward,1,
11,1694645662436,13/09/2023 22:54:22,1694620462436,-7,13/09/2023 08:54:22,132991,7,task-xyd7,,31671832,BLIND,9362285,,complete,,9c20b238-139d-4c44-8bad-341efc394d5e,computer,Desktop or Laptop,Windows 10,Chrome 116.0.0.0,1366x768,1707x813,,,0,ImplicitDecisionAdventureTask_2Opts,8,MaleBranch,,Male_InIn_Swap,WhiteMale_InGrp_Swap,1,Trial/Encounter,Reward,56azq1,4,continue,,2943.4030000238417,2933.254000000001,2943.4030000238417,2943.4030000238417,2933.254000000001,2943.4030000238417,1,2943.4030000238417,0,0,,Click To Continue,Continue Button,2,object-73,Trial/Encounter,,,,"<em>A gate opens in front of the duo, and a menacing mechanical golem with a crossbow becomes activated.",<em><b>Jack</b> lunges forward attempting to force his blade through the protective plate.,<em><b>Jack’s</b> sword pierces the plate and destroys the construct before it is able to shoot. He is able to proceed uninjured.,,<em><b>Jack’s</b> sword grazes the exterior plate. He is shot by the crossbow and is dealt damage.,6687,Jack,In,1,STR,,,jacob,,,,,Reward,1,
12,1694645668460,13/09/2023 22:54:28,1694620468460,-7,13/09/2023 08:54:28,132991,7,task-xyd7,,31671832,BLIND,9362285,,complete,,9c20b238-139d-4c44-8bad-341efc394d5e,computer,Desktop or Laptop,Windows 10,Chrome 116.0.0.0,1366x768,1707x813,,,0,ImplicitDecisionAdventureTask_2Opts,8,MaleBranch,,Male_InIn_Swap,WhiteMale_InGrp_Swap,1,Trial/Encounter,trialEnd,olwm64,5,continue,,1967.8580000476795,1966.3169999999955,1967.8580000476795,1967.8580000476795,1966.3169999999955,1967.8580000476795,1,1967.8580000476795,0,0,,Click To Continue,Continue Button,2,object-89,Trial/Encounter,,,,"<em>A gate opens in front of the duo, and a menacing mechanical golem with a crossbow becomes activated.",<em><b>Jack</b> lunges forward attempting to force his blade through the protective plate.,<em><b>Jack’s</b> sword pierces the plate and destroys the construct before it is able to shoot. He is able to proceed uninjured.,,<em><b>Jack’s</b> sword grazes the exterior plate. He is shot by the crossbow and is dealt damage.,6687,Jack,In,1,STR,,,jacob,,,,,Reward,1,
13,1694645674459,13/09/2023 22:54:34,1694620474459,-7,13/09/2023 08:54:34,132991,7,task-xyd7,,31671832,BLIND,9362285,,complete,,9c20b238-139d-4c44-8bad-341efc394d5e,computer,Desktop or Laptop,Windows 10,Chrome 116.0.0.0,1366x768,1707x813,,,0,ImplicitDecisionAdventureTask_2Opts,8,MaleBranch,,Male_InIn_Swap,WhiteMale_InGrp_Swap,2,Trial/Encounter,EncounterIntro,wtupv3,1,timedOut,,6000.341,5999.744000000006,6000.341,6000.341,5999.744000000006,6000.341,1,6000.341,0,0,,Time Limit,screen,0,screen,Trial/Encounter,,,,"<em>The path is blocked by a deep puddle of dirty sludge, there is a rope on the other side of the puddle. The adventures would need to not hesitate to make it across to avoid getting stuck. ",<em><b>Spencer</b> swims across the puddle to throw the rope across.,<em><b>Spencer</b> was able to make it across the puddle. He passes over the rope.,,<em><b>Spencer</b> hesitates too much and manages to get stuck in the sludge. He makes it across but loses some valuables from the belt in the process.,4527.4,Spencer,In,2,DIR,,,jacob,,,,,Reward,1,
14,1694645678992,13/09/2023 22:54:38,1694620478992,-7,13/09/2023 08:54:38,132991,7,task-xyd7,,31671832,BLIND,9362285,,complete,,9c20b238-139d-4c44-8bad-341efc394d5e,computer,Desktop or Laptop,Windows 10,Chrome 116.0.0.0,1366x768,1707x813,,,0,ImplicitDecisionAdventureTask_2Opts,8,MaleBranch,,Male_InIn_Swap,WhiteMale_InGrp_Swap,2,Trial/Encounter,Delay,4wo1q4,2,timedOut,,4533.596999999994,4532.968999999997,4533.596999999994,4533.596999999994,4532.968999999997,4533.596999999994,1,4533.596999999994,0,0,,Time Limit,screen,0,screen,Trial/Encounter,,,,"<em>The path is blocked by a deep puddle of dirty sludge, there is a rope on the other side of the puddle. The adventures would need to not hesitate to make it across to avoid getting stuck. ",<em><b>Spencer</b> swims across the puddle to throw the rope across.,<em><b>Spencer</b> was able to make it across the puddle. He passes over the rope.,,<em><b>Spencer</b> hesitates too much and manages to get stuck in the sludge. He makes it across but loses some valuables from the belt in the process.,4527.4,Spencer,In,2,DIR,,,jacob,,,,,Reward,1,
15,1694645682502,13/09/2023 22:54:42,1694620482502,-7,13/09/2023 08:54:42,132991,7,task-xyd7,,31671832,BLIND,9362285,,complete,,9c20b238-139d-4c44-8bad-341efc394d5e,computer,Desktop or Laptop,Windows 10,Chrome 116.0.0.0,1366x768,1707x813,,,0,ImplicitDecisionAdventureTask_2Opts,8,MaleBranch,,Male_InIn_Swap,WhiteMale_InGrp_Swap,2,Trial/Encounter,PlayerAction,ga3y5r,3,response,Reward,3512.627999999997,3499.771999999997,3512.627999999997,3512.627999999997,3499.771999999997,3512.627999999997,1,3512.627999999997,0,0,decision,Click Response,RewardButton,2,object-70,Trial/Encounter,,,,"<em>The path is blocked by a deep puddle of dirty sludge, there is a rope on the other side of the puddle. The adventures would need to not hesitate to make it across to avoid getting stuck. ",<em><b>Spencer</b> swims across the puddle to throw the rope across.,<em><b>Spencer</b> was able to make it across the puddle. He passes over the rope.,,<em><b>Spencer</b> hesitates too much and manages to get stuck in the sludge. He makes it across but loses some valuables from the belt in the process.,4527.4,Spencer,In,2,DIR,,,jacob,,,,,Reward,2,
16,1694645684363,13/09/2023 22:54:44,1694620484363,-7,13/09/2023 08:54:44,132991,7,task-xyd7,,31671832,BLIND,9362285,,complete,,9c20b238-139d-4c44-8bad-341efc394d5e,computer,Desktop or Laptop,Windows 10,Chrome 116.0.0.0,1366x768,1707x813,,,0,ImplicitDecisionAdventureTask_2Opts,8,MaleBranch,,Male_InIn_Swap,WhiteMale_InGrp_Swap,2,Trial/Encounter,Reward,56azq1,4,continue,,1875.5560000476835,1866.4180000000051,1875.5560000476835,1875.5560000476835,1866.4180000000051,1875.5560000476835,1,1875.5560000476835,0,0,,Click To Continue,Continue Button,2,object-73,Trial/Encounter,,,,"<em>The path is blocked by a deep puddle of dirty sludge, there is a rope on the other side of the puddle. The adventures would need to not hesitate to make it across to avoid getting stuck. ",<em><b>Spencer</b> swims across the puddle to throw the rope across.,<em><b>Spencer</b> was able to make it across the puddle. He passes over the rope.,,<em><b>Spencer</b> hesitates too much and manages to get stuck in the sludge. He makes it across but loses some valuables from the belt in the process.,4527.4,Spencer,In,2,DIR,,,jacob,,,,,Reward,2,
17,1694645691127,13/09/2023 22:54:51,1694620491127,-7,13/09/2023 08:54:51,132991,7,task-xyd7,,31671832,BLIND,9362285,,complete,,9c20b238-139d-4c44-8bad-341efc394d5e,computer,Desktop or Laptop,Windows 10,Chrome 116.0.0.0,1366x768,1707x813,,,0,ImplicitDecisionAdventureTask_2Opts,8,MaleBranch,,Male_InIn_Swap,WhiteMale_InGrp_Swap,2,Trial/Encounter,trialEnd,olwm64,5,continue,,1640.1750000715256,1633.2050000000017,1640.1750000715256,1640.1750000715256,1633.2050000000017,1640.1750000715256,1,1640.1750000715256,0,0,,Click To Continue,Continue Button,2,object-89,Trial/Encounter,,,,"<em>The path is blocked by a deep puddle of dirty sludge, there is a rope on the other side of the puddle. The adventures would need to not hesitate to make it across to avoid getting stuck. ",<em><b>Spencer</b> swims across the puddle to throw the rope across.,<em><b>Spencer</b> was able to make it across the puddle. He passes over the rope.,,<em><b>Spencer</b> hesitates too much and manages to get stuck in the sludge. He makes it across but loses some valuables from the belt in the process.,4527.4,Spencer,In,2,DIR,,,jacob,,,,,Reward,2,
18,1694645697120,13/09/2023 22:54:57,1694620497120,-7,13/09/2023 08:54:57,132991,7,task-xyd7,,31671832,BLIND,9362285,,complete,,9c20b238-139d-4c44-8bad-341efc394d5e,computer,Desktop or Laptop,Windows 10,Chrome 116.0.0.0,1366x768,1707x813,,,0,ImplicitDecisionAdventureTask_2Opts,8,MaleBranch,,Male_InIn_Swap,WhiteMale_InGrp_Swap,3,Trial/Encounter,EncounterIntro,wtupv3,1,timedOut,,6000.070000095366,5999.543999999994,6000.070000095366,6000.070000095366,5999.543999999994,6000.070000095366,1,6000.070000095366,0,0,,Time Limit,screen,0,screen,Trial/Encounter,,,,<em>The room begins to fill with toxic gas and there is a keyhole next to the door leading to the next chamber. Writing on the wall suggests the key seems to be in the stomach of a cow corpse next to the door. ,<em><b>Jack</b>  rummages through the cow carcass to grab the key from the flesh. ,<em><b>Jack</b>  is able to find the key quickly. He is able to grab the key with ease before the gas takes effect. ,,<em><b>Jack</b> hesitates but manages to pull the key out of the dead animal's stomach. He suffers damage due to gas inhalation.,5325.7,Jack,In,1,DIR,,,jacob,,,,,Reward,2,
