Event Index,UTC Timestamp,UTC Date and Time,Local Timestamp,Local Timezone,Local Date and Time,Experiment ID,Experiment Version,Tree Node Key,Repeat Key,Schedule ID,Participant Public ID,Participant Private ID,Participant Starting Group,Participant Status,Participant Completion Code,Participant External Session ID,Participant Device Type,Participant Device,Participant OS,Participant Browser,Participant Monitor Size,Participant Viewport Size,Checkpoint,Room ID,Room Order,Task Name,Task Version,branch-jqbz,randomiser-745l,randomiser-hhua,Spreadsheet,Trial Number,Display,Screen,Screen ID,Screen Counter,Response Type,Response,Onset Time,Clock Time,Reaction Time,Absolute Onset Time,Absolute Clock Time,Absolute Reaction Time,Correct,Response Onset,Response Duration,Proportion,Tag,Component Name,Object Name,Object Number,Object ID,Spreadsheet: display,Spreadsheet: Adventurer1,Spreadsheet: Adventurer2,Spreadsheet: Scenario,Spreadsheet: EncounterIntro,Spreadsheet: PlayerAction,Spreadsheet: RewardFeedback,Spreadsheet: NeutralFeedback,Spreadsheet: PunishFeedback,Spreadsheet: scenDelay,Spreadsheet: Name,Spreadsheet: Group,Spreadsheet: Adv,Spreadsheet: Type,Manipulation: Spreadsheet,Store: pName,Store: participant,Store: respReward,Store: respNeutral,Store: respPunish,Store: decPunish,Store: outcome,Store: RewTally,Store: PunTally
1,1694635161792,13/09/2023 19:59:21,1694620761792,-4,13/09/2023 11:59:21,132991,7,task-hng5,,31672101,BLIND,9362336,,complete,,f85605e5-0c61-4e63-969a-3cdeb20aeb2c,computer,Desktop or Laptop,Windows 10,Chrome 116.0.0.0,780x457,777x378,,,0,ImplicitDecisionAdventureTask_2Opts,8,MaleBranch,,Male_InOut_Swap,WhiteMale_OutGrp_Swap,,,,,,5,BEGIN,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,1694635178333,13/09/2023 19:59:38,1694620778333,-4,13/09/2023 11:59:38,132991,7,task-hng5,,31672101,BLIND,9362336,,complete,,f85605e5-0c61-4e63-969a-3cdeb20aeb2c,computer,Desktop or Laptop,Windows 10,Chrome 116.0.0.0,1363x775,1360x768,,,0,ImplicitDecisionAdventureTask_2Opts,8,MaleBranch,,Male_InOut_Swap,WhiteMale_OutGrp_Swap,1,Instructions,Instructions,cdub9g,1,timedOut,,15997,15996,15997,15997,15996,15997,1,15997,0,0,,Time Limit,screen,0,screen,Instructions,,,,,,,,,,,,,,,,,,,,,,,
3,1694635183623,13/09/2023 19:59:43,1694620783623,-4,13/09/2023 11:59:43,132991,7,task-hng5,,31672101,BLIND,9362336,,complete,,f85605e5-0c61-4e63-969a-3cdeb20aeb2c,computer,Desktop or Laptop,Windows 10,Chrome 116.0.0.0,1239x705,1236x698,,,0,ImplicitDecisionAdventureTask_2Opts,8,MaleBranch,,Male_InOut_Swap,WhiteMale_OutGrp_Swap,1,Instructions,Name,nn5ntg,2,response,Jay,1816,5282,5290,1816,5282,5290,1,1816,3474,0,pName,Single Text Entry,ParticipantName,2,object-22,Instructions,,,,,,,,,,,,,,,,Jay,,,,,,,
4,1694635185614,13/09/2023 19:59:45,1694620785614,-4,13/09/2023 11:59:45,132991,7,task-hng5,,31672101,BLIND,9362336,,complete,,f85605e5-0c61-4e63-969a-3cdeb20aeb2c,computer,Desktop or Laptop,Windows 10,Chrome 116.0.0.0,1239x705,1236x698,,,0,ImplicitDecisionAdventureTask_2Opts,8,MaleBranch,,Male_InOut_Swap,WhiteMale_OutGrp_Swap,1,Instructions,Delay,7riscs,3,timedOut,,1999,1999,1999,1999,1999,1999,1,1999,0,0,,Time Limit,screen,0,screen,Instructions,,,,,,,,,,,,,,,,Jay,,,,,,,
5,1694635200610,13/09/2023 20:00:00,1694620800610,-4,13/09/2023 12:00:00,132991,7,task-hng5,,31672101,BLIND,9362336,,complete,,f85605e5-0c61-4e63-969a-3cdeb20aeb2c,computer,Desktop or Laptop,Windows 10,Chrome 116.0.0.0,1239x705,1236x698,,,0,ImplicitDecisionAdventureTask_2Opts,8,MaleBranch,,Male_InOut_Swap,WhiteMale_OutGrp_Swap,1,LoadingScreen,LoadScreen,95pybm,1,timedOut,,14996,14996,14996,14996,14996,14996,1,14996,0,0,,Time Limit,screen,0,screen,LoadingScreen,Jack,Haoyu,,,,,,,,,,,,,,Jay,,,,,,,
6,1694635201975,13/09/2023 20:00:01,1694620801975,-4,13/09/2023 12:00:01,132991,7,task-hng5,,31672101,BLIND,9362336,,complete,,f85605e5-0c61-4e63-969a-3cdeb20aeb2c,computer,Desktop or Laptop,Windows 10,Chrome 116.0.0.0,1239x705,1236x698,,,0,ImplicitDecisionAdventureTask_2Opts,8,MaleBranch,,Male_InOut_Swap,WhiteMale_OutGrp_Swap,1,LoadingScreen,LoadingComplete,zy7h74,2,continue,,1366,1350,1366,1366,1350,1366,1,1366,0,0,,Click To Continue,Continue Button,2,object-59,LoadingScreen,Jack,Haoyu,,,,,,,,,,,,,,Jay,,,,,,,
7,1694635213079,13/09/2023 20:00:13,1694620813079,-4,13/09/2023 12:00:13,132991,7,task-hng5,,31672101,BLIND,9362336,,complete,,f85605e5-0c61-4e63-969a-3cdeb20aeb2c,computer,Desktop or Laptop,Windows 10,Chrome 116.0.0.0,1239x705,1236x698,,,0,ImplicitDecisionAdventureTask_2Opts,8,MaleBranch,,Male_InOut_Swap,WhiteMale_OutGrp_Swap,1,ScenarioIntro,ScenarioIntro,ghavr7,1,response,Next,11120,11113,11120,11120,11113,11120,1,11120,0,0,,Click Response,Continue Button,2,object-62,ScenarioIntro,,,<em>Two traveling adventurers decide to enter a local tournament at a colosseum. The Gauntlet of Trials is a renowned and immensely challenging set of enemies and puzzles. The duo will need to rely on their strength and intelligence to make it through unharmed. Each adventurer will be rewarded proportional to performance.,,,,,,,,,,,,,Jay,,,,,,,
8,1694635219871,13/09/2023 20:00:19,1694620819871,-4,13/09/2023 12:00:19,132991,7,task-hng5,,31672101,BLIND,9362336,,complete,,f85605e5-0c61-4e63-969a-3cdeb20aeb2c,computer,Desktop or Laptop,Windows 10,Chrome 116.0.0.0,1239x705,1236x698,,,0,ImplicitDecisionAdventureTask_2Opts,8,MaleBranch,,Male_InOut_Swap,WhiteMale_OutGrp_Swap,1,Trial/Encounter,EncounterIntro,wtupv3,1,continue,,5916,5899,5916,5916,5899,5916,1,5916,0,0,,Click To Continue,Continue Button,2,object-65,Trial/Encounter,,,,"<em>A gate opens in front of the duo, and a menacing mechanical golem with a crossbow becomes activated.",<em><b>Jack</b> lunges forward attempting to force his blade through the protective plate.,<em><b>Jack’s</b> sword pierces the plate and destroys the construct before it is able to shoot. He is able to proceed uninjured.,,<em><b>Jack’s</b> sword grazes the exterior plate. He is shot by the crossbow and is dealt damage.,6687,Jack,In,1,STR,,,Jay,,,,,,,
9,1694635226635,13/09/2023 20:00:26,1694620826635,-4,13/09/2023 12:00:26,132991,7,task-hng5,,31672101,BLIND,9362336,,complete,,f85605e5-0c61-4e63-969a-3cdeb20aeb2c,computer,Desktop or Laptop,Windows 10,Chrome 116.0.0.0,1239x705,1236x698,,,0,ImplicitDecisionAdventureTask_2Opts,8,MaleBranch,,Male_InOut_Swap,WhiteMale_OutGrp_Swap,1,Trial/Encounter,Delay,4wo1q4,2,timedOut,,6681,6681,6681,6681,6681,6681,1,6681,0,0,,Time Limit,screen,0,screen,Trial/Encounter,,,,"<em>A gate opens in front of the duo, and a menacing mechanical golem with a crossbow becomes activated.",<em><b>Jack</b> lunges forward attempting to force his blade through the protective plate.,<em><b>Jack’s</b> sword pierces the plate and destroys the construct before it is able to shoot. He is able to proceed uninjured.,,<em><b>Jack’s</b> sword grazes the exterior plate. He is shot by the crossbow and is dealt damage.,6687,Jack,In,1,STR,,,Jay,,,,,,,
10,1694635231002,13/09/2023 20:00:31,1694620831002,-4,13/09/2023 12:00:31,132991,7,task-hng5,,31672101,BLIND,9362336,,complete,,f85605e5-0c61-4e63-969a-3cdeb20aeb2c,computer,Desktop or Laptop,Windows 10,Chrome 116.0.0.0,1239x705,1236x698,,,0,ImplicitDecisionAdventureTask_2Opts,8,MaleBranch,,Male_InOut_Swap,WhiteMale_OutGrp_Swap,1,Trial/Encounter,PlayerAction,ga3y5r,3,response,Reward,4364,4349,4364,4364,4349,4364,1,4364,0,0,decision,Click Response,RewardButton,2,object-70,Trial/Encounter,,,,"<em>A gate opens in front of the duo, and a menacing mechanical golem with a crossbow becomes activated.",<em><b>Jack</b> lunges forward attempting to force his blade through the protective plate.,<em><b>Jack’s</b> sword pierces the plate and destroys the construct before it is able to shoot. He is able to proceed uninjured.,,<em><b>Jack’s</b> sword grazes the exterior plate. He is shot by the crossbow and is dealt damage.,6687,Jack,In,1,STR,,,Jay,,,,,Reward,1,
