Event Index,UTC Timestamp,UTC Date and Time,Local Timestamp,Local Timezone,Local Date and Time,Experiment ID,Experiment Version,Tree Node Key,Repeat Key,Schedule ID,Participant Public ID,Participant Private ID,Participant Starting Group,Participant Status,Participant Completion Code,Participant External Session ID,Participant Device Type,Participant Device,Participant OS,Participant Browser,Participant Monitor Size,Participant Viewport Size,Checkpoint,Room ID,Room Order,Task Name,Task Version,branch-jqbz,randomiser-745l,randomiser-hhua,Randomise questionnaire elements?,Question Key,Response
1,1695231259093,20/09/2023 17:34:19,1695231259569,-4,20/09/2023 13:34:19,139457,3,questionnaire-vybo,,31767227,BLIND,9394743,,complete,,e8c4970a-2376-4c6d-8b60-299c04c77c96,computer,Desktop or Laptop,Windows 10,Chrome 116.0.0.0,1920x1080,1920x931,,,,Belief in Just World Scale,1,MaleBranch,,Male_InOut,No,BEGIN QUESTIONNAIRE,
2,1695231277710,20/09/2023 17:34:37,1695231278236,-4,20/09/2023 13:34:38,139457,3,questionnaire-vybo,,31767227,BLIND,9394743,,complete,,e8c4970a-2376-4c6d-8b60-299c04c77c96,computer,Desktop or Laptop,Windows 10,Chrome 116.0.0.0,1920x1080,1903x931,,,,Belief in Just World Scale,1,MaleBranch,,Male_InOut,No,DistJust1,3
3,1695231277806,20/09/2023 17:34:37,1695231278238,-4,20/09/2023 13:34:38,139457,3,questionnaire-vybo,,31767227,BLIND,9394743,,complete,,e8c4970a-2376-4c6d-8b60-299c04c77c96,computer,Desktop or Laptop,Windows 10,Chrome 116.0.0.0,1920x1080,1903x931,,,,Belief in Just World Scale,1,MaleBranch,,Male_InOut,No,DistJust2,3
4,1695231277806,20/09/2023 17:34:37,1695231278238,-4,20/09/2023 13:34:38,139457,3,questionnaire-vybo,,31767227,BLIND,9394743,,complete,,e8c4970a-2376-4c6d-8b60-299c04c77c96,computer,Desktop or Laptop,Windows 10,Chrome 116.0.0.0,1920x1080,1903x931,,,,Belief in Just World Scale,1,MaleBranch,,Male_InOut,No,DistJust3,4
5,1695231277806,20/09/2023 17:34:37,1695231278239,-4,20/09/2023 13:34:38,139457,3,questionnaire-vybo,,31767227,BLIND,9394743,,complete,,e8c4970a-2376-4c6d-8b60-299c04c77c96,computer,Desktop or Laptop,Windows 10,Chrome 116.0.0.0,1920x1080,1903x931,,,,Belief in Just World Scale,1,MaleBranch,,Male_InOut,No,DistJust4,3
6,1695231277806,20/09/2023 17:34:37,1695231278239,-4,20/09/2023 13:34:38,139457,3,questionnaire-vybo,,31767227,BLIND,9394743,,complete,,e8c4970a-2376-4c6d-8b60-299c04c77c96,computer,Desktop or Laptop,Windows 10,Chrome 116.0.0.0,1920x1080,1903x931,,,,Belief in Just World Scale,1,MaleBranch,,Male_InOut,No,DistJust5,3
7,1695231277806,20/09/2023 17:34:37,1695231278239,-4,20/09/2023 13:34:38,139457,3,questionnaire-vybo,,31767227,BLIND,9394743,,complete,,e8c4970a-2376-4c6d-8b60-299c04c77c96,computer,Desktop or Laptop,Windows 10,Chrome 116.0.0.0,1920x1080,1903x931,,,,Belief in Just World Scale,1,MaleBranch,,Male_InOut,No,ProcJust1,3
8,1695231277806,20/09/2023 17:34:37,1695231278239,-4,20/09/2023 13:34:38,139457,3,questionnaire-vybo,,31767227,BLIND,9394743,,complete,,e8c4970a-2376-4c6d-8b60-299c04c77c96,computer,Desktop or Laptop,Windows 10,Chrome 116.0.0.0,1920x1080,1903x931,,,,Belief in Just World Scale,1,MaleBranch,,Male_InOut,No,ProcJust2,4
9,1695231277806,20/09/2023 17:34:37,1695231278240,-4,20/09/2023 13:34:38,139457,3,questionnaire-vybo,,31767227,BLIND,9394743,,complete,,e8c4970a-2376-4c6d-8b60-299c04c77c96,computer,Desktop or Laptop,Windows 10,Chrome 116.0.0.0,1920x1080,1903x931,,,,Belief in Just World Scale,1,MaleBranch,,Male_InOut,No,ProcJust3,3
10,1695231277806,20/09/2023 17:34:37,1695231278240,-4,20/09/2023 13:34:38,139457,3,questionnaire-vybo,,31767227,BLIND,9394743,,complete,,e8c4970a-2376-4c6d-8b60-299c04c77c96,computer,Desktop or Laptop,Windows 10,Chrome 116.0.0.0,1920x1080,1903x931,,,,Belief in Just World Scale,1,MaleBranch,,Male_InOut,No,ProcJust4,3
11,1695231277806,20/09/2023 17:34:37,1695231278240,-4,20/09/2023 13:34:38,139457,3,questionnaire-vybo,,31767227,BLIND,9394743,,complete,,e8c4970a-2376-4c6d-8b60-299c04c77c96,computer,Desktop or Laptop,Windows 10,Chrome 116.0.0.0,1920x1080,1903x931,,,,Belief in Just World Scale,1,MaleBranch,,Male_InOut,No,ProcJust5,3
