Event Index,UTC Timestamp,UTC Date and Time,Local Timestamp,Local Timezone,Local Date and Time,Experiment ID,Experiment Version,Tree Node Key,Repeat Key,Schedule ID,Participant Public ID,Participant Private ID,Participant Starting Group,Participant Status,Participant Completion Code,Participant External Session ID,Participant Device Type,Participant Device,Participant OS,Participant Browser,Participant Monitor Size,Participant Viewport Size,Checkpoint,Room ID,Room Order,Task Name,Task Version,branch-jqbz,randomiser-745l,randomiser-hhua,Randomise questionnaire elements?,Question Key,Response
1,1694621615313,13/09/2023 16:13:35,1694621615115,-6,13/09/2023 10:13:35,132991,7,questionnaire-vybo,,31672410,BLIND,9362250,,complete,,291e17f6-593c-4afc-8347-27773ebd89d8,computer,Desktop or Laptop,Windows 10,Chrome 116.0.0.0,1536x864,1536x707,,,,Belief in Just World Scale,1,MaleBranch,,Male_InOut,No,BEGIN QUESTIONNAIRE,
2,1694621672509,13/09/2023 16:14:32,1694621672351,-6,13/09/2023 10:14:32,132991,7,questionnaire-vybo,,31672410,BLIND,9362250,,complete,,291e17f6-593c-4afc-8347-27773ebd89d8,computer,Desktop or Laptop,Windows 10,Chrome 116.0.0.0,1536x864,1519x707,,,,Belief in Just World Scale,1,MaleBranch,,Male_InOut,No,DistJust1,3
3,1694621672697,13/09/2023 16:14:32,1694621672352,-6,13/09/2023 10:14:32,132991,7,questionnaire-vybo,,31672410,BLIND,9362250,,complete,,291e17f6-593c-4afc-8347-27773ebd89d8,computer,Desktop or Laptop,Windows 10,Chrome 116.0.0.0,1536x864,1519x707,,,,Belief in Just World Scale,1,MaleBranch,,Male_InOut,No,DistJust2,4
4,1694621672697,13/09/2023 16:14:32,1694621672352,-6,13/09/2023 10:14:32,132991,7,questionnaire-vybo,,31672410,BLIND,9362250,,complete,,291e17f6-593c-4afc-8347-27773ebd89d8,computer,Desktop or Laptop,Windows 10,Chrome 116.0.0.0,1536x864,1519x707,,,,Belief in Just World Scale,1,MaleBranch,,Male_InOut,No,DistJust3,3
5,1694621672697,13/09/2023 16:14:32,1694621672352,-6,13/09/2023 10:14:32,132991,7,questionnaire-vybo,,31672410,BLIND,9362250,,complete,,291e17f6-593c-4afc-8347-27773ebd89d8,computer,Desktop or Laptop,Windows 10,Chrome 116.0.0.0,1536x864,1519x707,,,,Belief in Just World Scale,1,MaleBranch,,Male_InOut,No,DistJust4,4
6,1694621672697,13/09/2023 16:14:32,1694621672353,-6,13/09/2023 10:14:32,132991,7,questionnaire-vybo,,31672410,BLIND,9362250,,complete,,291e17f6-593c-4afc-8347-27773ebd89d8,computer,Desktop or Laptop,Windows 10,Chrome 116.0.0.0,1536x864,1519x707,,,,Belief in Just World Scale,1,MaleBranch,,Male_InOut,No,DistJust5,4
7,1694621672697,13/09/2023 16:14:32,1694621672353,-6,13/09/2023 10:14:32,132991,7,questionnaire-vybo,,31672410,BLIND,9362250,,complete,,291e17f6-593c-4afc-8347-27773ebd89d8,computer,Desktop or Laptop,Windows 10,Chrome 116.0.0.0,1536x864,1519x707,,,,Belief in Just World Scale,1,MaleBranch,,Male_InOut,No,ProcJust1,5
8,1694621672697,13/09/2023 16:14:32,1694621672353,-6,13/09/2023 10:14:32,132991,7,questionnaire-vybo,,31672410,BLIND,9362250,,complete,,291e17f6-593c-4afc-8347-27773ebd89d8,computer,Desktop or Laptop,Windows 10,Chrome 116.0.0.0,1536x864,1519x707,,,,Belief in Just World Scale,1,MaleBranch,,Male_InOut,No,ProcJust2,5
9,1694621672697,13/09/2023 16:14:32,1694621672353,-6,13/09/2023 10:14:32,132991,7,questionnaire-vybo,,31672410,BLIND,9362250,,complete,,291e17f6-593c-4afc-8347-27773ebd89d8,computer,Desktop or Laptop,Windows 10,Chrome 116.0.0.0,1536x864,1519x707,,,,Belief in Just World Scale,1,MaleBranch,,Male_InOut,No,ProcJust3,5
10,1694621672697,13/09/2023 16:14:32,1694621672353,-6,13/09/2023 10:14:32,132991,7,questionnaire-vybo,,31672410,BLIND,9362250,,complete,,291e17f6-593c-4afc-8347-27773ebd89d8,computer,Desktop or Laptop,Windows 10,Chrome 116.0.0.0,1536x864,1519x707,,,,Belief in Just World Scale,1,MaleBranch,,Male_InOut,No,ProcJust4,4
11,1694621672697,13/09/2023 16:14:32,1694621672353,-6,13/09/2023 10:14:32,132991,7,questionnaire-vybo,,31672410,BLIND,9362250,,complete,,291e17f6-593c-4afc-8347-27773ebd89d8,computer,Desktop or Laptop,Windows 10,Chrome 116.0.0.0,1536x864,1519x707,,,,Belief in Just World Scale,1,MaleBranch,,Male_InOut,No,ProcJust5,4
12,1694621672697,13/09/2023 16:14:32,1694621672353,-6,13/09/2023 10:14:32,132991,7,questionnaire-vybo,,31672410,BLIND,9362250,,complete,,291e17f6-593c-4afc-8347-27773ebd89d8,computer,Desktop or Laptop,Windows 10,Chrome 116.0.0.0,1536x864,1519x707,,,,Belief in Just World Scale,1,MaleBranch,,Male_InOut,No,END QUESTIONNAIRE,57238
1,1694621661607,13/09/2023 16:14:21,1694621662528,-7,13/09/2023 09:14:22,132991,7,questionnaire-vybo,,31672438,BLIND,9362285,,complete,,9c20b238-139d-4c44-8bad-341efc394d5e,computer,Desktop or Laptop,Windows 10,Chrome 116.0.0.0,1366x768,1707x813,,,,Belief in Just World Scale,1,MaleBranch,,Male_InIn_Swap,No,BEGIN QUESTIONNAIRE,
