Event Index,UTC Timestamp,UTC Date and Time,Local Timestamp,Local Timezone,Local Date and Time,Experiment ID,Experiment Version,Tree Node Key,Repeat Key,Schedule ID,Participant Public ID,Participant Private ID,Participant Starting Group,Participant Status,Participant Completion Code,Participant External Session ID,Participant Device Type,Participant Device,Participant OS,Participant Browser,Participant Monitor Size,Participant Viewport Size,Checkpoint,Room ID,Room Order,Task Name,Task Version,branch-jqbz,randomiser-745l,randomiser-hhua,Randomise questionnaire elements?,Question Key,Response
1,1695230063962,20/09/2023 17:14:23,1695230056903,-4,20/09/2023 13:14:16,139457,3,questionnaire-n7ui,,31766822,BLIND,9394739,,complete,,576b87a8-8fd8-4b32-803f-f4e93faed1f9,computer,Desktop or Laptop,Windows 10,Chrome 116.0.0.0,1536x864,1536x739,,,,SFBB_OnlineConsentv1.4_30min,2,MaleBranch,,Male_InIn,No,BEGIN QUESTIONNAIRE,
2,1695230068233,20/09/2023 17:14:28,1695230061219,-4,20/09/2023 13:14:21,139457,3,questionnaire-n7ui,,31766822,BLIND,9394739,,complete,,576b87a8-8fd8-4b32-803f-f4e93faed1f9,computer,Desktop or Laptop,Windows 10,Chrome 116.0.0.0,1536x864,1519x739,,,,SFBB_OnlineConsentv1.4_30min,2,MaleBranch,,Male_InIn,No,ConsentAge,1
3,1695230068583,20/09/2023 17:14:28,1695230061221,-4,20/09/2023 13:14:21,139457,3,questionnaire-n7ui,,31766822,BLIND,9394739,,complete,,576b87a8-8fd8-4b32-803f-f4e93faed1f9,computer,Desktop or Laptop,Windows 10,Chrome 116.0.0.0,1536x864,1519x739,,,,SFBB_OnlineConsentv1.4_30min,2,MaleBranch,,Male_InIn,No,ConsentRead,1
4,1695230068583,20/09/2023 17:14:28,1695230061222,-4,20/09/2023 13:14:21,139457,3,questionnaire-n7ui,,31766822,BLIND,9394739,,complete,,576b87a8-8fd8-4b32-803f-f4e93faed1f9,computer,Desktop or Laptop,Windows 10,Chrome 116.0.0.0,1536x864,1519x739,,,,SFBB_OnlineConsentv1.4_30min,2,MaleBranch,,Male_InIn,No,ConsentWant,1
5,1695230068583,20/09/2023 17:14:28,1695230061222,-4,20/09/2023 13:14:21,139457,3,questionnaire-n7ui,,31766822,BLIND,9394739,,complete,,576b87a8-8fd8-4b32-803f-f4e93faed1f9,computer,Desktop or Laptop,Windows 10,Chrome 116.0.0.0,1536x864,1519x739,,,,SFBB_OnlineConsentv1.4_30min,2,MaleBranch,,Male_InIn,No,END QUESTIONNAIRE,4319
1,1695230065462,20/09/2023 17:14:25,1695230065890,-7,20/09/2023 10:14:25,139457,3,questionnaire-n7ui,,31766823,BLIND,9394740,,complete,,8ab88a9d-dd3c-4c54-8a42-f0528ef6b54a,computer,Desktop or Laptop,Windows 10,Chrome 116.0.0.0,2560x1440,1592x1266,,,,SFBB_OnlineConsentv1.4_30min,2,MaleBranch,,Male_InIn,No,BEGIN QUESTIONNAIRE,
2,1695230111358,20/09/2023 17:15:11,1695230111845,-7,20/09/2023 10:15:11,139457,3,questionnaire-n7ui,,31766823,BLIND,9394740,,complete,,8ab88a9d-dd3c-4c54-8a42-f0528ef6b54a,computer,Desktop or Laptop,Windows 10,Chrome 116.0.0.0,2560x1440,1575x1266,,,,SFBB_OnlineConsentv1.4_30min,2,MaleBranch,,Male_InIn,No,ConsentAge,1
3,1695230111547,20/09/2023 17:15:11,1695230111846,-7,20/09/2023 10:15:11,139457,3,questionnaire-n7ui,,31766823,BLIND,9394740,,complete,,8ab88a9d-dd3c-4c54-8a42-f0528ef6b54a,computer,Desktop or Laptop,Windows 10,Chrome 116.0.0.0,2560x1440,1575x1266,,,,SFBB_OnlineConsentv1.4_30min,2,MaleBranch,,Male_InIn,No,ConsentRead,1
4,1695230111547,20/09/2023 17:15:11,1695230111846,-7,20/09/2023 10:15:11,139457,3,questionnaire-n7ui,,31766823,BLIND,9394740,,complete,,8ab88a9d-dd3c-4c54-8a42-f0528ef6b54a,computer,Desktop or Laptop,Windows 10,Chrome 116.0.0.0,2560x1440,1575x1266,,,,SFBB_OnlineConsentv1.4_30min,2,MaleBranch,,Male_InIn,No,ConsentWant,1
5,1695230111547,20/09/2023 17:15:11,1695230111846,-7,20/09/2023 10:15:11,139457,3,questionnaire-n7ui,,31766823,BLIND,9394740,,complete,,8ab88a9d-dd3c-4c54-8a42-f0528ef6b54a,computer,Desktop or Laptop,Windows 10,Chrome 116.0.0.0,2560x1440,1575x1266,,,,SFBB_OnlineConsentv1.4_30min,2,MaleBranch,,Male_InIn,No,END QUESTIONNAIRE,45956
1,1695230067136,20/09/2023 17:14:27,1695230066978,-7,20/09/2023 10:14:26,139457,3,questionnaire-n7ui,,31766824,BLIND,9394741,,complete,,0312c0f5-ddef-41c7-8638-97ab45ddb5e4,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 117.0.0.0,1920x1080,1280x794,,,,SFBB_OnlineConsentv1.4_30min,2,MaleBranch,,Male_InIn,No,BEGIN QUESTIONNAIRE,
2,1695230117491,20/09/2023 17:15:17,1695230117357,-7,20/09/2023 10:15:17,139457,3,questionnaire-n7ui,,31766824,BLIND,9394741,,complete,,0312c0f5-ddef-41c7-8638-97ab45ddb5e4,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 117.0.0.0,1920x1080,1280x794,,,,SFBB_OnlineConsentv1.4_30min,2,MaleBranch,,Male_InIn,No,ConsentAge,1
3,1695230117673,20/09/2023 17:15:17,1695230117359,-7,20/09/2023 10:15:17,139457,3,questionnaire-n7ui,,31766824,BLIND,9394741,,complete,,0312c0f5-ddef-41c7-8638-97ab45ddb5e4,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 117.0.0.0,1920x1080,1280x794,,,,SFBB_OnlineConsentv1.4_30min,2,MaleBranch,,Male_InIn,No,ConsentRead,1
4,1695230117673,20/09/2023 17:15:17,1695230117359,-7,20/09/2023 10:15:17,139457,3,questionnaire-n7ui,,31766824,BLIND,9394741,,complete,,0312c0f5-ddef-41c7-8638-97ab45ddb5e4,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 117.0.0.0,1920x1080,1280x794,,,,SFBB_OnlineConsentv1.4_30min,2,MaleBranch,,Male_InIn,No,ConsentWant,1
5,1695230117673,20/09/2023 17:15:17,1695230117359,-7,20/09/2023 10:15:17,139457,3,questionnaire-n7ui,,31766824,BLIND,9394741,,complete,,0312c0f5-ddef-41c7-8638-97ab45ddb5e4,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 117.0.0.0,1920x1080,1280x794,,,,SFBB_OnlineConsentv1.4_30min,2,MaleBranch,,Male_InIn,No,END QUESTIONNAIRE,50381
1,1695230090977,20/09/2023 17:14:50,1695230088220,-4,20/09/2023 13:14:48,139457,3,questionnaire-n7ui,,31766837,BLIND,9394746,,complete,,ed690b51-099f-4b46-b27d-5d945c2611a6,computer,Desktop or Laptop,Windows 10,Edge 117.0.2045.31,1920x1080,1903x948,,,,SFBB_OnlineConsentv1.4_30min,2,MaleBranch,,Male_InOut,No,BEGIN QUESTIONNAIRE,
2,1695230194838,20/09/2023 17:16:34,1695230192138,-4,20/09/2023 13:16:32,139457,3,questionnaire-n7ui,,31766837,BLIND,9394746,,complete,,ed690b51-099f-4b46-b27d-5d945c2611a6,computer,Desktop or Laptop,Windows 10,Edge 117.0.2045.31,1920x1080,1888x948,,,,SFBB_OnlineConsentv1.4_30min,2,MaleBranch,,Male_InOut,No,ConsentAge,1
3,1695230194970,20/09/2023 17:16:34,1695230192139,-4,20/09/2023 13:16:32,139457,3,questionnaire-n7ui,,31766837,BLIND,9394746,,complete,,ed690b51-099f-4b46-b27d-5d945c2611a6,computer,Desktop or Laptop,Windows 10,Edge 117.0.2045.31,1920x1080,1888x948,,,,SFBB_OnlineConsentv1.4_30min,2,MaleBranch,,Male_InOut,No,ConsentRead,1
4,1695230194970,20/09/2023 17:16:34,1695230192139,-4,20/09/2023 13:16:32,139457,3,questionnaire-n7ui,,31766837,BLIND,9394746,,complete,,ed690b51-099f-4b46-b27d-5d945c2611a6,computer,Desktop or Laptop,Windows 10,Edge 117.0.2045.31,1920x1080,1888x948,,,,SFBB_OnlineConsentv1.4_30min,2,MaleBranch,,Male_InOut,No,ConsentWant,1
