Event Index,UTC Timestamp,UTC Date and Time,Local Timestamp,Local Timezone,Local Date and Time,Experiment ID,Experiment Version,Tree Node Key,Repeat Key,Schedule ID,Participant Public ID,Participant Private ID,Participant Starting Group,Participant Status,Participant Completion Code,Participant External Session ID,Participant Device Type,Participant Device,Participant OS,Participant Browser,Participant Monitor Size,Participant Viewport Size,Checkpoint,Room ID,Room Order,Task Name,Task Version,branch-jqbz,randomiser-745l,randomiser-hhua,Randomise questionnaire elements?,Question Key,Response
1,1694619995761,13/09/2023 15:46:35,1694619995558,-6,13/09/2023 09:46:35,132991,7,questionnaire-n7ui,,31671640,BLIND,9362250,,complete,,291e17f6-593c-4afc-8347-27773ebd89d8,computer,Desktop or Laptop,Windows 10,Chrome 116.0.0.0,1536x864,1536x707,,,,SFBB_OnlineConsentv1.4_30min,2,MaleBranch,,Male_InOut,No,BEGIN QUESTIONNAIRE,
2,1694620010777,13/09/2023 15:46:50,1694620010608,-6,13/09/2023 09:46:50,132991,7,questionnaire-n7ui,,31671640,BLIND,9362250,,complete,,291e17f6-593c-4afc-8347-27773ebd89d8,computer,Desktop or Laptop,Windows 10,Chrome 116.0.0.0,1536x864,1519x707,,,,SFBB_OnlineConsentv1.4_30min,2,MaleBranch,,Male_InOut,No,ConsentAge,1
3,1694620011020,13/09/2023 15:46:51,1694620010609,-6,13/09/2023 09:46:50,132991,7,questionnaire-n7ui,,31671640,BLIND,9362250,,complete,,291e17f6-593c-4afc-8347-27773ebd89d8,computer,Desktop or Laptop,Windows 10,Chrome 116.0.0.0,1536x864,1519x707,,,,SFBB_OnlineConsentv1.4_30min,2,MaleBranch,,Male_InOut,No,ConsentRead,1
4,1694620011020,13/09/2023 15:46:51,1694620010609,-6,13/09/2023 09:46:50,132991,7,questionnaire-n7ui,,31671640,BLIND,9362250,,complete,,291e17f6-593c-4afc-8347-27773ebd89d8,computer,Desktop or Laptop,Windows 10,Chrome 116.0.0.0,1536x864,1519x707,,,,SFBB_OnlineConsentv1.4_30min,2,MaleBranch,,Male_InOut,No,ConsentWant,1
5,1694620011020,13/09/2023 15:46:51,1694620010609,-6,13/09/2023 09:46:50,132991,7,questionnaire-n7ui,,31671640,BLIND,9362250,,complete,,291e17f6-593c-4afc-8347-27773ebd89d8,computer,Desktop or Laptop,Windows 10,Chrome 116.0.0.0,1536x864,1519x707,,,,SFBB_OnlineConsentv1.4_30min,2,MaleBranch,,Male_InOut,No,END QUESTIONNAIRE,15051
1,1694620116571,13/09/2023 15:48:36,1694620115122,-5,13/09/2023 10:48:35,132991,7,questionnaire-n7ui,,31671676,BLIND,9362255,,complete,,0d6cd209-d3d4-4c1c-9e6d-18e1110e3a7f,computer,Desktop or Laptop,Windows 10,Chrome 103.0.9999.0,1366x768,1044x641,,,,SFBB_OnlineConsentv1.4_30min,2,MaleBranch,,Male_InIn_Swap,No,BEGIN QUESTIONNAIRE,
2,1694620139825,13/09/2023 15:48:59,1694620136833,-5,13/09/2023 10:48:56,132991,7,questionnaire-n7ui,,31671676,BLIND,9362255,,complete,,0d6cd209-d3d4-4c1c-9e6d-18e1110e3a7f,computer,Desktop or Laptop,Windows 10,Chrome 103.0.9999.0,1366x768,1027x641,,,,SFBB_OnlineConsentv1.4_30min,2,MaleBranch,,Male_InIn_Swap,No,ConsentAge,1
3,1694620140295,13/09/2023 15:49:00,1694620136835,-5,13/09/2023 10:48:56,132991,7,questionnaire-n7ui,,31671676,BLIND,9362255,,complete,,0d6cd209-d3d4-4c1c-9e6d-18e1110e3a7f,computer,Desktop or Laptop,Windows 10,Chrome 103.0.9999.0,1366x768,1027x641,,,,SFBB_OnlineConsentv1.4_30min,2,MaleBranch,,Male_InIn_Swap,No,ConsentRead,1
4,1694620140295,13/09/2023 15:49:00,1694620136835,-5,13/09/2023 10:48:56,132991,7,questionnaire-n7ui,,31671676,BLIND,9362255,,complete,,0d6cd209-d3d4-4c1c-9e6d-18e1110e3a7f,computer,Desktop or Laptop,Windows 10,Chrome 103.0.9999.0,1366x768,1027x641,,,,SFBB_OnlineConsentv1.4_30min,2,MaleBranch,,Male_InIn_Swap,No,ConsentWant,1
5,1694620140295,13/09/2023 15:49:00,1694620136836,-5,13/09/2023 10:48:56,132991,7,questionnaire-n7ui,,31671676,BLIND,9362255,,complete,,0d6cd209-d3d4-4c1c-9e6d-18e1110e3a7f,computer,Desktop or Laptop,Windows 10,Chrome 103.0.9999.0,1366x768,1027x641,,,,SFBB_OnlineConsentv1.4_30min,2,MaleBranch,,Male_InIn_Swap,No,END QUESTIONNAIRE,21715
