Event Index,UTC Timestamp,UTC Date and Time,Local Timestamp,Local Timezone,Local Date and Time,Experiment ID,Experiment Version,Tree Node Key,Repeat Key,Schedule ID,Participant Public ID,Participant Private ID,Participant Starting Group,Participant Status,Participant Completion Code,Participant External Session ID,Participant Device Type,Participant Device,Participant OS,Participant Browser,Participant Monitor Size,Participant Viewport Size,Checkpoint,Room ID,Room Order,Task Name,Task Version,branch-jqbz,randomiser-745l,randomiser-hhua,Randomise questionnaire elements?,Question Key,Response
1,1695234483394,20/09/2023 18:28:03,1695234482836,-4,20/09/2023 14:28:02,139457,3,questionnaire-4ihx,,31768277,BLIND,9395046,,complete,,f4aff5f4-accc-4f44-a0ab-41e0e6f463eb,computer,Desktop or Laptop,Windows 10,Chrome 116.0.0.0,1536x864,1536x747,,,,Demographic_Intake,3,FemaleBranch,Female_InOut,,No,BEGIN QUESTIONNAIRE,
2,1695234556296,20/09/2023 18:29:16,1695234555784,-4,20/09/2023 14:29:15,139457,3,questionnaire-4ihx,,31768277,BLIND,9395046,,complete,,f4aff5f4-accc-4f44-a0ab-41e0e6f463eb,computer,Desktop or Laptop,Windows 10,Chrome 116.0.0.0,1536x864,1519x747,,,,Demographic_Intake,3,FemaleBranch,Female_InOut,,No,age,43
3,1695234556526,20/09/2023 18:29:16,1695234555786,-4,20/09/2023 14:29:15,139457,3,questionnaire-4ihx,,31768277,BLIND,9395046,,complete,,f4aff5f4-accc-4f44-a0ab-41e0e6f463eb,computer,Desktop or Laptop,Windows 10,Chrome 116.0.0.0,1536x864,1519x747,,,,Demographic_Intake,3,FemaleBranch,Female_InOut,,No,gender,Female
4,1695234556526,20/09/2023 18:29:16,1695234555786,-4,20/09/2023 14:29:15,139457,3,questionnaire-4ihx,,31768277,BLIND,9395046,,complete,,f4aff5f4-accc-4f44-a0ab-41e0e6f463eb,computer,Desktop or Laptop,Windows 10,Chrome 116.0.0.0,1536x864,1519x747,,,,Demographic_Intake,3,FemaleBranch,Female_InOut,,No,gender-quantised,1
5,1695234556526,20/09/2023 18:29:16,1695234555786,-4,20/09/2023 14:29:15,139457,3,questionnaire-4ihx,,31768277,BLIND,9395046,,complete,,f4aff5f4-accc-4f44-a0ab-41e0e6f463eb,computer,Desktop or Laptop,Windows 10,Chrome 116.0.0.0,1536x864,1519x747,,,,Demographic_Intake,3,FemaleBranch,Female_InOut,,No,gender-text,
6,1695234556526,20/09/2023 18:29:16,1695234555787,-4,20/09/2023 14:29:15,139457,3,questionnaire-4ihx,,31768277,BLIND,9395046,,complete,,f4aff5f4-accc-4f44-a0ab-41e0e6f463eb,computer,Desktop or Laptop,Windows 10,Chrome 116.0.0.0,1536x864,1519x747,,,,Demographic_Intake,3,FemaleBranch,Female_InOut,,No,raceEth_v2,Asian
7,1695234556526,20/09/2023 18:29:16,1695234555787,-4,20/09/2023 14:29:15,139457,3,questionnaire-4ihx,,31768277,BLIND,9395046,,complete,,f4aff5f4-accc-4f44-a0ab-41e0e6f463eb,computer,Desktop or Laptop,Windows 10,Chrome 116.0.0.0,1536x864,1519x747,,,,Demographic_Intake,3,FemaleBranch,Female_InOut,,No,raceEth_v2-quantised,2
8,1695234556526,20/09/2023 18:29:16,1695234555787,-4,20/09/2023 14:29:15,139457,3,questionnaire-4ihx,,31768277,BLIND,9395046,,complete,,f4aff5f4-accc-4f44-a0ab-41e0e6f463eb,computer,Desktop or Laptop,Windows 10,Chrome 116.0.0.0,1536x864,1519x747,,,,Demographic_Intake,3,FemaleBranch,Female_InOut,,No,raceEth_v2-text,
9,1695234556526,20/09/2023 18:29:16,1695234555787,-4,20/09/2023 14:29:15,139457,3,questionnaire-4ihx,,31768277,BLIND,9395046,,complete,,f4aff5f4-accc-4f44-a0ab-41e0e6f463eb,computer,Desktop or Laptop,Windows 10,Chrome 116.0.0.0,1536x864,1519x747,,,,Demographic_Intake,3,FemaleBranch,Female_InOut,,No,EngFluent,Yes
10,1695234556526,20/09/2023 18:29:16,1695234555788,-4,20/09/2023 14:29:15,139457,3,questionnaire-4ihx,,31768277,BLIND,9395046,,complete,,f4aff5f4-accc-4f44-a0ab-41e0e6f463eb,computer,Desktop or Laptop,Windows 10,Chrome 116.0.0.0,1536x864,1519x747,,,,Demographic_Intake,3,FemaleBranch,Female_InOut,,No,EngFluent-quantised,1
11,1695234556526,20/09/2023 18:29:16,1695234555788,-4,20/09/2023 14:29:15,139457,3,questionnaire-4ihx,,31768277,BLIND,9395046,,complete,,f4aff5f4-accc-4f44-a0ab-41e0e6f463eb,computer,Desktop or Laptop,Windows 10,Chrome 116.0.0.0,1536x864,1519x747,,,,Demographic_Intake,3,FemaleBranch,Female_InOut,,No,occupation,Account representative
12,1695234556526,20/09/2023 18:29:16,1695234555789,-4,20/09/2023 14:29:15,139457,3,questionnaire-4ihx,,31768277,BLIND,9395046,,complete,,f4aff5f4-accc-4f44-a0ab-41e0e6f463eb,computer,Desktop or Laptop,Windows 10,Chrome 116.0.0.0,1536x864,1519x747,,,,Demographic_Intake,3,FemaleBranch,Female_InOut,,No,zipborn,33594
13,1695234556526,20/09/2023 18:29:16,1695234555789,-4,20/09/2023 14:29:15,139457,3,questionnaire-4ihx,,31768277,BLIND,9395046,,complete,,f4aff5f4-accc-4f44-a0ab-41e0e6f463eb,computer,Desktop or Laptop,Windows 10,Chrome 116.0.0.0,1536x864,1519x747,,,,Demographic_Intake,3,FemaleBranch,Female_InOut,,No,zip10yo,33594
14,1695234556526,20/09/2023 18:29:16,1695234555789,-4,20/09/2023 14:29:15,139457,3,questionnaire-4ihx,,31768277,BLIND,9395046,,complete,,f4aff5f4-accc-4f44-a0ab-41e0e6f463eb,computer,Desktop or Laptop,Windows 10,Chrome 116.0.0.0,1536x864,1519x747,,,,Demographic_Intake,3,FemaleBranch,Female_InOut,,No,zipnow,30024
15,1695234556526,20/09/2023 18:29:16,1695234555790,-4,20/09/2023 14:29:15,139457,3,questionnaire-4ihx,,31768277,BLIND,9395046,,complete,,f4aff5f4-accc-4f44-a0ab-41e0e6f463eb,computer,Desktop or Laptop,Windows 10,Chrome 116.0.0.0,1536x864,1519x747,,,,Demographic_Intake,3,FemaleBranch,Female_InOut,,No,famIncome,$40500-$55999
16,1695234556526,20/09/2023 18:29:16,1695234555791,-4,20/09/2023 14:29:15,139457,3,questionnaire-4ihx,,31768277,BLIND,9395046,,complete,,f4aff5f4-accc-4f44-a0ab-41e0e6f463eb,computer,Desktop or Laptop,Windows 10,Chrome 116.0.0.0,1536x864,1519x747,,,,Demographic_Intake,3,FemaleBranch,Female_InOut,,No,famIncome-quantised,3
17,1695234556526,20/09/2023 18:29:16,1695234555791,-4,20/09/2023 14:29:15,139457,3,questionnaire-4ihx,,31768277,BLIND,9395046,,complete,,f4aff5f4-accc-4f44-a0ab-41e0e6f463eb,computer,Desktop or Laptop,Windows 10,Chrome 116.0.0.0,1536x864,1519x747,,,,Demographic_Intake,3,FemaleBranch,Female_InOut,,No,response-4,5
