Event Index,UTC Timestamp,UTC Date and Time,Local Timestamp,Local Timezone,Local Date and Time,Experiment ID,Experiment Version,Tree Node Key,Repeat Key,Schedule ID,Participant Public ID,Participant Private ID,Participant Starting Group,Participant Status,Participant Completion Code,Participant External Session ID,Participant Device Type,Participant Device,Participant OS,Participant Browser,Participant Monitor Size,Participant Viewport Size,Checkpoint,Room ID,Room Order,Task Name,Task Version,branch-jqbz,randomiser-745l,randomiser-hhua,Randomise questionnaire elements?,Question Key,Response
1,1694620013394,13/09/2023 15:46:53,1694620013171,-6,13/09/2023 09:46:53,132991,7,questionnaire-4ihx,,31671645,BLIND,9362250,,complete,,291e17f6-593c-4afc-8347-27773ebd89d8,computer,Desktop or Laptop,Windows 10,Chrome 116.0.0.0,1536x864,1536x707,,,,Demographic_Intake,3,MaleBranch,,Male_InOut,No,BEGIN QUESTIONNAIRE,
2,1694620107733,13/09/2023 15:48:27,1694620107553,-6,13/09/2023 09:48:27,132991,7,questionnaire-4ihx,,31671645,BLIND,9362250,,complete,,291e17f6-593c-4afc-8347-27773ebd89d8,computer,Desktop or Laptop,Windows 10,Chrome 116.0.0.0,1536x864,1519x707,,,,Demographic_Intake,3,MaleBranch,,Male_InOut,No,age,47
3,1694620107968,13/09/2023 15:48:27,1694620107554,-6,13/09/2023 09:48:27,132991,7,questionnaire-4ihx,,31671645,BLIND,9362250,,complete,,291e17f6-593c-4afc-8347-27773ebd89d8,computer,Desktop or Laptop,Windows 10,Chrome 116.0.0.0,1536x864,1519x707,,,,Demographic_Intake,3,MaleBranch,,Male_InOut,No,gender,Male
4,1694620107968,13/09/2023 15:48:27,1694620107554,-6,13/09/2023 09:48:27,132991,7,questionnaire-4ihx,,31671645,BLIND,9362250,,complete,,291e17f6-593c-4afc-8347-27773ebd89d8,computer,Desktop or Laptop,Windows 10,Chrome 116.0.0.0,1536x864,1519x707,,,,Demographic_Intake,3,MaleBranch,,Male_InOut,No,gender-quantised,2
5,1694620107968,13/09/2023 15:48:27,1694620107554,-6,13/09/2023 09:48:27,132991,7,questionnaire-4ihx,,31671645,BLIND,9362250,,complete,,291e17f6-593c-4afc-8347-27773ebd89d8,computer,Desktop or Laptop,Windows 10,Chrome 116.0.0.0,1536x864,1519x707,,,,Demographic_Intake,3,MaleBranch,,Male_InOut,No,gender-text,
6,1694620107968,13/09/2023 15:48:27,1694620107554,-6,13/09/2023 09:48:27,132991,7,questionnaire-4ihx,,31671645,BLIND,9362250,,complete,,291e17f6-593c-4afc-8347-27773ebd89d8,computer,Desktop or Laptop,Windows 10,Chrome 116.0.0.0,1536x864,1519x707,,,,Demographic_Intake,3,MaleBranch,,Male_InOut,No,raceEth_v2,White
7,1694620107968,13/09/2023 15:48:27,1694620107554,-6,13/09/2023 09:48:27,132991,7,questionnaire-4ihx,,31671645,BLIND,9362250,,complete,,291e17f6-593c-4afc-8347-27773ebd89d8,computer,Desktop or Laptop,Windows 10,Chrome 116.0.0.0,1536x864,1519x707,,,,Demographic_Intake,3,MaleBranch,,Male_InOut,No,raceEth_v2-quantised,6
8,1694620107968,13/09/2023 15:48:27,1694620107554,-6,13/09/2023 09:48:27,132991,7,questionnaire-4ihx,,31671645,BLIND,9362250,,complete,,291e17f6-593c-4afc-8347-27773ebd89d8,computer,Desktop or Laptop,Windows 10,Chrome 116.0.0.0,1536x864,1519x707,,,,Demographic_Intake,3,MaleBranch,,Male_InOut,No,raceEth_v2-text,
9,1694620107968,13/09/2023 15:48:27,1694620107554,-6,13/09/2023 09:48:27,132991,7,questionnaire-4ihx,,31671645,BLIND,9362250,,complete,,291e17f6-593c-4afc-8347-27773ebd89d8,computer,Desktop or Laptop,Windows 10,Chrome 116.0.0.0,1536x864,1519x707,,,,Demographic_Intake,3,MaleBranch,,Male_InOut,No,EngFluent,Yes
10,1694620107968,13/09/2023 15:48:27,1694620107554,-6,13/09/2023 09:48:27,132991,7,questionnaire-4ihx,,31671645,BLIND,9362250,,complete,,291e17f6-593c-4afc-8347-27773ebd89d8,computer,Desktop or Laptop,Windows 10,Chrome 116.0.0.0,1536x864,1519x707,,,,Demographic_Intake,3,MaleBranch,,Male_InOut,No,EngFluent-quantised,1
11,1694620107968,13/09/2023 15:48:27,1694620107554,-6,13/09/2023 09:48:27,132991,7,questionnaire-4ihx,,31671645,BLIND,9362250,,complete,,291e17f6-593c-4afc-8347-27773ebd89d8,computer,Desktop or Laptop,Windows 10,Chrome 116.0.0.0,1536x864,1519x707,,,,Demographic_Intake,3,MaleBranch,,Male_InOut,No,occupation,unemployed
12,1694620107968,13/09/2023 15:48:27,1694620107554,-6,13/09/2023 09:48:27,132991,7,questionnaire-4ihx,,31671645,BLIND,9362250,,complete,,291e17f6-593c-4afc-8347-27773ebd89d8,computer,Desktop or Laptop,Windows 10,Chrome 116.0.0.0,1536x864,1519x707,,,,Demographic_Intake,3,MaleBranch,,Male_InOut,No,zipborn,59711
13,1694620107968,13/09/2023 15:48:27,1694620107554,-6,13/09/2023 09:48:27,132991,7,questionnaire-4ihx,,31671645,BLIND,9362250,,complete,,291e17f6-593c-4afc-8347-27773ebd89d8,computer,Desktop or Laptop,Windows 10,Chrome 116.0.0.0,1536x864,1519x707,,,,Demographic_Intake,3,MaleBranch,,Male_InOut,No,zip10yo,59711
14,1694620107968,13/09/2023 15:48:27,1694620107555,-6,13/09/2023 09:48:27,132991,7,questionnaire-4ihx,,31671645,BLIND,9362250,,complete,,291e17f6-593c-4afc-8347-27773ebd89d8,computer,Desktop or Laptop,Windows 10,Chrome 116.0.0.0,1536x864,1519x707,,,,Demographic_Intake,3,MaleBranch,,Male_InOut,No,zipnow,59711
15,1694620107968,13/09/2023 15:48:27,1694620107555,-6,13/09/2023 09:48:27,132991,7,questionnaire-4ihx,,31671645,BLIND,9362250,,complete,,291e17f6-593c-4afc-8347-27773ebd89d8,computer,Desktop or Laptop,Windows 10,Chrome 116.0.0.0,1536x864,1519x707,,,,Demographic_Intake,3,MaleBranch,,Male_InOut,No,famIncome,$40500-$55999
16,1694620107968,13/09/2023 15:48:27,1694620107555,-6,13/09/2023 09:48:27,132991,7,questionnaire-4ihx,,31671645,BLIND,9362250,,complete,,291e17f6-593c-4afc-8347-27773ebd89d8,computer,Desktop or Laptop,Windows 10,Chrome 116.0.0.0,1536x864,1519x707,,,,Demographic_Intake,3,MaleBranch,,Male_InOut,No,famIncome-quantised,3
17,1694620107968,13/09/2023 15:48:27,1694620107555,-6,13/09/2023 09:48:27,132991,7,questionnaire-4ihx,,31671645,BLIND,9362250,,complete,,291e17f6-593c-4afc-8347-27773ebd89d8,computer,Desktop or Laptop,Windows 10,Chrome 116.0.0.0,1536x864,1519x707,,,,Demographic_Intake,3,MaleBranch,,Male_InOut,No,response-4,7
18,1694620107968,13/09/2023 15:48:27,1694620107555,-6,13/09/2023 09:48:27,132991,7,questionnaire-4ihx,,31671645,BLIND,9362250,,complete,,291e17f6-593c-4afc-8347-27773ebd89d8,computer,Desktop or Laptop,Windows 10,Chrome 116.0.0.0,1536x864,1519x707,,,,Demographic_Intake,3,MaleBranch,,Male_InOut,No,parentMarriage,Married
19,1694620107968,13/09/2023 15:48:27,1694620107555,-6,13/09/2023 09:48:27,132991,7,questionnaire-4ihx,,31671645,BLIND,9362250,,complete,,291e17f6-593c-4afc-8347-27773ebd89d8,computer,Desktop or Laptop,Windows 10,Chrome 116.0.0.0,1536x864,1519x707,,,,Demographic_Intake,3,MaleBranch,,Male_InOut,No,parentMarriage-quantised,2
20,1694620107968,13/09/2023 15:48:27,1694620107555,-6,13/09/2023 09:48:27,132991,7,questionnaire-4ihx,,31671645,BLIND,9362250,,complete,,291e17f6-593c-4afc-8347-27773ebd89d8,computer,Desktop or Laptop,Windows 10,Chrome 116.0.0.0,1536x864,1519x707,,,,Demographic_Intake,3,MaleBranch,,Male_InOut,No,parentMarriage-text,
21,1694620107968,13/09/2023 15:48:27,1694620107555,-6,13/09/2023 09:48:27,132991,7,questionnaire-4ihx,,31671645,BLIND,9362250,,complete,,291e17f6-593c-4afc-8347-27773ebd89d8,computer,Desktop or Laptop,Windows 10,Chrome 116.0.0.0,1536x864,1519x707,,,,Demographic_Intake,3,MaleBranch,,Male_InOut,No,partDegree,high school
22,1694620107968,13/09/2023 15:48:27,1694620107555,-6,13/09/2023 09:48:27,132991,7,questionnaire-4ihx,,31671645,BLIND,9362250,,complete,,291e17f6-593c-4afc-8347-27773ebd89d8,computer,Desktop or Laptop,Windows 10,Chrome 116.0.0.0,1536x864,1519x707,,,,Demographic_Intake,3,MaleBranch,,Male_InOut,No,parentDegree,"2 year college degree, high school"
23,1694620108179,13/09/2023 15:48:28,1694620107555,-6,13/09/2023 09:48:27,132991,7,questionnaire-4ihx,,31671645,BLIND,9362250,,complete,,291e17f6-593c-4afc-8347-27773ebd89d8,computer,Desktop or Laptop,Windows 10,Chrome 116.0.0.0,1536x864,1519x707,,,,Demographic_Intake,3,MaleBranch,,Male_InOut,No,Income,Less than $12500
24,1694620108179,13/09/2023 15:48:28,1694620107556,-6,13/09/2023 09:48:27,132991,7,questionnaire-4ihx,,31671645,BLIND,9362250,,complete,,291e17f6-593c-4afc-8347-27773ebd89d8,computer,Desktop or Laptop,Windows 10,Chrome 116.0.0.0,1536x864,1519x707,,,,Demographic_Intake,3,MaleBranch,,Male_InOut,No,Income-quantised,1
25,1694620108179,13/09/2023 15:48:28,1694620107556,-6,13/09/2023 09:48:27,132991,7,questionnaire-4ihx,,31671645,BLIND,9362250,,complete,,291e17f6-593c-4afc-8347-27773ebd89d8,computer,Desktop or Laptop,Windows 10,Chrome 116.0.0.0,1536x864,1519x707,,,,Demographic_Intake,3,MaleBranch,,Male_InOut,No,maritalStatus,Single
26,1694620108179,13/09/2023 15:48:28,1694620107556,-6,13/09/2023 09:48:27,132991,7,questionnaire-4ihx,,31671645,BLIND,9362250,,complete,,291e17f6-593c-4afc-8347-27773ebd89d8,computer,Desktop or Laptop,Windows 10,Chrome 116.0.0.0,1536x864,1519x707,,,,Demographic_Intake,3,MaleBranch,,Male_InOut,No,maritalStatus-quantised,1
27,1694620108179,13/09/2023 15:48:28,1694620107556,-6,13/09/2023 09:48:27,132991,7,questionnaire-4ihx,,31671645,BLIND,9362250,,complete,,291e17f6-593c-4afc-8347-27773ebd89d8,computer,Desktop or Laptop,Windows 10,Chrome 116.0.0.0,1536x864,1519x707,,,,Demographic_Intake,3,MaleBranch,,Male_InOut,No,maritalStatus-text,
