Event Index,UTC Timestamp,UTC Date and Time,Local Timestamp,Local Timezone,Local Date and Time,Experiment ID,Experiment Version,Tree Node Key,Repeat Key,Schedule ID,Participant Public ID,Participant Private ID,Participant Starting Group,Participant Status,Participant Completion Code,Participant External Session ID,Participant Device Type,Participant Device,Participant OS,Participant Browser,Participant Monitor Size,Participant Viewport Size,Checkpoint,Room ID,Room Order,Task Name,Task Version,branch-jqbz,randomiser-745l,randomiser-hhua,Randomise questionnaire elements?,Question Key,Response
1,1694621503496,13/09/2023 16:11:43,1694621503321,-6,13/09/2023 10:11:43,132991,7,questionnaire-iqsy,,31672397,BLIND,9362250,,complete,,291e17f6-593c-4afc-8347-27773ebd89d8,computer,Desktop or Laptop,Windows 10,Chrome 116.0.0.0,1536x864,1536x707,,,,"Ethnic Identity 7-point scale - Sidanius et al., 2008",2,MaleBranch,,Male_InOut,No,BEGIN QUESTIONNAIRE,
2,1694621528316,13/09/2023 16:12:08,1694621528154,-6,13/09/2023 10:12:08,132991,7,questionnaire-iqsy,,31672397,BLIND,9362250,,complete,,291e17f6-593c-4afc-8347-27773ebd89d8,computer,Desktop or Laptop,Windows 10,Chrome 116.0.0.0,1536x864,1519x707,,,,"Ethnic Identity 7-point scale - Sidanius et al., 2008",2,MaleBranch,,Male_InOut,No,EIS1,4
3,1694621528522,13/09/2023 16:12:08,1694621528155,-6,13/09/2023 10:12:08,132991,7,questionnaire-iqsy,,31672397,BLIND,9362250,,complete,,291e17f6-593c-4afc-8347-27773ebd89d8,computer,Desktop or Laptop,Windows 10,Chrome 116.0.0.0,1536x864,1519x707,,,,"Ethnic Identity 7-point scale - Sidanius et al., 2008",2,MaleBranch,,Male_InOut,No,EIS2,3
4,1694621528522,13/09/2023 16:12:08,1694621528155,-6,13/09/2023 10:12:08,132991,7,questionnaire-iqsy,,31672397,BLIND,9362250,,complete,,291e17f6-593c-4afc-8347-27773ebd89d8,computer,Desktop or Laptop,Windows 10,Chrome 116.0.0.0,1536x864,1519x707,,,,"Ethnic Identity 7-point scale - Sidanius et al., 2008",2,MaleBranch,,Male_InOut,No,EIS3,4
5,1694621528522,13/09/2023 16:12:08,1694621528156,-6,13/09/2023 10:12:08,132991,7,questionnaire-iqsy,,31672397,BLIND,9362250,,complete,,291e17f6-593c-4afc-8347-27773ebd89d8,computer,Desktop or Laptop,Windows 10,Chrome 116.0.0.0,1536x864,1519x707,,,,"Ethnic Identity 7-point scale - Sidanius et al., 2008",2,MaleBranch,,Male_InOut,No,EIS4,4
6,1694621528522,13/09/2023 16:12:08,1694621528156,-6,13/09/2023 10:12:08,132991,7,questionnaire-iqsy,,31672397,BLIND,9362250,,complete,,291e17f6-593c-4afc-8347-27773ebd89d8,computer,Desktop or Laptop,Windows 10,Chrome 116.0.0.0,1536x864,1519x707,,,,"Ethnic Identity 7-point scale - Sidanius et al., 2008",2,MaleBranch,,Male_InOut,No,END QUESTIONNAIRE,24835
1,1694621648791,13/09/2023 16:14:08,1694621649699,-7,13/09/2023 09:14:09,132991,7,questionnaire-iqsy,,31672434,BLIND,9362285,,complete,,9c20b238-139d-4c44-8bad-341efc394d5e,computer,Desktop or Laptop,Windows 10,Chrome 116.0.0.0,1366x768,1707x813,,,,"Ethnic Identity 7-point scale - Sidanius et al., 2008",2,MaleBranch,,Male_InIn_Swap,No,BEGIN QUESTIONNAIRE,
2,1694621659712,13/09/2023 16:14:19,1694621660670,-7,13/09/2023 09:14:20,132991,7,questionnaire-iqsy,,31672434,BLIND,9362285,,complete,,9c20b238-139d-4c44-8bad-341efc394d5e,computer,Desktop or Laptop,Windows 10,Chrome 116.0.0.0,1366x768,1686x813,,,,"Ethnic Identity 7-point scale - Sidanius et al., 2008",2,MaleBranch,,Male_InIn_Swap,No,EIS1,2
3,1694621659869,13/09/2023 16:14:19,1694621660672,-7,13/09/2023 09:14:20,132991,7,questionnaire-iqsy,,31672434,BLIND,9362285,,complete,,9c20b238-139d-4c44-8bad-341efc394d5e,computer,Desktop or Laptop,Windows 10,Chrome 116.0.0.0,1366x768,1686x813,,,,"Ethnic Identity 7-point scale - Sidanius et al., 2008",2,MaleBranch,,Male_InIn_Swap,No,EIS2,1
4,1694621659869,13/09/2023 16:14:19,1694621660672,-7,13/09/2023 09:14:20,132991,7,questionnaire-iqsy,,31672434,BLIND,9362285,,complete,,9c20b238-139d-4c44-8bad-341efc394d5e,computer,Desktop or Laptop,Windows 10,Chrome 116.0.0.0,1366x768,1686x813,,,,"Ethnic Identity 7-point scale - Sidanius et al., 2008",2,MaleBranch,,Male_InIn_Swap,No,EIS3,2
5,1694621659869,13/09/2023 16:14:19,1694621660672,-7,13/09/2023 09:14:20,132991,7,questionnaire-iqsy,,31672434,BLIND,9362285,,complete,,9c20b238-139d-4c44-8bad-341efc394d5e,computer,Desktop or Laptop,Windows 10,Chrome 116.0.0.0,1366x768,1686x813,,,,"Ethnic Identity 7-point scale - Sidanius et al., 2008",2,MaleBranch,,Male_InIn_Swap,No,EIS4,4
6,1694621659869,13/09/2023 16:14:19,1694621660673,-7,13/09/2023 09:14:20,132991,7,questionnaire-iqsy,,31672434,BLIND,9362285,,complete,,9c20b238-139d-4c44-8bad-341efc394d5e,computer,Desktop or Laptop,Windows 10,Chrome 116.0.0.0,1366x768,1686x813,,,,"Ethnic Identity 7-point scale - Sidanius et al., 2008",2,MaleBranch,,Male_InIn_Swap,No,END QUESTIONNAIRE,10974
1,1694621738591,13/09/2023 16:15:38,1694621737911,-4,13/09/2023 12:15:37,132991,7,questionnaire-iqsy,,31672478,BLIND,9362297,,complete,,3865e6aa-b3e2-4757-9841-9e5f6b1674e3,computer,Desktop or Laptop,Windows 10,Firefox 117.0,1920x1080,1920x967,,,,"Ethnic Identity 7-point scale - Sidanius et al., 2008",2,MaleBranch,,Male_InIn_Swap,No,BEGIN QUESTIONNAIRE,
2,1694621754142,13/09/2023 16:15:54,1694621753541,-4,13/09/2023 12:15:53,132991,7,questionnaire-iqsy,,31672478,BLIND,9362297,,complete,,3865e6aa-b3e2-4757-9841-9e5f6b1674e3,computer,Desktop or Laptop,Windows 10,Firefox 117.0,1920x1080,1903x967,,,,"Ethnic Identity 7-point scale - Sidanius et al., 2008",2,MaleBranch,,Male_InIn_Swap,No,EIS1,1
