Event Index,UTC Timestamp,UTC Date and Time,Local Timestamp,Local Timezone,Local Date and Time,Experiment ID,Experiment Version,Tree Node Key,Repeat Key,Schedule ID,Participant Public ID,Participant Private ID,Participant Starting Group,Participant Status,Participant Completion Code,Participant External Session ID,Participant Device Type,Participant Device,Participant OS,Participant Browser,Participant Monitor Size,Participant Viewport Size,Checkpoint,Room ID,Room Order,Task Name,Task Version,branch-jqbz,randomiser-745l,randomiser-hhua,Randomise questionnaire elements?,Question Key,Response
1,1695230656744,20/09/2023 17:24:16,1695230655584,-5,20/09/2023 12:24:15,139457,3,questionnaire-eye6,,31767022,BLIND,9394744,,complete,,7480e1a0-97a9-4192-af68-fc23ce2b63a0,computer,Desktop or Laptop,Windows 10,Firefox 117.0,2144x1206,2144x1066,,,,Exit Questions / Debriefing,1,MaleBranch,,Male_InIn_Swap,No,BEGIN QUESTIONNAIRE,
2,1695230762458,20/09/2023 17:26:02,1695230761343,-5,20/09/2023 12:26:01,139457,3,questionnaire-eye6,,31767022,BLIND,9394744,,complete,,7480e1a0-97a9-4192-af68-fc23ce2b63a0,computer,Desktop or Laptop,Windows 10,Firefox 117.0,2144x1206,2144x1066,,,,Exit Questions / Debriefing,1,MaleBranch,,Male_InIn_Swap,No,ImmsersionSlider,5
3,1695230762618,20/09/2023 17:26:02,1695230761345,-5,20/09/2023 12:26:01,139457,3,questionnaire-eye6,,31767022,BLIND,9394744,,complete,,7480e1a0-97a9-4192-af68-fc23ce2b63a0,computer,Desktop or Laptop,Windows 10,Firefox 117.0,2144x1206,2144x1066,,,,Exit Questions / Debriefing,1,MaleBranch,,Male_InIn_Swap,No,ExitQ_Immersion,Maybe have adventure related pictures or gifs
4,1695230762618,20/09/2023 17:26:02,1695230761346,-5,20/09/2023 12:26:01,139457,3,questionnaire-eye6,,31767022,BLIND,9394744,,complete,,7480e1a0-97a9-4192-af68-fc23ce2b63a0,computer,Desktop or Laptop,Windows 10,Firefox 117.0,2144x1206,2144x1066,,,,Exit Questions / Debriefing,1,MaleBranch,,Male_InIn_Swap,No,ExitQ_SettingCheck,"A dungeon where the player had to fight , avoid traps and the like"
5,1695230762618,20/09/2023 17:26:02,1695230761346,-5,20/09/2023 12:26:01,139457,3,questionnaire-eye6,,31767022,BLIND,9394744,,complete,,7480e1a0-97a9-4192-af68-fc23ce2b63a0,computer,Desktop or Laptop,Windows 10,Firefox 117.0,2144x1206,2144x1066,,,,Exit Questions / Debriefing,1,MaleBranch,,Male_InIn_Swap,No,ExitQ_PlayAgain,haoyu
6,1695230762618,20/09/2023 17:26:02,1695230761346,-5,20/09/2023 12:26:01,139457,3,questionnaire-eye6,,31767022,BLIND,9394744,,complete,,7480e1a0-97a9-4192-af68-fc23ce2b63a0,computer,Desktop or Laptop,Windows 10,Firefox 117.0,2144x1206,2144x1066,,,,Exit Questions / Debriefing,1,MaleBranch,,Male_InIn_Swap,No,ExitQ_PlayFeeling,both seemed to be good
7,1695230762618,20/09/2023 17:26:02,1695230761346,-5,20/09/2023 12:26:01,139457,3,questionnaire-eye6,,31767022,BLIND,9394744,,complete,,7480e1a0-97a9-4192-af68-fc23ce2b63a0,computer,Desktop or Laptop,Windows 10,Firefox 117.0,2144x1206,2144x1066,,,,Exit Questions / Debriefing,1,MaleBranch,,Male_InIn_Swap,No,ExitQ_PlayDecisions,yes
8,1695230762618,20/09/2023 17:26:02,1695230761346,-5,20/09/2023 12:26:01,139457,3,questionnaire-eye6,,31767022,BLIND,9394744,,complete,,7480e1a0-97a9-4192-af68-fc23ce2b63a0,computer,Desktop or Laptop,Windows 10,Firefox 117.0,2144x1206,2144x1066,,,,Exit Questions / Debriefing,1,MaleBranch,,Male_InIn_Swap,No,Debriefing,Yes
9,1695230762618,20/09/2023 17:26:02,1695230761346,-5,20/09/2023 12:26:01,139457,3,questionnaire-eye6,,31767022,BLIND,9394744,,complete,,7480e1a0-97a9-4192-af68-fc23ce2b63a0,computer,Desktop or Laptop,Windows 10,Firefox 117.0,2144x1206,2144x1066,,,,Exit Questions / Debriefing,1,MaleBranch,,Male_InIn_Swap,No,Debriefing-quantised,1
10,1695230762618,20/09/2023 17:26:02,1695230761346,-5,20/09/2023 12:26:01,139457,3,questionnaire-eye6,,31767022,BLIND,9394744,,complete,,7480e1a0-97a9-4192-af68-fc23ce2b63a0,computer,Desktop or Laptop,Windows 10,Firefox 117.0,2144x1206,2144x1066,,,,Exit Questions / Debriefing,1,MaleBranch,,Male_InIn_Swap,No,Feedback,no
11,1695230762618,20/09/2023 17:26:02,1695230761346,-5,20/09/2023 12:26:01,139457,3,questionnaire-eye6,,31767022,BLIND,9394744,,complete,,7480e1a0-97a9-4192-af68-fc23ce2b63a0,computer,Desktop or Laptop,Windows 10,Firefox 117.0,2144x1206,2144x1066,,,,Exit Questions / Debriefing,1,MaleBranch,,Male_InIn_Swap,No,END QUESTIONNAIRE,105762
1,1695230675215,20/09/2023 17:24:35,1695230668138,-4,20/09/2023 13:24:28,139457,3,questionnaire-eye6,,31767029,BLIND,9394739,,complete,,576b87a8-8fd8-4b32-803f-f4e93faed1f9,computer,Desktop or Laptop,Windows 10,Chrome 116.0.0.0,1536x864,1707x821,,,,Exit Questions / Debriefing,1,MaleBranch,,Male_InIn,No,BEGIN QUESTIONNAIRE,
2,1695230761948,20/09/2023 17:26:01,1695230754404,-4,20/09/2023 13:25:54,139457,3,questionnaire-eye6,,31767029,BLIND,9394739,,complete,,576b87a8-8fd8-4b32-803f-f4e93faed1f9,computer,Desktop or Laptop,Windows 10,Chrome 116.0.0.0,1536x864,1707x821,,,,Exit Questions / Debriefing,1,MaleBranch,,Male_InIn,No,ImmsersionSlider,7
3,1695230762181,20/09/2023 17:26:02,1695230754407,-4,20/09/2023 13:25:54,139457,3,questionnaire-eye6,,31767029,BLIND,9394739,,complete,,576b87a8-8fd8-4b32-803f-f4e93faed1f9,computer,Desktop or Laptop,Windows 10,Chrome 116.0.0.0,1536x864,1707x821,,,,Exit Questions / Debriefing,1,MaleBranch,,Male_InIn,No,ExitQ_Immersion,Make the scenarios move at a pace that the reader can control.
4,1695230762181,20/09/2023 17:26:02,1695230754407,-4,20/09/2023 13:25:54,139457,3,questionnaire-eye6,,31767029,BLIND,9394739,,complete,,576b87a8-8fd8-4b32-803f-f4e93faed1f9,computer,Desktop or Laptop,Windows 10,Chrome 116.0.0.0,1536x864,1707x821,,,,Exit Questions / Debriefing,1,MaleBranch,,Male_InIn,No,ExitQ_SettingCheck,Fantasy dungeon
