Event Index,UTC Timestamp,UTC Date and Time,Local Timestamp,Local Timezone,Local Date and Time,Experiment ID,Experiment Version,Tree Node Key,Repeat Key,Schedule ID,Participant Public ID,Participant Private ID,Participant Starting Group,Participant Status,Participant Completion Code,Participant External Session ID,Participant Device Type,Participant Device,Participant OS,Participant Browser,Participant Monitor Size,Participant Viewport Size,Checkpoint,Room ID,Room Order,Task Name,Task Version,branch-jqbz,randomiser-745l,randomiser-hhua,Randomise questionnaire elements?,Question Key,Response
1,1694620645392,13/09/2023 15:57:25,1694620645205,-6,13/09/2023 09:57:25,132991,7,questionnaire-eye6,,31672008,BLIND,9362250,,complete,,291e17f6-593c-4afc-8347-27773ebd89d8,computer,Desktop or Laptop,Windows 10,Chrome 116.0.0.0,1536x864,1536x707,,,,Exit Questions / Debriefing,1,MaleBranch,,Male_InOut,No,BEGIN QUESTIONNAIRE,
2,1694620815333,13/09/2023 16:00:15,1694620815179,-6,13/09/2023 10:00:15,132991,7,questionnaire-eye6,,31672008,BLIND,9362250,,complete,,291e17f6-593c-4afc-8347-27773ebd89d8,computer,Desktop or Laptop,Windows 10,Chrome 116.0.0.0,1536x864,1536x707,,,,Exit Questions / Debriefing,1,MaleBranch,,Male_InOut,No,ImmsersionSlider,3
3,1694620815763,13/09/2023 16:00:15,1694620815180,-6,13/09/2023 10:00:15,132991,7,questionnaire-eye6,,31672008,BLIND,9362250,,complete,,291e17f6-593c-4afc-8347-27773ebd89d8,computer,Desktop or Laptop,Windows 10,Chrome 116.0.0.0,1536x864,1536x707,,,,Exit Questions / Debriefing,1,MaleBranch,,Male_InOut,No,ExitQ_Immersion,give us more time to read it without it auto advancing
4,1694620815763,13/09/2023 16:00:15,1694620815181,-6,13/09/2023 10:00:15,132991,7,questionnaire-eye6,,31672008,BLIND,9362250,,complete,,291e17f6-593c-4afc-8347-27773ebd89d8,computer,Desktop or Laptop,Windows 10,Chrome 116.0.0.0,1536x864,1536x707,,,,Exit Questions / Debriefing,1,MaleBranch,,Male_InOut,No,ExitQ_SettingCheck,a dungeon of some sort
5,1694620815763,13/09/2023 16:00:15,1694620815181,-6,13/09/2023 10:00:15,132991,7,questionnaire-eye6,,31672008,BLIND,9362250,,complete,,291e17f6-593c-4afc-8347-27773ebd89d8,computer,Desktop or Laptop,Windows 10,Chrome 116.0.0.0,1536x864,1536x707,,,,Exit Questions / Debriefing,1,MaleBranch,,Male_InOut,No,ExitQ_PlayAgain,Hayou
6,1694620815763,13/09/2023 16:00:15,1694620815181,-6,13/09/2023 10:00:15,132991,7,questionnaire-eye6,,31672008,BLIND,9362250,,complete,,291e17f6-593c-4afc-8347-27773ebd89d8,computer,Desktop or Laptop,Windows 10,Chrome 116.0.0.0,1536x864,1536x707,,,,Exit Questions / Debriefing,1,MaleBranch,,Male_InOut,No,ExitQ_PlayFeeling,they both seemed to make good decisions so it was hard to punish them until I was forced to
7,1694620815763,13/09/2023 16:00:15,1694620815181,-6,13/09/2023 10:00:15,132991,7,questionnaire-eye6,,31672008,BLIND,9362250,,complete,,291e17f6-593c-4afc-8347-27773ebd89d8,computer,Desktop or Laptop,Windows 10,Chrome 116.0.0.0,1536x864,1536x707,,,,Exit Questions / Debriefing,1,MaleBranch,,Male_InOut,No,ExitQ_PlayDecisions,"Yes, I thought so. I was waiting for a bad decision but never really got one so I used up all my rewards right away."
8,1694620815763,13/09/2023 16:00:15,1694620815181,-6,13/09/2023 10:00:15,132991,7,questionnaire-eye6,,31672008,BLIND,9362250,,complete,,291e17f6-593c-4afc-8347-27773ebd89d8,computer,Desktop or Laptop,Windows 10,Chrome 116.0.0.0,1536x864,1536x707,,,,Exit Questions / Debriefing,1,MaleBranch,,Male_InOut,No,Debriefing,Yes
9,1694620815763,13/09/2023 16:00:15,1694620815181,-6,13/09/2023 10:00:15,132991,7,questionnaire-eye6,,31672008,BLIND,9362250,,complete,,291e17f6-593c-4afc-8347-27773ebd89d8,computer,Desktop or Laptop,Windows 10,Chrome 116.0.0.0,1536x864,1536x707,,,,Exit Questions / Debriefing,1,MaleBranch,,Male_InOut,No,Debriefing-quantised,1
10,1694620815763,13/09/2023 16:00:15,1694620815181,-6,13/09/2023 10:00:15,132991,7,questionnaire-eye6,,31672008,BLIND,9362250,,complete,,291e17f6-593c-4afc-8347-27773ebd89d8,computer,Desktop or Laptop,Windows 10,Chrome 116.0.0.0,1536x864,1536x707,,,,Exit Questions / Debriefing,1,MaleBranch,,Male_InOut,No,Feedback,I couldn't scroll to see all the words on some pages and it auto advanced so quickly that I didn't always have time to read all the words.
11,1694620815763,13/09/2023 16:00:15,1694620815182,-6,13/09/2023 10:00:15,132991,7,questionnaire-eye6,,31672008,BLIND,9362250,,complete,,291e17f6-593c-4afc-8347-27773ebd89d8,computer,Desktop or Laptop,Windows 10,Chrome 116.0.0.0,1536x864,1536x707,,,,Exit Questions / Debriefing,1,MaleBranch,,Male_InOut,No,END QUESTIONNAIRE,169977
