Event Index,UTC Timestamp,UTC Date and Time,Local Timestamp,Local Timezone,Local Date and Time,Experiment ID,Experiment Version,Tree Node Key,Repeat Key,Schedule ID,Participant Public ID,Participant Private ID,Participant Starting Group,Participant Status,Participant Completion Code,Participant External Session ID,Participant Device Type,Participant Device,Participant OS,Participant Browser,Participant Monitor Size,Participant Viewport Size,Checkpoint,Room ID,Room Order,Task Name,Task Version,branch-jqbz,randomiser-745l,randomiser-hhua,Randomise questionnaire elements?,Question Key,Response
1,1695231225016,20/09/2023 17:33:45,1695231225479,-4,20/09/2023 13:33:45,139457,3,questionnaire-kwad,,31767211,BLIND,9394743,,complete,,e8c4970a-2376-4c6d-8b60-299c04c77c96,computer,Desktop or Laptop,Windows 10,Chrome 116.0.0.0,1920x1080,1920x931,,,,Perceived Gender/Racial Discrimination,2,MaleBranch,,Male_InOut,No,BEGIN QUESTIONNAIRE,
2,1695231249556,20/09/2023 17:34:09,1695231250081,-4,20/09/2023 13:34:10,139457,3,questionnaire-kwad,,31767211,BLIND,9394743,,complete,,e8c4970a-2376-4c6d-8b60-299c04c77c96,computer,Desktop or Laptop,Windows 10,Chrome 116.0.0.0,1920x1080,1903x931,,,,Perceived Gender/Racial Discrimination,2,MaleBranch,,Male_InOut,No,PGRD1,7
3,1695231249678,20/09/2023 17:34:09,1695231250083,-4,20/09/2023 13:34:10,139457,3,questionnaire-kwad,,31767211,BLIND,9394743,,complete,,e8c4970a-2376-4c6d-8b60-299c04c77c96,computer,Desktop or Laptop,Windows 10,Chrome 116.0.0.0,1920x1080,1903x931,,,,Perceived Gender/Racial Discrimination,2,MaleBranch,,Male_InOut,No,PGRD2,5
4,1695231249678,20/09/2023 17:34:09,1695231250084,-4,20/09/2023 13:34:10,139457,3,questionnaire-kwad,,31767211,BLIND,9394743,,complete,,e8c4970a-2376-4c6d-8b60-299c04c77c96,computer,Desktop or Laptop,Windows 10,Chrome 116.0.0.0,1920x1080,1903x931,,,,Perceived Gender/Racial Discrimination,2,MaleBranch,,Male_InOut,No,PGRD3,4
5,1695231249678,20/09/2023 17:34:09,1695231250084,-4,20/09/2023 13:34:10,139457,3,questionnaire-kwad,,31767211,BLIND,9394743,,complete,,e8c4970a-2376-4c6d-8b60-299c04c77c96,computer,Desktop or Laptop,Windows 10,Chrome 116.0.0.0,1920x1080,1903x931,,,,Perceived Gender/Racial Discrimination,2,MaleBranch,,Male_InOut,No,PGRD4,5
6,1695231249678,20/09/2023 17:34:09,1695231250084,-4,20/09/2023 13:34:10,139457,3,questionnaire-kwad,,31767211,BLIND,9394743,,complete,,e8c4970a-2376-4c6d-8b60-299c04c77c96,computer,Desktop or Laptop,Windows 10,Chrome 116.0.0.0,1920x1080,1903x931,,,,Perceived Gender/Racial Discrimination,2,MaleBranch,,Male_InOut,No,PGRD5,3
7,1695231249678,20/09/2023 17:34:09,1695231250084,-4,20/09/2023 13:34:10,139457,3,questionnaire-kwad,,31767211,BLIND,9394743,,complete,,e8c4970a-2376-4c6d-8b60-299c04c77c96,computer,Desktop or Laptop,Windows 10,Chrome 116.0.0.0,1920x1080,1903x931,,,,Perceived Gender/Racial Discrimination,2,MaleBranch,,Male_InOut,No,PGRD6,6
8,1695231249678,20/09/2023 17:34:09,1695231250084,-4,20/09/2023 13:34:10,139457,3,questionnaire-kwad,,31767211,BLIND,9394743,,complete,,e8c4970a-2376-4c6d-8b60-299c04c77c96,computer,Desktop or Laptop,Windows 10,Chrome 116.0.0.0,1920x1080,1903x931,,,,Perceived Gender/Racial Discrimination,2,MaleBranch,,Male_InOut,No,END QUESTIONNAIRE,24605
1,1695231285004,20/09/2023 17:34:45,1695231277985,-4,20/09/2023 13:34:37,139457,3,questionnaire-kwad,,31767236,BLIND,9394739,,complete,,576b87a8-8fd8-4b32-803f-f4e93faed1f9,computer,Desktop or Laptop,Windows 10,Chrome 116.0.0.0,1536x864,1707x821,,,,Perceived Gender/Racial Discrimination,2,MaleBranch,,Male_InIn,No,BEGIN QUESTIONNAIRE,
2,1695231645034,20/09/2023 17:40:45,1695231637808,-4,20/09/2023 13:40:37,139457,3,questionnaire-kwad,,31767236,BLIND,9394739,,complete,,576b87a8-8fd8-4b32-803f-f4e93faed1f9,computer,Desktop or Laptop,Windows 10,Chrome 116.0.0.0,1536x864,1688x821,,,,Perceived Gender/Racial Discrimination,2,MaleBranch,,Male_InIn,No,PGRD1,6
3,1695231645237,20/09/2023 17:40:45,1695231637810,-4,20/09/2023 13:40:37,139457,3,questionnaire-kwad,,31767236,BLIND,9394739,,complete,,576b87a8-8fd8-4b32-803f-f4e93faed1f9,computer,Desktop or Laptop,Windows 10,Chrome 116.0.0.0,1536x864,1688x821,,,,Perceived Gender/Racial Discrimination,2,MaleBranch,,Male_InIn,No,PGRD2,1
4,1695231645237,20/09/2023 17:40:45,1695231637810,-4,20/09/2023 13:40:37,139457,3,questionnaire-kwad,,31767236,BLIND,9394739,,complete,,576b87a8-8fd8-4b32-803f-f4e93faed1f9,computer,Desktop or Laptop,Windows 10,Chrome 116.0.0.0,1536x864,1688x821,,,,Perceived Gender/Racial Discrimination,2,MaleBranch,,Male_InIn,No,PGRD3,5
5,1695231645237,20/09/2023 17:40:45,1695231637810,-4,20/09/2023 13:40:37,139457,3,questionnaire-kwad,,31767236,BLIND,9394739,,complete,,576b87a8-8fd8-4b32-803f-f4e93faed1f9,computer,Desktop or Laptop,Windows 10,Chrome 116.0.0.0,1536x864,1688x821,,,,Perceived Gender/Racial Discrimination,2,MaleBranch,,Male_InIn,No,PGRD4,1
6,1695231645237,20/09/2023 17:40:45,1695231637810,-4,20/09/2023 13:40:37,139457,3,questionnaire-kwad,,31767236,BLIND,9394739,,complete,,576b87a8-8fd8-4b32-803f-f4e93faed1f9,computer,Desktop or Laptop,Windows 10,Chrome 116.0.0.0,1536x864,1688x821,,,,Perceived Gender/Racial Discrimination,2,MaleBranch,,Male_InIn,No,PGRD5,5
7,1695231645237,20/09/2023 17:40:45,1695231637810,-4,20/09/2023 13:40:37,139457,3,questionnaire-kwad,,31767236,BLIND,9394739,,complete,,576b87a8-8fd8-4b32-803f-f4e93faed1f9,computer,Desktop or Laptop,Windows 10,Chrome 116.0.0.0,1536x864,1688x821,,,,Perceived Gender/Racial Discrimination,2,MaleBranch,,Male_InIn,No,PGRD6,1
8,1695231645237,20/09/2023 17:40:45,1695231637810,-4,20/09/2023 13:40:37,139457,3,questionnaire-kwad,,31767236,BLIND,9394739,,complete,,576b87a8-8fd8-4b32-803f-f4e93faed1f9,computer,Desktop or Laptop,Windows 10,Chrome 116.0.0.0,1536x864,1688x821,,,,Perceived Gender/Racial Discrimination,2,MaleBranch,,Male_InIn,No,END QUESTIONNAIRE,359825
1,1695231440150,20/09/2023 17:37:20,1695231439788,-5,20/09/2023 12:37:19,139457,3,questionnaire-kwad,,31767313,BLIND,9394745,,complete,,8d12558a-fe73-4d7a-a61e-c99e5d1c36e0,computer,Desktop or Laptop,Windows 10,Opera 102.0.0.0,3440x1440,3399x1339,,,,Perceived Gender/Racial Discrimination,2,MaleBranch,,Male_InIn,No,BEGIN QUESTIONNAIRE,
2,1695231480193,20/09/2023 17:38:00,1695231479871,-5,20/09/2023 12:37:59,139457,3,questionnaire-kwad,,31767313,BLIND,9394745,,complete,,8d12558a-fe73-4d7a-a61e-c99e5d1c36e0,computer,Desktop or Laptop,Windows 10,Opera 102.0.0.0,3440x1440,3399x1339,,,,Perceived Gender/Racial Discrimination,2,MaleBranch,,Male_InIn,No,PGRD1,6
3,1695231480313,20/09/2023 17:38:00,1695231479872,-5,20/09/2023 12:37:59,139457,3,questionnaire-kwad,,31767313,BLIND,9394745,,complete,,8d12558a-fe73-4d7a-a61e-c99e5d1c36e0,computer,Desktop or Laptop,Windows 10,Opera 102.0.0.0,3440x1440,3399x1339,,,,Perceived Gender/Racial Discrimination,2,MaleBranch,,Male_InIn,No,PGRD2,2
4,1695231480313,20/09/2023 17:38:00,1695231479872,-5,20/09/2023 12:37:59,139457,3,questionnaire-kwad,,31767313,BLIND,9394745,,complete,,8d12558a-fe73-4d7a-a61e-c99e5d1c36e0,computer,Desktop or Laptop,Windows 10,Opera 102.0.0.0,3440x1440,3399x1339,,,,Perceived Gender/Racial Discrimination,2,MaleBranch,,Male_InIn,No,PGRD3,7
5,1695231480313,20/09/2023 17:38:00,1695231479872,-5,20/09/2023 12:37:59,139457,3,questionnaire-kwad,,31767313,BLIND,9394745,,complete,,8d12558a-fe73-4d7a-a61e-c99e5d1c36e0,computer,Desktop or Laptop,Windows 10,Opera 102.0.0.0,3440x1440,3399x1339,,,,Perceived Gender/Racial Discrimination,2,MaleBranch,,Male_InIn,No,PGRD4,3
6,1695231480313,20/09/2023 17:38:00,1695231479872,-5,20/09/2023 12:37:59,139457,3,questionnaire-kwad,,31767313,BLIND,9394745,,complete,,8d12558a-fe73-4d7a-a61e-c99e5d1c36e0,computer,Desktop or Laptop,Windows 10,Opera 102.0.0.0,3440x1440,3399x1339,,,,Perceived Gender/Racial Discrimination,2,MaleBranch,,Male_InIn,No,PGRD5,6
7,1695231480313,20/09/2023 17:38:00,1695231479872,-5,20/09/2023 12:37:59,139457,3,questionnaire-kwad,,31767313,BLIND,9394745,,complete,,8d12558a-fe73-4d7a-a61e-c99e5d1c36e0,computer,Desktop or Laptop,Windows 10,Opera 102.0.0.0,3440x1440,3399x1339,,,,Perceived Gender/Racial Discrimination,2,MaleBranch,,Male_InIn,No,PGRD6,5
8,1695231480313,20/09/2023 17:38:00,1695231479872,-5,20/09/2023 12:37:59,139457,3,questionnaire-kwad,,31767313,BLIND,9394745,,complete,,8d12558a-fe73-4d7a-a61e-c99e5d1c36e0,computer,Desktop or Laptop,Windows 10,Opera 102.0.0.0,3440x1440,3399x1339,,,,Perceived Gender/Racial Discrimination,2,MaleBranch,,Male_InIn,No,END QUESTIONNAIRE,40084
1,1695231627639,20/09/2023 17:40:27,1695231628093,-7,20/09/2023 10:40:28,139457,3,questionnaire-kwad,,31767378,BLIND,9394740,,complete,,8ab88a9d-dd3c-4c54-8a42-f0528ef6b54a,computer,Desktop or Laptop,Windows 10,Chrome 116.0.0.0,2560x1440,2560x1283,,,,Perceived Gender/Racial Discrimination,2,MaleBranch,,Male_InIn,No,BEGIN QUESTIONNAIRE,
2,1695231701571,20/09/2023 17:41:41,1695231702062,-7,20/09/2023 10:41:42,139457,3,questionnaire-kwad,,31767378,BLIND,9394740,,complete,,8ab88a9d-dd3c-4c54-8a42-f0528ef6b54a,computer,Desktop or Laptop,Windows 10,Chrome 116.0.0.0,2560x1440,2560x1283,,,,Perceived Gender/Racial Discrimination,2,MaleBranch,,Male_InIn,No,PGRD1,6
3,1695231701746,20/09/2023 17:41:41,1695231702063,-7,20/09/2023 10:41:42,139457,3,questionnaire-kwad,,31767378,BLIND,9394740,,complete,,8ab88a9d-dd3c-4c54-8a42-f0528ef6b54a,computer,Desktop or Laptop,Windows 10,Chrome 116.0.0.0,2560x1440,2560x1283,,,,Perceived Gender/Racial Discrimination,2,MaleBranch,,Male_InIn,No,PGRD2,6
4,1695231701746,20/09/2023 17:41:41,1695231702063,-7,20/09/2023 10:41:42,139457,3,questionnaire-kwad,,31767378,BLIND,9394740,,complete,,8ab88a9d-dd3c-4c54-8a42-f0528ef6b54a,computer,Desktop or Laptop,Windows 10,Chrome 116.0.0.0,2560x1440,2560x1283,,,,Perceived Gender/Racial Discrimination,2,MaleBranch,,Male_InIn,No,PGRD3,5
5,1695231701746,20/09/2023 17:41:41,1695231702063,-7,20/09/2023 10:41:42,139457,3,questionnaire-kwad,,31767378,BLIND,9394740,,complete,,8ab88a9d-dd3c-4c54-8a42-f0528ef6b54a,computer,Desktop or Laptop,Windows 10,Chrome 116.0.0.0,2560x1440,2560x1283,,,,Perceived Gender/Racial Discrimination,2,MaleBranch,,Male_InIn,No,PGRD4,5
6,1695231701746,20/09/2023 17:41:41,1695231702063,-7,20/09/2023 10:41:42,139457,3,questionnaire-kwad,,31767378,BLIND,9394740,,complete,,8ab88a9d-dd3c-4c54-8a42-f0528ef6b54a,computer,Desktop or Laptop,Windows 10,Chrome 116.0.0.0,2560x1440,2560x1283,,,,Perceived Gender/Racial Discrimination,2,MaleBranch,,Male_InIn,No,PGRD5,4
7,1695231701746,20/09/2023 17:41:41,1695231702063,-7,20/09/2023 10:41:42,139457,3,questionnaire-kwad,,31767378,BLIND,9394740,,complete,,8ab88a9d-dd3c-4c54-8a42-f0528ef6b54a,computer,Desktop or Laptop,Windows 10,Chrome 116.0.0.0,2560x1440,2560x1283,,,,Perceived Gender/Racial Discrimination,2,MaleBranch,,Male_InIn,No,PGRD6,3
8,1695231701746,20/09/2023 17:41:41,1695231702063,-7,20/09/2023 10:41:42,139457,3,questionnaire-kwad,,31767378,BLIND,9394740,,complete,,8ab88a9d-dd3c-4c54-8a42-f0528ef6b54a,computer,Desktop or Laptop,Windows 10,Chrome 116.0.0.0,2560x1440,2560x1283,,,,Perceived Gender/Racial Discrimination,2,MaleBranch,,Male_InIn,No,END QUESTIONNAIRE,73970
1,1695231765058,20/09/2023 17:42:45,1695231762342,-4,20/09/2023 13:42:42,139457,3,questionnaire-kwad,,31767440,BLIND,9394746,,complete,,ed690b51-099f-4b46-b27d-5d945c2611a6,computer,Desktop or Laptop,Windows 10,Edge 117.0.2045.31,1920x1080,1903x948,,,,Perceived Gender/Racial Discrimination,2,MaleBranch,,Male_InOut,No,BEGIN QUESTIONNAIRE,
2,1695231842574,20/09/2023 17:44:02,1695231839862,-4,20/09/2023 13:43:59,139457,3,questionnaire-kwad,,31767440,BLIND,9394746,,complete,,ed690b51-099f-4b46-b27d-5d945c2611a6,computer,Desktop or Laptop,Windows 10,Edge 117.0.2045.31,1920x1080,1888x948,,,,Perceived Gender/Racial Discrimination,2,MaleBranch,,Male_InOut,No,PGRD1,7
3,1695231842683,20/09/2023 17:44:02,1695231839863,-4,20/09/2023 13:43:59,139457,3,questionnaire-kwad,,31767440,BLIND,9394746,,complete,,ed690b51-099f-4b46-b27d-5d945c2611a6,computer,Desktop or Laptop,Windows 10,Edge 117.0.2045.31,1920x1080,1888x948,,,,Perceived Gender/Racial Discrimination,2,MaleBranch,,Male_InOut,No,PGRD2,5
