Event Index,UTC Timestamp,UTC Date and Time,Local Timestamp,Local Timezone,Local Date and Time,Experiment ID,Experiment Version,Tree Node Key,Repeat Key,Schedule ID,Participant Public ID,Participant Private ID,Participant Starting Group,Participant Status,Participant Completion Code,Participant External Session ID,Participant Device Type,Participant Device,Participant OS,Participant Browser,Participant Monitor Size,Participant Viewport Size,Checkpoint,Room ID,Room Order,Task Name,Task Version,branch-jqbz,randomiser-745l,randomiser-hhua,Randomise questionnaire elements?,Question Key,Response
1,1694621449042,13/09/2023 16:10:49,1694621448858,-6,13/09/2023 10:10:48,132991,7,questionnaire-kwad,,31672371,BLIND,9362250,,complete,,291e17f6-593c-4afc-8347-27773ebd89d8,computer,Desktop or Laptop,Windows 10,Chrome 116.0.0.0,1536x864,1536x707,,,,Perceived Gender/Racial Discrimination,2,MaleBranch,,Male_InOut,No,BEGIN QUESTIONNAIRE,
2,1694621501151,13/09/2023 16:11:41,1694621501004,-6,13/09/2023 10:11:41,132991,7,questionnaire-kwad,,31672371,BLIND,9362250,,complete,,291e17f6-593c-4afc-8347-27773ebd89d8,computer,Desktop or Laptop,Windows 10,Chrome 116.0.0.0,1536x864,1519x707,,,,Perceived Gender/Racial Discrimination,2,MaleBranch,,Male_InOut,No,PGRD1,3
3,1694621501361,13/09/2023 16:11:41,1694621501007,-6,13/09/2023 10:11:41,132991,7,questionnaire-kwad,,31672371,BLIND,9362250,,complete,,291e17f6-593c-4afc-8347-27773ebd89d8,computer,Desktop or Laptop,Windows 10,Chrome 116.0.0.0,1536x864,1519x707,,,,Perceived Gender/Racial Discrimination,2,MaleBranch,,Male_InOut,No,PGRD2,4
4,1694621501361,13/09/2023 16:11:41,1694621501007,-6,13/09/2023 10:11:41,132991,7,questionnaire-kwad,,31672371,BLIND,9362250,,complete,,291e17f6-593c-4afc-8347-27773ebd89d8,computer,Desktop or Laptop,Windows 10,Chrome 116.0.0.0,1536x864,1519x707,,,,Perceived Gender/Racial Discrimination,2,MaleBranch,,Male_InOut,No,PGRD3,2
5,1694621501361,13/09/2023 16:11:41,1694621501007,-6,13/09/2023 10:11:41,132991,7,questionnaire-kwad,,31672371,BLIND,9362250,,complete,,291e17f6-593c-4afc-8347-27773ebd89d8,computer,Desktop or Laptop,Windows 10,Chrome 116.0.0.0,1536x864,1519x707,,,,Perceived Gender/Racial Discrimination,2,MaleBranch,,Male_InOut,No,PGRD4,3
6,1694621501361,13/09/2023 16:11:41,1694621501008,-6,13/09/2023 10:11:41,132991,7,questionnaire-kwad,,31672371,BLIND,9362250,,complete,,291e17f6-593c-4afc-8347-27773ebd89d8,computer,Desktop or Laptop,Windows 10,Chrome 116.0.0.0,1536x864,1519x707,,,,Perceived Gender/Racial Discrimination,2,MaleBranch,,Male_InOut,No,PGRD5,2
7,1694621501361,13/09/2023 16:11:41,1694621501008,-6,13/09/2023 10:11:41,132991,7,questionnaire-kwad,,31672371,BLIND,9362250,,complete,,291e17f6-593c-4afc-8347-27773ebd89d8,computer,Desktop or Laptop,Windows 10,Chrome 116.0.0.0,1536x864,1519x707,,,,Perceived Gender/Racial Discrimination,2,MaleBranch,,Male_InOut,No,PGRD6,3
8,1694621501361,13/09/2023 16:11:41,1694621501008,-6,13/09/2023 10:11:41,132991,7,questionnaire-kwad,,31672371,BLIND,9362250,,complete,,291e17f6-593c-4afc-8347-27773ebd89d8,computer,Desktop or Laptop,Windows 10,Chrome 116.0.0.0,1536x864,1519x707,,,,Perceived Gender/Racial Discrimination,2,MaleBranch,,Male_InOut,No,END QUESTIONNAIRE,52150
1,1694621614895,13/09/2023 16:13:34,1694621615828,-7,13/09/2023 09:13:35,132991,7,questionnaire-kwad,,31672409,BLIND,9362285,,complete,,9c20b238-139d-4c44-8bad-341efc394d5e,computer,Desktop or Laptop,Windows 10,Chrome 116.0.0.0,1366x768,1707x813,,,,Perceived Gender/Racial Discrimination,2,MaleBranch,,Male_InIn_Swap,No,BEGIN QUESTIONNAIRE,
2,1694621647034,13/09/2023 16:14:07,1694621647980,-7,13/09/2023 09:14:07,132991,7,questionnaire-kwad,,31672409,BLIND,9362285,,complete,,9c20b238-139d-4c44-8bad-341efc394d5e,computer,Desktop or Laptop,Windows 10,Chrome 116.0.0.0,1366x768,1686x813,,,,Perceived Gender/Racial Discrimination,2,MaleBranch,,Male_InIn_Swap,No,PGRD1,1
3,1694621647180,13/09/2023 16:14:07,1694621647981,-7,13/09/2023 09:14:07,132991,7,questionnaire-kwad,,31672409,BLIND,9362285,,complete,,9c20b238-139d-4c44-8bad-341efc394d5e,computer,Desktop or Laptop,Windows 10,Chrome 116.0.0.0,1366x768,1686x813,,,,Perceived Gender/Racial Discrimination,2,MaleBranch,,Male_InIn_Swap,No,PGRD2,1
4,1694621647180,13/09/2023 16:14:07,1694621647982,-7,13/09/2023 09:14:07,132991,7,questionnaire-kwad,,31672409,BLIND,9362285,,complete,,9c20b238-139d-4c44-8bad-341efc394d5e,computer,Desktop or Laptop,Windows 10,Chrome 116.0.0.0,1366x768,1686x813,,,,Perceived Gender/Racial Discrimination,2,MaleBranch,,Male_InIn_Swap,No,PGRD3,1
5,1694621647180,13/09/2023 16:14:07,1694621647982,-7,13/09/2023 09:14:07,132991,7,questionnaire-kwad,,31672409,BLIND,9362285,,complete,,9c20b238-139d-4c44-8bad-341efc394d5e,computer,Desktop or Laptop,Windows 10,Chrome 116.0.0.0,1366x768,1686x813,,,,Perceived Gender/Racial Discrimination,2,MaleBranch,,Male_InIn_Swap,No,PGRD4,3
6,1694621647180,13/09/2023 16:14:07,1694621647982,-7,13/09/2023 09:14:07,132991,7,questionnaire-kwad,,31672409,BLIND,9362285,,complete,,9c20b238-139d-4c44-8bad-341efc394d5e,computer,Desktop or Laptop,Windows 10,Chrome 116.0.0.0,1366x768,1686x813,,,,Perceived Gender/Racial Discrimination,2,MaleBranch,,Male_InIn_Swap,No,PGRD5,1
7,1694621647180,13/09/2023 16:14:07,1694621647982,-7,13/09/2023 09:14:07,132991,7,questionnaire-kwad,,31672409,BLIND,9362285,,complete,,9c20b238-139d-4c44-8bad-341efc394d5e,computer,Desktop or Laptop,Windows 10,Chrome 116.0.0.0,1366x768,1686x813,,,,Perceived Gender/Racial Discrimination,2,MaleBranch,,Male_InIn_Swap,No,PGRD6,1
8,1694621647180,13/09/2023 16:14:07,1694621647983,-7,13/09/2023 09:14:07,132991,7,questionnaire-kwad,,31672409,BLIND,9362285,,complete,,9c20b238-139d-4c44-8bad-341efc394d5e,computer,Desktop or Laptop,Windows 10,Chrome 116.0.0.0,1366x768,1686x813,,,,Perceived Gender/Racial Discrimination,2,MaleBranch,,Male_InIn_Swap,No,END QUESTIONNAIRE,32155
1,1694621699925,13/09/2023 16:14:59,1694621699293,-4,13/09/2023 12:14:59,132991,7,questionnaire-kwad,,31672461,BLIND,9362297,,complete,,3865e6aa-b3e2-4757-9841-9e5f6b1674e3,computer,Desktop or Laptop,Windows 10,Firefox 117.0,1920x1080,1920x967,,,,Perceived Gender/Racial Discrimination,2,MaleBranch,,Male_InIn_Swap,No,BEGIN QUESTIONNAIRE,
2,1694621736608,13/09/2023 16:15:36,1694621735982,-4,13/09/2023 12:15:35,132991,7,questionnaire-kwad,,31672461,BLIND,9362297,,complete,,3865e6aa-b3e2-4757-9841-9e5f6b1674e3,computer,Desktop or Laptop,Windows 10,Firefox 117.0,1920x1080,1903x967,,,,Perceived Gender/Racial Discrimination,2,MaleBranch,,Male_InIn_Swap,No,PGRD1,1
3,1694621736767,13/09/2023 16:15:36,1694621735983,-4,13/09/2023 12:15:35,132991,7,questionnaire-kwad,,31672461,BLIND,9362297,,complete,,3865e6aa-b3e2-4757-9841-9e5f6b1674e3,computer,Desktop or Laptop,Windows 10,Firefox 117.0,1920x1080,1903x967,,,,Perceived Gender/Racial Discrimination,2,MaleBranch,,Male_InIn_Swap,No,PGRD2,2
4,1694621736767,13/09/2023 16:15:36,1694621735983,-4,13/09/2023 12:15:35,132991,7,questionnaire-kwad,,31672461,BLIND,9362297,,complete,,3865e6aa-b3e2-4757-9841-9e5f6b1674e3,computer,Desktop or Laptop,Windows 10,Firefox 117.0,1920x1080,1903x967,,,,Perceived Gender/Racial Discrimination,2,MaleBranch,,Male_InIn_Swap,No,PGRD3,1
5,1694621736767,13/09/2023 16:15:36,1694621735983,-4,13/09/2023 12:15:35,132991,7,questionnaire-kwad,,31672461,BLIND,9362297,,complete,,3865e6aa-b3e2-4757-9841-9e5f6b1674e3,computer,Desktop or Laptop,Windows 10,Firefox 117.0,1920x1080,1903x967,,,,Perceived Gender/Racial Discrimination,2,MaleBranch,,Male_InIn_Swap,No,PGRD4,2
6,1694621736767,13/09/2023 16:15:36,1694621735983,-4,13/09/2023 12:15:35,132991,7,questionnaire-kwad,,31672461,BLIND,9362297,,complete,,3865e6aa-b3e2-4757-9841-9e5f6b1674e3,computer,Desktop or Laptop,Windows 10,Firefox 117.0,1920x1080,1903x967,,,,Perceived Gender/Racial Discrimination,2,MaleBranch,,Male_InIn_Swap,No,PGRD5,1
7,1694621736767,13/09/2023 16:15:36,1694621735983,-4,13/09/2023 12:15:35,132991,7,questionnaire-kwad,,31672461,BLIND,9362297,,complete,,3865e6aa-b3e2-4757-9841-9e5f6b1674e3,computer,Desktop or Laptop,Windows 10,Firefox 117.0,1920x1080,1903x967,,,,Perceived Gender/Racial Discrimination,2,MaleBranch,,Male_InIn_Swap,No,PGRD6,1
8,1694621736767,13/09/2023 16:15:36,1694621735983,-4,13/09/2023 12:15:35,132991,7,questionnaire-kwad,,31672461,BLIND,9362297,,complete,,3865e6aa-b3e2-4757-9841-9e5f6b1674e3,computer,Desktop or Laptop,Windows 10,Firefox 117.0,1920x1080,1903x967,,,,Perceived Gender/Racial Discrimination,2,MaleBranch,,Male_InIn_Swap,No,END QUESTIONNAIRE,36690
1,1694621831165,13/09/2023 16:17:11,1694621829677,-5,13/09/2023 11:17:09,132991,7,questionnaire-kwad,,31672513,BLIND,9362255,,complete,,0d6cd209-d3d4-4c1c-9e6d-18e1110e3a7f,computer,Desktop or Laptop,Windows 10,Chrome 103.0.9999.0,1366x768,1040x641,,,,Perceived Gender/Racial Discrimination,2,MaleBranch,,Male_InIn_Swap,No,BEGIN QUESTIONNAIRE,
2,1694621851297,13/09/2023 16:17:31,1694621848250,-5,13/09/2023 11:17:28,132991,7,questionnaire-kwad,,31672513,BLIND,9362255,,complete,,0d6cd209-d3d4-4c1c-9e6d-18e1110e3a7f,computer,Desktop or Laptop,Windows 10,Chrome 103.0.9999.0,1366x768,1023x641,,,,Perceived Gender/Racial Discrimination,2,MaleBranch,,Male_InIn_Swap,No,PGRD1,6
3,1694621851749,13/09/2023 16:17:31,1694621848252,-5,13/09/2023 11:17:28,132991,7,questionnaire-kwad,,31672513,BLIND,9362255,,complete,,0d6cd209-d3d4-4c1c-9e6d-18e1110e3a7f,computer,Desktop or Laptop,Windows 10,Chrome 103.0.9999.0,1366x768,1023x641,,,,Perceived Gender/Racial Discrimination,2,MaleBranch,,Male_InIn_Swap,No,PGRD2,6
4,1694621851749,13/09/2023 16:17:31,1694621848252,-5,13/09/2023 11:17:28,132991,7,questionnaire-kwad,,31672513,BLIND,9362255,,complete,,0d6cd209-d3d4-4c1c-9e6d-18e1110e3a7f,computer,Desktop or Laptop,Windows 10,Chrome 103.0.9999.0,1366x768,1023x641,,,,Perceived Gender/Racial Discrimination,2,MaleBranch,,Male_InIn_Swap,No,PGRD3,7
5,1694621851749,13/09/2023 16:17:31,1694621848252,-5,13/09/2023 11:17:28,132991,7,questionnaire-kwad,,31672513,BLIND,9362255,,complete,,0d6cd209-d3d4-4c1c-9e6d-18e1110e3a7f,computer,Desktop or Laptop,Windows 10,Chrome 103.0.9999.0,1366x768,1023x641,,,,Perceived Gender/Racial Discrimination,2,MaleBranch,,Male_InIn_Swap,No,PGRD4,5
