Event Index,UTC Timestamp,UTC Date and Time,Local Timestamp,Local Timezone,Local Date and Time,Experiment ID,Experiment Version,Tree Node Key,Repeat Key,Schedule ID,Participant Public ID,Participant Private ID,Participant Starting Group,Participant Status,Participant Completion Code,Participant External Session ID,Participant Device Type,Participant Device,Participant OS,Participant Browser,Participant Monitor Size,Participant Viewport Size,Checkpoint,Room ID,Room Order,Task Name,Task Version,branch-jqbz,randomiser-745l,randomiser-hhua,Randomise questionnaire elements?,Question Key,Response
1,1695231350025,20/09/2023 17:35:50,1695231350503,-4,20/09/2023 13:35:50,139457,3,questionnaire-9yy2,,31767269,BLIND,9394743,,complete,,e8c4970a-2376-4c6d-8b60-299c04c77c96,computer,Desktop or Laptop,Windows 10,Chrome 116.0.0.0,1920x1080,1920x931,,,,RWAS/ACT - Poilitical Questionaire,3,MaleBranch,,Male_InOut,No,BEGIN QUESTIONNAIRE,
2,1695231407860,20/09/2023 17:36:47,1695231408366,-4,20/09/2023 13:36:48,139457,3,questionnaire-9yy2,,31767269,BLIND,9394743,,complete,,e8c4970a-2376-4c6d-8b60-299c04c77c96,computer,Desktop or Laptop,Windows 10,Chrome 116.0.0.0,1920x1080,1903x931,,,,RWAS/ACT - Poilitical Questionaire,3,MaleBranch,,Male_InOut,No,Political_Affiliation,4
3,1695231408019,20/09/2023 17:36:48,1695231408369,-4,20/09/2023 13:36:48,139457,3,questionnaire-9yy2,,31767269,BLIND,9394743,,complete,,e8c4970a-2376-4c6d-8b60-299c04c77c96,computer,Desktop or Laptop,Windows 10,Chrome 116.0.0.0,1920x1080,1903x931,,,,RWAS/ACT - Poilitical Questionaire,3,MaleBranch,,Male_InOut,No,RWAS_1,4
4,1695231408019,20/09/2023 17:36:48,1695231408369,-4,20/09/2023 13:36:48,139457,3,questionnaire-9yy2,,31767269,BLIND,9394743,,complete,,e8c4970a-2376-4c6d-8b60-299c04c77c96,computer,Desktop or Laptop,Windows 10,Chrome 116.0.0.0,1920x1080,1903x931,,,,RWAS/ACT - Poilitical Questionaire,3,MaleBranch,,Male_InOut,No,RWAS_2,7
5,1695231408019,20/09/2023 17:36:48,1695231408369,-4,20/09/2023 13:36:48,139457,3,questionnaire-9yy2,,31767269,BLIND,9394743,,complete,,e8c4970a-2376-4c6d-8b60-299c04c77c96,computer,Desktop or Laptop,Windows 10,Chrome 116.0.0.0,1920x1080,1903x931,,,,RWAS/ACT - Poilitical Questionaire,3,MaleBranch,,Male_InOut,No,RWAS_3,5
6,1695231408019,20/09/2023 17:36:48,1695231408370,-4,20/09/2023 13:36:48,139457,3,questionnaire-9yy2,,31767269,BLIND,9394743,,complete,,e8c4970a-2376-4c6d-8b60-299c04c77c96,computer,Desktop or Laptop,Windows 10,Chrome 116.0.0.0,1920x1080,1903x931,,,,RWAS/ACT - Poilitical Questionaire,3,MaleBranch,,Male_InOut,No,RWAS_4,3
7,1695231408019,20/09/2023 17:36:48,1695231408370,-4,20/09/2023 13:36:48,139457,3,questionnaire-9yy2,,31767269,BLIND,9394743,,complete,,e8c4970a-2376-4c6d-8b60-299c04c77c96,computer,Desktop or Laptop,Windows 10,Chrome 116.0.0.0,1920x1080,1903x931,,,,RWAS/ACT - Poilitical Questionaire,3,MaleBranch,,Male_InOut,No,RWAS_5,6
8,1695231408019,20/09/2023 17:36:48,1695231408370,-4,20/09/2023 13:36:48,139457,3,questionnaire-9yy2,,31767269,BLIND,9394743,,complete,,e8c4970a-2376-4c6d-8b60-299c04c77c96,computer,Desktop or Laptop,Windows 10,Chrome 116.0.0.0,1920x1080,1903x931,,,,RWAS/ACT - Poilitical Questionaire,3,MaleBranch,,Male_InOut,No,RWAS_6,1
9,1695231408019,20/09/2023 17:36:48,1695231408370,-4,20/09/2023 13:36:48,139457,3,questionnaire-9yy2,,31767269,BLIND,9394743,,complete,,e8c4970a-2376-4c6d-8b60-299c04c77c96,computer,Desktop or Laptop,Windows 10,Chrome 116.0.0.0,1920x1080,1903x931,,,,RWAS/ACT - Poilitical Questionaire,3,MaleBranch,,Male_InOut,No,RWAS_7,6
10,1695231408019,20/09/2023 17:36:48,1695231408371,-4,20/09/2023 13:36:48,139457,3,questionnaire-9yy2,,31767269,BLIND,9394743,,complete,,e8c4970a-2376-4c6d-8b60-299c04c77c96,computer,Desktop or Laptop,Windows 10,Chrome 116.0.0.0,1920x1080,1903x931,,,,RWAS/ACT - Poilitical Questionaire,3,MaleBranch,,Male_InOut,No,RWAS_8,7
11,1695231408019,20/09/2023 17:36:48,1695231408372,-4,20/09/2023 13:36:48,139457,3,questionnaire-9yy2,,31767269,BLIND,9394743,,complete,,e8c4970a-2376-4c6d-8b60-299c04c77c96,computer,Desktop or Laptop,Windows 10,Chrome 116.0.0.0,1920x1080,1903x931,,,,RWAS/ACT - Poilitical Questionaire,3,MaleBranch,,Male_InOut,No,RWAS_9,1
12,1695231408019,20/09/2023 17:36:48,1695231408372,-4,20/09/2023 13:36:48,139457,3,questionnaire-9yy2,,31767269,BLIND,9394743,,complete,,e8c4970a-2376-4c6d-8b60-299c04c77c96,computer,Desktop or Laptop,Windows 10,Chrome 116.0.0.0,1920x1080,1903x931,,,,RWAS/ACT - Poilitical Questionaire,3,MaleBranch,,Male_InOut,No,RWAS_10,5
13,1695231408019,20/09/2023 17:36:48,1695231408372,-4,20/09/2023 13:36:48,139457,3,questionnaire-9yy2,,31767269,BLIND,9394743,,complete,,e8c4970a-2376-4c6d-8b60-299c04c77c96,computer,Desktop or Laptop,Windows 10,Chrome 116.0.0.0,1920x1080,1903x931,,,,RWAS/ACT - Poilitical Questionaire,3,MaleBranch,,Male_InOut,No,RWAS_11,1
14,1695231408019,20/09/2023 17:36:48,1695231408373,-4,20/09/2023 13:36:48,139457,3,questionnaire-9yy2,,31767269,BLIND,9394743,,complete,,e8c4970a-2376-4c6d-8b60-299c04c77c96,computer,Desktop or Laptop,Windows 10,Chrome 116.0.0.0,1920x1080,1903x931,,,,RWAS/ACT - Poilitical Questionaire,3,MaleBranch,,Male_InOut,No,RWAS_12,4
15,1695231408019,20/09/2023 17:36:48,1695231408373,-4,20/09/2023 13:36:48,139457,3,questionnaire-9yy2,,31767269,BLIND,9394743,,complete,,e8c4970a-2376-4c6d-8b60-299c04c77c96,computer,Desktop or Laptop,Windows 10,Chrome 116.0.0.0,1920x1080,1903x931,,,,RWAS/ACT - Poilitical Questionaire,3,MaleBranch,,Male_InOut,No,RWAS_13,1
16,1695231408019,20/09/2023 17:36:48,1695231408373,-4,20/09/2023 13:36:48,139457,3,questionnaire-9yy2,,31767269,BLIND,9394743,,complete,,e8c4970a-2376-4c6d-8b60-299c04c77c96,computer,Desktop or Laptop,Windows 10,Chrome 116.0.0.0,1920x1080,1903x931,,,,RWAS/ACT - Poilitical Questionaire,3,MaleBranch,,Male_InOut,No,RWAS-14,6
17,1695231408019,20/09/2023 17:36:48,1695231408373,-4,20/09/2023 13:36:48,139457,3,questionnaire-9yy2,,31767269,BLIND,9394743,,complete,,e8c4970a-2376-4c6d-8b60-299c04c77c96,computer,Desktop or Laptop,Windows 10,Chrome 116.0.0.0,1920x1080,1903x931,,,,RWAS/ACT - Poilitical Questionaire,3,MaleBranch,,Male_InOut,No,ACT_1,7
18,1695231408019,20/09/2023 17:36:48,1695231408374,-4,20/09/2023 13:36:48,139457,3,questionnaire-9yy2,,31767269,BLIND,9394743,,complete,,e8c4970a-2376-4c6d-8b60-299c04c77c96,computer,Desktop or Laptop,Windows 10,Chrome 116.0.0.0,1920x1080,1903x931,,,,RWAS/ACT - Poilitical Questionaire,3,MaleBranch,,Male_InOut,No,ACT_2,3
19,1695231408019,20/09/2023 17:36:48,1695231408374,-4,20/09/2023 13:36:48,139457,3,questionnaire-9yy2,,31767269,BLIND,9394743,,complete,,e8c4970a-2376-4c6d-8b60-299c04c77c96,computer,Desktop or Laptop,Windows 10,Chrome 116.0.0.0,1920x1080,1903x931,,,,RWAS/ACT - Poilitical Questionaire,3,MaleBranch,,Male_InOut,No,ACT_3,1
20,1695231408019,20/09/2023 17:36:48,1695231408374,-4,20/09/2023 13:36:48,139457,3,questionnaire-9yy2,,31767269,BLIND,9394743,,complete,,e8c4970a-2376-4c6d-8b60-299c04c77c96,computer,Desktop or Laptop,Windows 10,Chrome 116.0.0.0,1920x1080,1903x931,,,,RWAS/ACT - Poilitical Questionaire,3,MaleBranch,,Male_InOut,No,ACT_4,5
21,1695231408019,20/09/2023 17:36:48,1695231408375,-4,20/09/2023 13:36:48,139457,3,questionnaire-9yy2,,31767269,BLIND,9394743,,complete,,e8c4970a-2376-4c6d-8b60-299c04c77c96,computer,Desktop or Laptop,Windows 10,Chrome 116.0.0.0,1920x1080,1903x931,,,,RWAS/ACT - Poilitical Questionaire,3,MaleBranch,,Male_InOut,No,ACT_5,6
22,1695231408019,20/09/2023 17:36:48,1695231408375,-4,20/09/2023 13:36:48,139457,3,questionnaire-9yy2,,31767269,BLIND,9394743,,complete,,e8c4970a-2376-4c6d-8b60-299c04c77c96,computer,Desktop or Laptop,Windows 10,Chrome 116.0.0.0,1920x1080,1903x931,,,,RWAS/ACT - Poilitical Questionaire,3,MaleBranch,,Male_InOut,No,END QUESTIONNAIRE,57872
1,1695231491244,20/09/2023 17:38:11,1695231491067,-4,20/09/2023 13:38:11,139457,3,questionnaire-9yy2,,31767328,BLIND,9394750,,complete,,f095a9d6-8dd0-4798-b72d-87c5b4d25d11,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 104.0.0.0,1728x1117,1368x938,,,,RWAS/ACT - Poilitical Questionaire,3,FemaleBranch,Female_InIn_Swap,,No,BEGIN QUESTIONNAIRE,
2,1695231560156,20/09/2023 17:39:20,1695231560019,-4,20/09/2023 13:39:20,139457,3,questionnaire-9yy2,,31767328,BLIND,9394750,,complete,,f095a9d6-8dd0-4798-b72d-87c5b4d25d11,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 104.0.0.0,1728x1117,1353x938,,,,RWAS/ACT - Poilitical Questionaire,3,FemaleBranch,Female_InIn_Swap,,No,Political_Affiliation,2
3,1695231560315,20/09/2023 17:39:20,1695231560020,-4,20/09/2023 13:39:20,139457,3,questionnaire-9yy2,,31767328,BLIND,9394750,,complete,,f095a9d6-8dd0-4798-b72d-87c5b4d25d11,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 104.0.0.0,1728x1117,1353x938,,,,RWAS/ACT - Poilitical Questionaire,3,FemaleBranch,Female_InIn_Swap,,No,RWAS_1,3
4,1695231560315,20/09/2023 17:39:20,1695231560020,-4,20/09/2023 13:39:20,139457,3,questionnaire-9yy2,,31767328,BLIND,9394750,,complete,,f095a9d6-8dd0-4798-b72d-87c5b4d25d11,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 104.0.0.0,1728x1117,1353x938,,,,RWAS/ACT - Poilitical Questionaire,3,FemaleBranch,Female_InIn_Swap,,No,RWAS_2,3
