Event Index,UTC Timestamp,UTC Date and Time,Local Timestamp,Local Timezone,Local Date and Time,Experiment ID,Experiment Version,Tree Node Key,Repeat Key,Schedule ID,Participant Public ID,Participant Private ID,Participant Starting Group,Participant Status,Participant Completion Code,Participant External Session ID,Participant Device Type,Participant Device,Participant OS,Participant Browser,Participant Monitor Size,Participant Viewport Size,Checkpoint,Room ID,Room Order,Task Name,Task Version,branch-jqbz,randomiser-745l,randomiser-hhua,Randomise questionnaire elements?,Question Key,Response
1,1694621818005,13/09/2023 16:16:58,1694621818933,-7,13/09/2023 09:16:58,132991,7,questionnaire-9yy2,,31672514,BLIND,9362285,,complete,,9c20b238-139d-4c44-8bad-341efc394d5e,computer,Desktop or Laptop,Windows 10,Chrome 116.0.0.0,1366x768,1707x813,,,,RWAS/ACT - Poilitical Questionaire,3,MaleBranch,,Male_InIn_Swap,No,BEGIN QUESTIONNAIRE,
2,1694621881843,13/09/2023 16:18:01,1694621882765,-7,13/09/2023 09:18:02,132991,7,questionnaire-9yy2,,31672514,BLIND,9362285,,complete,,9c20b238-139d-4c44-8bad-341efc394d5e,computer,Desktop or Laptop,Windows 10,Chrome 116.0.0.0,1366x768,1686x813,,,,RWAS/ACT - Poilitical Questionaire,3,MaleBranch,,Male_InIn_Swap,No,Political_Affiliation,1
3,1694621882018,13/09/2023 16:18:02,1694621882767,-7,13/09/2023 09:18:02,132991,7,questionnaire-9yy2,,31672514,BLIND,9362285,,complete,,9c20b238-139d-4c44-8bad-341efc394d5e,computer,Desktop or Laptop,Windows 10,Chrome 116.0.0.0,1366x768,1686x813,,,,RWAS/ACT - Poilitical Questionaire,3,MaleBranch,,Male_InIn_Swap,No,RWAS_1,1
4,1694621882018,13/09/2023 16:18:02,1694621882768,-7,13/09/2023 09:18:02,132991,7,questionnaire-9yy2,,31672514,BLIND,9362285,,complete,,9c20b238-139d-4c44-8bad-341efc394d5e,computer,Desktop or Laptop,Windows 10,Chrome 116.0.0.0,1366x768,1686x813,,,,RWAS/ACT - Poilitical Questionaire,3,MaleBranch,,Male_InIn_Swap,No,RWAS_2,1
5,1694621882018,13/09/2023 16:18:02,1694621882768,-7,13/09/2023 09:18:02,132991,7,questionnaire-9yy2,,31672514,BLIND,9362285,,complete,,9c20b238-139d-4c44-8bad-341efc394d5e,computer,Desktop or Laptop,Windows 10,Chrome 116.0.0.0,1366x768,1686x813,,,,RWAS/ACT - Poilitical Questionaire,3,MaleBranch,,Male_InIn_Swap,No,RWAS_3,1
6,1694621882018,13/09/2023 16:18:02,1694621882768,-7,13/09/2023 09:18:02,132991,7,questionnaire-9yy2,,31672514,BLIND,9362285,,complete,,9c20b238-139d-4c44-8bad-341efc394d5e,computer,Desktop or Laptop,Windows 10,Chrome 116.0.0.0,1366x768,1686x813,,,,RWAS/ACT - Poilitical Questionaire,3,MaleBranch,,Male_InIn_Swap,No,RWAS_4,1
7,1694621882018,13/09/2023 16:18:02,1694621882769,-7,13/09/2023 09:18:02,132991,7,questionnaire-9yy2,,31672514,BLIND,9362285,,complete,,9c20b238-139d-4c44-8bad-341efc394d5e,computer,Desktop or Laptop,Windows 10,Chrome 116.0.0.0,1366x768,1686x813,,,,RWAS/ACT - Poilitical Questionaire,3,MaleBranch,,Male_InIn_Swap,No,RWAS_5,1
8,1694621882018,13/09/2023 16:18:02,1694621882769,-7,13/09/2023 09:18:02,132991,7,questionnaire-9yy2,,31672514,BLIND,9362285,,complete,,9c20b238-139d-4c44-8bad-341efc394d5e,computer,Desktop or Laptop,Windows 10,Chrome 116.0.0.0,1366x768,1686x813,,,,RWAS/ACT - Poilitical Questionaire,3,MaleBranch,,Male_InIn_Swap,No,RWAS_6,7
9,1694621882018,13/09/2023 16:18:02,1694621882769,-7,13/09/2023 09:18:02,132991,7,questionnaire-9yy2,,31672514,BLIND,9362285,,complete,,9c20b238-139d-4c44-8bad-341efc394d5e,computer,Desktop or Laptop,Windows 10,Chrome 116.0.0.0,1366x768,1686x813,,,,RWAS/ACT - Poilitical Questionaire,3,MaleBranch,,Male_InIn_Swap,No,RWAS_7,1
10,1694621882018,13/09/2023 16:18:02,1694621882769,-7,13/09/2023 09:18:02,132991,7,questionnaire-9yy2,,31672514,BLIND,9362285,,complete,,9c20b238-139d-4c44-8bad-341efc394d5e,computer,Desktop or Laptop,Windows 10,Chrome 116.0.0.0,1366x768,1686x813,,,,RWAS/ACT - Poilitical Questionaire,3,MaleBranch,,Male_InIn_Swap,No,RWAS_8,1
