Event Index,UTC Timestamp,UTC Date and Time,Local Timestamp,Local Timezone,Local Date and Time,Experiment ID,Experiment Version,Tree Node Key,Repeat Key,Schedule ID,Participant Public ID,Participant Private ID,Participant Starting Group,Participant Status,Participant Completion Code,Participant External Session ID,Participant Device Type,Participant Device,Participant OS,Participant Browser,Participant Monitor Size,Participant Viewport Size,Checkpoint,Room ID,Room Order,Task Name,Task Version,branch-jqbz,randomiser-745l,randomiser-hhua,Randomise questionnaire elements?,Question Key,Response
1,1695231334345,20/09/2023 17:35:34,1695231334810,-4,20/09/2023 13:35:34,139457,3,questionnaire-td9y,,31767260,BLIND,9394743,,complete,,e8c4970a-2376-4c6d-8b60-299c04c77c96,computer,Desktop or Laptop,Windows 10,Chrome 116.0.0.0,1920x1080,1920x931,,,,"Social Dominance Orientation (SDO7) - Ho et al., 2015",2,MaleBranch,,Male_InOut,No,BEGIN QUESTIONNAIRE,
2,1695231348552,20/09/2023 17:35:48,1695231349074,-4,20/09/2023 13:35:49,139457,3,questionnaire-td9y,,31767260,BLIND,9394743,,complete,,e8c4970a-2376-4c6d-8b60-299c04c77c96,computer,Desktop or Laptop,Windows 10,Chrome 116.0.0.0,1920x1080,1903x931,,,,"Social Dominance Orientation (SDO7) - Ho et al., 2015",2,MaleBranch,,Male_InOut,No,SDO1,5
3,1695231348659,20/09/2023 17:35:48,1695231349076,-4,20/09/2023 13:35:49,139457,3,questionnaire-td9y,,31767260,BLIND,9394743,,complete,,e8c4970a-2376-4c6d-8b60-299c04c77c96,computer,Desktop or Laptop,Windows 10,Chrome 116.0.0.0,1920x1080,1903x931,,,,"Social Dominance Orientation (SDO7) - Ho et al., 2015",2,MaleBranch,,Male_InOut,No,SDO2,5
4,1695231348659,20/09/2023 17:35:48,1695231349077,-4,20/09/2023 13:35:49,139457,3,questionnaire-td9y,,31767260,BLIND,9394743,,complete,,e8c4970a-2376-4c6d-8b60-299c04c77c96,computer,Desktop or Laptop,Windows 10,Chrome 116.0.0.0,1920x1080,1903x931,,,,"Social Dominance Orientation (SDO7) - Ho et al., 2015",2,MaleBranch,,Male_InOut,No,SDO3_NK,2
5,1695231348659,20/09/2023 17:35:48,1695231349077,-4,20/09/2023 13:35:49,139457,3,questionnaire-td9y,,31767260,BLIND,9394743,,complete,,e8c4970a-2376-4c6d-8b60-299c04c77c96,computer,Desktop or Laptop,Windows 10,Chrome 116.0.0.0,1920x1080,1903x931,,,,"Social Dominance Orientation (SDO7) - Ho et al., 2015",2,MaleBranch,,Male_InOut,No,SDO4_NK,3
6,1695231348659,20/09/2023 17:35:48,1695231349077,-4,20/09/2023 13:35:49,139457,3,questionnaire-td9y,,31767260,BLIND,9394743,,complete,,e8c4970a-2376-4c6d-8b60-299c04c77c96,computer,Desktop or Laptop,Windows 10,Chrome 116.0.0.0,1920x1080,1903x931,,,,"Social Dominance Orientation (SDO7) - Ho et al., 2015",2,MaleBranch,,Male_InOut,No,SDO5,7
7,1695231348659,20/09/2023 17:35:48,1695231349077,-4,20/09/2023 13:35:49,139457,3,questionnaire-td9y,,31767260,BLIND,9394743,,complete,,e8c4970a-2376-4c6d-8b60-299c04c77c96,computer,Desktop or Laptop,Windows 10,Chrome 116.0.0.0,1920x1080,1903x931,,,,"Social Dominance Orientation (SDO7) - Ho et al., 2015",2,MaleBranch,,Male_InOut,No,SDO6,7
8,1695231348659,20/09/2023 17:35:48,1695231349078,-4,20/09/2023 13:35:49,139457,3,questionnaire-td9y,,31767260,BLIND,9394743,,complete,,e8c4970a-2376-4c6d-8b60-299c04c77c96,computer,Desktop or Laptop,Windows 10,Chrome 116.0.0.0,1920x1080,1903x931,,,,"Social Dominance Orientation (SDO7) - Ho et al., 2015",2,MaleBranch,,Male_InOut,No,SDO7_NK,3
9,1695231348659,20/09/2023 17:35:48,1695231349078,-4,20/09/2023 13:35:49,139457,3,questionnaire-td9y,,31767260,BLIND,9394743,,complete,,e8c4970a-2376-4c6d-8b60-299c04c77c96,computer,Desktop or Laptop,Windows 10,Chrome 116.0.0.0,1920x1080,1903x931,,,,"Social Dominance Orientation (SDO7) - Ho et al., 2015",2,MaleBranch,,Male_InOut,No,SDO8_NK,2
10,1695231348659,20/09/2023 17:35:48,1695231349078,-4,20/09/2023 13:35:49,139457,3,questionnaire-td9y,,31767260,BLIND,9394743,,complete,,e8c4970a-2376-4c6d-8b60-299c04c77c96,computer,Desktop or Laptop,Windows 10,Chrome 116.0.0.0,1920x1080,1903x931,,,,"Social Dominance Orientation (SDO7) - Ho et al., 2015",2,MaleBranch,,Male_InOut,No,END QUESTIONNAIRE,14268
1,1695231472372,20/09/2023 17:37:52,1695231472212,-4,20/09/2023 13:37:52,139457,3,questionnaire-td9y,,31767320,BLIND,9394750,,complete,,f095a9d6-8dd0-4798-b72d-87c5b4d25d11,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 104.0.0.0,1728x1117,1368x938,,,,"Social Dominance Orientation (SDO7) - Ho et al., 2015",2,FemaleBranch,Female_InIn_Swap,,No,BEGIN QUESTIONNAIRE,
2,1695231489638,20/09/2023 17:38:09,1695231489524,-4,20/09/2023 13:38:09,139457,3,questionnaire-td9y,,31767320,BLIND,9394750,,complete,,f095a9d6-8dd0-4798-b72d-87c5b4d25d11,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 104.0.0.0,1728x1117,1353x938,,,,"Social Dominance Orientation (SDO7) - Ho et al., 2015",2,FemaleBranch,Female_InIn_Swap,,No,SDO1,5
3,1695231489760,20/09/2023 17:38:09,1695231489525,-4,20/09/2023 13:38:09,139457,3,questionnaire-td9y,,31767320,BLIND,9394750,,complete,,f095a9d6-8dd0-4798-b72d-87c5b4d25d11,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 104.0.0.0,1728x1117,1353x938,,,,"Social Dominance Orientation (SDO7) - Ho et al., 2015",2,FemaleBranch,Female_InIn_Swap,,No,SDO2,1
4,1695231489760,20/09/2023 17:38:09,1695231489525,-4,20/09/2023 13:38:09,139457,3,questionnaire-td9y,,31767320,BLIND,9394750,,complete,,f095a9d6-8dd0-4798-b72d-87c5b4d25d11,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 104.0.0.0,1728x1117,1353x938,,,,"Social Dominance Orientation (SDO7) - Ho et al., 2015",2,FemaleBranch,Female_InIn_Swap,,No,SDO3_NK,5
5,1695231489760,20/09/2023 17:38:09,1695231489525,-4,20/09/2023 13:38:09,139457,3,questionnaire-td9y,,31767320,BLIND,9394750,,complete,,f095a9d6-8dd0-4798-b72d-87c5b4d25d11,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 104.0.0.0,1728x1117,1353x938,,,,"Social Dominance Orientation (SDO7) - Ho et al., 2015",2,FemaleBranch,Female_InIn_Swap,,No,SDO4_NK,6
6,1695231489760,20/09/2023 17:38:09,1695231489525,-4,20/09/2023 13:38:09,139457,3,questionnaire-td9y,,31767320,BLIND,9394750,,complete,,f095a9d6-8dd0-4798-b72d-87c5b4d25d11,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 104.0.0.0,1728x1117,1353x938,,,,"Social Dominance Orientation (SDO7) - Ho et al., 2015",2,FemaleBranch,Female_InIn_Swap,,No,SDO5,2
7,1695231489760,20/09/2023 17:38:09,1695231489525,-4,20/09/2023 13:38:09,139457,3,questionnaire-td9y,,31767320,BLIND,9394750,,complete,,f095a9d6-8dd0-4798-b72d-87c5b4d25d11,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 104.0.0.0,1728x1117,1353x938,,,,"Social Dominance Orientation (SDO7) - Ho et al., 2015",2,FemaleBranch,Female_InIn_Swap,,No,SDO6,2
8,1695231489760,20/09/2023 17:38:09,1695231489525,-4,20/09/2023 13:38:09,139457,3,questionnaire-td9y,,31767320,BLIND,9394750,,complete,,f095a9d6-8dd0-4798-b72d-87c5b4d25d11,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 104.0.0.0,1728x1117,1353x938,,,,"Social Dominance Orientation (SDO7) - Ho et al., 2015",2,FemaleBranch,Female_InIn_Swap,,No,SDO7_NK,5
9,1695231489760,20/09/2023 17:38:09,1695231489525,-4,20/09/2023 13:38:09,139457,3,questionnaire-td9y,,31767320,BLIND,9394750,,complete,,f095a9d6-8dd0-4798-b72d-87c5b4d25d11,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 104.0.0.0,1728x1117,1353x938,,,,"Social Dominance Orientation (SDO7) - Ho et al., 2015",2,FemaleBranch,Female_InIn_Swap,,No,SDO8_NK,6
10,1695231489760,20/09/2023 17:38:09,1695231489525,-4,20/09/2023 13:38:09,139457,3,questionnaire-td9y,,31767320,BLIND,9394750,,complete,,f095a9d6-8dd0-4798-b72d-87c5b4d25d11,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 104.0.0.0,1728x1117,1353x938,,,,"Social Dominance Orientation (SDO7) - Ho et al., 2015",2,FemaleBranch,Female_InIn_Swap,,No,END QUESTIONNAIRE,17313
1,1695231537093,20/09/2023 17:38:57,1695231535911,-5,20/09/2023 12:38:55,139457,3,questionnaire-td9y,,31767343,BLIND,9394744,,complete,,7480e1a0-97a9-4192-af68-fc23ce2b63a0,computer,Desktop or Laptop,Windows 10,Firefox 117.0,2144x1206,2144x1066,,,,"Social Dominance Orientation (SDO7) - Ho et al., 2015",2,MaleBranch,,Male_InIn_Swap,No,BEGIN QUESTIONNAIRE,
2,1695231558208,20/09/2023 17:39:18,1695231557047,-5,20/09/2023 12:39:17,139457,3,questionnaire-td9y,,31767343,BLIND,9394744,,complete,,7480e1a0-97a9-4192-af68-fc23ce2b63a0,computer,Desktop or Laptop,Windows 10,Firefox 117.0,2144x1206,2125x1066,,,,"Social Dominance Orientation (SDO7) - Ho et al., 2015",2,MaleBranch,,Male_InIn_Swap,No,SDO1,5
3,1695231558367,20/09/2023 17:39:18,1695231557049,-5,20/09/2023 12:39:17,139457,3,questionnaire-td9y,,31767343,BLIND,9394744,,complete,,7480e1a0-97a9-4192-af68-fc23ce2b63a0,computer,Desktop or Laptop,Windows 10,Firefox 117.0,2144x1206,2125x1066,,,,"Social Dominance Orientation (SDO7) - Ho et al., 2015",2,MaleBranch,,Male_InIn_Swap,No,SDO2,3
4,1695231558367,20/09/2023 17:39:18,1695231557049,-5,20/09/2023 12:39:17,139457,3,questionnaire-td9y,,31767343,BLIND,9394744,,complete,,7480e1a0-97a9-4192-af68-fc23ce2b63a0,computer,Desktop or Laptop,Windows 10,Firefox 117.0,2144x1206,2125x1066,,,,"Social Dominance Orientation (SDO7) - Ho et al., 2015",2,MaleBranch,,Male_InIn_Swap,No,SDO3_NK,5
