Event Index,UTC Timestamp,UTC Date and Time,Local Timestamp,Local Timezone,Local Date and Time,Experiment ID,Experiment Version,Tree Node Key,Repeat Key,Schedule ID,Participant Public ID,Participant Private ID,Participant Starting Group,Participant Status,Participant Completion Code,Participant External Session ID,Participant Device Type,Participant Device,Participant OS,Participant Browser,Participant Monitor Size,Participant Viewport Size,Checkpoint,Room ID,Room Order,Task Name,Task Version,branch-jqbz,randomiser-745l,randomiser-hhua,Randomise questionnaire elements?,Question Key,Response
1,1695231301787,20/09/2023 17:35:01,1695231302258,-4,20/09/2023 13:35:02,139457,3,questionnaire-7hvz,,31767247,BLIND,9394743,,complete,,e8c4970a-2376-4c6d-8b60-299c04c77c96,computer,Desktop or Laptop,Windows 10,Chrome 116.0.0.0,1920x1080,1920x931,,,,Belief in a Zero-Sum Game Scale,2,MaleBranch,,Male_InOut,No,BEGIN QUESTIONNAIRE,
2,1695231332623,20/09/2023 17:35:32,1695231333139,-4,20/09/2023 13:35:33,139457,3,questionnaire-7hvz,,31767247,BLIND,9394743,,complete,,e8c4970a-2376-4c6d-8b60-299c04c77c96,computer,Desktop or Laptop,Windows 10,Chrome 116.0.0.0,1920x1080,1903x931,,,,Belief in a Zero-Sum Game Scale,2,MaleBranch,,Male_InOut,No,ZSum1,4
3,1695231332735,20/09/2023 17:35:32,1695231333141,-4,20/09/2023 13:35:33,139457,3,questionnaire-7hvz,,31767247,BLIND,9394743,,complete,,e8c4970a-2376-4c6d-8b60-299c04c77c96,computer,Desktop or Laptop,Windows 10,Chrome 116.0.0.0,1920x1080,1903x931,,,,Belief in a Zero-Sum Game Scale,2,MaleBranch,,Male_InOut,No,ZSum2,5
4,1695231332735,20/09/2023 17:35:32,1695231333141,-4,20/09/2023 13:35:33,139457,3,questionnaire-7hvz,,31767247,BLIND,9394743,,complete,,e8c4970a-2376-4c6d-8b60-299c04c77c96,computer,Desktop or Laptop,Windows 10,Chrome 116.0.0.0,1920x1080,1903x931,,,,Belief in a Zero-Sum Game Scale,2,MaleBranch,,Male_InOut,No,ZSum3,4
5,1695231332735,20/09/2023 17:35:32,1695231333141,-4,20/09/2023 13:35:33,139457,3,questionnaire-7hvz,,31767247,BLIND,9394743,,complete,,e8c4970a-2376-4c6d-8b60-299c04c77c96,computer,Desktop or Laptop,Windows 10,Chrome 116.0.0.0,1920x1080,1903x931,,,,Belief in a Zero-Sum Game Scale,2,MaleBranch,,Male_InOut,No,ZSum4,6
6,1695231332735,20/09/2023 17:35:32,1695231333141,-4,20/09/2023 13:35:33,139457,3,questionnaire-7hvz,,31767247,BLIND,9394743,,complete,,e8c4970a-2376-4c6d-8b60-299c04c77c96,computer,Desktop or Laptop,Windows 10,Chrome 116.0.0.0,1920x1080,1903x931,,,,Belief in a Zero-Sum Game Scale,2,MaleBranch,,Male_InOut,No,ZSum5,4
7,1695231332735,20/09/2023 17:35:32,1695231333141,-4,20/09/2023 13:35:33,139457,3,questionnaire-7hvz,,31767247,BLIND,9394743,,complete,,e8c4970a-2376-4c6d-8b60-299c04c77c96,computer,Desktop or Laptop,Windows 10,Chrome 116.0.0.0,1920x1080,1903x931,,,,Belief in a Zero-Sum Game Scale,2,MaleBranch,,Male_InOut,No,ZSum6,3
8,1695231332735,20/09/2023 17:35:32,1695231333141,-4,20/09/2023 13:35:33,139457,3,questionnaire-7hvz,,31767247,BLIND,9394743,,complete,,e8c4970a-2376-4c6d-8b60-299c04c77c96,computer,Desktop or Laptop,Windows 10,Chrome 116.0.0.0,1920x1080,1903x931,,,,Belief in a Zero-Sum Game Scale,2,MaleBranch,,Male_InOut,No,ZSum7,3
9,1695231332735,20/09/2023 17:35:32,1695231333142,-4,20/09/2023 13:35:33,139457,3,questionnaire-7hvz,,31767247,BLIND,9394743,,complete,,e8c4970a-2376-4c6d-8b60-299c04c77c96,computer,Desktop or Laptop,Windows 10,Chrome 116.0.0.0,1920x1080,1903x931,,,,Belief in a Zero-Sum Game Scale,2,MaleBranch,,Male_InOut,No,ZSum8,6
10,1695231332735,20/09/2023 17:35:32,1695231333142,-4,20/09/2023 13:35:33,139457,3,questionnaire-7hvz,,31767247,BLIND,9394743,,complete,,e8c4970a-2376-4c6d-8b60-299c04c77c96,computer,Desktop or Laptop,Windows 10,Chrome 116.0.0.0,1920x1080,1903x931,,,,Belief in a Zero-Sum Game Scale,2,MaleBranch,,Male_InOut,No,ZSum9,5
11,1695231332735,20/09/2023 17:35:32,1695231333142,-4,20/09/2023 13:35:33,139457,3,questionnaire-7hvz,,31767247,BLIND,9394743,,complete,,e8c4970a-2376-4c6d-8b60-299c04c77c96,computer,Desktop or Laptop,Windows 10,Chrome 116.0.0.0,1920x1080,1903x931,,,,Belief in a Zero-Sum Game Scale,2,MaleBranch,,Male_InOut,No,ZSum10,3
12,1695231332735,20/09/2023 17:35:32,1695231333142,-4,20/09/2023 13:35:33,139457,3,questionnaire-7hvz,,31767247,BLIND,9394743,,complete,,e8c4970a-2376-4c6d-8b60-299c04c77c96,computer,Desktop or Laptop,Windows 10,Chrome 116.0.0.0,1920x1080,1903x931,,,,Belief in a Zero-Sum Game Scale,2,MaleBranch,,Male_InOut,No,ZSum11,3
13,1695231332735,20/09/2023 17:35:32,1695231333142,-4,20/09/2023 13:35:33,139457,3,questionnaire-7hvz,,31767247,BLIND,9394743,,complete,,e8c4970a-2376-4c6d-8b60-299c04c77c96,computer,Desktop or Laptop,Windows 10,Chrome 116.0.0.0,1920x1080,1903x931,,,,Belief in a Zero-Sum Game Scale,2,MaleBranch,,Male_InOut,No,ZSum12,2
14,1695231332735,20/09/2023 17:35:32,1695231333142,-4,20/09/2023 13:35:33,139457,3,questionnaire-7hvz,,31767247,BLIND,9394743,,complete,,e8c4970a-2376-4c6d-8b60-299c04c77c96,computer,Desktop or Laptop,Windows 10,Chrome 116.0.0.0,1920x1080,1903x931,,,,Belief in a Zero-Sum Game Scale,2,MaleBranch,,Male_InOut,No,END QUESTIONNAIRE,30884
1,1695231437574,20/09/2023 17:37:17,1695231437404,-4,20/09/2023 13:37:17,139457,3,questionnaire-7hvz,,31767311,BLIND,9394750,,complete,,f095a9d6-8dd0-4798-b72d-87c5b4d25d11,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 104.0.0.0,1728x1117,1368x938,,,,Belief in a Zero-Sum Game Scale,2,FemaleBranch,Female_InIn_Swap,,No,BEGIN QUESTIONNAIRE,
2,1695231470751,20/09/2023 17:37:50,1695231470642,-4,20/09/2023 13:37:50,139457,3,questionnaire-7hvz,,31767311,BLIND,9394750,,complete,,f095a9d6-8dd0-4798-b72d-87c5b4d25d11,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 104.0.0.0,1728x1117,1353x938,,,,Belief in a Zero-Sum Game Scale,2,FemaleBranch,Female_InIn_Swap,,No,ZSum1,3
3,1695231470898,20/09/2023 17:37:50,1695231470643,-4,20/09/2023 13:37:50,139457,3,questionnaire-7hvz,,31767311,BLIND,9394750,,complete,,f095a9d6-8dd0-4798-b72d-87c5b4d25d11,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 104.0.0.0,1728x1117,1353x938,,,,Belief in a Zero-Sum Game Scale,2,FemaleBranch,Female_InIn_Swap,,No,ZSum2,5
4,1695231470898,20/09/2023 17:37:50,1695231470643,-4,20/09/2023 13:37:50,139457,3,questionnaire-7hvz,,31767311,BLIND,9394750,,complete,,f095a9d6-8dd0-4798-b72d-87c5b4d25d11,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 104.0.0.0,1728x1117,1353x938,,,,Belief in a Zero-Sum Game Scale,2,FemaleBranch,Female_InIn_Swap,,No,ZSum3,5
5,1695231470898,20/09/2023 17:37:50,1695231470643,-4,20/09/2023 13:37:50,139457,3,questionnaire-7hvz,,31767311,BLIND,9394750,,complete,,f095a9d6-8dd0-4798-b72d-87c5b4d25d11,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 104.0.0.0,1728x1117,1353x938,,,,Belief in a Zero-Sum Game Scale,2,FemaleBranch,Female_InIn_Swap,,No,ZSum4,5
6,1695231470898,20/09/2023 17:37:50,1695231470643,-4,20/09/2023 13:37:50,139457,3,questionnaire-7hvz,,31767311,BLIND,9394750,,complete,,f095a9d6-8dd0-4798-b72d-87c5b4d25d11,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 104.0.0.0,1728x1117,1353x938,,,,Belief in a Zero-Sum Game Scale,2,FemaleBranch,Female_InIn_Swap,,No,ZSum5,2
7,1695231470898,20/09/2023 17:37:50,1695231470643,-4,20/09/2023 13:37:50,139457,3,questionnaire-7hvz,,31767311,BLIND,9394750,,complete,,f095a9d6-8dd0-4798-b72d-87c5b4d25d11,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 104.0.0.0,1728x1117,1353x938,,,,Belief in a Zero-Sum Game Scale,2,FemaleBranch,Female_InIn_Swap,,No,ZSum6,5
8,1695231470898,20/09/2023 17:37:50,1695231470643,-4,20/09/2023 13:37:50,139457,3,questionnaire-7hvz,,31767311,BLIND,9394750,,complete,,f095a9d6-8dd0-4798-b72d-87c5b4d25d11,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 104.0.0.0,1728x1117,1353x938,,,,Belief in a Zero-Sum Game Scale,2,FemaleBranch,Female_InIn_Swap,,No,ZSum7,2
9,1695231470898,20/09/2023 17:37:50,1695231470643,-4,20/09/2023 13:37:50,139457,3,questionnaire-7hvz,,31767311,BLIND,9394750,,complete,,f095a9d6-8dd0-4798-b72d-87c5b4d25d11,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 104.0.0.0,1728x1117,1353x938,,,,Belief in a Zero-Sum Game Scale,2,FemaleBranch,Female_InIn_Swap,,No,ZSum8,5
10,1695231470898,20/09/2023 17:37:50,1695231470644,-4,20/09/2023 13:37:50,139457,3,questionnaire-7hvz,,31767311,BLIND,9394750,,complete,,f095a9d6-8dd0-4798-b72d-87c5b4d25d11,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 104.0.0.0,1728x1117,1353x938,,,,Belief in a Zero-Sum Game Scale,2,FemaleBranch,Female_InIn_Swap,,No,ZSum9,3
11,1695231470898,20/09/2023 17:37:50,1695231470644,-4,20/09/2023 13:37:50,139457,3,questionnaire-7hvz,,31767311,BLIND,9394750,,complete,,f095a9d6-8dd0-4798-b72d-87c5b4d25d11,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 104.0.0.0,1728x1117,1353x938,,,,Belief in a Zero-Sum Game Scale,2,FemaleBranch,Female_InIn_Swap,,No,ZSum10,3
