Event Index,UTC Timestamp,UTC Date and Time,Local Timestamp,Local Timezone,Local Date and Time,Experiment ID,Experiment Version,Tree Node Key,Repeat Key,Schedule ID,Participant Public ID,Participant Private ID,Participant Starting Group,Participant Status,Participant Completion Code,Participant External Session ID,Participant Device Type,Participant Device,Participant OS,Participant Browser,Participant Monitor Size,Participant Viewport Size,Checkpoint,Room ID,Room Order,Task Name,Task Version,branch-jqbz,randomiser-745l,randomiser-hhua,Spreadsheet,Trial Number,Display,Screen,Screen ID,Screen Counter,Response Type,Response,Onset Time,Clock Time,Reaction Time,Absolute Onset Time,Absolute Clock Time,Absolute Reaction Time,Correct,Response Onset,Response Duration,Proportion,Tag,Component Name,Object Name,Object Number,Object ID,Spreadsheet: display,Spreadsheet: Adventurer1,Spreadsheet: Adventurer2,Spreadsheet: Scenario,Spreadsheet: EncounterIntro,Spreadsheet: PlayerAction,Spreadsheet: RewardFeedback,Spreadsheet: NeutralFeedback,Spreadsheet: PunishFeedback,Spreadsheet: scenDelay,Spreadsheet: Name,Spreadsheet: Group,Spreadsheet: Adv,Spreadsheet: Type,Manipulation: Spreadsheet,Store: pName,Store: participant,Store: respReward,Store: respNeutral,Store: respPunish,Store: decPunish,Store: outcome,Store: RewTally,Store: PunTally
1,1701202561941,28/11/2023 20:16:01,1701180961941,-6,28/11/2023 08:16:01,139457,5,task-7uof,,33279637,gl4j1a6m,9853017,,complete,,5c537613-1b65-462c-b45c-4a5634dd76e5,computer,Desktop or Laptop,Windows 10,Chrome 119.0.0.0,1920x1080,1920x931,,,0,ImplicitDecisionAdventureTask_2Opts,8,FemaleBranch,Female_InOut,,ChineseFemale_OutGrp,,,,,,5,BEGIN,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,1701202578017,28/11/2023 20:16:18,1701180978017,-6,28/11/2023 08:16:18,139457,5,task-7uof,,33279637,gl4j1a6m,9853017,,complete,,5c537613-1b65-462c-b45c-4a5634dd76e5,computer,Desktop or Laptop,Windows 10,Chrome 119.0.0.0,1920x1080,1920x931,,,0,ImplicitDecisionAdventureTask_2Opts,8,FemaleBranch,Female_InOut,,ChineseFemale_OutGrp,1,Instructions,Instructions,cdub9g,1,timedOut,,16016.477999952316,16001.386999999999,16016.477999952316,16016.477999952316,16001.386999999999,16016.477999952316,1,16016.477999952316,0,0,,Time Limit,screen,0,screen,Instructions,,,,,,,,,,,,,,,,,,,,,,,
3,1701202590267,28/11/2023 20:16:30,1701180990267,-6,28/11/2023 08:16:30,139457,5,task-7uof,,33279637,gl4j1a6m,9853017,,complete,,5c537613-1b65-462c-b45c-4a5634dd76e5,computer,Desktop or Laptop,Windows 10,Chrome 119.0.0.0,1920x1080,1920x931,,,0,ImplicitDecisionAdventureTask_2Opts,8,FemaleBranch,Female_InOut,,ChineseFemale_OutGrp,1,Instructions,Name,nn5ntg,2,response,Michelle,7272.0869999999995,12247.935000000001,12265.291000000001,7272.0869999999995,12247.935000000001,12265.291000000001,1,7272.0869999999995,4993.2040000000015,0,pName,Single Text Entry,ParticipantName,2,object-22,Instructions,,,,,,,,,,,,,,,,Michelle,,,,,,,
4,1701202592245,28/11/2023 20:16:32,1701180992245,-6,28/11/2023 08:16:32,139457,5,task-7uof,,33279637,gl4j1a6m,9853017,,complete,,5c537613-1b65-462c-b45c-4a5634dd76e5,computer,Desktop or Laptop,Windows 10,Chrome 119.0.0.0,1920x1080,1920x931,,,0,ImplicitDecisionAdventureTask_2Opts,8,FemaleBranch,Female_InOut,,ChineseFemale_OutGrp,1,Instructions,Delay,7riscs,3,timedOut,,1996.0560000476835,1995.8240000000005,1996.0560000476835,1996.0560000476835,1995.8240000000005,1996.0560000476835,1,1996.0560000476835,0,0,,Time Limit,screen,0,screen,Instructions,,,,,,,,,,,,,,,,Michelle,,,,,,,
5,1701202607240,28/11/2023 20:16:47,1701181007240,-6,28/11/2023 08:16:47,139457,5,task-7uof,,33279637,gl4j1a6m,9853017,,complete,,5c537613-1b65-462c-b45c-4a5634dd76e5,computer,Desktop or Laptop,Windows 10,Chrome 119.0.0.0,1920x1080,1920x931,,,0,ImplicitDecisionAdventureTask_2Opts,8,FemaleBranch,Female_InOut,,ChineseFemale_OutGrp,1,LoadingScreen,LoadScreen,95pybm,1,timedOut,,14994.932000095367,14994.042999999998,14994.932000095367,14994.932000095367,14994.042999999998,14994.932000095367,1,14994.932000095367,0,0,,Time Limit,screen,0,screen,LoadingScreen,Yuxi,Emma,,,,,,,,,,,,,,Michelle,,,,,,,
6,1701202608459,28/11/2023 20:16:48,1701181008459,-6,28/11/2023 08:16:48,139457,5,task-7uof,,33279637,gl4j1a6m,9853017,,complete,,5c537613-1b65-462c-b45c-4a5634dd76e5,computer,Desktop or Laptop,Windows 10,Chrome 119.0.0.0,1920x1080,1920x931,,,0,ImplicitDecisionAdventureTask_2Opts,8,FemaleBranch,Female_InOut,,ChineseFemale_OutGrp,1,LoadingScreen,LoadingComplete,zy7h74,2,continue,,1219.7889999523177,1203.4179999999978,1219.7889999523177,1219.7889999523177,1203.4179999999978,1219.7889999523177,1,1219.7889999523177,0,0,,Click To Continue,Continue Button,2,object-59,LoadingScreen,Yuxi,Emma,,,,,,,,,,,,,,Michelle,,,,,,,
7,1701202612762,28/11/2023 20:16:52,1701181012762,-6,28/11/2023 08:16:52,139457,5,task-7uof,,33279637,gl4j1a6m,9853017,,complete,,5c537613-1b65-462c-b45c-4a5634dd76e5,computer,Desktop or Laptop,Windows 10,Chrome 119.0.0.0,1920x1080,1920x931,,,0,ImplicitDecisionAdventureTask_2Opts,8,FemaleBranch,Female_InOut,,ChineseFemale_OutGrp,1,ScenarioIntro,ScenarioIntro,ghavr7,1,response,Next,4319.971000095371,4304.610000000001,4319.971000095371,4319.971000095371,4304.610000000001,4319.971000095371,1,4319.971000095371,0,0,,Click Response,Continue Button,2,object-62,ScenarioIntro,,,<em>Two traveling adventurers decide to enter a local tournament at a colosseum. The Gauntlet of Trials is a renowned and immensely challenging set of enemies and puzzles. The duo will need to rely on their strength and intelligence to make it through unharmed. Each adventurer will be rewarded proportional to performance.,,,,,,,,,,,,,Michelle,,,,,,,
8,1701202625006,28/11/2023 20:17:05,1701181025006,-6,28/11/2023 08:17:05,139457,5,task-7uof,,33279637,gl4j1a6m,9853017,,complete,,5c537613-1b65-462c-b45c-4a5634dd76e5,computer,Desktop or Laptop,Windows 10,Chrome 119.0.0.0,1920x1080,1920x931,,,0,ImplicitDecisionAdventureTask_2Opts,8,FemaleBranch,Female_InOut,,ChineseFemale_OutGrp,1,Trial/Encounter,EncounterIntro,wtupv3,1,continue,,4571.470000143054,4563.129000000008,4571.470000143054,4571.470000143054,4563.129000000008,4571.470000143054,1,4571.470000143054,0,0,,Click To Continue,Continue Button,2,object-65,Trial/Encounter,,,,"<em>A gate opens in front of the duo, and a menacing mechanical golem with a crossbow becomes activated.",<em><b>Emma</b> lunges forward attempting to force her blade through the protective plate.,<em><b>Emma’s</b> sword pierces the plate and destroys the construct before it is able to shoot. She is able to proceed uninjured.,,<em><b>Emma’s</b> sword grazes the exterior plate. She is shot by the crossbow and is dealt damage.,6687,Emma,Out,2,STR,,,Michelle,,,,,,,
9,1701202633115,28/11/2023 20:17:13,1701181033115,-6,28/11/2023 08:17:13,139457,5,task-7uof,,33279637,gl4j1a6m,9853017,,complete,,5c537613-1b65-462c-b45c-4a5634dd76e5,computer,Desktop or Laptop,Windows 10,Chrome 119.0.0.0,1920x1080,1920x931,,,0,ImplicitDecisionAdventureTask_2Opts,8,FemaleBranch,Female_InOut,,ChineseFemale_OutGrp,1,Trial/Encounter,Delay,4wo1q4,2,timedOut,,6683.274999999994,6682.210999999996,6683.274999999994,6683.274999999994,6682.210999999996,6683.274999999994,1,6683.274999999994,0,0,,Time Limit,screen,0,screen,Trial/Encounter,,,,"<em>A gate opens in front of the duo, and a menacing mechanical golem with a crossbow becomes activated.",<em><b>Emma</b> lunges forward attempting to force her blade through the protective plate.,<em><b>Emma’s</b> sword pierces the plate and destroys the construct before it is able to shoot. She is able to proceed uninjured.,,<em><b>Emma’s</b> sword grazes the exterior plate. She is shot by the crossbow and is dealt damage.,6687,Emma,Out,2,STR,,,Michelle,,,,,,,
10,1701202639081,28/11/2023 20:17:19,1701181039081,-6,28/11/2023 08:17:19,139457,5,task-7uof,,33279637,gl4j1a6m,9853017,,complete,,5c537613-1b65-462c-b45c-4a5634dd76e5,computer,Desktop or Laptop,Windows 10,Chrome 119.0.0.0,1920x1080,1920x931,,,0,ImplicitDecisionAdventureTask_2Opts,8,FemaleBranch,Female_InOut,,ChineseFemale_OutGrp,1,Trial/Encounter,PlayerAction,ga3y5r,3,response,Punish,5964.0639999999985,5956.891999999993,5964.0639999999985,5964.0639999999985,5956.891999999993,5964.0639999999985,1,5964.0639999999985,0,0,decision,Click Response,PunishButton,3,object-69,Trial/Encounter,,,,"<em>A gate opens in front of the duo, and a menacing mechanical golem with a crossbow becomes activated.",<em><b>Emma</b> lunges forward attempting to force her blade through the protective plate.,<em><b>Emma’s</b> sword pierces the plate and destroys the construct before it is able to shoot. She is able to proceed uninjured.,,<em><b>Emma’s</b> sword grazes the exterior plate. She is shot by the crossbow and is dealt damage.,6687,Emma,Out,2,STR,,,Michelle,,,,,Punish,,1
