Event Index,UTC Timestamp,UTC Date and Time,Local Timestamp,Local Timezone,Local Date and Time,Experiment ID,Experiment Version,Tree Node Key,Repeat Key,Schedule ID,Participant Public ID,Participant Private ID,Participant Starting Group,Participant Status,Participant Completion Code,Participant External Session ID,Participant Device Type,Participant Device,Participant OS,Participant Browser,Participant Monitor Size,Participant Viewport Size,Checkpoint,Room ID,Room Order,Task Name,Task Version,branch-jqbz,randomiser-745l,randomiser-hhua,Spreadsheet,Trial Number,Display,Screen,Screen ID,Screen Counter,Response Type,Response,Onset Time,Clock Time,Reaction Time,Absolute Onset Time,Absolute Clock Time,Absolute Reaction Time,Correct,Response Onset,Response Duration,Proportion,Tag,Component Name,Object Name,Object Number,Object ID,Spreadsheet: display,Spreadsheet: Adventurer1,Spreadsheet: Adventurer2,Spreadsheet: Scenario,Spreadsheet: EncounterIntro,Spreadsheet: PlayerAction,Spreadsheet: RewardFeedback,Spreadsheet: NeutralFeedback,Spreadsheet: PunishFeedback,Spreadsheet: scenDelay,Spreadsheet: Name,Spreadsheet: Group,Spreadsheet: Adv,Spreadsheet: Type,Manipulation: Spreadsheet,Store: pName,Store: participant,Store: respReward,Store: respNeutral,Store: respPunish,Store: decPunish,Store: outcome,Store: RewTally,Store: PunTally
1,1701200817040,28/11/2023 19:46:57,1701179217040,-6,28/11/2023 07:46:57,139457,5,task-iepw,,33278763,5k0m7iyq,9852813,,complete,,a8a493cb-3147-4bd1-ae0c-a83a72eefd55,computer,Desktop or Laptop,Windows 10,Chrome 119.0.0.0,1920x1080,958x917,,,0,ImplicitDecisionAdventureTask_2Opts,8,MaleBranch,,Male_InOut,ChineseMale_OutGrp,,,,,,5,BEGIN,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,1701200833230,28/11/2023 19:47:13,1701179233230,-6,28/11/2023 07:47:13,139457,5,task-iepw,,33278763,5k0m7iyq,9852813,,complete,,a8a493cb-3147-4bd1-ae0c-a83a72eefd55,computer,Desktop or Laptop,Windows 10,Chrome 119.0.0.0,1920x1080,958x917,,,0,ImplicitDecisionAdventureTask_2Opts,8,MaleBranch,,Male_InOut,ChineseMale_OutGrp,1,Instructions,Instructions,cdub9g,1,timedOut,,16002.481000023841,15994.614,16002.481000023841,16002.481000023841,15994.614,16002.481000023841,1,16002.481000023841,0,0,,Time Limit,screen,0,screen,Instructions,,,,,,,,,,,,,,,,,,,,,,,
3,1701200838682,28/11/2023 19:47:18,1701179238682,-6,28/11/2023 07:47:18,139457,5,task-iepw,,33278763,5k0m7iyq,9852813,,complete,,a8a493cb-3147-4bd1-ae0c-a83a72eefd55,computer,Desktop or Laptop,Windows 10,Chrome 119.0.0.0,1920x1080,958x917,,,0,ImplicitDecisionAdventureTask_2Opts,8,MaleBranch,,Male_InOut,ChineseMale_OutGrp,1,Instructions,Name,nn5ntg,2,response,David,2699.0030000000006,5448.0610000000015,5459.9670000476835,2699.0030000000006,5448.0610000000015,5459.9670000476835,1,2699.0030000000006,2760.964000047683,0,pName,Single Text Entry,ParticipantName,2,object-22,Instructions,,,,,,,,,,,,,,,,David,,,,,,,
4,1701200840669,28/11/2023 19:47:20,1701179240669,-6,28/11/2023 07:47:20,139457,5,task-iepw,,33278763,5k0m7iyq,9852813,,complete,,a8a493cb-3147-4bd1-ae0c-a83a72eefd55,computer,Desktop or Laptop,Windows 10,Chrome 119.0.0.0,1920x1080,958x917,,,0,ImplicitDecisionAdventureTask_2Opts,8,MaleBranch,,Male_InOut,ChineseMale_OutGrp,1,Instructions,Delay,7riscs,3,timedOut,,2000.0060000715239,1999.328999999998,2000.0060000715239,2000.0060000715239,1999.328999999998,2000.0060000715239,1,2000.0060000715239,0,0,,Time Limit,screen,0,screen,Instructions,,,,,,,,,,,,,,,,David,,,,,,,
5,1701200855664,28/11/2023 19:47:35,1701179255664,-6,28/11/2023 07:47:35,139457,5,task-iepw,,33278763,5k0m7iyq,9852813,,complete,,a8a493cb-3147-4bd1-ae0c-a83a72eefd55,computer,Desktop or Laptop,Windows 10,Chrome 119.0.0.0,1920x1080,958x917,,,0,ImplicitDecisionAdventureTask_2Opts,8,MaleBranch,,Male_InOut,ChineseMale_OutGrp,1,LoadingScreen,LoadScreen,95pybm,1,timedOut,,14995.477000023842,14994.845000000001,14995.477000023842,14995.477000023842,14994.845000000001,14995.477000023842,1,14995.477000023842,0,0,,Time Limit,screen,0,screen,LoadingScreen,Haoyu,Jack,,,,,,,,,,,,,,David,,,,,,,
6,1701200885283,28/11/2023 19:48:05,1701179285283,-6,28/11/2023 07:48:05,139457,5,task-iepw,,33278763,5k0m7iyq,9852813,,complete,,a8a493cb-3147-4bd1-ae0c-a83a72eefd55,computer,Desktop or Laptop,Windows 10,Chrome 119.0.0.0,1920x1080,958x917,,,0,ImplicitDecisionAdventureTask_2Opts,8,MaleBranch,,Male_InOut,ChineseMale_OutGrp,1,LoadingScreen,LoadingComplete,zy7h74,2,continue,,29619.532,29606.544,29619.532,29619.532,29606.544,29619.532,1,29619.532,0,0,,Click To Continue,Continue Button,2,object-59,LoadingScreen,Haoyu,Jack,,,,,,,,,,,,,,David,,,,,,,
7,1701200894107,28/11/2023 19:48:14,1701179294107,-6,28/11/2023 07:48:14,139457,5,task-iepw,,33278763,5k0m7iyq,9852813,,complete,,a8a493cb-3147-4bd1-ae0c-a83a72eefd55,computer,Desktop or Laptop,Windows 10,Chrome 119.0.0.0,1920x1080,958x917,,,0,ImplicitDecisionAdventureTask_2Opts,8,MaleBranch,,Male_InOut,ChineseMale_OutGrp,1,ScenarioIntro,ScenarioIntro,ghavr7,1,response,Next,8836.788000071523,8830.349999999991,8836.788000071523,8836.788000071523,8830.349999999991,8836.788000071523,1,8836.788000071523,0,0,,Click Response,Continue Button,2,object-62,ScenarioIntro,,,<em>Two traveling adventurers decide to enter a local tournament at a colosseum. The Gauntlet of Trials is a renowned and immensely challenging set of enemies and puzzles. The duo will need to rely on their strength and intelligence to make it through unharmed. Each adventurer will be rewarded proportional to performance.,,,,,,,,,,,,,David,,,,,,,
8,1701200915129,28/11/2023 19:48:35,1701179315129,-6,28/11/2023 07:48:35,139457,5,task-iepw,,33278763,5k0m7iyq,9852813,,complete,,a8a493cb-3147-4bd1-ae0c-a83a72eefd55,computer,Desktop or Laptop,Windows 10,Chrome 119.0.0.0,1920x1080,958x917,,,0,ImplicitDecisionAdventureTask_2Opts,8,MaleBranch,,Male_InOut,ChineseMale_OutGrp,1,Trial/Encounter,EncounterIntro,wtupv3,1,continue,,4051.2590000238415,4048.6119999999937,4051.2590000238415,4051.2590000238415,4048.6119999999937,4051.2590000238415,1,4051.2590000238415,0,0,,Click To Continue,Continue Button,2,object-65,Trial/Encounter,,,,"<em>A gate opens in front of the duo, and a menacing mechanical golem with a crossbow becomes activated.",<em><b>Jack</b> lunges forward attempting to force his blade through the protective plate.,<em><b>Jack’s</b> sword pierces the plate and destroys the construct before it is able to shoot. He is able to proceed uninjured.,,<em><b>Jack’s</b> sword grazes the exterior plate. He is shot by the crossbow and is dealt damage.,6687,Jack,Out,2,STR,,,David,,,,,,,
9,1701200923757,28/11/2023 19:48:43,1701179323757,-6,28/11/2023 07:48:43,139457,5,task-iepw,,33278763,5k0m7iyq,9852813,,complete,,a8a493cb-3147-4bd1-ae0c-a83a72eefd55,computer,Desktop or Laptop,Windows 10,Chrome 119.0.0.0,1920x1080,958x917,,,0,ImplicitDecisionAdventureTask_2Opts,8,MaleBranch,,Male_InOut,ChineseMale_OutGrp,1,Trial/Encounter,Delay,4wo1q4,2,timedOut,,6681.540999976161,6681.055999999997,6681.540999976161,6681.540999976161,6681.055999999997,6681.540999976161,1,6681.540999976161,0,0,,Time Limit,screen,0,screen,Trial/Encounter,,,,"<em>A gate opens in front of the duo, and a menacing mechanical golem with a crossbow becomes activated.",<em><b>Jack</b> lunges forward attempting to force his blade through the protective plate.,<em><b>Jack’s</b> sword pierces the plate and destroys the construct before it is able to shoot. He is able to proceed uninjured.,,<em><b>Jack’s</b> sword grazes the exterior plate. He is shot by the crossbow and is dealt damage.,6687,Jack,Out,2,STR,,,David,,,,,,,
10,1701200935262,28/11/2023 19:48:55,1701179335262,-6,28/11/2023 07:48:55,139457,5,task-iepw,,33278763,5k0m7iyq,9852813,,complete,,a8a493cb-3147-4bd1-ae0c-a83a72eefd55,computer,Desktop or Laptop,Windows 10,Chrome 119.0.0.0,1920x1080,958x917,,,0,ImplicitDecisionAdventureTask_2Opts,8,MaleBranch,,Male_InOut,ChineseMale_OutGrp,1,Trial/Encounter,PlayerAction,ga3y5r,3,response,Punish,11498.78500004769,11496.02900000001,11498.78500004769,11498.78500004769,11496.02900000001,11498.78500004769,1,11498.78500004769,0,0,decision,Click Response,PunishButton,3,object-69,Trial/Encounter,,,,"<em>A gate opens in front of the duo, and a menacing mechanical golem with a crossbow becomes activated.",<em><b>Jack</b> lunges forward attempting to force his blade through the protective plate.,<em><b>Jack’s</b> sword pierces the plate and destroys the construct before it is able to shoot. He is able to proceed uninjured.,,<em><b>Jack’s</b> sword grazes the exterior plate. He is shot by the crossbow and is dealt damage.,6687,Jack,Out,2,STR,,,David,,,,,Punish,,1
