Event Index,UTC Timestamp,UTC Date and Time,Local Timestamp,Local Timezone,Local Date and Time,Experiment ID,Experiment Version,Tree Node Key,Repeat Key,Schedule ID,Participant Public ID,Participant Private ID,Participant Starting Group,Participant Status,Participant Completion Code,Participant External Session ID,Participant Device Type,Participant Device,Participant OS,Participant Browser,Participant Monitor Size,Participant Viewport Size,Checkpoint,Room ID,Room Order,Task Name,Task Version,branch-jqbz,randomiser-745l,randomiser-hhua,Spreadsheet,Trial Number,Display,Screen,Screen ID,Screen Counter,Response Type,Response,Onset Time,Clock Time,Reaction Time,Absolute Onset Time,Absolute Clock Time,Absolute Reaction Time,Correct,Response Onset,Response Duration,Proportion,Tag,Component Name,Object Name,Object Number,Object ID,Spreadsheet: display,Spreadsheet: Adventurer1,Spreadsheet: Adventurer2,Spreadsheet: Scenario,Spreadsheet: EncounterIntro,Spreadsheet: PlayerAction,Spreadsheet: RewardFeedback,Spreadsheet: NeutralFeedback,Spreadsheet: PunishFeedback,Spreadsheet: scenDelay,Spreadsheet: Name,Spreadsheet: Group,Spreadsheet: Adv,Spreadsheet: Type,Manipulation: Spreadsheet,Store: pName,Store: participant,Store: respReward,Store: respNeutral,Store: respPunish,Store: decPunish,Store: outcome,Store: RewTally,Store: PunTally
1,1701200301461,28/11/2023 19:38:21,1701182301461,-5,28/11/2023 09:38:21,132991,9,task-7uof,,33278531,k6t9epv4,9852788,,complete,,73f8f2c0-e0aa-4534-b926-df1edb43a6f9,computer,Desktop or Laptop,Windows 10,Chrome 119.0.0.0,1536x864,1536x739,,,0,ImplicitDecisionAdventureTask_2Opts,8,FemaleBranch,Female_InOut,,WhiteFemale_OutGrp,,,,,,5,BEGIN,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,1701200311464,28/11/2023 19:38:31,1701182311464,-5,28/11/2023 09:38:31,132991,9,task-7uof,,33278531,k6t9epv4,9852788,,complete,,73f8f2c0-e0aa-4534-b926-df1edb43a6f9,computer,Desktop or Laptop,Windows 10,Chrome 119.0.0.0,1536x864,1536x739,,,0,ImplicitDecisionAdventureTask_2Opts,8,FemaleBranch,Female_InOut,,WhiteFemale_OutGrp,1,Instructions,Instructions,cdub9g,1,response,Next,9465.542999999998,9448.913999999999,9465.542999999998,9465.542999999998,9448.913999999999,9465.542999999998,1,9465.542999999998,0,0,,Click Response,Continue Button,2,object-8,Instructions,,,,,,,,,,,,,,,,,,,,,,,
3,1701200325088,28/11/2023 19:38:45,1701182325088,-5,28/11/2023 09:38:45,132991,9,task-7uof,,33278531,k6t9epv4,9852788,,complete,,73f8f2c0-e0aa-4534-b926-df1edb43a6f9,computer,Desktop or Laptop,Windows 10,Chrome 119.0.0.0,1536x864,1536x739,,,0,ImplicitDecisionAdventureTask_2Opts,8,FemaleBranch,Female_InOut,,WhiteFemale_OutGrp,1,Instructions,Name,nn5ntg,2,response,nikita,3166.3250000000007,7082.469000000001,7092.38199998808,3166.3250000000007,7082.469000000001,7092.38199998808,1,3166.3250000000007,3926.056999988079,0,pName,Single Text Entry,ParticipantName,2,object-22,Instructions,,,,,,,,,,,,,,,,nikita,,,,,,,
4,1701200327078,28/11/2023 19:38:47,1701182327078,-5,28/11/2023 09:38:47,132991,9,task-7uof,,33278531,k6t9epv4,9852788,,complete,,73f8f2c0-e0aa-4534-b926-df1edb43a6f9,computer,Desktop or Laptop,Windows 10,Chrome 119.0.0.0,1536x864,1536x739,,,0,ImplicitDecisionAdventureTask_2Opts,8,FemaleBranch,Female_InOut,,WhiteFemale_OutGrp,1,Instructions,Delay,7riscs,3,timedOut,,2000.6129999761579,1999.7330000000002,2000.6129999761579,2000.6129999761579,1999.7330000000002,2000.6129999761579,1,2000.6129999761579,0,0,,Time Limit,screen,0,screen,Instructions,,,,,,,,,,,,,,,,nikita,,,,,,,
5,1701200342048,28/11/2023 19:39:02,1701182342048,-5,28/11/2023 09:39:02,132991,9,task-7uof,,33278531,k6t9epv4,9852788,,complete,,73f8f2c0-e0aa-4534-b926-df1edb43a6f9,computer,Desktop or Laptop,Windows 10,Chrome 119.0.0.0,1536x864,1536x739,,,0,ImplicitDecisionAdventureTask_2Opts,8,FemaleBranch,Female_InOut,,WhiteFemale_OutGrp,1,LoadingScreen,LoadScreen,95pybm,1,timedOut,,14971.48,14964.641999999996,14971.48,14971.48,14964.641999999996,14971.48,1,14971.48,0,0,,Time Limit,screen,0,screen,LoadingScreen,Emma,Yuxi,,,,,,,,,,,,,,nikita,,,,,,,
6,1701200346260,28/11/2023 19:39:06,1701182346260,-5,28/11/2023 09:39:06,132991,9,task-7uof,,33278531,k6t9epv4,9852788,,complete,,73f8f2c0-e0aa-4534-b926-df1edb43a6f9,computer,Desktop or Laptop,Windows 10,Chrome 119.0.0.0,1536x864,1536x739,,,0,ImplicitDecisionAdventureTask_2Opts,8,FemaleBranch,Female_InOut,,WhiteFemale_OutGrp,1,LoadingScreen,LoadingComplete,zy7h74,2,continue,,4216.299999999996,4199.589,4216.299999999996,4216.299999999996,4199.589,4216.299999999996,1,4216.299999999996,0,0,,Click To Continue,Continue Button,2,object-59,LoadingScreen,Emma,Yuxi,,,,,,,,,,,,,,nikita,,,,,,,
7,1701200358240,28/11/2023 19:39:18,1701182358240,-5,28/11/2023 09:39:18,132991,9,task-7uof,,33278531,k6t9epv4,9852788,,complete,,73f8f2c0-e0aa-4534-b926-df1edb43a6f9,computer,Desktop or Laptop,Windows 10,Chrome 119.0.0.0,1536x864,1536x739,,,0,ImplicitDecisionAdventureTask_2Opts,8,FemaleBranch,Female_InOut,,WhiteFemale_OutGrp,1,ScenarioIntro,ScenarioIntro,ghavr7,1,timedOut,,11999.34899996424,11998.473000000005,11999.34899996424,11999.34899996424,11998.473000000005,11999.34899996424,1,11999.34899996424,0,0,,Time Limit,screen,0,screen,ScenarioIntro,,,<em>Two traveling adventurers decide to enter a local tournament at a colosseum. The Gauntlet of Trials is a renowned and immensely challenging set of enemies and puzzles. The duo will need to rely on their strength and intelligence to make it through unharmed. Each adventurer will be rewarded proportional to performance.,,,,,,,,,,,,,nikita,,,,,,,
8,1701200364239,28/11/2023 19:39:24,1701182364239,-5,28/11/2023 09:39:24,132991,9,task-7uof,,33278531,k6t9epv4,9852788,,complete,,73f8f2c0-e0aa-4534-b926-df1edb43a6f9,computer,Desktop or Laptop,Windows 10,Chrome 119.0.0.0,1536x864,1536x739,,,0,ImplicitDecisionAdventureTask_2Opts,8,FemaleBranch,Female_InOut,,WhiteFemale_OutGrp,1,Trial/Encounter,EncounterIntro,wtupv3,1,timedOut,,5999.576000011919,5999.084000000003,5999.576000011919,5999.576000011919,5999.084000000003,5999.576000011919,1,5999.576000011919,0,0,,Time Limit,screen,0,screen,Trial/Encounter,,,,"<em>A gate opens in front of the duo, and a menacing mechanical golem with a crossbow becomes activated.",<em><b>Yuxi</b> lunges forward attempting to force her blade through the protective plate.,<em><b>Yuxi’s</b> sword pierces the plate and destroys the construct before it is able to shoot. She is able to proceed uninjured.,,<em><b>Yuxi’s</b> sword grazes the exterior plate. She is shot by the crossbow and is dealt damage.,6687,Yuxi,Out,2,STR,,,nikita,,,,,,,
9,1701200370922,28/11/2023 19:39:30,1701182370922,-5,28/11/2023 09:39:30,132991,9,task-7uof,,33278531,k6t9epv4,9852788,,complete,,73f8f2c0-e0aa-4534-b926-df1edb43a6f9,computer,Desktop or Laptop,Windows 10,Chrome 119.0.0.0,1536x864,1536x739,,,0,ImplicitDecisionAdventureTask_2Opts,8,FemaleBranch,Female_InOut,,WhiteFemale_OutGrp,1,Trial/Encounter,Delay,4wo1q4,2,timedOut,,6683.492000011916,6682.580999999991,6683.492000011916,6683.492000011916,6682.580999999991,6683.492000011916,1,6683.492000011916,0,0,,Time Limit,screen,0,screen,Trial/Encounter,,,,"<em>A gate opens in front of the duo, and a menacing mechanical golem with a crossbow becomes activated.",<em><b>Yuxi</b> lunges forward attempting to force her blade through the protective plate.,<em><b>Yuxi’s</b> sword pierces the plate and destroys the construct before it is able to shoot. She is able to proceed uninjured.,,<em><b>Yuxi’s</b> sword grazes the exterior plate. She is shot by the crossbow and is dealt damage.,6687,Yuxi,Out,2,STR,,,nikita,,,,,,,
10,1701200378110,28/11/2023 19:39:38,1701182378110,-5,28/11/2023 09:39:38,132991,9,task-7uof,,33278531,k6t9epv4,9852788,,complete,,73f8f2c0-e0aa-4534-b926-df1edb43a6f9,computer,Desktop or Laptop,Windows 10,Chrome 119.0.0.0,1536x864,1536x739,,,0,ImplicitDecisionAdventureTask_2Opts,8,FemaleBranch,Female_InOut,,WhiteFemale_OutGrp,1,Trial/Encounter,PlayerAction,ga3y5r,3,response,Reward,7174.710999964242,7165.737999999998,7174.710999964242,7174.710999964242,7165.737999999998,7174.710999964242,1,7174.710999964242,0,0,decision,Click Response,RewardButton,2,object-70,Trial/Encounter,,,,"<em>A gate opens in front of the duo, and a menacing mechanical golem with a crossbow becomes activated.",<em><b>Yuxi</b> lunges forward attempting to force her blade through the protective plate.,<em><b>Yuxi’s</b> sword pierces the plate and destroys the construct before it is able to shoot. She is able to proceed uninjured.,,<em><b>Yuxi’s</b> sword grazes the exterior plate. She is shot by the crossbow and is dealt damage.,6687,Yuxi,Out,2,STR,,,nikita,,,,,Reward,1,
