Event Index,UTC Timestamp,UTC Date and Time,Local Timestamp,Local Timezone,Local Date and Time,Experiment ID,Experiment Version,Tree Node Key,Repeat Key,Schedule ID,Participant Public ID,Participant Private ID,Participant Starting Group,Participant Status,Participant Completion Code,Participant External Session ID,Participant Device Type,Participant Device,Participant OS,Participant Browser,Participant Monitor Size,Participant Viewport Size,Checkpoint,Room ID,Room Order,Task Name,Task Version,branch-jqbz,randomiser-745l,randomiser-hhua,Spreadsheet,Trial Number,Display,Screen,Screen ID,Screen Counter,Response Type,Response,Onset Time,Clock Time,Reaction Time,Absolute Onset Time,Absolute Clock Time,Absolute Reaction Time,Correct,Response Onset,Response Duration,Proportion,Tag,Component Name,Object Name,Object Number,Object ID,Spreadsheet: display,Spreadsheet: Adventurer1,Spreadsheet: Adventurer2,Spreadsheet: Scenario,Spreadsheet: EncounterIntro,Spreadsheet: PlayerAction,Spreadsheet: RewardFeedback,Spreadsheet: NeutralFeedback,Spreadsheet: PunishFeedback,Spreadsheet: scenDelay,Spreadsheet: Name,Spreadsheet: Group,Spreadsheet: Adv,Spreadsheet: Type,Manipulation: Spreadsheet,Store: pName,Store: participant,Store: respReward,Store: respNeutral,Store: respPunish,Store: decPunish,Store: outcome,Store: RewTally,Store: PunTally
1,1701200380317,28/11/2023 19:39:40,1701171580317,-8,28/11/2023 03:39:40,132991,9,task-il2c,,33278564,5kg0ff9n,9852803,,complete,,8f3b16a0-4f57-4ebf-b81f-8a01236f6d1b,computer,Desktop or Laptop,Windows 10,Chrome 120.0.0.0,1920x1080,1920x919,,,0,ImplicitDecisionAdventureTask_2Opts,8,FemaleBranch,Female_InOut_Swap,,WhiteFemale_OutGrp_Swap,,,,,,5,BEGIN,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,1701200385236,28/11/2023 19:39:45,1701171585236,-8,28/11/2023 03:39:45,132991,9,task-il2c,,33278564,5kg0ff9n,9852803,,complete,,8f3b16a0-4f57-4ebf-b81f-8a01236f6d1b,computer,Desktop or Laptop,Windows 10,Chrome 120.0.0.0,1920x1080,1920x919,,,0,ImplicitDecisionAdventureTask_2Opts,8,FemaleBranch,Female_InOut_Swap,,WhiteFemale_OutGrp_Swap,1,Instructions,Instructions,cdub9g,1,response,Next,4782,4766.6,4782,4782,4766.6,4782,1,4782,0,0,,Click Response,Continue Button,2,object-8,Instructions,,,,,,,,,,,,,,,,,,,,,,,
3,1701200403641,28/11/2023 19:40:03,1701171603641,-8,28/11/2023 03:40:03,132991,9,task-il2c,,33278564,5kg0ff9n,9852803,,complete,,8f3b16a0-4f57-4ebf-b81f-8a01236f6d1b,computer,Desktop or Laptop,Windows 10,Chrome 120.0.0.0,1920x1080,1920x919,,,0,ImplicitDecisionAdventureTask_2Opts,8,FemaleBranch,Female_InOut_Swap,,WhiteFemale_OutGrp_Swap,1,Instructions,Name,nn5ntg,2,response,JD,3700.2000000000007,7166.600000000002,7183.300000000003,3700.2000000000007,7166.600000000002,7183.300000000003,1,3700.2000000000007,3483.100000000002,0,pName,Single Text Entry,ParticipantName,2,object-22,Instructions,,,,,,,,,,,,,,,,JD,,,,,,,
4,1701200405624,28/11/2023 19:40:05,1701171605624,-8,28/11/2023 03:40:05,132991,9,task-il2c,,33278564,5kg0ff9n,9852803,,complete,,8f3b16a0-4f57-4ebf-b81f-8a01236f6d1b,computer,Desktop or Laptop,Windows 10,Chrome 120.0.0.0,1920x1080,1920x919,,,0,ImplicitDecisionAdventureTask_2Opts,8,FemaleBranch,Female_InOut_Swap,,WhiteFemale_OutGrp_Swap,1,Instructions,Delay,7riscs,3,timedOut,,2000.7999999999993,2000.0999999999985,2000.7999999999993,2000.7999999999993,2000.0999999999985,2000.7999999999993,1,2000.7999999999993,0,0,,Time Limit,screen,0,screen,Instructions,,,,,,,,,,,,,,,,JD,,,,,,,
5,1701200421026,28/11/2023 19:40:21,1701171621026,-8,28/11/2023 03:40:21,132991,9,task-il2c,,33278564,5kg0ff9n,9852803,,complete,,8f3b16a0-4f57-4ebf-b81f-8a01236f6d1b,computer,Desktop or Laptop,Windows 10,Chrome 120.0.0.0,1920x1080,1920x919,,,0,ImplicitDecisionAdventureTask_2Opts,8,FemaleBranch,Female_InOut_Swap,,WhiteFemale_OutGrp_Swap,1,LoadingScreen,LoadScreen,95pybm,1,timedOut,,15405.000000011922,15400.000000000004,15405.000000011922,15405.000000011922,15400.000000000004,15405.000000011922,1,15405.000000011922,0,0,,Time Limit,screen,0,screen,LoadingScreen,Emma,Yuxi,,,,,,,,,,,,,,JD,,,,,,,
6,1701200422139,28/11/2023 19:40:22,1701171622139,-8,28/11/2023 03:40:22,132991,9,task-il2c,,33278564,5kg0ff9n,9852803,,complete,,8f3b16a0-4f57-4ebf-b81f-8a01236f6d1b,computer,Desktop or Laptop,Windows 10,Chrome 120.0.0.0,1920x1080,1920x919,,,0,ImplicitDecisionAdventureTask_2Opts,8,FemaleBranch,Female_InOut_Swap,,WhiteFemale_OutGrp_Swap,1,LoadingScreen,LoadingComplete,zy7h74,2,continue,,1118.1000000357599,1116.5,1118.1000000357599,1118.1000000357599,1116.5,1118.1000000357599,1,1118.1000000357599,0,0,,Click To Continue,Continue Button,2,object-59,LoadingScreen,Emma,Yuxi,,,,,,,,,,,,,,JD,,,,,,,
7,1701200431643,28/11/2023 19:40:31,1701171631643,-8,28/11/2023 03:40:31,132991,9,task-il2c,,33278564,5kg0ff9n,9852803,,complete,,8f3b16a0-4f57-4ebf-b81f-8a01236f6d1b,computer,Desktop or Laptop,Windows 10,Chrome 120.0.0.0,1920x1080,1920x919,,,0,ImplicitDecisionAdventureTask_2Opts,8,FemaleBranch,Female_InOut_Swap,,WhiteFemale_OutGrp_Swap,1,ScenarioIntro,ScenarioIntro,ghavr7,1,response,Next,9505.699999999997,9500.099999999999,9505.699999999997,9505.699999999997,9500.099999999999,9505.699999999997,1,9505.699999999997,0,0,,Click Response,Continue Button,2,object-62,ScenarioIntro,,,<em>Two traveling adventurers decide to enter a local tournament at a colosseum. The Gauntlet of Trials is a renowned and immensely challenging set of enemies and puzzles. The duo will need to rely on their strength and intelligence to make it through unharmed. Each adventurer will be rewarded proportional to performance.,,,,,,,,,,,,,JD,,,,,,,
8,1701200440138,28/11/2023 19:40:40,1701171640138,-8,28/11/2023 03:40:40,132991,9,task-il2c,,33278564,5kg0ff9n,9852803,,complete,,8f3b16a0-4f57-4ebf-b81f-8a01236f6d1b,computer,Desktop or Laptop,Windows 10,Chrome 120.0.0.0,1920x1080,1920x919,,,0,ImplicitDecisionAdventureTask_2Opts,8,FemaleBranch,Female_InOut_Swap,,WhiteFemale_OutGrp_Swap,1,Trial/Encounter,EncounterIntro,wtupv3,1,timedOut,,6000.200000011922,5999.799999999996,6000.200000011922,6000.200000011922,5999.799999999996,6000.200000011922,1,6000.200000011922,0,0,,Time Limit,screen,0,screen,Trial/Encounter,,,,"<em>A gate opens in front of the duo, and a menacing mechanical golem with a crossbow becomes activated.",<em><b>Emma</b> lunges forward attempting to force her blade through the protective plate.,<em><b>Emma’s</b> sword pierces the plate and destroys the construct before it is able to shoot. She is able to proceed uninjured.,,<em><b>Emma’s</b> sword grazes the exterior plate. She is shot by the crossbow and is dealt damage.,6687,Emma,In,1,STR,,,JD,,,,,,,
9,1701200446821,28/11/2023 19:40:46,1701171646821,-8,28/11/2023 03:40:46,132991,9,task-il2c,,33278564,5kg0ff9n,9852803,,complete,,8f3b16a0-4f57-4ebf-b81f-8a01236f6d1b,computer,Desktop or Laptop,Windows 10,Chrome 120.0.0.0,1920x1080,1920x919,,,0,ImplicitDecisionAdventureTask_2Opts,8,FemaleBranch,Female_InOut_Swap,,WhiteFemale_OutGrp_Swap,1,Trial/Encounter,Delay,4wo1q4,2,timedOut,,6683.799999988085,6683.300000000003,6683.799999988085,6683.799999988085,6683.300000000003,6683.799999988085,1,6683.799999988085,0,0,,Time Limit,screen,0,screen,Trial/Encounter,,,,"<em>A gate opens in front of the duo, and a menacing mechanical golem with a crossbow becomes activated.",<em><b>Emma</b> lunges forward attempting to force her blade through the protective plate.,<em><b>Emma’s</b> sword pierces the plate and destroys the construct before it is able to shoot. She is able to proceed uninjured.,,<em><b>Emma’s</b> sword grazes the exterior plate. She is shot by the crossbow and is dealt damage.,6687,Emma,In,1,STR,,,JD,,,,,,,
10,1701200452013,28/11/2023 19:40:52,1701171652013,-8,28/11/2023 03:40:52,132991,9,task-il2c,,33278564,5kg0ff9n,9852803,,complete,,8f3b16a0-4f57-4ebf-b81f-8a01236f6d1b,computer,Desktop or Laptop,Windows 10,Chrome 120.0.0.0,1920x1080,1920x919,,,0,ImplicitDecisionAdventureTask_2Opts,8,FemaleBranch,Female_InOut_Swap,,WhiteFemale_OutGrp_Swap,1,Trial/Encounter,PlayerAction,ga3y5r,3,response,Reward,5191.300000000003,5183.400000000009,5191.300000000003,5191.300000000003,5183.400000000009,5191.300000000003,1,5191.300000000003,0,0,decision,Click Response,RewardButton,2,object-70,Trial/Encounter,,,,"<em>A gate opens in front of the duo, and a menacing mechanical golem with a crossbow becomes activated.",<em><b>Emma</b> lunges forward attempting to force her blade through the protective plate.,<em><b>Emma’s</b> sword pierces the plate and destroys the construct before it is able to shoot. She is able to proceed uninjured.,,<em><b>Emma’s</b> sword grazes the exterior plate. She is shot by the crossbow and is dealt damage.,6687,Emma,In,1,STR,,,JD,,,,,Reward,1,
