Event Index,UTC Timestamp,UTC Date and Time,Local Timestamp,Local Timezone,Local Date and Time,Experiment ID,Experiment Version,Tree Node Key,Repeat Key,Schedule ID,Participant Public ID,Participant Private ID,Participant Starting Group,Participant Status,Participant Completion Code,Participant External Session ID,Participant Device Type,Participant Device,Participant OS,Participant Browser,Participant Monitor Size,Participant Viewport Size,Checkpoint,Room ID,Room Order,Task Name,Task Version,branch-jqbz,randomiser-745l,randomiser-hhua,Spreadsheet,Trial Number,Display,Screen,Screen ID,Screen Counter,Response Type,Response,Onset Time,Clock Time,Reaction Time,Absolute Onset Time,Absolute Clock Time,Absolute Reaction Time,Correct,Response Onset,Response Duration,Proportion,Tag,Component Name,Object Name,Object Number,Object ID,Spreadsheet: display,Spreadsheet: Adventurer1,Spreadsheet: Adventurer2,Spreadsheet: Scenario,Spreadsheet: EncounterIntro,Spreadsheet: PlayerAction,Spreadsheet: RewardFeedback,Spreadsheet: NeutralFeedback,Spreadsheet: PunishFeedback,Spreadsheet: scenDelay,Spreadsheet: Name,Spreadsheet: Group,Spreadsheet: Adv,Spreadsheet: Type,Manipulation: Spreadsheet,Store: pName,Store: participant,Store: respReward,Store: respNeutral,Store: respPunish,Store: decPunish,Store: outcome,Store: RewTally,Store: PunTally
1,1701200296719,28/11/2023 19:38:16,1701171496719,-8,28/11/2023 03:38:16,132991,9,task-iepw,,33278529,up6gtkom,9852775,,complete,,4ad0166b-812f-4429-aa8c-247fcb97a958,computer,Desktop or Laptop,Windows 10,Firefox 120.0,1600x900,1600x747,,,0,ImplicitDecisionAdventureTask_2Opts,8,MaleBranch,,Male_InOut,WhiteMale_OutGrp,,,,,,5,BEGIN,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,1701200304338,28/11/2023 19:38:24,1701171504338,-8,28/11/2023 03:38:24,132991,9,task-iepw,,33278529,up6gtkom,9852775,,complete,,4ad0166b-812f-4429-aa8c-247fcb97a958,computer,Desktop or Laptop,Windows 10,Firefox 120.0,1600x900,1600x747,,,0,ImplicitDecisionAdventureTask_2Opts,8,MaleBranch,,Male_InOut,WhiteMale_OutGrp,1,Instructions,Instructions,cdub9g,1,response,Next,7122.26,7116.6,7122.26,7122.26,7116.6,7122.26,1,7122.26,0,0,,Click Response,Continue Button,2,object-8,Instructions,,,,,,,,,,,,,,,,,,,,,,,
3,1701200317747,28/11/2023 19:38:37,1701171517747,-8,28/11/2023 03:38:37,132991,9,task-iepw,,33278529,up6gtkom,9852775,,complete,,4ad0166b-812f-4429-aa8c-247fcb97a958,computer,Desktop or Laptop,Windows 10,Firefox 120.0,1600x900,1600x747,,,0,ImplicitDecisionAdventureTask_2Opts,8,MaleBranch,,Male_InOut,WhiteMale_OutGrp,1,Instructions,Name,nn5ntg,2,response,Chris,2033.3400000000001,4516.66,4530.34,2033.3400000000001,4516.66,4530.34,1,2033.3400000000001,2497,0,pName,Single Text Entry,ParticipantName,2,object-22,Instructions,,,,,,,,,,,,,,,,Chris,,,,,,,
4,1701200319733,28/11/2023 19:38:39,1701171519733,-8,28/11/2023 03:38:39,132991,9,task-iepw,,33278529,up6gtkom,9852775,,complete,,4ad0166b-812f-4429-aa8c-247fcb97a958,computer,Desktop or Laptop,Windows 10,Firefox 120.0,1600x900,1600x747,,,0,ImplicitDecisionAdventureTask_2Opts,8,MaleBranch,,Male_InOut,WhiteMale_OutGrp,1,Instructions,Delay,7riscs,3,timedOut,,2000.6800000000003,2000,2000.6800000000003,2000.6800000000003,2000,2000.6800000000003,1,2000.6800000000003,0,0,,Time Limit,screen,0,screen,Instructions,,,,,,,,,,,,,,,,Chris,,,,,,,
5,1701200335083,28/11/2023 19:38:55,1701171535083,-8,28/11/2023 03:38:55,132991,9,task-iepw,,33278529,up6gtkom,9852775,,complete,,4ad0166b-812f-4429-aa8c-247fcb97a958,computer,Desktop or Laptop,Windows 10,Firefox 120.0,1600x900,1600x747,,,0,ImplicitDecisionAdventureTask_2Opts,8,MaleBranch,,Male_InOut,WhiteMale_OutGrp,1,LoadingScreen,LoadScreen,95pybm,1,timedOut,,15350.68,15350.46,15350.68,15350.68,15350.46,15350.68,1,15350.68,0,0,,Time Limit,screen,0,screen,LoadingScreen,Jack,Haoyu,,,,,,,,,,,,,,Chris,,,,,,,
6,1701200345540,28/11/2023 19:39:05,1701171545540,-8,28/11/2023 03:39:05,132991,9,task-iepw,,33278529,up6gtkom,9852775,,complete,,4ad0166b-812f-4429-aa8c-247fcb97a958,computer,Desktop or Laptop,Windows 10,Firefox 120.0,1600x900,1600x747,,,0,ImplicitDecisionAdventureTask_2Opts,8,MaleBranch,,Male_InOut,WhiteMale_OutGrp,1,LoadingScreen,LoadingComplete,zy7h74,2,continue,,10457.220000000001,10449.54,10457.220000000001,10457.220000000001,10449.54,10457.220000000001,1,10457.220000000001,0,0,,Click To Continue,Continue Button,2,object-59,LoadingScreen,Jack,Haoyu,,,,,,,,,,,,,,Chris,,,,,,,
7,1701200351302,28/11/2023 19:39:11,1701171551302,-8,28/11/2023 03:39:11,132991,9,task-iepw,,33278529,up6gtkom,9852775,,complete,,4ad0166b-812f-4429-aa8c-247fcb97a958,computer,Desktop or Laptop,Windows 10,Firefox 120.0,1600x900,1600x747,,,0,ImplicitDecisionAdventureTask_2Opts,8,MaleBranch,,Male_InOut,WhiteMale_OutGrp,1,ScenarioIntro,ScenarioIntro,ghavr7,1,response,Next,5769.68,5766.6600000000035,5769.68,5769.68,5766.6600000000035,5769.68,1,5769.68,0,0,,Click Response,Continue Button,2,object-62,ScenarioIntro,,,<em>Two traveling adventurers decide to enter a local tournament at a colosseum. The Gauntlet of Trials is a renowned and immensely challenging set of enemies and puzzles. The duo will need to rely on their strength and intelligence to make it through unharmed. Each adventurer will be rewarded proportional to performance.,,,,,,,,,,,,,Chris,,,,,,,
8,1701200363087,28/11/2023 19:39:23,1701171563087,-8,28/11/2023 03:39:23,132991,9,task-iepw,,33278529,up6gtkom,9852775,,complete,,4ad0166b-812f-4429-aa8c-247fcb97a958,computer,Desktop or Laptop,Windows 10,Firefox 120.0,1600x900,1600x747,,,0,ImplicitDecisionAdventureTask_2Opts,8,MaleBranch,,Male_InOut,WhiteMale_OutGrp,1,Trial/Encounter,EncounterIntro,wtupv3,1,timedOut,,5321.399999999994,5321.079999999987,5321.399999999994,5321.399999999994,5321.079999999987,5321.399999999994,1,5321.399999999994,0,0,,Time Limit,screen,0,screen,Trial/Encounter,,,,"<em>A gate opens in front of the duo, and a menacing mechanical golem with a crossbow becomes activated.",<em><b>Haoyu</b> lunges forward attempting to force his blade through the protective plate.,<em><b>Haoyu’s</b> sword pierces the plate and destroys the construct before it is able to shoot. He is able to proceed uninjured.,,<em><b>Haoyu’s</b> sword grazes the exterior plate. He is shot by the crossbow and is dealt damage.,6687,Haoyu,Out,2,STR,,,Chris,,,,,,,
9,1701200369766,28/11/2023 19:39:29,1701171569766,-8,28/11/2023 03:39:29,132991,9,task-iepw,,33278529,up6gtkom,9852775,,complete,,4ad0166b-812f-4429-aa8c-247fcb97a958,computer,Desktop or Laptop,Windows 10,Firefox 120.0,1600x900,1600x747,,,0,ImplicitDecisionAdventureTask_2Opts,8,MaleBranch,,Male_InOut,WhiteMale_OutGrp,1,Trial/Encounter,Delay,4wo1q4,2,timedOut,,6679.320000000007,6678.940000000002,6679.320000000007,6679.320000000007,6678.940000000002,6679.320000000007,1,6679.320000000007,0,0,,Time Limit,screen,0,screen,Trial/Encounter,,,,"<em>A gate opens in front of the duo, and a menacing mechanical golem with a crossbow becomes activated.",<em><b>Haoyu</b> lunges forward attempting to force his blade through the protective plate.,<em><b>Haoyu’s</b> sword pierces the plate and destroys the construct before it is able to shoot. He is able to proceed uninjured.,,<em><b>Haoyu’s</b> sword grazes the exterior plate. He is shot by the crossbow and is dealt damage.,6687,Haoyu,Out,2,STR,,,Chris,,,,,,,
10,1701200375168,28/11/2023 19:39:35,1701171575168,-8,28/11/2023 03:39:35,132991,9,task-iepw,,33278529,up6gtkom,9852775,,complete,,4ad0166b-812f-4429-aa8c-247fcb97a958,computer,Desktop or Laptop,Windows 10,Firefox 120.0,1600x900,1600x747,,,0,ImplicitDecisionAdventureTask_2Opts,8,MaleBranch,,Male_InOut,WhiteMale_OutGrp,1,Trial/Encounter,PlayerAction,ga3y5r,3,response,Reward,5398.380000000005,5383.320000000007,5398.380000000005,5398.380000000005,5383.320000000007,5398.380000000005,1,5398.380000000005,0,0,decision,Click Response,RewardButton,2,object-70,Trial/Encounter,,,,"<em>A gate opens in front of the duo, and a menacing mechanical golem with a crossbow becomes activated.",<em><b>Haoyu</b> lunges forward attempting to force his blade through the protective plate.,<em><b>Haoyu’s</b> sword pierces the plate and destroys the construct before it is able to shoot. He is able to proceed uninjured.,,<em><b>Haoyu’s</b> sword grazes the exterior plate. He is shot by the crossbow and is dealt damage.,6687,Haoyu,Out,2,STR,,,Chris,,,,,Reward,1,
