Event Index,UTC Timestamp,UTC Date and Time,Local Timestamp,Local Timezone,Local Date and Time,Experiment ID,Experiment Version,Tree Node Key,Repeat Key,Schedule ID,Participant Public ID,Participant Private ID,Participant Starting Group,Participant Status,Participant Completion Code,Participant External Session ID,Participant Device Type,Participant Device,Participant OS,Participant Browser,Participant Monitor Size,Participant Viewport Size,Checkpoint,Room ID,Room Order,Task Name,Task Version,branch-jqbz,randomiser-745l,randomiser-hhua,Spreadsheet,Trial Number,Display,Screen,Screen ID,Screen Counter,Response Type,Response,Onset Time,Clock Time,Reaction Time,Absolute Onset Time,Absolute Clock Time,Absolute Reaction Time,Correct,Response Onset,Response Duration,Proportion,Tag,Component Name,Object Name,Object Number,Object ID,Spreadsheet: display,Spreadsheet: Adventurer1,Spreadsheet: Adventurer2,Spreadsheet: Scenario,Spreadsheet: EncounterIntro,Spreadsheet: PlayerAction,Spreadsheet: RewardFeedback,Spreadsheet: NeutralFeedback,Spreadsheet: PunishFeedback,Spreadsheet: scenDelay,Spreadsheet: Name,Spreadsheet: Group,Spreadsheet: Adv,Spreadsheet: Type,Manipulation: Spreadsheet,Store: pName,Store: participant,Store: respReward,Store: respNeutral,Store: respPunish,Store: decPunish,Store: outcome,Store: RewTally,Store: PunTally
1,1701200313335,28/11/2023 19:38:33,1701182313335,-5,28/11/2023 09:38:33,132991,9,task-hng5,,33278535,ocdpk0du,9852792,,complete,,aae4f5c5-2ace-43e4-8565-d25d69a0e477,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 119.0.0.0,1927x1102,1920x1100,,,0,ImplicitDecisionAdventureTask_2Opts,8,MaleBranch,,Male_InOut_Swap,WhiteMale_OutGrp_Swap,,,,,,5,BEGIN,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,1701200329905,28/11/2023 19:38:49,1701182329905,-5,28/11/2023 09:38:49,132991,9,task-hng5,,33278535,ocdpk0du,9852792,,complete,,aae4f5c5-2ace-43e4-8565-d25d69a0e477,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 119.0.0.0,1927x1102,1920x1100,,,0,ImplicitDecisionAdventureTask_2Opts,8,MaleBranch,,Male_InOut_Swap,WhiteMale_OutGrp_Swap,1,Instructions,Instructions,cdub9g,1,timedOut,,16011,16006,16011,16011,16006,16011,1,16011,0,0,,Time Limit,screen,0,screen,Instructions,,,,,,,,,,,,,,,,,,,,,,,
3,1701200334735,28/11/2023 19:38:54,1701182334735,-5,28/11/2023 09:38:54,132991,9,task-hng5,,33278535,ocdpk0du,9852792,,complete,,aae4f5c5-2ace-43e4-8565-d25d69a0e477,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 119.0.0.0,1927x1102,1920x1100,,,0,ImplicitDecisionAdventureTask_2Opts,8,MaleBranch,,Male_InOut_Swap,WhiteMale_OutGrp_Swap,1,Instructions,Name,nn5ntg,2,response,Brandon,2400,4817,4834,2400,4817,4834,1,2400,2434,0,pName,Single Text Entry,ParticipantName,2,object-22,Instructions,,,,,,,,,,,,,,,,Brandon,,,,,,,
4,1701200336717,28/11/2023 19:38:56,1701182336717,-5,28/11/2023 09:38:56,132991,9,task-hng5,,33278535,ocdpk0du,9852792,,complete,,aae4f5c5-2ace-43e4-8565-d25d69a0e477,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 119.0.0.0,1927x1102,1920x1100,,,0,ImplicitDecisionAdventureTask_2Opts,8,MaleBranch,,Male_InOut_Swap,WhiteMale_OutGrp_Swap,1,Instructions,Delay,7riscs,3,timedOut,,2002,2000,2002,2002,2000,2002,1,2002,0,0,,Time Limit,screen,0,screen,Instructions,,,,,,,,,,,,,,,,Brandon,,,,,,,
5,1701200351717,28/11/2023 19:39:11,1701182351717,-5,28/11/2023 09:39:11,132991,9,task-hng5,,33278535,ocdpk0du,9852792,,complete,,aae4f5c5-2ace-43e4-8565-d25d69a0e477,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 119.0.0.0,1927x1102,1920x1100,,,0,ImplicitDecisionAdventureTask_2Opts,8,MaleBranch,,Male_InOut_Swap,WhiteMale_OutGrp_Swap,1,LoadingScreen,LoadScreen,95pybm,1,timedOut,,15001,15000,15001,15001,15000,15001,1,15001,0,0,,Time Limit,screen,0,screen,LoadingScreen,Jack,Haoyu,,,,,,,,,,,,,,Brandon,,,,,,,
6,1701200353930,28/11/2023 19:39:13,1701182353930,-5,28/11/2023 09:39:13,132991,9,task-hng5,,33278535,ocdpk0du,9852792,,complete,,aae4f5c5-2ace-43e4-8565-d25d69a0e477,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 119.0.0.0,1927x1102,1920x1100,,,0,ImplicitDecisionAdventureTask_2Opts,8,MaleBranch,,Male_InOut_Swap,WhiteMale_OutGrp_Swap,1,LoadingScreen,LoadingComplete,zy7h74,2,continue,,2214,2200,2214,2214,2200,2214,1,2214,0,0,,Click To Continue,Continue Button,2,object-59,LoadingScreen,Jack,Haoyu,,,,,,,,,,,,,,Brandon,,,,,,,
7,1701200364009,28/11/2023 19:39:24,1701182364009,-5,28/11/2023 09:39:24,132991,9,task-hng5,,33278535,ocdpk0du,9852792,,complete,,aae4f5c5-2ace-43e4-8565-d25d69a0e477,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 119.0.0.0,1927x1102,1920x1100,,,0,ImplicitDecisionAdventureTask_2Opts,8,MaleBranch,,Male_InOut_Swap,WhiteMale_OutGrp_Swap,1,ScenarioIntro,ScenarioIntro,ghavr7,1,response,Next,10093,10083,10093,10093,10083,10093,1,10093,0,0,,Click Response,Continue Button,2,object-62,ScenarioIntro,,,<em>Two traveling adventurers decide to enter a local tournament at a colosseum. The Gauntlet of Trials is a renowned and immensely challenging set of enemies and puzzles. The duo will need to rely on their strength and intelligence to make it through unharmed. Each adventurer will be rewarded proportional to performance.,,,,,,,,,,,,,Brandon,,,,,,,
8,1701200371916,28/11/2023 19:39:31,1701182371916,-5,28/11/2023 09:39:31,132991,9,task-hng5,,33278535,ocdpk0du,9852792,,complete,,aae4f5c5-2ace-43e4-8565-d25d69a0e477,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 119.0.0.0,1927x1102,1920x1100,,,0,ImplicitDecisionAdventureTask_2Opts,8,MaleBranch,,Male_InOut_Swap,WhiteMale_OutGrp_Swap,1,Trial/Encounter,EncounterIntro,wtupv3,1,timedOut,,6001,6000,6001,6001,6000,6001,1,6001,0,0,,Time Limit,screen,0,screen,Trial/Encounter,,,,"<em>A gate opens in front of the duo, and a menacing mechanical golem with a crossbow becomes activated.",<em><b>Jack</b> lunges forward attempting to force his blade through the protective plate.,<em><b>Jack’s</b> sword pierces the plate and destroys the construct before it is able to shoot. He is able to proceed uninjured.,,<em><b>Jack’s</b> sword grazes the exterior plate. He is shot by the crossbow and is dealt damage.,6687,Jack,In,1,STR,,,Brandon,,,,,,,
9,1701200378601,28/11/2023 19:39:38,1701182378601,-5,28/11/2023 09:39:38,132991,9,task-hng5,,33278535,ocdpk0du,9852792,,complete,,aae4f5c5-2ace-43e4-8565-d25d69a0e477,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 119.0.0.0,1927x1102,1920x1100,,,0,ImplicitDecisionAdventureTask_2Opts,8,MaleBranch,,Male_InOut_Swap,WhiteMale_OutGrp_Swap,1,Trial/Encounter,Delay,4wo1q4,2,timedOut,,6686,6684,6686,6686,6684,6686,1,6686,0,0,,Time Limit,screen,0,screen,Trial/Encounter,,,,"<em>A gate opens in front of the duo, and a menacing mechanical golem with a crossbow becomes activated.",<em><b>Jack</b> lunges forward attempting to force his blade through the protective plate.,<em><b>Jack’s</b> sword pierces the plate and destroys the construct before it is able to shoot. He is able to proceed uninjured.,,<em><b>Jack’s</b> sword grazes the exterior plate. He is shot by the crossbow and is dealt damage.,6687,Jack,In,1,STR,,,Brandon,,,,,,,
10,1701200391617,28/11/2023 19:39:51,1701182391617,-5,28/11/2023 09:39:51,132991,9,task-hng5,,33278535,ocdpk0du,9852792,,complete,,aae4f5c5-2ace-43e4-8565-d25d69a0e477,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 119.0.0.0,1927x1102,1920x1100,,,0,ImplicitDecisionAdventureTask_2Opts,8,MaleBranch,,Male_InOut_Swap,WhiteMale_OutGrp_Swap,1,Trial/Encounter,PlayerAction,ga3y5r,3,response,Reward,13015,12999,13015,13015,12999,13015,1,13015,0,0,decision,Click Response,RewardButton,2,object-70,Trial/Encounter,,,,"<em>A gate opens in front of the duo, and a menacing mechanical golem with a crossbow becomes activated.",<em><b>Jack</b> lunges forward attempting to force his blade through the protective plate.,<em><b>Jack’s</b> sword pierces the plate and destroys the construct before it is able to shoot. He is able to proceed uninjured.,,<em><b>Jack’s</b> sword grazes the exterior plate. He is shot by the crossbow and is dealt damage.,6687,Jack,In,1,STR,,,Brandon,,,,,Reward,1,
