Event Index,UTC Timestamp,UTC Date and Time,Local Timestamp,Local Timezone,Local Date and Time,Experiment ID,Experiment Version,Tree Node Key,Repeat Key,Schedule ID,Participant Public ID,Participant Private ID,Participant Starting Group,Participant Status,Participant Completion Code,Participant External Session ID,Participant Device Type,Participant Device,Participant OS,Participant Browser,Participant Monitor Size,Participant Viewport Size,Checkpoint,Room ID,Room Order,Task Name,Task Version,branch-jqbz,randomiser-745l,randomiser-hhua,Randomise questionnaire elements?,Question Key,Response
1,1701201969969,28/11/2023 20:06:09,1701201969698,-6,28/11/2023 14:06:09,139457,5,questionnaire-vybo,,33279385,b5i263sm,9852795,,complete,,24c18bba-b7dd-4be3-9c93-e226f984dfd2,computer,Desktop or Laptop,Windows 10,Chrome 119.0.0.0,1920x1080,980x921,,,,Belief in Just World Scale,1,MaleBranch,,Male_InOut_Swap,No,BEGIN QUESTIONNAIRE,
2,1701202000141,28/11/2023 20:06:40,1701201999871,-6,28/11/2023 14:06:39,139457,5,questionnaire-vybo,,33279385,b5i263sm,9852795,,complete,,24c18bba-b7dd-4be3-9c93-e226f984dfd2,computer,Desktop or Laptop,Windows 10,Chrome 119.0.0.0,1920x1080,963x921,,,,Belief in Just World Scale,1,MaleBranch,,Male_InOut_Swap,No,DistJust1,5
3,1701202000344,28/11/2023 20:06:40,1701201999874,-6,28/11/2023 14:06:39,139457,5,questionnaire-vybo,,33279385,b5i263sm,9852795,,complete,,24c18bba-b7dd-4be3-9c93-e226f984dfd2,computer,Desktop or Laptop,Windows 10,Chrome 119.0.0.0,1920x1080,963x921,,,,Belief in Just World Scale,1,MaleBranch,,Male_InOut_Swap,No,DistJust2,5
4,1701202000344,28/11/2023 20:06:40,1701201999874,-6,28/11/2023 14:06:39,139457,5,questionnaire-vybo,,33279385,b5i263sm,9852795,,complete,,24c18bba-b7dd-4be3-9c93-e226f984dfd2,computer,Desktop or Laptop,Windows 10,Chrome 119.0.0.0,1920x1080,963x921,,,,Belief in Just World Scale,1,MaleBranch,,Male_InOut_Swap,No,DistJust3,5
5,1701202000344,28/11/2023 20:06:40,1701201999874,-6,28/11/2023 14:06:39,139457,5,questionnaire-vybo,,33279385,b5i263sm,9852795,,complete,,24c18bba-b7dd-4be3-9c93-e226f984dfd2,computer,Desktop or Laptop,Windows 10,Chrome 119.0.0.0,1920x1080,963x921,,,,Belief in Just World Scale,1,MaleBranch,,Male_InOut_Swap,No,DistJust4,5
6,1701202000344,28/11/2023 20:06:40,1701201999874,-6,28/11/2023 14:06:39,139457,5,questionnaire-vybo,,33279385,b5i263sm,9852795,,complete,,24c18bba-b7dd-4be3-9c93-e226f984dfd2,computer,Desktop or Laptop,Windows 10,Chrome 119.0.0.0,1920x1080,963x921,,,,Belief in Just World Scale,1,MaleBranch,,Male_InOut_Swap,No,DistJust5,6
7,1701202000344,28/11/2023 20:06:40,1701201999874,-6,28/11/2023 14:06:39,139457,5,questionnaire-vybo,,33279385,b5i263sm,9852795,,complete,,24c18bba-b7dd-4be3-9c93-e226f984dfd2,computer,Desktop or Laptop,Windows 10,Chrome 119.0.0.0,1920x1080,963x921,,,,Belief in Just World Scale,1,MaleBranch,,Male_InOut_Swap,No,ProcJust1,4
8,1701202000344,28/11/2023 20:06:40,1701201999875,-6,28/11/2023 14:06:39,139457,5,questionnaire-vybo,,33279385,b5i263sm,9852795,,complete,,24c18bba-b7dd-4be3-9c93-e226f984dfd2,computer,Desktop or Laptop,Windows 10,Chrome 119.0.0.0,1920x1080,963x921,,,,Belief in Just World Scale,1,MaleBranch,,Male_InOut_Swap,No,ProcJust2,5
9,1701202000344,28/11/2023 20:06:40,1701201999875,-6,28/11/2023 14:06:39,139457,5,questionnaire-vybo,,33279385,b5i263sm,9852795,,complete,,24c18bba-b7dd-4be3-9c93-e226f984dfd2,computer,Desktop or Laptop,Windows 10,Chrome 119.0.0.0,1920x1080,963x921,,,,Belief in Just World Scale,1,MaleBranch,,Male_InOut_Swap,No,ProcJust3,5
10,1701202000344,28/11/2023 20:06:40,1701201999875,-6,28/11/2023 14:06:39,139457,5,questionnaire-vybo,,33279385,b5i263sm,9852795,,complete,,24c18bba-b7dd-4be3-9c93-e226f984dfd2,computer,Desktop or Laptop,Windows 10,Chrome 119.0.0.0,1920x1080,963x921,,,,Belief in Just World Scale,1,MaleBranch,,Male_InOut_Swap,No,ProcJust4,4
