Event Index,UTC Timestamp,UTC Date and Time,Local Timestamp,Local Timezone,Local Date and Time,Experiment ID,Experiment Version,Tree Node Key,Repeat Key,Schedule ID,Participant Public ID,Participant Private ID,Participant Starting Group,Participant Status,Participant Completion Code,Participant External Session ID,Participant Device Type,Participant Device,Participant OS,Participant Browser,Participant Monitor Size,Participant Viewport Size,Checkpoint,Room ID,Room Order,Task Name,Task Version,branch-jqbz,randomiser-745l,randomiser-hhua,Randomise questionnaire elements?,Question Key,Response
1,1701201390211,28/11/2023 19:56:30,1701201390008,-8,28/11/2023 11:56:30,132991,9,questionnaire-vybo,,33279022,tqwn57t4,9852779,,complete,,920b6086-d299-4aea-a057-2acc3816551b,computer,Desktop or Laptop,Windows 10,Chrome 119.0.0.0,1366x768,1366x651,,,,Belief in Just World Scale,1,MaleBranch,,Male_InOut,No,BEGIN QUESTIONNAIRE,
2,1701201409681,28/11/2023 19:56:49,1701201409547,-8,28/11/2023 11:56:49,132991,9,questionnaire-vybo,,33279022,tqwn57t4,9852779,,complete,,920b6086-d299-4aea-a057-2acc3816551b,computer,Desktop or Laptop,Windows 10,Chrome 119.0.0.0,1366x768,1349x651,,,,Belief in Just World Scale,1,MaleBranch,,Male_InOut,No,DistJust1,7
3,1701201409960,28/11/2023 19:56:49,1701201409552,-8,28/11/2023 11:56:49,132991,9,questionnaire-vybo,,33279022,tqwn57t4,9852779,,complete,,920b6086-d299-4aea-a057-2acc3816551b,computer,Desktop or Laptop,Windows 10,Chrome 119.0.0.0,1366x768,1349x651,,,,Belief in Just World Scale,1,MaleBranch,,Male_InOut,No,DistJust2,7
4,1701201409960,28/11/2023 19:56:49,1701201409552,-8,28/11/2023 11:56:49,132991,9,questionnaire-vybo,,33279022,tqwn57t4,9852779,,complete,,920b6086-d299-4aea-a057-2acc3816551b,computer,Desktop or Laptop,Windows 10,Chrome 119.0.0.0,1366x768,1349x651,,,,Belief in Just World Scale,1,MaleBranch,,Male_InOut,No,DistJust3,6
5,1701201409960,28/11/2023 19:56:49,1701201409552,-8,28/11/2023 11:56:49,132991,9,questionnaire-vybo,,33279022,tqwn57t4,9852779,,complete,,920b6086-d299-4aea-a057-2acc3816551b,computer,Desktop or Laptop,Windows 10,Chrome 119.0.0.0,1366x768,1349x651,,,,Belief in Just World Scale,1,MaleBranch,,Male_InOut,No,DistJust4,7
6,1701201409960,28/11/2023 19:56:49,1701201409552,-8,28/11/2023 11:56:49,132991,9,questionnaire-vybo,,33279022,tqwn57t4,9852779,,complete,,920b6086-d299-4aea-a057-2acc3816551b,computer,Desktop or Laptop,Windows 10,Chrome 119.0.0.0,1366x768,1349x651,,,,Belief in Just World Scale,1,MaleBranch,,Male_InOut,No,DistJust5,6
7,1701201409960,28/11/2023 19:56:49,1701201409552,-8,28/11/2023 11:56:49,132991,9,questionnaire-vybo,,33279022,tqwn57t4,9852779,,complete,,920b6086-d299-4aea-a057-2acc3816551b,computer,Desktop or Laptop,Windows 10,Chrome 119.0.0.0,1366x768,1349x651,,,,Belief in Just World Scale,1,MaleBranch,,Male_InOut,No,ProcJust1,7
8,1701201409960,28/11/2023 19:56:49,1701201409553,-8,28/11/2023 11:56:49,132991,9,questionnaire-vybo,,33279022,tqwn57t4,9852779,,complete,,920b6086-d299-4aea-a057-2acc3816551b,computer,Desktop or Laptop,Windows 10,Chrome 119.0.0.0,1366x768,1349x651,,,,Belief in Just World Scale,1,MaleBranch,,Male_InOut,No,ProcJust2,6
9,1701201409960,28/11/2023 19:56:49,1701201409553,-8,28/11/2023 11:56:49,132991,9,questionnaire-vybo,,33279022,tqwn57t4,9852779,,complete,,920b6086-d299-4aea-a057-2acc3816551b,computer,Desktop or Laptop,Windows 10,Chrome 119.0.0.0,1366x768,1349x651,,,,Belief in Just World Scale,1,MaleBranch,,Male_InOut,No,ProcJust3,7
10,1701201409960,28/11/2023 19:56:49,1701201409553,-8,28/11/2023 11:56:49,132991,9,questionnaire-vybo,,33279022,tqwn57t4,9852779,,complete,,920b6086-d299-4aea-a057-2acc3816551b,computer,Desktop or Laptop,Windows 10,Chrome 119.0.0.0,1366x768,1349x651,,,,Belief in Just World Scale,1,MaleBranch,,Male_InOut,No,ProcJust4,6
11,1701201409960,28/11/2023 19:56:49,1701201409554,-8,28/11/2023 11:56:49,132991,9,questionnaire-vybo,,33279022,tqwn57t4,9852779,,complete,,920b6086-d299-4aea-a057-2acc3816551b,computer,Desktop or Laptop,Windows 10,Chrome 119.0.0.0,1366x768,1349x651,,,,Belief in Just World Scale,1,MaleBranch,,Male_InOut,No,ProcJust5,7
12,1701201409960,28/11/2023 19:56:49,1701201409554,-8,28/11/2023 11:56:49,132991,9,questionnaire-vybo,,33279022,tqwn57t4,9852779,,complete,,920b6086-d299-4aea-a057-2acc3816551b,computer,Desktop or Laptop,Windows 10,Chrome 119.0.0.0,1366x768,1349x651,,,,Belief in Just World Scale,1,MaleBranch,,Male_InOut,No,END QUESTIONNAIRE,19546
1,1701201414574,28/11/2023 19:56:54,1701201414922,-5,28/11/2023 14:56:54,132991,9,questionnaire-vybo,,33279040,k6t9epv4,9852788,,complete,,73f8f2c0-e0aa-4534-b926-df1edb43a6f9,computer,Desktop or Laptop,Windows 10,Chrome 119.0.0.0,1536x864,1536x739,,,,Belief in Just World Scale,1,FemaleBranch,Female_InOut,,No,BEGIN QUESTIONNAIRE,
2,1701201427031,28/11/2023 19:57:07,1701201427425,-5,28/11/2023 14:57:07,132991,9,questionnaire-vybo,,33279040,k6t9epv4,9852788,,complete,,73f8f2c0-e0aa-4534-b926-df1edb43a6f9,computer,Desktop or Laptop,Windows 10,Chrome 119.0.0.0,1536x864,1519x739,,,,Belief in Just World Scale,1,FemaleBranch,Female_InOut,,No,DistJust1,5
3,1701201427265,28/11/2023 19:57:07,1701201427426,-5,28/11/2023 14:57:07,132991,9,questionnaire-vybo,,33279040,k6t9epv4,9852788,,complete,,73f8f2c0-e0aa-4534-b926-df1edb43a6f9,computer,Desktop or Laptop,Windows 10,Chrome 119.0.0.0,1536x864,1519x739,,,,Belief in Just World Scale,1,FemaleBranch,Female_InOut,,No,DistJust2,3
4,1701201427265,28/11/2023 19:57:07,1701201427426,-5,28/11/2023 14:57:07,132991,9,questionnaire-vybo,,33279040,k6t9epv4,9852788,,complete,,73f8f2c0-e0aa-4534-b926-df1edb43a6f9,computer,Desktop or Laptop,Windows 10,Chrome 119.0.0.0,1536x864,1519x739,,,,Belief in Just World Scale,1,FemaleBranch,Female_InOut,,No,DistJust3,3
5,1701201427265,28/11/2023 19:57:07,1701201427426,-5,28/11/2023 14:57:07,132991,9,questionnaire-vybo,,33279040,k6t9epv4,9852788,,complete,,73f8f2c0-e0aa-4534-b926-df1edb43a6f9,computer,Desktop or Laptop,Windows 10,Chrome 119.0.0.0,1536x864,1519x739,,,,Belief in Just World Scale,1,FemaleBranch,Female_InOut,,No,DistJust4,3
