Event Index,UTC Timestamp,UTC Date and Time,Local Timestamp,Local Timezone,Local Date and Time,Experiment ID,Experiment Version,Tree Node Key,Repeat Key,Schedule ID,Participant Public ID,Participant Private ID,Participant Starting Group,Participant Status,Participant Completion Code,Participant External Session ID,Participant Device Type,Participant Device,Participant OS,Participant Browser,Participant Monitor Size,Participant Viewport Size,Checkpoint,Room ID,Room Order,Task Name,Task Version,branch-jqbz,randomiser-745l,randomiser-hhua,Randomise questionnaire elements?,Question Key,Response
1,1701208699317,28/11/2023 21:58:19,1701208699211,-8,28/11/2023 13:58:19,139457,5,questionnaire-4ihx,,33281246,bjonho7j,9853580,,complete,,c68e1707-f433-4572-8f01-1b6856884140,computer,Desktop or Laptop,Windows 10,Edge 119.0.0.0,1920x1080,881x895,,,,Demographic_Intake,3,FemaleBranch,Female_InOut,,No,BEGIN QUESTIONNAIRE,
2,1701208756519,28/11/2023 21:59:16,1701208756440,-8,28/11/2023 13:59:16,139457,5,questionnaire-4ihx,,33281246,bjonho7j,9853580,,complete,,c68e1707-f433-4572-8f01-1b6856884140,computer,Desktop or Laptop,Windows 10,Edge 119.0.0.0,1920x1080,866x895,,,,Demographic_Intake,3,FemaleBranch,Female_InOut,,No,age,29
3,1701208756845,28/11/2023 21:59:16,1701208756443,-8,28/11/2023 13:59:16,139457,5,questionnaire-4ihx,,33281246,bjonho7j,9853580,,complete,,c68e1707-f433-4572-8f01-1b6856884140,computer,Desktop or Laptop,Windows 10,Edge 119.0.0.0,1920x1080,866x895,,,,Demographic_Intake,3,FemaleBranch,Female_InOut,,No,gender,Female
4,1701208756845,28/11/2023 21:59:16,1701208756443,-8,28/11/2023 13:59:16,139457,5,questionnaire-4ihx,,33281246,bjonho7j,9853580,,complete,,c68e1707-f433-4572-8f01-1b6856884140,computer,Desktop or Laptop,Windows 10,Edge 119.0.0.0,1920x1080,866x895,,,,Demographic_Intake,3,FemaleBranch,Female_InOut,,No,gender-quantised,1
5,1701208756845,28/11/2023 21:59:16,1701208756443,-8,28/11/2023 13:59:16,139457,5,questionnaire-4ihx,,33281246,bjonho7j,9853580,,complete,,c68e1707-f433-4572-8f01-1b6856884140,computer,Desktop or Laptop,Windows 10,Edge 119.0.0.0,1920x1080,866x895,,,,Demographic_Intake,3,FemaleBranch,Female_InOut,,No,gender-text,
6,1701208756845,28/11/2023 21:59:16,1701208756443,-8,28/11/2023 13:59:16,139457,5,questionnaire-4ihx,,33281246,bjonho7j,9853580,,complete,,c68e1707-f433-4572-8f01-1b6856884140,computer,Desktop or Laptop,Windows 10,Edge 119.0.0.0,1920x1080,866x895,,,,Demographic_Intake,3,FemaleBranch,Female_InOut,,No,raceEth_v2,Asian
7,1701208756845,28/11/2023 21:59:16,1701208756444,-8,28/11/2023 13:59:16,139457,5,questionnaire-4ihx,,33281246,bjonho7j,9853580,,complete,,c68e1707-f433-4572-8f01-1b6856884140,computer,Desktop or Laptop,Windows 10,Edge 119.0.0.0,1920x1080,866x895,,,,Demographic_Intake,3,FemaleBranch,Female_InOut,,No,raceEth_v2-quantised,2
8,1701208756845,28/11/2023 21:59:16,1701208756444,-8,28/11/2023 13:59:16,139457,5,questionnaire-4ihx,,33281246,bjonho7j,9853580,,complete,,c68e1707-f433-4572-8f01-1b6856884140,computer,Desktop or Laptop,Windows 10,Edge 119.0.0.0,1920x1080,866x895,,,,Demographic_Intake,3,FemaleBranch,Female_InOut,,No,raceEth_v2-text,
9,1701208756845,28/11/2023 21:59:16,1701208756444,-8,28/11/2023 13:59:16,139457,5,questionnaire-4ihx,,33281246,bjonho7j,9853580,,complete,,c68e1707-f433-4572-8f01-1b6856884140,computer,Desktop or Laptop,Windows 10,Edge 119.0.0.0,1920x1080,866x895,,,,Demographic_Intake,3,FemaleBranch,Female_InOut,,No,EngFluent,Yes
10,1701208756845,28/11/2023 21:59:16,1701208756444,-8,28/11/2023 13:59:16,139457,5,questionnaire-4ihx,,33281246,bjonho7j,9853580,,complete,,c68e1707-f433-4572-8f01-1b6856884140,computer,Desktop or Laptop,Windows 10,Edge 119.0.0.0,1920x1080,866x895,,,,Demographic_Intake,3,FemaleBranch,Female_InOut,,No,EngFluent-quantised,1
