Event Index,UTC Timestamp,UTC Date and Time,Local Timestamp,Local Timezone,Local Date and Time,Experiment ID,Experiment Version,Tree Node Key,Repeat Key,Schedule ID,Participant Public ID,Participant Private ID,Participant Starting Group,Participant Status,Participant Completion Code,Participant External Session ID,Participant Device Type,Participant Device,Participant OS,Participant Browser,Participant Monitor Size,Participant Viewport Size,Checkpoint,Room ID,Room Order,Task Name,Task Version,branch-jqbz,randomiser-745l,randomiser-hhua,Randomise questionnaire elements?,Question Key,Response
1,1701200220872,28/11/2023 19:37:00,1701200219157,-8,28/11/2023 11:36:59,132991,9,questionnaire-4ihx,,33278469,up6gtkom,9852775,,complete,,4ad0166b-812f-4429-aa8c-247fcb97a958,computer,Desktop or Laptop,Windows 10,Firefox 120.0,1600x900,1600x747,,,,Demographic_Intake,3,MaleBranch,,Male_InOut,No,BEGIN QUESTIONNAIRE,
2,1701200291528,28/11/2023 19:38:11,1701200289838,-8,28/11/2023 11:38:09,132991,9,questionnaire-4ihx,,33278469,up6gtkom,9852775,,complete,,4ad0166b-812f-4429-aa8c-247fcb97a958,computer,Desktop or Laptop,Windows 10,Firefox 120.0,1600x900,1583x747,,,,Demographic_Intake,3,MaleBranch,,Male_InOut,No,age,35
3,1701200291699,28/11/2023 19:38:11,1701200289839,-8,28/11/2023 11:38:09,132991,9,questionnaire-4ihx,,33278469,up6gtkom,9852775,,complete,,4ad0166b-812f-4429-aa8c-247fcb97a958,computer,Desktop or Laptop,Windows 10,Firefox 120.0,1600x900,1583x747,,,,Demographic_Intake,3,MaleBranch,,Male_InOut,No,gender,Male
4,1701200291699,28/11/2023 19:38:11,1701200289839,-8,28/11/2023 11:38:09,132991,9,questionnaire-4ihx,,33278469,up6gtkom,9852775,,complete,,4ad0166b-812f-4429-aa8c-247fcb97a958,computer,Desktop or Laptop,Windows 10,Firefox 120.0,1600x900,1583x747,,,,Demographic_Intake,3,MaleBranch,,Male_InOut,No,gender-quantised,2
5,1701200291699,28/11/2023 19:38:11,1701200289840,-8,28/11/2023 11:38:09,132991,9,questionnaire-4ihx,,33278469,up6gtkom,9852775,,complete,,4ad0166b-812f-4429-aa8c-247fcb97a958,computer,Desktop or Laptop,Windows 10,Firefox 120.0,1600x900,1583x747,,,,Demographic_Intake,3,MaleBranch,,Male_InOut,No,gender-text,
6,1701200291699,28/11/2023 19:38:11,1701200289840,-8,28/11/2023 11:38:09,132991,9,questionnaire-4ihx,,33278469,up6gtkom,9852775,,complete,,4ad0166b-812f-4429-aa8c-247fcb97a958,computer,Desktop or Laptop,Windows 10,Firefox 120.0,1600x900,1583x747,,,,Demographic_Intake,3,MaleBranch,,Male_InOut,No,raceEth_v2,White
7,1701200291699,28/11/2023 19:38:11,1701200289840,-8,28/11/2023 11:38:09,132991,9,questionnaire-4ihx,,33278469,up6gtkom,9852775,,complete,,4ad0166b-812f-4429-aa8c-247fcb97a958,computer,Desktop or Laptop,Windows 10,Firefox 120.0,1600x900,1583x747,,,,Demographic_Intake,3,MaleBranch,,Male_InOut,No,raceEth_v2-quantised,6
8,1701200291699,28/11/2023 19:38:11,1701200289840,-8,28/11/2023 11:38:09,132991,9,questionnaire-4ihx,,33278469,up6gtkom,9852775,,complete,,4ad0166b-812f-4429-aa8c-247fcb97a958,computer,Desktop or Laptop,Windows 10,Firefox 120.0,1600x900,1583x747,,,,Demographic_Intake,3,MaleBranch,,Male_InOut,No,raceEth_v2-text,
9,1701200291699,28/11/2023 19:38:11,1701200289840,-8,28/11/2023 11:38:09,132991,9,questionnaire-4ihx,,33278469,up6gtkom,9852775,,complete,,4ad0166b-812f-4429-aa8c-247fcb97a958,computer,Desktop or Laptop,Windows 10,Firefox 120.0,1600x900,1583x747,,,,Demographic_Intake,3,MaleBranch,,Male_InOut,No,EngFluent,Yes
10,1701200291699,28/11/2023 19:38:11,1701200289840,-8,28/11/2023 11:38:09,132991,9,questionnaire-4ihx,,33278469,up6gtkom,9852775,,complete,,4ad0166b-812f-4429-aa8c-247fcb97a958,computer,Desktop or Laptop,Windows 10,Firefox 120.0,1600x900,1583x747,,,,Demographic_Intake,3,MaleBranch,,Male_InOut,No,EngFluent-quantised,1
