Event Index,UTC Timestamp,UTC Date and Time,Local Timestamp,Local Timezone,Local Date and Time,Experiment ID,Experiment Version,Tree Node Key,Repeat Key,Schedule ID,Participant Public ID,Participant Private ID,Participant Starting Group,Participant Status,Participant Completion Code,Participant External Session ID,Participant Device Type,Participant Device,Participant OS,Participant Browser,Participant Monitor Size,Participant Viewport Size,Checkpoint,Room ID,Room Order,Task Name,Task Version,branch-jqbz,randomiser-745l,randomiser-hhua,Randomise questionnaire elements?,Question Key,Response
1,1701201953602,28/11/2023 20:05:53,1701201953324,-6,28/11/2023 14:05:53,139457,5,questionnaire-iqsy,,33279378,b5i263sm,9852795,,complete,,24c18bba-b7dd-4be3-9c93-e226f984dfd2,computer,Desktop or Laptop,Windows 10,Chrome 119.0.0.0,1920x1080,980x921,,,,"Ethnic Identity 7-point scale - Sidanius et al., 2008",2,MaleBranch,,Male_InOut_Swap,No,BEGIN QUESTIONNAIRE,
2,1701201967792,28/11/2023 20:06:07,1701201967566,-6,28/11/2023 14:06:07,139457,5,questionnaire-iqsy,,33279378,b5i263sm,9852795,,complete,,24c18bba-b7dd-4be3-9c93-e226f984dfd2,computer,Desktop or Laptop,Windows 10,Chrome 119.0.0.0,1920x1080,963x921,,,,"Ethnic Identity 7-point scale - Sidanius et al., 2008",2,MaleBranch,,Male_InOut_Swap,No,EIS1,6
3,1701201968009,28/11/2023 20:06:08,1701201967567,-6,28/11/2023 14:06:07,139457,5,questionnaire-iqsy,,33279378,b5i263sm,9852795,,complete,,24c18bba-b7dd-4be3-9c93-e226f984dfd2,computer,Desktop or Laptop,Windows 10,Chrome 119.0.0.0,1920x1080,963x921,,,,"Ethnic Identity 7-point scale - Sidanius et al., 2008",2,MaleBranch,,Male_InOut_Swap,No,EIS2,7
4,1701201968009,28/11/2023 20:06:08,1701201967567,-6,28/11/2023 14:06:07,139457,5,questionnaire-iqsy,,33279378,b5i263sm,9852795,,complete,,24c18bba-b7dd-4be3-9c93-e226f984dfd2,computer,Desktop or Laptop,Windows 10,Chrome 119.0.0.0,1920x1080,963x921,,,,"Ethnic Identity 7-point scale - Sidanius et al., 2008",2,MaleBranch,,Male_InOut_Swap,No,EIS3,7
5,1701201968009,28/11/2023 20:06:08,1701201967567,-6,28/11/2023 14:06:07,139457,5,questionnaire-iqsy,,33279378,b5i263sm,9852795,,complete,,24c18bba-b7dd-4be3-9c93-e226f984dfd2,computer,Desktop or Laptop,Windows 10,Chrome 119.0.0.0,1920x1080,963x921,,,,"Ethnic Identity 7-point scale - Sidanius et al., 2008",2,MaleBranch,,Male_InOut_Swap,No,EIS4,6
6,1701201968009,28/11/2023 20:06:08,1701201967568,-6,28/11/2023 14:06:07,139457,5,questionnaire-iqsy,,33279378,b5i263sm,9852795,,complete,,24c18bba-b7dd-4be3-9c93-e226f984dfd2,computer,Desktop or Laptop,Windows 10,Chrome 119.0.0.0,1920x1080,963x921,,,,"Ethnic Identity 7-point scale - Sidanius et al., 2008",2,MaleBranch,,Male_InOut_Swap,No,END QUESTIONNAIRE,14244
1,1701202147485,28/11/2023 20:09:07,1701202147363,-8,28/11/2023 12:09:07,139457,5,questionnaire-iqsy,,33279484,ly70xo0q,9852841,,complete,,a2e02e3d-289d-427d-b45d-cffd91836905,computer,Desktop or Laptop,Windows 10,Chrome 119.0.0.0,1920x1080,1920x931,,,,"Ethnic Identity 7-point scale - Sidanius et al., 2008",2,MaleBranch,,Male_InOut_Swap,No,BEGIN QUESTIONNAIRE,
2,1701202164493,28/11/2023 20:09:24,1701202164400,-8,28/11/2023 12:09:24,139457,5,questionnaire-iqsy,,33279484,ly70xo0q,9852841,,complete,,a2e02e3d-289d-427d-b45d-cffd91836905,computer,Desktop or Laptop,Windows 10,Chrome 119.0.0.0,1920x1080,1903x931,,,,"Ethnic Identity 7-point scale - Sidanius et al., 2008",2,MaleBranch,,Male_InOut_Swap,No,EIS1,4
3,1701202164657,28/11/2023 20:09:24,1701202164401,-8,28/11/2023 12:09:24,139457,5,questionnaire-iqsy,,33279484,ly70xo0q,9852841,,complete,,a2e02e3d-289d-427d-b45d-cffd91836905,computer,Desktop or Laptop,Windows 10,Chrome 119.0.0.0,1920x1080,1903x931,,,,"Ethnic Identity 7-point scale - Sidanius et al., 2008",2,MaleBranch,,Male_InOut_Swap,No,EIS2,5
4,1701202164657,28/11/2023 20:09:24,1701202164401,-8,28/11/2023 12:09:24,139457,5,questionnaire-iqsy,,33279484,ly70xo0q,9852841,,complete,,a2e02e3d-289d-427d-b45d-cffd91836905,computer,Desktop or Laptop,Windows 10,Chrome 119.0.0.0,1920x1080,1903x931,,,,"Ethnic Identity 7-point scale - Sidanius et al., 2008",2,MaleBranch,,Male_InOut_Swap,No,EIS3,5
