Event Index,UTC Timestamp,UTC Date and Time,Local Timestamp,Local Timezone,Local Date and Time,Experiment ID,Experiment Version,Tree Node Key,Repeat Key,Schedule ID,Participant Public ID,Participant Private ID,Participant Starting Group,Participant Status,Participant Completion Code,Participant External Session ID,Participant Device Type,Participant Device,Participant OS,Participant Browser,Participant Monitor Size,Participant Viewport Size,Checkpoint,Room ID,Room Order,Task Name,Task Version,branch-jqbz,randomiser-745l,randomiser-hhua,Randomise questionnaire elements?,Question Key,Response
1,1701200813595,28/11/2023 19:46:53,1701200813411,-8,28/11/2023 11:46:53,132991,9,questionnaire-eye6,,33278758,tqwn57t4,9852779,,complete,,920b6086-d299-4aea-a057-2acc3816551b,computer,Desktop or Laptop,Windows 10,Chrome 119.0.0.0,1366x768,2049x976,,,,Exit Questions / Debriefing,1,MaleBranch,,Male_InOut,No,BEGIN QUESTIONNAIRE,
2,1701200893244,28/11/2023 19:48:13,1701200893108,-8,28/11/2023 11:48:13,132991,9,questionnaire-eye6,,33278758,tqwn57t4,9852779,,complete,,920b6086-d299-4aea-a057-2acc3816551b,computer,Desktop or Laptop,Windows 10,Chrome 119.0.0.0,1366x768,1366x651,,,,Exit Questions / Debriefing,1,MaleBranch,,Male_InOut,No,ImmsersionSlider,7
3,1701200893510,28/11/2023 19:48:13,1701200893114,-8,28/11/2023 11:48:13,132991,9,questionnaire-eye6,,33278758,tqwn57t4,9852779,,complete,,920b6086-d299-4aea-a057-2acc3816551b,computer,Desktop or Laptop,Windows 10,Chrome 119.0.0.0,1366x768,1366x651,,,,Exit Questions / Debriefing,1,MaleBranch,,Male_InOut,No,ExitQ_Immersion,NO
4,1701200893510,28/11/2023 19:48:13,1701200893115,-8,28/11/2023 11:48:13,132991,9,questionnaire-eye6,,33278758,tqwn57t4,9852779,,complete,,920b6086-d299-4aea-a057-2acc3816551b,computer,Desktop or Laptop,Windows 10,Chrome 119.0.0.0,1366x768,1366x651,,,,Exit Questions / Debriefing,1,MaleBranch,,Male_InOut,No,ExitQ_SettingCheck,VERY EFFECTIVE
5,1701200893510,28/11/2023 19:48:13,1701200893115,-8,28/11/2023 11:48:13,132991,9,questionnaire-eye6,,33278758,tqwn57t4,9852779,,complete,,920b6086-d299-4aea-a057-2acc3816551b,computer,Desktop or Laptop,Windows 10,Chrome 119.0.0.0,1366x768,1366x651,,,,Exit Questions / Debriefing,1,MaleBranch,,Male_InOut,No,ExitQ_PlayAgain,HAYOU
6,1701200893510,28/11/2023 19:48:13,1701200893115,-8,28/11/2023 11:48:13,132991,9,questionnaire-eye6,,33278758,tqwn57t4,9852779,,complete,,920b6086-d299-4aea-a057-2acc3816551b,computer,Desktop or Laptop,Windows 10,Chrome 119.0.0.0,1366x768,1366x651,,,,Exit Questions / Debriefing,1,MaleBranch,,Male_InOut,No,ExitQ_PlayFeeling,GOOD FEEL
7,1701200893510,28/11/2023 19:48:13,1701200893116,-8,28/11/2023 11:48:13,132991,9,questionnaire-eye6,,33278758,tqwn57t4,9852779,,complete,,920b6086-d299-4aea-a057-2acc3816551b,computer,Desktop or Laptop,Windows 10,Chrome 119.0.0.0,1366x768,1366x651,,,,Exit Questions / Debriefing,1,MaleBranch,,Male_InOut,No,ExitQ_PlayDecisions,DECISIONS WAS SAME TO ME
8,1701200893510,28/11/2023 19:48:13,1701200893116,-8,28/11/2023 11:48:13,132991,9,questionnaire-eye6,,33278758,tqwn57t4,9852779,,complete,,920b6086-d299-4aea-a057-2acc3816551b,computer,Desktop or Laptop,Windows 10,Chrome 119.0.0.0,1366x768,1366x651,,,,Exit Questions / Debriefing,1,MaleBranch,,Male_InOut,No,Debriefing,Yes
9,1701200893510,28/11/2023 19:48:13,1701200893116,-8,28/11/2023 11:48:13,132991,9,questionnaire-eye6,,33278758,tqwn57t4,9852779,,complete,,920b6086-d299-4aea-a057-2acc3816551b,computer,Desktop or Laptop,Windows 10,Chrome 119.0.0.0,1366x768,1366x651,,,,Exit Questions / Debriefing,1,MaleBranch,,Male_InOut,No,Debriefing-quantised,1
10,1701200893510,28/11/2023 19:48:13,1701200893116,-8,28/11/2023 11:48:13,132991,9,questionnaire-eye6,,33278758,tqwn57t4,9852779,,complete,,920b6086-d299-4aea-a057-2acc3816551b,computer,Desktop or Laptop,Windows 10,Chrome 119.0.0.0,1366x768,1366x651,,,,Exit Questions / Debriefing,1,MaleBranch,,Male_InOut,No,Feedback,NO
11,1701200893510,28/11/2023 19:48:13,1701200893117,-8,28/11/2023 11:48:13,132991,9,questionnaire-eye6,,33278758,tqwn57t4,9852779,,complete,,920b6086-d299-4aea-a057-2acc3816551b,computer,Desktop or Laptop,Windows 10,Chrome 119.0.0.0,1366x768,1366x651,,,,Exit Questions / Debriefing,1,MaleBranch,,Male_InOut,No,END QUESTIONNAIRE,79706
1,1701200858641,28/11/2023 19:47:38,1701200858977,-5,28/11/2023 14:47:38,132991,9,questionnaire-eye6,,33278787,k6t9epv4,9852788,,complete,,73f8f2c0-e0aa-4534-b926-df1edb43a6f9,computer,Desktop or Laptop,Windows 10,Chrome 119.0.0.0,1536x864,1536x739,,,,Exit Questions / Debriefing,1,FemaleBranch,Female_InOut,,No,BEGIN QUESTIONNAIRE,
2,1701200932100,28/11/2023 19:48:52,1701200932505,-5,28/11/2023 14:48:52,132991,9,questionnaire-eye6,,33278787,k6t9epv4,9852788,,complete,,73f8f2c0-e0aa-4534-b926-df1edb43a6f9,computer,Desktop or Laptop,Windows 10,Chrome 119.0.0.0,1536x864,1536x739,,,,Exit Questions / Debriefing,1,FemaleBranch,Female_InOut,,No,ImmsersionSlider,7
3,1701200932261,28/11/2023 19:48:52,1701200932506,-5,28/11/2023 14:48:52,132991,9,questionnaire-eye6,,33278787,k6t9epv4,9852788,,complete,,73f8f2c0-e0aa-4534-b926-df1edb43a6f9,computer,Desktop or Laptop,Windows 10,Chrome 119.0.0.0,1536x864,1536x739,,,,Exit Questions / Debriefing,1,FemaleBranch,Female_InOut,,No,ExitQ_Immersion,I think adding the outcome of the choices next to the punish or reward options would make it better so i know what happens.
