Event Index,UTC Timestamp,UTC Date and Time,Local Timestamp,Local Timezone,Local Date and Time,Experiment ID,Experiment Version,Tree Node Key,Repeat Key,Schedule ID,Participant Public ID,Participant Private ID,Participant Starting Group,Participant Status,Participant Completion Code,Participant External Session ID,Participant Device Type,Participant Device,Participant OS,Participant Browser,Participant Monitor Size,Participant Viewport Size,Checkpoint,Room ID,Room Order,Task Name,Task Version,branch-jqbz,randomiser-745l,randomiser-hhua,Randomise questionnaire elements?,Question Key,Response
1,1701201453843,28/11/2023 19:57:33,1701201452853,-5,28/11/2023 14:57:32,139457,5,questionnaire-kwad,,33279067,oazd5bvw,9852768,,complete,,5cf397fd-c223-4723-8315-3b6d1fca1413,computer,Desktop or Laptop,Windows 10,Chrome 119.0.0.0,2560x1440,1809x946,,,,Perceived Gender/Racial Discrimination,2,MaleBranch,,Male_InOut_Swap,No,BEGIN QUESTIONNAIRE,
2,1701201479546,28/11/2023 19:57:59,1701201478604,-5,28/11/2023 14:57:58,139457,5,questionnaire-kwad,,33279067,oazd5bvw,9852768,,complete,,5cf397fd-c223-4723-8315-3b6d1fca1413,computer,Desktop or Laptop,Windows 10,Chrome 119.0.0.0,2560x1440,1792x946,,,,Perceived Gender/Racial Discrimination,2,MaleBranch,,Male_InOut_Swap,No,PGRD1,5
3,1701201479637,28/11/2023 19:57:59,1701201478605,-5,28/11/2023 14:57:58,139457,5,questionnaire-kwad,,33279067,oazd5bvw,9852768,,complete,,5cf397fd-c223-4723-8315-3b6d1fca1413,computer,Desktop or Laptop,Windows 10,Chrome 119.0.0.0,2560x1440,1792x946,,,,Perceived Gender/Racial Discrimination,2,MaleBranch,,Male_InOut_Swap,No,PGRD2,5
4,1701201479637,28/11/2023 19:57:59,1701201478605,-5,28/11/2023 14:57:58,139457,5,questionnaire-kwad,,33279067,oazd5bvw,9852768,,complete,,5cf397fd-c223-4723-8315-3b6d1fca1413,computer,Desktop or Laptop,Windows 10,Chrome 119.0.0.0,2560x1440,1792x946,,,,Perceived Gender/Racial Discrimination,2,MaleBranch,,Male_InOut_Swap,No,PGRD3,5
5,1701201479637,28/11/2023 19:57:59,1701201478605,-5,28/11/2023 14:57:58,139457,5,questionnaire-kwad,,33279067,oazd5bvw,9852768,,complete,,5cf397fd-c223-4723-8315-3b6d1fca1413,computer,Desktop or Laptop,Windows 10,Chrome 119.0.0.0,2560x1440,1792x946,,,,Perceived Gender/Racial Discrimination,2,MaleBranch,,Male_InOut_Swap,No,PGRD4,5
6,1701201479637,28/11/2023 19:57:59,1701201478605,-5,28/11/2023 14:57:58,139457,5,questionnaire-kwad,,33279067,oazd5bvw,9852768,,complete,,5cf397fd-c223-4723-8315-3b6d1fca1413,computer,Desktop or Laptop,Windows 10,Chrome 119.0.0.0,2560x1440,1792x946,,,,Perceived Gender/Racial Discrimination,2,MaleBranch,,Male_InOut_Swap,No,PGRD5,5
7,1701201479637,28/11/2023 19:57:59,1701201478605,-5,28/11/2023 14:57:58,139457,5,questionnaire-kwad,,33279067,oazd5bvw,9852768,,complete,,5cf397fd-c223-4723-8315-3b6d1fca1413,computer,Desktop or Laptop,Windows 10,Chrome 119.0.0.0,2560x1440,1792x946,,,,Perceived Gender/Racial Discrimination,2,MaleBranch,,Male_InOut_Swap,No,PGRD6,5
8,1701201479637,28/11/2023 19:57:59,1701201478605,-5,28/11/2023 14:57:58,139457,5,questionnaire-kwad,,33279067,oazd5bvw,9852768,,complete,,5cf397fd-c223-4723-8315-3b6d1fca1413,computer,Desktop or Laptop,Windows 10,Chrome 119.0.0.0,2560x1440,1792x946,,,,Perceived Gender/Racial Discrimination,2,MaleBranch,,Male_InOut_Swap,No,END QUESTIONNAIRE,25753
1,1701203063629,28/11/2023 20:24:23,1701203064881,-5,28/11/2023 15:24:24,139457,5,questionnaire-kwad,,33279796,5zl9kddh,9852898,,complete,,d7d310de-a516-4892-a2c8-b25fd4ebd9b8,computer,Desktop or Laptop,Windows 10,Chrome 119.0.0.0,1280x720,1280x559,,,,Perceived Gender/Racial Discrimination,2,MaleBranch,,Male_InOut_Swap,No,BEGIN QUESTIONNAIRE,
2,1701203112950,28/11/2023 20:25:12,1701203114238,-5,28/11/2023 15:25:14,139457,5,questionnaire-kwad,,33279796,5zl9kddh,9852898,,complete,,d7d310de-a516-4892-a2c8-b25fd4ebd9b8,computer,Desktop or Laptop,Windows 10,Chrome 119.0.0.0,1280x720,1263x559,,,,Perceived Gender/Racial Discrimination,2,MaleBranch,,Male_InOut_Swap,No,PGRD1,6
