Event Index,UTC Timestamp,UTC Date and Time,Local Timestamp,Local Timezone,Local Date and Time,Experiment ID,Experiment Version,Tree Node Key,Repeat Key,Schedule ID,Participant Public ID,Participant Private ID,Participant Starting Group,Participant Status,Participant Completion Code,Participant External Session ID,Participant Device Type,Participant Device,Participant OS,Participant Browser,Participant Monitor Size,Participant Viewport Size,Checkpoint,Room ID,Room Order,Task Name,Task Version,branch-jqbz,randomiser-745l,randomiser-hhua,Randomise questionnaire elements?,Question Key,Response
1,1701201359509,28/11/2023 19:55:59,1701201359363,-8,28/11/2023 11:55:59,132991,9,questionnaire-kwad,,33279013,tqwn57t4,9852779,,complete,,920b6086-d299-4aea-a057-2acc3816551b,computer,Desktop or Laptop,Windows 10,Chrome 119.0.0.0,1366x768,1366x651,,,,Perceived Gender/Racial Discrimination,2,MaleBranch,,Male_InOut,No,BEGIN QUESTIONNAIRE,
2,1701201372127,28/11/2023 19:56:12,1701201371913,-8,28/11/2023 11:56:11,132991,9,questionnaire-kwad,,33279013,tqwn57t4,9852779,,complete,,920b6086-d299-4aea-a057-2acc3816551b,computer,Desktop or Laptop,Windows 10,Chrome 119.0.0.0,1366x768,1349x651,,,,Perceived Gender/Racial Discrimination,2,MaleBranch,,Male_InOut,No,PGRD1,7
3,1701201372526,28/11/2023 19:56:12,1701201371916,-8,28/11/2023 11:56:11,132991,9,questionnaire-kwad,,33279013,tqwn57t4,9852779,,complete,,920b6086-d299-4aea-a057-2acc3816551b,computer,Desktop or Laptop,Windows 10,Chrome 119.0.0.0,1366x768,1349x651,,,,Perceived Gender/Racial Discrimination,2,MaleBranch,,Male_InOut,No,PGRD2,6
4,1701201372526,28/11/2023 19:56:12,1701201371916,-8,28/11/2023 11:56:11,132991,9,questionnaire-kwad,,33279013,tqwn57t4,9852779,,complete,,920b6086-d299-4aea-a057-2acc3816551b,computer,Desktop or Laptop,Windows 10,Chrome 119.0.0.0,1366x768,1349x651,,,,Perceived Gender/Racial Discrimination,2,MaleBranch,,Male_InOut,No,PGRD3,6
5,1701201372526,28/11/2023 19:56:12,1701201371916,-8,28/11/2023 11:56:11,132991,9,questionnaire-kwad,,33279013,tqwn57t4,9852779,,complete,,920b6086-d299-4aea-a057-2acc3816551b,computer,Desktop or Laptop,Windows 10,Chrome 119.0.0.0,1366x768,1349x651,,,,Perceived Gender/Racial Discrimination,2,MaleBranch,,Male_InOut,No,PGRD4,7
6,1701201372526,28/11/2023 19:56:12,1701201371917,-8,28/11/2023 11:56:11,132991,9,questionnaire-kwad,,33279013,tqwn57t4,9852779,,complete,,920b6086-d299-4aea-a057-2acc3816551b,computer,Desktop or Laptop,Windows 10,Chrome 119.0.0.0,1366x768,1349x651,,,,Perceived Gender/Racial Discrimination,2,MaleBranch,,Male_InOut,No,PGRD5,7
7,1701201372526,28/11/2023 19:56:12,1701201371917,-8,28/11/2023 11:56:11,132991,9,questionnaire-kwad,,33279013,tqwn57t4,9852779,,complete,,920b6086-d299-4aea-a057-2acc3816551b,computer,Desktop or Laptop,Windows 10,Chrome 119.0.0.0,1366x768,1349x651,,,,Perceived Gender/Racial Discrimination,2,MaleBranch,,Male_InOut,No,PGRD6,7
8,1701201372526,28/11/2023 19:56:12,1701201371917,-8,28/11/2023 11:56:11,132991,9,questionnaire-kwad,,33279013,tqwn57t4,9852779,,complete,,920b6086-d299-4aea-a057-2acc3816551b,computer,Desktop or Laptop,Windows 10,Chrome 119.0.0.0,1366x768,1349x651,,,,Perceived Gender/Racial Discrimination,2,MaleBranch,,Male_InOut,No,END QUESTIONNAIRE,12554
1,1701201387524,28/11/2023 19:56:27,1701201387884,-5,28/11/2023 14:56:27,132991,9,questionnaire-kwad,,33279019,k6t9epv4,9852788,,complete,,73f8f2c0-e0aa-4534-b926-df1edb43a6f9,computer,Desktop or Laptop,Windows 10,Chrome 119.0.0.0,1536x864,1536x739,,,,Perceived Gender/Racial Discrimination,2,FemaleBranch,Female_InOut,,No,BEGIN QUESTIONNAIRE,
2,1701201401600,28/11/2023 19:56:41,1701201402012,-5,28/11/2023 14:56:42,132991,9,questionnaire-kwad,,33279019,k6t9epv4,9852788,,complete,,73f8f2c0-e0aa-4534-b926-df1edb43a6f9,computer,Desktop or Laptop,Windows 10,Chrome 119.0.0.0,1536x864,1519x739,,,,Perceived Gender/Racial Discrimination,2,FemaleBranch,Female_InOut,,No,PGRD1,1
3,1701201401771,28/11/2023 19:56:41,1701201402013,-5,28/11/2023 14:56:42,132991,9,questionnaire-kwad,,33279019,k6t9epv4,9852788,,complete,,73f8f2c0-e0aa-4534-b926-df1edb43a6f9,computer,Desktop or Laptop,Windows 10,Chrome 119.0.0.0,1536x864,1519x739,,,,Perceived Gender/Racial Discrimination,2,FemaleBranch,Female_InOut,,No,PGRD2,7
