Event Index,UTC Timestamp,UTC Date and Time,Local Timestamp,Local Timezone,Local Date and Time,Experiment ID,Experiment Version,Tree Node Key,Repeat Key,Schedule ID,Participant Public ID,Participant Private ID,Participant Starting Group,Participant Status,Participant Completion Code,Participant External Session ID,Participant Device Type,Participant Device,Participant OS,Participant Browser,Participant Monitor Size,Participant Viewport Size,Checkpoint,Room ID,Room Order,Task Name,Task Version,branch-jqbz,randomiser-745l,randomiser-hhua,Randomise questionnaire elements?,Question Key,Response
1,1701201480332,28/11/2023 19:58:00,1701201480161,-8,28/11/2023 11:58:00,132991,9,questionnaire-9yy2,,33279083,tqwn57t4,9852779,,complete,,920b6086-d299-4aea-a057-2acc3816551b,computer,Desktop or Laptop,Windows 10,Chrome 119.0.0.0,1366x768,1366x651,,,,RWAS/ACT - Poilitical Questionaire,3,MaleBranch,,Male_InOut,No,BEGIN QUESTIONNAIRE,
2,1701201515998,28/11/2023 19:58:35,1701201515811,-8,28/11/2023 11:58:35,132991,9,questionnaire-9yy2,,33279083,tqwn57t4,9852779,,complete,,920b6086-d299-4aea-a057-2acc3816551b,computer,Desktop or Laptop,Windows 10,Chrome 119.0.0.0,1366x768,1349x651,,,,RWAS/ACT - Poilitical Questionaire,3,MaleBranch,,Male_InOut,No,Political_Affiliation,5
3,1701201516355,28/11/2023 19:58:36,1701201515815,-8,28/11/2023 11:58:35,132991,9,questionnaire-9yy2,,33279083,tqwn57t4,9852779,,complete,,920b6086-d299-4aea-a057-2acc3816551b,computer,Desktop or Laptop,Windows 10,Chrome 119.0.0.0,1366x768,1349x651,,,,RWAS/ACT - Poilitical Questionaire,3,MaleBranch,,Male_InOut,No,RWAS_1,7
4,1701201516355,28/11/2023 19:58:36,1701201515815,-8,28/11/2023 11:58:35,132991,9,questionnaire-9yy2,,33279083,tqwn57t4,9852779,,complete,,920b6086-d299-4aea-a057-2acc3816551b,computer,Desktop or Laptop,Windows 10,Chrome 119.0.0.0,1366x768,1349x651,,,,RWAS/ACT - Poilitical Questionaire,3,MaleBranch,,Male_InOut,No,RWAS_2,7
5,1701201516355,28/11/2023 19:58:36,1701201515815,-8,28/11/2023 11:58:35,132991,9,questionnaire-9yy2,,33279083,tqwn57t4,9852779,,complete,,920b6086-d299-4aea-a057-2acc3816551b,computer,Desktop or Laptop,Windows 10,Chrome 119.0.0.0,1366x768,1349x651,,,,RWAS/ACT - Poilitical Questionaire,3,MaleBranch,,Male_InOut,No,RWAS_3,7
6,1701201516355,28/11/2023 19:58:36,1701201515816,-8,28/11/2023 11:58:35,132991,9,questionnaire-9yy2,,33279083,tqwn57t4,9852779,,complete,,920b6086-d299-4aea-a057-2acc3816551b,computer,Desktop or Laptop,Windows 10,Chrome 119.0.0.0,1366x768,1349x651,,,,RWAS/ACT - Poilitical Questionaire,3,MaleBranch,,Male_InOut,No,RWAS_4,7
7,1701201516355,28/11/2023 19:58:36,1701201515816,-8,28/11/2023 11:58:35,132991,9,questionnaire-9yy2,,33279083,tqwn57t4,9852779,,complete,,920b6086-d299-4aea-a057-2acc3816551b,computer,Desktop or Laptop,Windows 10,Chrome 119.0.0.0,1366x768,1349x651,,,,RWAS/ACT - Poilitical Questionaire,3,MaleBranch,,Male_InOut,No,RWAS_5,7
8,1701201516355,28/11/2023 19:58:36,1701201515816,-8,28/11/2023 11:58:35,132991,9,questionnaire-9yy2,,33279083,tqwn57t4,9852779,,complete,,920b6086-d299-4aea-a057-2acc3816551b,computer,Desktop or Laptop,Windows 10,Chrome 119.0.0.0,1366x768,1349x651,,,,RWAS/ACT - Poilitical Questionaire,3,MaleBranch,,Male_InOut,No,RWAS_6,7
9,1701201516355,28/11/2023 19:58:36,1701201515816,-8,28/11/2023 11:58:35,132991,9,questionnaire-9yy2,,33279083,tqwn57t4,9852779,,complete,,920b6086-d299-4aea-a057-2acc3816551b,computer,Desktop or Laptop,Windows 10,Chrome 119.0.0.0,1366x768,1349x651,,,,RWAS/ACT - Poilitical Questionaire,3,MaleBranch,,Male_InOut,No,RWAS_7,7
10,1701201516355,28/11/2023 19:58:36,1701201515816,-8,28/11/2023 11:58:35,132991,9,questionnaire-9yy2,,33279083,tqwn57t4,9852779,,complete,,920b6086-d299-4aea-a057-2acc3816551b,computer,Desktop or Laptop,Windows 10,Chrome 119.0.0.0,1366x768,1349x651,,,,RWAS/ACT - Poilitical Questionaire,3,MaleBranch,,Male_InOut,No,RWAS_8,7
