Event Index,UTC Timestamp,UTC Date and Time,Local Timestamp,Local Timezone,Local Date and Time,Experiment ID,Experiment Version,Tree Node Key,Repeat Key,Schedule ID,Participant Public ID,Participant Private ID,Participant Starting Group,Participant Status,Participant Completion Code,Participant External Session ID,Participant Device Type,Participant Device,Participant OS,Participant Browser,Participant Monitor Size,Participant Viewport Size,Checkpoint,Room ID,Room Order,Task Name,Task Version,branch-jqbz,randomiser-745l,randomiser-hhua,Randomise questionnaire elements?,Question Key,Response
1,1701201569490,28/11/2023 19:59:29,1701201568499,-5,28/11/2023 14:59:28,139457,5,questionnaire-7hvz,,33279130,oazd5bvw,9852768,,complete,,5cf397fd-c223-4723-8315-3b6d1fca1413,computer,Desktop or Laptop,Windows 10,Chrome 119.0.0.0,2560x1440,1809x946,,,,Belief in a Zero-Sum Game Scale,2,MaleBranch,,Male_InOut_Swap,No,BEGIN QUESTIONNAIRE,
2,1701201616362,28/11/2023 20:00:16,1701201615428,-5,28/11/2023 15:00:15,139457,5,questionnaire-7hvz,,33279130,oazd5bvw,9852768,,complete,,5cf397fd-c223-4723-8315-3b6d1fca1413,computer,Desktop or Laptop,Windows 10,Chrome 119.0.0.0,2560x1440,1792x946,,,,Belief in a Zero-Sum Game Scale,2,MaleBranch,,Male_InOut_Swap,No,ZSum1,3
3,1701201616548,28/11/2023 20:00:16,1701201615429,-5,28/11/2023 15:00:15,139457,5,questionnaire-7hvz,,33279130,oazd5bvw,9852768,,complete,,5cf397fd-c223-4723-8315-3b6d1fca1413,computer,Desktop or Laptop,Windows 10,Chrome 119.0.0.0,2560x1440,1792x946,,,,Belief in a Zero-Sum Game Scale,2,MaleBranch,,Male_InOut_Swap,No,ZSum2,4
4,1701201616548,28/11/2023 20:00:16,1701201615429,-5,28/11/2023 15:00:15,139457,5,questionnaire-7hvz,,33279130,oazd5bvw,9852768,,complete,,5cf397fd-c223-4723-8315-3b6d1fca1413,computer,Desktop or Laptop,Windows 10,Chrome 119.0.0.0,2560x1440,1792x946,,,,Belief in a Zero-Sum Game Scale,2,MaleBranch,,Male_InOut_Swap,No,ZSum3,4
5,1701201616548,28/11/2023 20:00:16,1701201615429,-5,28/11/2023 15:00:15,139457,5,questionnaire-7hvz,,33279130,oazd5bvw,9852768,,complete,,5cf397fd-c223-4723-8315-3b6d1fca1413,computer,Desktop or Laptop,Windows 10,Chrome 119.0.0.0,2560x1440,1792x946,,,,Belief in a Zero-Sum Game Scale,2,MaleBranch,,Male_InOut_Swap,No,ZSum4,3
6,1701201616548,28/11/2023 20:00:16,1701201615429,-5,28/11/2023 15:00:15,139457,5,questionnaire-7hvz,,33279130,oazd5bvw,9852768,,complete,,5cf397fd-c223-4723-8315-3b6d1fca1413,computer,Desktop or Laptop,Windows 10,Chrome 119.0.0.0,2560x1440,1792x946,,,,Belief in a Zero-Sum Game Scale,2,MaleBranch,,Male_InOut_Swap,No,ZSum5,3
7,1701201616548,28/11/2023 20:00:16,1701201615429,-5,28/11/2023 15:00:15,139457,5,questionnaire-7hvz,,33279130,oazd5bvw,9852768,,complete,,5cf397fd-c223-4723-8315-3b6d1fca1413,computer,Desktop or Laptop,Windows 10,Chrome 119.0.0.0,2560x1440,1792x946,,,,Belief in a Zero-Sum Game Scale,2,MaleBranch,,Male_InOut_Swap,No,ZSum6,5
8,1701201616548,28/11/2023 20:00:16,1701201615429,-5,28/11/2023 15:00:15,139457,5,questionnaire-7hvz,,33279130,oazd5bvw,9852768,,complete,,5cf397fd-c223-4723-8315-3b6d1fca1413,computer,Desktop or Laptop,Windows 10,Chrome 119.0.0.0,2560x1440,1792x946,,,,Belief in a Zero-Sum Game Scale,2,MaleBranch,,Male_InOut_Swap,No,ZSum7,4
9,1701201616548,28/11/2023 20:00:16,1701201615429,-5,28/11/2023 15:00:15,139457,5,questionnaire-7hvz,,33279130,oazd5bvw,9852768,,complete,,5cf397fd-c223-4723-8315-3b6d1fca1413,computer,Desktop or Laptop,Windows 10,Chrome 119.0.0.0,2560x1440,1792x946,,,,Belief in a Zero-Sum Game Scale,2,MaleBranch,,Male_InOut_Swap,No,ZSum8,5
10,1701201616548,28/11/2023 20:00:16,1701201615429,-5,28/11/2023 15:00:15,139457,5,questionnaire-7hvz,,33279130,oazd5bvw,9852768,,complete,,5cf397fd-c223-4723-8315-3b6d1fca1413,computer,Desktop or Laptop,Windows 10,Chrome 119.0.0.0,2560x1440,1792x946,,,,Belief in a Zero-Sum Game Scale,2,MaleBranch,,Male_InOut_Swap,No,ZSum9,5
