ImageLeft_ji,ImageRight_ji,ImageCentre_ji,CorrAns,TextLeft_jwsi,TextRight_jwsi,TextCentre_jwsi,Answer,ImageLeft_wisi,ImageRight_wisi,ImageCentre_wisi,TextLeft_wisi,TextRight_wisi,TextCentre_wisi,ITI,TextLeft_jwis,TextRight_jwis,TextCentre_jwis,ImageLeft_wiis,ImageRight_wiis,ImageCentre_wiis,TextLeft_wiis,TextRight_wiis,TextCentre_wiis,ImagesDiscarded.thisRepN,ImagesDiscarded.thisTrialN,ImagesDiscarded.thisN,ImagesDiscarded.thisIndex,ji.thisRepN,ji.thisTrialN,ji.thisN,ji.thisIndex,jwsi.thisRepN,jwsi.thisTrialN,jwsi.thisN,jwsi.thisIndex,wisi.thisRepN,wisi.thisTrialN,wisi.thisN,wisi.thisIndex,jwis.thisRepN,jwis.thisTrialN,jwis.thisN,jwis.thisIndex,wiis.thisRepN,wiis.thisTrialN,wiis.thisN,wiis.thisIndex,thisRow.t,notes,Waiting_for_Scanner_Discard.started,SyncPulse_Discard.started,text_3.started,Waiting_for_Scanner_Discard.stopped,SyncPulse_Discard.keys,SyncPulse_Discard.rt,SyncPulse_Discard.duration,W4S_Baseline.started,SyncPulse_Baseline.started,fix_Baseline.started,W4S_Baseline.stopped,SyncPulse_Baseline.keys,SyncPulse_Baseline.rt,SyncPulse_Baseline.duration,Baseline_Fixation.started,Baseline.started,Baseline.stopped,Baseline_Fixation.stopped,Description.started,text_2.started,Progress.started,Description.stopped,Progress.keys,Progress.rt,Progress.duration,Trial_prep.started,prep_spacebar.started,prep_points.started,text_prep.started,image_left_prep.started,image_right_prep.started,key_resp_prep.started,Trial_prep.stopped,key_resp_prep.keys,key_resp_prep.rt,key_resp_prep.duration,Fixation_Start.started,Fixation_start.started,Fixation_Start.stopped,W4S_Trial.started,SyncPulse_Trial.started,fix_Trial.started,W4S_Trial.stopped,SyncPulse_Trial.keys,SyncPulse_Trial.rt,SyncPulse_Trial.duration,just_images.started,image_left_ji.started,image_right_ji.started,image_center_ji.started,key_resp_ji.started,just_images.stopped,key_resp_ji.keys,key_resp_ji.corr,key_resp_ji.rt,key_resp_ji.duration,feedback_ji.started,image_left_ji_2.started,image_right_ji_2.started,image_center_ji_fb.started,feedback_image_2.started,feedback_ji.stopped,fixation_practice.started,text.started,fixation_practice.stopped,text.stopped,prep_jwsi.started,prep_spacebar_9.started,prep_points_10.started,text_prep_10.started,text_left_prep_2.started,text_right_prep_2.started,key_resp_prep_10.started,prep_jwsi.stopped,key_resp_prep_10.keys,key_resp_prep_10.rt,key_resp_prep_10.duration,just_words_si.started,key_resp_jwsi.started,text_left_si.started,text_right_si.started,text_stim_jwsi.started,just_words_si.stopped,key_resp_jwsi.keys,key_resp_jwsi.corr,key_resp_jwsi.rt,key_resp_jwsi.duration,feedback_18.started,text_left_si_2.started,text_right_si_2.started,text_center.started,image_jwsi_fb.started,text_left_si_2.stopped,text_right_si_2.stopped,text_center.stopped,image_jwsi_fb.stopped,feedback_18.stopped,prep_wisi.started,prep_spacebar_10.started,prep_points_11.started,text_prep_11.started,image_left_sw_6.started,image_right_sw_6.started,under_image_left_6.started,under_image_right_6.started,key_resp_prep_11.started,prep_wisi.stopped,key_resp_prep_11.keys,key_resp_prep_11.rt,key_resp_prep_11.duration,words_images_si.started,key_resp_wisi.started,image_left_si.started,image_right_si.started,under_image_left_si.started,under_image_right_si.started,image_stim_wisi.started,text_stim_wisi.started,words_images_si.stopped,key_resp_wisi.keys,key_resp_wisi.corr,key_resp_wisi.rt,key_resp_wisi.duration,feedback_20.started,image_left_si_2.started,image_right_si_2.started,under_image_left_si_2.started,under_image_right_si_2.started,image_center_wisi_fb.started,text_center_wisi_fb.started,image_wisi_fb.started,feedback_20.stopped,ITI_Interval.started,fixation_point.started,fixation_point.stopped,ITI_Interval.stopped,image_left_si_2.stopped,image_right_si_2.stopped,under_image_left_si_2.stopped,under_image_right_si_2.stopped,image_center_wisi_fb.stopped,text_center_wisi_fb.stopped,image_wisi_fb.stopped,prep_jwis.started,prep_spacebar_11.started,prep_points_12.started,text_prep_12.started,text_left_prep_4.started,text_right_prep_4.started,key_resp_prep_12.started,prep_jwis.stopped,key_resp_prep_12.keys,key_resp_prep_12.rt,key_resp_prep_12.duration,just_word_is.started,key_resp_jwis.started,text_left_is.started,text_right_is.started,text_stim_jwis.started,just_word_is.stopped,key_resp_jwis.keys,key_resp_jwis.corr,key_resp_jwis.rt,key_resp_jwis.duration,feedback_22.started,text_left_is_2.started,text_right_is_2.started,text_center_jwis_fb.started,image_jwis_fb.started,feedback_22.stopped,text_left_is_2.stopped,text_right_is_2.stopped,text_center_jwis_fb.stopped,image_jwis_fb.stopped,prep_wiis.started,prep_spacebar_12.started,prep_points_13.started,text_prep_13.started,image_left_sw_7.started,image_right_sw_7.started,under_image_left_7.started,under_image_right_7.started,key_resp_prep_13.started,prep_wiis.stopped,key_resp_prep_13.keys,key_resp_prep_13.rt,key_resp_prep_13.duration,word_image_is.started,key_resp_wiis.started,image_left_is.started,image_right_is.started,under_image_left_is.started,under_image_is.started,image_stim_wiis.started,text_stim_wiis.started,word_image_is.stopped,key_resp_wiis.keys,key_resp_wiis.corr,key_resp_wiis.rt,key_resp_wiis.duration,feedback_24.started,image_left_is_2.started,image_right_is_2.started,under_image_left_is_2.started,under_image_is_2.started,image_center_wiis_fb.started,text_center_wiis_fb.started,image_wiis_fb.started,feedback_24.stopped,image_left_is_2.stopped,image_right_is_2.stopped,under_image_left_is_2.stopped,under_image_is_2.stopped,image_center_wiis_fb.stopped,text_center_wiis_fb.stopped,image_wiis_fb.stopped,participant,session,date,expName,psychopyVersion,frameRate,expStart,
,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,0.009780899999896064,,0.0019274999940535054,0.009780899999896064,0.009780899999896064,11.044495499998447,5,11.032563600005233,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,IAT_Run2,001,2024-02-15_16h33.51.314,IAT_test,2023.2.2,59.9913132562965,2024-02-15 16h33.59.537225 -0500,
,,,,,,,,,,,,,,,,,,,,,,,,1,0,1,0,,,,,,,,,,,,,,,,,,,,,11.059919999999693,,11.045719200003077,11.059919999999693,11.059919999999693,12.043763900001068,5,0.982112199999392,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,IAT_Run2,001,2024-02-15_16h33.51.314,IAT_test,2023.2.2,59.9913132562965,2024-02-15 16h33.59.537225 -0500,
,,,,,,,,,,,,,,,,,,,,,,,,2,0,2,0,,,,,,,,,,,,,,,,,,,,,12.06005479999294,,12.04437119999784,12.06005479999294,12.06005479999294,13.04423990000214,5,0.9820489999983693,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,IAT_Run2,001,2024-02-15_16h33.51.314,IAT_test,2023.2.2,59.9913132562965,2024-02-15 16h33.59.537225 -0500,
,,,,,,,,,,,,,,,,,,,,,,,,3,0,3,0,,,,,,,,,,,,,,,,,,,,,13.060352000000421,,13.04505829999107,13.060352000000421,13.060352000000421,14.044822700001532,5,0.9818100999982562,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,IAT_Run2,001,2024-02-15_16h33.51.314,IAT_test,2023.2.2,59.9913132562965,2024-02-15 16h33.59.537225 -0500,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14.04553560000204,14.060920100004296,14.060920100004296,15.044458599993959,5,0.9811880999914138,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,IAT_Run2,001,2024-02-15_16h33.51.314,IAT_test,2023.2.2,59.9913132562965,2024-02-15 16h33.59.537225 -0500,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15.044504399993457,15.060425799994846,31.059861799993087,31.043342899996787,31.04335480000009,31.059861799993087,31.059861799993087,36.01241499999014,1,4.9511662000004435,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,IAT_Run2,001,2024-02-15_16h33.51.314,IAT_test,2023.2.2,59.9913132562965,2024-02-15 16h33.59.537225 -0500,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,36.01249039999675,36.031870699996944,36.031870699996944,36.031870699996944,36.031870699996944,36.031870699996944,36.031870699996944,39.092478999999,1,3.05902969998715,0.0009209000127157196,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,IAT_Run2,001,2024-02-15_16h33.51.314,IAT_test,2023.2.2,59.9913132562965,2024-02-15 16h33.59.537225 -0500,
cropped/af00009_fg.png,cropped/wf00009_fg.png,IAT_image/am00003_fg.png,2,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,,,,,,,,,,,,,,,,,42.10955890000332,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,39.09251129999757,39.1096322999947,42.09375459999137,42.10103499999968,42.10955890000332,42.10955890000332,43.045014299990726,5,0.9324107000138611,None,43.046157899996615,43.065067399991676,43.065067399991676,43.065067399991676,43.065067399991676,43.86022679999587,2,1,0.7946842000092147,None,43.860903799999505,43.87905160000082,43.87905160000082,43.87905160000082,43.87905160000082,44.1601176999975,44.16013629999361,44.17637499999546,45.16061300000001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,IAT_Run2,001,2024-02-15_16h33.51.314,IAT_test,2023.2.2,59.9913132562965,2024-02-15 16h33.59.537225 -0500,
cropped/af00009_fg.png,cropped/wf00009_fg.png,IAT_image/wf00009_fg.png,1,,,,,,,,,,,,,,,,,,,,,,,,,0,1,1,1,,,,,,,,,,,,,,,,,45.17716710000241,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,45.161128499996266,45.17716710000241,45.17716710000241,46.043400599999586,5,0.8645575000118697,None,46.043686699995305,46.05962289999297,46.05962289999297,46.05962289999297,46.05962289999297,46.643515399991884,1,1,0.5692474000097718,0.0009533999982522801,46.64399679999042,46.662328399994294,46.662328399994294,46.662328399994294,46.662328399994294,46.92654649999167,46.92656189999252,46.94315419999475,47.92693919999874,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,IAT_Run2,001,2024-02-15_16h33.51.314,IAT_test,2023.2.2,59.9913132562965,2024-02-15 16h33.59.537225 -0500,
cropped/af00009_fg.png,cropped/wf00009_fg.png,IAT_image/am00008_fg.png,2,,,,,,,,,,,,,,,,,,,,,,,,,0,2,2,2,,,,,,,,,,,,,,,,,47.943283300002804,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,47.92735199999879,47.943283300002804,47.943283300002804,48.04344259999925,5,0.09851109998999164,None,48.043743000001996,48.05982429999858,48.05982429999858,48.05982429999858,48.05982429999858,48.62669099999766,2,1,0.5508797999937087,0.0009662000084063038,48.62705529999221,48.64274619999924,48.64274619999924,48.64274619999924,48.64274619999924,48.910141799991834,48.91016099999251,48.92653820000123,49.9103269999905,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,IAT_Run2,001,2024-02-15_16h33.51.314,IAT_test,2023.2.2,59.9913132562965,2024-02-15 16h33.59.537225 -0500,
cropped/af00009_fg.png,cropped/wf00009_fg.png,IAT_image/wf00006_fg.png,1,,,,,,,,,,,,,,,,,,,,,,,,,0,3,3,3,,,,,,,,,,,,,,,,,49.92686500000127,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,49.91075670000282,49.92686500000127,49.92686500000127,50.04394950000278,5,0.11513639999611769,None,50.04438730000402,50.05968569999095,50.05968569999095,50.05968569999095,50.05968569999095,50.527044699992985,1,1,0.45449470001040027,0.0009481000015512109,50.52757569999085,50.54604109999491,50.54604109999491,50.54604109999491,50.54604109999491,50.810113799991086,50.81013389999862,50.826696299991454,51.81018909999693,51.826176699993084,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,IAT_Run2,001,2024-02-15_16h33.51.314,IAT_test,2023.2.2,59.9913132562965,2024-02-15 16h33.59.537225 -0500,
cropped/af00009_fg.png,cropped/wf00009_fg.png,IAT_image/af00001_fg.png,2,,,,,,,,,,,,,,,,,,,,,,,,,0,4,4,4,,,,,,,,,,,,,,,,,51.826176699993084,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,51.810554700001376,51.826176699993084,51.826176699993084,52.04342929999984,5,0.21561429998837411,None,52.04374259999895,52.05982480000239,52.05982480000239,52.05982480000239,52.05982480000239,52.577011200002744,2,1,0.5051380000077188,0.0013074000016786158,52.577565899991896,52.59563840000192,52.59563840000192,52.59563840000192,52.59563840000192,52.86023619999469,52.860257399996044,52.87679389999539,53.859800899997936,53.876402699999744,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,IAT_Run2,001,2024-02-15_16h33.51.314,IAT_test,2023.2.2,59.9913132562965,2024-02-15 16h33.59.537225 -0500,
cropped/af00009_fg.png,cropped/wf00009_fg.png,IAT_image/af00009_fg.png,2,,,,,,,,,,,,,,,,,,,,,,,,,0,5,5,5,,,,,,,,,,,,,,,,,53.876402699999744,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,53.86001269999542,53.876402699999744,53.876402699999744,54.04351489999681,5,0.16545139999652747,None,54.043895599999814,54.05979679999291,54.05979679999291,54.05979679999291,54.05979679999291,54.37644189999264,1,0,0.3151235999976052,0.0008127000037347898,54.376766799992765,54.39277369999036,54.39277369999036,54.39277369999036,54.39277369999036,54.66066939999291,54.66069819999393,54.677238199990825,55.67639670000062,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,IAT_Run2,001,2024-02-15_16h33.51.314,IAT_test,2023.2.2,59.9913132562965,2024-02-15 16h33.59.537225 -0500,
