ImageLeft_ji,ImageRight_ji,ImageCentre_ji,CorrAns,TextLeft_jwsi,TextRight_jwsi,TextCentre_jwsi,Answer,ImageLeft_wisi,ImageRight_wisi,ImageCentre_wisi,TextLeft_wisi,TextRight_wisi,TextCentre_wisi,ITI,TextLeft_jwis,TextRight_jwis,TextCentre_jwis,ImageLeft_wiis,ImageRight_wiis,ImageCentre_wiis,TextLeft_wiis,TextRight_wiis,TextCentre_wiis,ImagesDiscarded.thisRepN,ImagesDiscarded.thisTrialN,ImagesDiscarded.thisN,ImagesDiscarded.thisIndex,ji.thisRepN,ji.thisTrialN,ji.thisN,ji.thisIndex,jwsi.thisRepN,jwsi.thisTrialN,jwsi.thisN,jwsi.thisIndex,wisi.thisRepN,wisi.thisTrialN,wisi.thisN,wisi.thisIndex,jwis.thisRepN,jwis.thisTrialN,jwis.thisN,jwis.thisIndex,wiis.thisRepN,wiis.thisTrialN,wiis.thisN,wiis.thisIndex,thisRow.t,notes,Waiting_for_Scanner_Discard.started,SyncPulse_Discard.started,text_3.started,Waiting_for_Scanner_Discard.stopped,SyncPulse_Discard.keys,SyncPulse_Discard.rt,SyncPulse_Discard.duration,W4S_Baseline.started,SyncPulse_Baseline.started,fix_Baseline.started,W4S_Baseline.stopped,SyncPulse_Baseline.keys,SyncPulse_Baseline.rt,SyncPulse_Baseline.duration,Baseline_Fixation.started,Baseline.started,Baseline_Fixation.stopped,Description.started,text_2.started,Progress.started,Description.stopped,Progress.keys,Progress.rt,Progress.duration,Trial_prep.started,prep_spacebar.started,prep_points.started,text_prep.started,image_left_prep.started,image_right_prep.started,key_resp_prep.started,Trial_prep.stopped,key_resp_prep.keys,key_resp_prep.rt,key_resp_prep.duration,Fixation_Start.started,Fixation_start.started,Fixation_Start.stopped,W4S_Trial.started,SyncPulse_Trial.started,fix_Trial.started,W4S_Trial.stopped,SyncPulse_Trial.keys,SyncPulse_Trial.rt,SyncPulse_Trial.duration,just_images.started,image_left_ji.started,image_right_ji.started,image_center_ji.started,key_resp_ji.started,just_images.stopped,key_resp_ji.keys,key_resp_ji.corr,key_resp_ji.rt,key_resp_ji.duration,feedback_ji.started,image_left_ji_2.started,image_right_ji_2.started,image_center_ji_fb.started,feedback_image_2.started,feedback_ji.stopped,fixation_practice.started,text.started,text.stopped,fixation_practice.stopped,prep_jwsi.started,prep_spacebar_9.started,prep_points_10.started,text_prep_10.started,text_left_prep_2.started,text_right_prep_2.started,key_resp_prep_10.started,prep_jwsi.stopped,key_resp_prep_10.keys,key_resp_prep_10.rt,key_resp_prep_10.duration,just_words_si.started,key_resp_jwsi.started,text_left_si.started,text_right_si.started,text_stim_jwsi.started,just_words_si.stopped,key_resp_jwsi.keys,key_resp_jwsi.corr,key_resp_jwsi.rt,key_resp_jwsi.duration,feedback_18.started,text_left_si_2.started,text_right_si_2.started,text_center.started,image_jwsi_fb.started,text_left_si_2.stopped,text_right_si_2.stopped,text_center.stopped,image_jwsi_fb.stopped,feedback_18.stopped,prep_wisi.started,prep_spacebar_10.started,prep_points_11.started,text_prep_11.started,image_left_sw_6.started,image_right_sw_6.started,under_image_left_6.started,under_image_right_6.started,key_resp_prep_11.started,prep_wisi.stopped,key_resp_prep_11.keys,key_resp_prep_11.rt,key_resp_prep_11.duration,words_images_si.started,key_resp_wisi.started,image_left_si.started,image_right_si.started,under_image_left_si.started,under_image_right_si.started,image_stim_wisi.started,text_stim_wisi.started,words_images_si.stopped,key_resp_wisi.keys,key_resp_wisi.corr,key_resp_wisi.rt,key_resp_wisi.duration,feedback_20.started,image_left_si_2.started,image_right_si_2.started,under_image_left_si_2.started,under_image_right_si_2.started,image_center_wisi_fb.started,text_center_wisi_fb.started,image_wisi_fb.started,feedback_20.stopped,ITI_Interval.started,fixation_point.started,fixation_point.stopped,ITI_Interval.stopped,image_left_si_2.stopped,image_right_si_2.stopped,under_image_left_si_2.stopped,under_image_right_si_2.stopped,image_center_wisi_fb.stopped,text_center_wisi_fb.stopped,image_wisi_fb.stopped,prep_jwis.started,prep_spacebar_11.started,prep_points_12.started,text_prep_12.started,text_left_prep_4.started,text_right_prep_4.started,key_resp_prep_12.started,prep_jwis.stopped,key_resp_prep_12.keys,key_resp_prep_12.rt,key_resp_prep_12.duration,just_word_is.started,key_resp_jwis.started,text_left_is.started,text_right_is.started,text_stim_jwis.started,just_word_is.stopped,key_resp_jwis.keys,key_resp_jwis.corr,key_resp_jwis.rt,key_resp_jwis.duration,feedback_22.started,text_left_is_2.started,text_right_is_2.started,text_center_jwis_fb.started,image_jwis_fb.started,feedback_22.stopped,text_left_is_2.stopped,text_right_is_2.stopped,text_center_jwis_fb.stopped,image_jwis_fb.stopped,prep_wiis.started,prep_spacebar_12.started,prep_points_13.started,text_prep_13.started,image_left_sw_7.started,image_right_sw_7.started,under_image_left_7.started,under_image_right_7.started,key_resp_prep_13.started,prep_wiis.stopped,key_resp_prep_13.keys,key_resp_prep_13.rt,key_resp_prep_13.duration,word_image_is.started,key_resp_wiis.started,image_left_is.started,image_right_is.started,under_image_left_is.started,under_image_is.started,image_stim_wiis.started,text_stim_wiis.started,word_image_is.stopped,key_resp_wiis.keys,key_resp_wiis.corr,key_resp_wiis.rt,key_resp_wiis.duration,feedback_24.started,image_left_is_2.started,image_right_is_2.started,under_image_left_is_2.started,under_image_is_2.started,image_center_wiis_fb.started,text_center_wiis_fb.started,image_wiis_fb.started,feedback_24.stopped,image_left_is_2.stopped,image_right_is_2.stopped,under_image_left_is_2.stopped,under_image_is_2.stopped,image_center_wiis_fb.stopped,text_center_wiis_fb.stopped,image_wiis_fb.stopped,Baseline.stopped,participant,session,date,expName,psychopyVersion,frameRate,expStart,
,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,0.0049149999395012856,,0.0018230000277981162,0.0049149999395012856,0.0049149999395012856,17.204465899965726,5,17.186303599970415,0.0010928999399766326,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,RBDCW003_Run2,RBDCW003_Run2,2024-03-27_15h24.17.666,IAT_test,2023.2.2,59.90613908582004,2024-03-27 15h24.26.753140 -0400,
,,,,,,,,,,,,,,,,,,,,,,,,1,0,1,0,,,,,,,,,,,,,,,,,,,,,17.220425299950875,,17.20498169993516,17.220425299950875,17.220425299950875,17.95616639999207,5,0.7189558999380097,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,RBDCW003_Run2,RBDCW003_Run2,2024-03-27_15h24.17.666,IAT_test,2023.2.2,59.90613908582004,2024-03-27 15h24.26.753140 -0400,
,,,,,,,,,,,,,,,,,,,,,,,,2,0,2,0,,,,,,,,,,,,,,,,,,,,,17.970692200004123,,17.957281699986197,17.970692200004123,17.970692200004123,18.940360800013877,5,0.9685799999861047,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,RBDCW003_Run2,RBDCW003_Run2,2024-03-27_15h24.17.666,IAT_test,2023.2.2,59.90613908582004,2024-03-27 15h24.26.753140 -0400,
,,,,,,,,,,,,,,,,,,,,,,,,3,0,3,0,,,,,,,,,,,,,,,,,,,,,18.955742400023155,,18.941774899954908,18.955742400023155,18.955742400023155,19.956142000039108,5,0.9837061999132857,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,RBDCW003_Run2,RBDCW003_Run2,2024-03-27_15h24.17.666,IAT_test,2023.2.2,59.90613908582004,2024-03-27 15h24.26.753140 -0400,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,19.95682730001863,19.972467600018717,19.972467600018717,20.95490869996138,5,0.9667363999178633,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,RBDCW003_Run2,RBDCW003_Run2,2024-03-27_15h24.17.666,IAT_test,2023.2.2,59.90613908582004,2024-03-27 15h24.26.753140 -0400,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20.95494189998135,20.9715233000461,36.9552723999368,36.95529800001532,36.97562929999549,36.97562929999549,43.00473249994684,1,6.013863899977878,0.0010943999513983727,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,RBDCW003_Run2,RBDCW003_Run2,2024-03-27_15h24.17.666,IAT_test,2023.2.2,59.90613908582004,2024-03-27 15h24.26.753140 -0400,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,43.004758000024594,43.02437360002659,43.02437360002659,43.02437360002659,43.02437360002659,43.02437360002659,43.02437360002659,47.187243600026704,2,4.154228999977931,0.0007817000150680542,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,RBDCW003_Run2,RBDCW003_Run2,2024-03-27_15h24.17.666,IAT_test,2023.2.2,59.90613908582004,2024-03-27 15h24.26.753140 -0400,
cropped/af00009_fg.png,cropped/wf00009_fg.png,IAT_image/am00003_fg.png,2,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,,,,,,,,,,,,,,,,,50.20435549993999,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,47.18727380002383,47.20426180004142,50.18788179999683,50.19818489998579,50.20435549993999,50.20435549993999,50.954920499934815,5,0.7348492000019178,None,50.95549059996847,50.97112619993277,50.97112619993277,50.97112619993277,50.97112619993277,53.20560410001781,2,1,2.22661190002691,0.0004645000444725156,53.20651219994761,53.22825719998218,53.22825719998218,53.22825719998218,53.22825719998218,53.5049083000049,53.50493029993959,53.52109870000277,54.5212884999346,54.504856499959715,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,RBDCW003_Run2,RBDCW003_Run2,2024-03-27_15h24.17.666,IAT_test,2023.2.2,59.90613908582004,2024-03-27 15h24.26.753140 -0400,
cropped/af00009_fg.png,cropped/wf00009_fg.png,IAT_image/wf00009_fg.png,1,,,,,,,,,,,,,,,,,,,,,,,,,0,1,1,1,,,,,,,,,,,,,,,,,54.5212884999346,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,54.5052149000112,54.5212884999346,54.5212884999346,54.95525430003181,5,0.41789030004292727,None,54.95567709999159,54.97106240002904,54.97106240002904,54.97106240002904,54.97106240002904,56.555726999999024,1,1,1.5816398999886587,0.0005598000716418028,56.556520399986766,56.57718240004033,56.57718240004033,56.57718240004033,56.57718240004033,56.85476070002187,56.85478089994285,56.87121809995733,57.87135509995278,57.854906799970195,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,RBDCW003_Run2,RBDCW003_Run2,2024-03-27_15h24.17.666,IAT_test,2023.2.2,59.90613908582004,2024-03-27 15h24.26.753140 -0400,
cropped/af00009_fg.png,cropped/wf00009_fg.png,IAT_image/am00008_fg.png,2,,,,,,,,,,,,,,,,,,,,,,,,,0,2,2,2,,,,,,,,,,,,,,,,,57.87135509995278,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,57.855275199981406,57.87135509995278,57.87135509995278,57.95473260001745,5,0.06788460002280772,None,57.95511480001733,57.97117699997034,57.97117699997034,57.97117699997034,57.97117699997034,59.32185049995314,2,1,1.3385049999924377,0.0009612999856472015,59.32247410004493,59.34283219999634,59.34283219999634,59.34283219999634,59.34283219999634,59.62136919994373,59.6213891999796,59.63782359997276,60.637905000010505,60.621469100005925,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,RBDCW003_Run2,RBDCW003_Run2,2024-03-27_15h24.17.666,IAT_test,2023.2.2,59.90613908582004,2024-03-27 15h24.26.753140 -0400,
