ImageLeft_ji,ImageRight_ji,ImageCentre_ji,CorrAns,TextLeft_jwbg,TextRight_jwbg,TextCentre_jwbg,Answer,ImageLeft_wibg,ImageRight_wibg,ImageCentre_wibg,TextLeft_wibg,TextRight_wibg,TextCentre_wibg,ITI,TextLeft_jwgb,TextRight_jwgb,TextCentre_jwgb,ImageLeft_wigb,ImageRight_wigb,ImageCentre_wigb,TextLeft_wigb,TextRight_wigb,TextCentre_wigb,ImagesDiscarded.thisRepN,ImagesDiscarded.thisTrialN,ImagesDiscarded.thisN,ImagesDiscarded.thisIndex,ji.thisRepN,ji.thisTrialN,ji.thisN,ji.thisIndex,jwbg.thisRepN,jwbg.thisTrialN,jwbg.thisN,jwbg.thisIndex,wibg.thisRepN,wibg.thisTrialN,wibg.thisN,wibg.thisIndex,jwgb.thisRepN,jwgb.thisTrialN,jwgb.thisN,jwgb.thisIndex,wigb.thisRepN,wigb.thisTrialN,wigb.thisN,wigb.thisIndex,thisRow.t,notes,Waiting_for_Scanner_Discard.started,SyncPulse_Discard.started,fix_Discard.started,Waiting_for_Scanner_Discard.stopped,SyncPulse_Discard.keys,SyncPulse_Discard.rt,SyncPulse_Discard.duration,W4S_Baseline.started,SyncPulse_Baseline.started,fix_Baseline.started,W4S_Baseline.stopped,SyncPulse_Baseline.keys,SyncPulse_Baseline.rt,SyncPulse_Baseline.duration,Baseline_Fixation.started,Baseline.started,Baseline_Fixation.stopped,Description.started,text_2.started,Progress.started,Description.stopped,Progress.keys,Progress.rt,Progress.duration,Trial_prep.started,prep_spacebar.started,prep_points.started,text_prep.started,image_left_prep.started,image_right_prep.started,key_resp_prep.started,Trial_prep.stopped,key_resp_prep.keys,key_resp_prep.rt,key_resp_prep.duration,Fixation_Start.started,Fixation_start.started,Fixation_start.stopped,Fixation_Start.stopped,W4S_Trial.started,SyncPulse_Trial.started,fix_Trial.started,W4S_Trial.stopped,SyncPulse_Trial.keys,SyncPulse_Trial.rt,SyncPulse_Trial.duration,just_images.started,image_left_ji.started,image_right_ji.started,image_center_ji.started,key_resp_ji.started,just_images.stopped,key_resp_ji.keys,key_resp_ji.corr,key_resp_ji.rt,key_resp_ji.duration,feedback_ji.started,image_left_ji_2.started,image_right_ji_2.started,image_center_ji_fb.started,feedback_image_2.started,feedback_ji.stopped,fixation_practice.started,text.started,text.stopped,fixation_practice.stopped,prep_jwbg.started,prep_spacebar_5.started,prep_points_6.started,text_prep_6.started,text_left_prep_3.started,text_right_prep_3.started,key_resp_prep_6.started,prep_jwbg.stopped,key_resp_prep_6.keys,key_resp_prep_6.rt,key_resp_prep_6.duration,just_words_bg.started,key_resp_jwbg.started,text_left_bg.started,text_right_bg.started,text_stim_jwbg.started,just_words_bg.stopped,key_resp_jwbg.keys,key_resp_jwbg.corr,key_resp_jwbg.rt,key_resp_jwbg.duration,feedback_10.started,text_left_bg_2.started,text_right_bg_2.started,text_stim_jwbg_2.started,image_jwbg_fb.started,text_left_bg_2.stopped,text_right_bg_2.stopped,text_stim_jwbg_2.stopped,image_jwbg_fb.stopped,feedback_10.stopped,prep_wibg.started,prep_spacebar_6.started,prep_points_7.started,text_prep_7.started,image_left_sw_4.started,image_right_sw_4.started,under_image_left_4.started,under_image_right_4.started,key_resp_prep_7.started,prep_wibg.stopped,key_resp_prep_7.keys,key_resp_prep_7.rt,key_resp_prep_7.duration,words_images_bg.started,key_resp_wibg.started,image_left_bg.started,image_right_bg.started,under_image_left_bg.started,under_image_right_bg.started,image_stim_wibg.started,text_stim_wibg.started,words_images_bg.stopped,key_resp_wibg.keys,key_resp_wibg.corr,key_resp_wibg.rt,key_resp_wibg.duration,feedback_12.started,image_left_bg_2.started,image_right_bg_2.started,under_image_left_bg_2.started,under_image_right_bg_2.started,image_center_wibg_fb.started,text_center_wibg_fb.started,image_wibg_fb.started,feedback_12.stopped,ITI_Interval.started,fixation_point.started,fixation_point.stopped,ITI_Interval.stopped,image_left_bg_2.stopped,image_right_bg_2.stopped,under_image_left_bg_2.stopped,under_image_right_bg_2.stopped,image_center_wibg_fb.stopped,text_center_wibg_fb.stopped,image_wibg_fb.stopped,prep_jwgb.started,prep_spacebar_7.started,prep_points_8.started,text_prep_8.started,text_left_prep.started,text_right_prep.started,key_resp_prep_8.started,prep_jwgb.stopped,key_resp_prep_8.keys,key_resp_prep_8.rt,key_resp_prep_8.duration,just_words_gb.started,key_resp_jwgb.started,text_left_gb.started,text_right_gb.started,text_stim_jwgb.started,just_words_gb.stopped,key_resp_jwgb.keys,key_resp_jwgb.corr,key_resp_jwgb.rt,key_resp_jwgb.duration,feedback_14.started,text_left_gb_2.started,text_right_gb_2.started,text_center_jwgb_fb.started,image_jwgb_fb.started,feedback_14.stopped,text_left_gb_2.stopped,text_right_gb_2.stopped,text_center_jwgb_fb.stopped,image_jwgb_fb.stopped,prep_wigb.started,prep_spacebar_8.started,prep_points_9.started,text_prep_9.started,image_left_gb_5.started,image_right_gb_5.started,under_image_left_5.started,under_image_right_5.started,key_resp_prep_9.started,prep_wigb.stopped,key_resp_prep_9.keys,key_resp_prep_9.rt,key_resp_prep_9.duration,words_images_gb.started,key_resp_wigb.started,image_left_gb.started,image_right_gb.started,under_image_left_gb.started,under_image_right_gb.started,image_stim_wigb.started,text_stim_wigb.started,words_images_gb.stopped,key_resp_wigb.keys,key_resp_wigb.corr,key_resp_wigb.rt,key_resp_wigb.duration,feedback_16.started,image_left_gb_2.started,image_right_gb_2.started,under_image_left_gb_2.started,under_image_right_gb_2.started,image_center_wigb_fb.started,text_center_wigb_fb.started,image_wigb_fb.started,feedback_16.stopped,image_left_gb_2.stopped,image_right_gb_2.stopped,under_image_left_gb_2.stopped,under_image_right_gb_2.stopped,image_center_wigb_fb.stopped,text_center_wigb_fb.stopped,image_wigb_fb.stopped,Baseline.stopped,participant,session,date,expName,psychopyVersion,frameRate,expStart,
,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,0.012159899997641332,,0.0018004000012297183,0.012159899997641332,0.012159899997641332,13.463363000002573,5,13.444465300010052,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,RBDCW006_Run3,RBDCW006_Run3,2024-04-02_11h48.06.001,IAT_test,2023.2.2,60.01028576445362,2024-04-02 11h48.15.926040 -0400,
,,,,,,,,,,,,,,,,,,,,,,,,1,0,1,0,,,,,,,,,,,,,,,,,,,,,13.477148499994655,,13.46512170000642,13.477148499994655,13.477148499994655,14.461788300002809,5,0.9789338999980828,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,RBDCW006_Run3,RBDCW006_Run3,2024-04-02_11h48.06.001,IAT_test,2023.2.2,60.01028576445362,2024-04-02 11h48.15.926040 -0400,
,,,,,,,,,,,,,,,,,,,,,,,,2,0,2,0,,,,,,,,,,,,,,,,,,,,,14.476978599996073,,14.462379500007955,14.476978599996073,14.476978599996073,15.462472400002298,5,0.9805392999987816,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,RBDCW006_Run3,RBDCW006_Run3,2024-04-02_11h48.06.001,IAT_test,2023.2.2,60.01028576445362,2024-04-02 11h48.15.926040 -0400,
,,,,,,,,,,,,,,,,,,,,,,,,3,0,3,0,,,,,,,,,,,,,,,,,,,,,15.477156599998125,,15.463424900008249,15.477156599998125,15.477156599998125,16.46259330000612,5,0.9791258999903221,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,RBDCW006_Run3,RBDCW006_Run3,2024-04-02_11h48.06.001,IAT_test,2023.2.2,60.01028576445362,2024-04-02 11h48.15.926040 -0400,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16.46323680000205,16.4785719000065,16.4785719000065,17.461072100006277,5,0.977605100008077,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,RBDCW006_Run3,RBDCW006_Run3,2024-04-02_11h48.06.001,IAT_test,2023.2.2,60.01028576445362,2024-04-02 11h48.15.926040 -0400,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17.461090500000864,17.477506399998674,33.461135899997316,33.46114820000366,33.47751440000138,33.47751440000138,36.362123800005065,1,2.871230700009619,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,RBDCW006_Run3,RBDCW006_Run3,2024-04-02_11h48.06.001,IAT_test,2023.2.2,60.01028576445362,2024-04-02 11h48.15.926040 -0400,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,36.36217399999441,36.39294079999672,36.39294079999672,36.39294079999672,36.39294079999672,36.39294079999672,36.39294079999672,38.41161999999895,1,2.0040635999903316,0.0008643000037409365,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,RBDCW006_Run3,RBDCW006_Run3,2024-04-02_11h48.06.001,IAT_test,2023.2.2,60.01028576445362,2024-04-02 11h48.15.926040 -0400,
cropped/af00009_fg.png,cropped/wf00009_fg.png,IAT_image/am00003_fg.png,2,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,,,,,,,,,,,,,,,,,41.427731600007974,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,38.41164890000073,38.427819100004854,41.427731600007974,41.41111820000515,41.41984479999519,41.427731600007974,41.427731600007974,41.46120960000553,5,0.028442199996788986,None,41.46163639999577,41.47751369999605,41.47751369999605,41.47751369999605,41.47751369999605,42.14530459999514,2,1,0.6657469999918249,0.000815500010503456,42.14608190000581,42.165639500002726,42.165639500002726,42.165639500002726,42.165639500002726,42.444665899995016,42.444682100001955,42.46105830000306,43.46078190000844,43.44448800000828,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,RBDCW006_Run3,RBDCW006_Run3,2024-04-02_11h48.06.001,IAT_test,2023.2.2,60.01028576445362,2024-04-02 11h48.15.926040 -0400,
cropped/af00009_fg.png,cropped/wf00009_fg.png,IAT_image/wf00009_fg.png,1,,,,,,,,,,,,,,,,,,,,,,,,,0,1,1,1,,,,,,,,,,,,,,,,,43.46078190000844,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,43.444742100007716,43.46078190000844,43.46078190000844,44.46220890000404,5,0.99543559999438,None,44.46276969999599,44.477215899998555,44.477215899998555,44.477215899998555,44.477215899998555,45.1121892999945,1,1,0.6188705000095069,0.0008103000000119209,45.11288620000414,45.13234330000705,45.13234330000705,45.13234330000705,45.13234330000705,45.41163220000453,45.411655300005805,45.42829250000068,,46.41199520000373,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,RBDCW006_Run3,RBDCW006_Run3,2024-04-02_11h48.06.001,IAT_test,2023.2.2,60.01028576445362,2024-04-02 11h48.15.926040 -0400,
cropped/af00009_fg.png,cropped/wf00009_fg.png,IAT_image/am00008_fg.png,2,,,,,,,,,,,,,,,,,,,,,,,,,0,2,2,2,,,,,,,,,,,,,,,,,46.427510099994834,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,46.41244270000607,46.427510099994834,46.427510099994834,46.461046099997475,5,0.028914599999552593,None,46.461266300000716,46.47743559999799,46.47743559999799,46.47743559999799,46.47743559999799,46.99455950000265,2,1,0.511487700001453,0.0009845999884419143,46.994818499995745,47.010870400001295,47.010870400001295,47.010870400001295,47.010870400001295,47.27863290000823,47.278661300006206,47.294699000005494,48.294341200002236,48.27764410000236,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,RBDCW006_Run3,RBDCW006_Run3,2024-04-02_11h48.06.001,IAT_test,2023.2.2,60.01028576445362,2024-04-02 11h48.15.926040 -0400,
