ImageLeft_ji,ImageRight_ji,ImageCentre_ji,CorrAns,TextLeft_jwsw,TextRight_jwsw,TextCentre_jwsw,Answer,ImageLeft_wisw,ImageRight_wisw,ImageCentre_wisw,TextLeft_wisw,TextRight_wisw,TextCentre_wisw,ITI,TextLeft_jwws,TextRight_jwws,TextCentre_jwws,ImageLeft_wiws,ImageRight_wiws,ImageCentre_wiws,TextLeft_wiws,TextRight_wiws,TextCentre_wiws,ImagesDiscarded.thisRepN,ImagesDiscarded.thisTrialN,ImagesDiscarded.thisN,ImagesDiscarded.thisIndex,ji.thisRepN,ji.thisTrialN,ji.thisN,ji.thisIndex,jwsw.thisRepN,jwsw.thisTrialN,jwsw.thisN,jwsw.thisIndex,wisw.thisRepN,wisw.thisTrialN,wisw.thisN,wisw.thisIndex,jwws.thisRepN,jwws.thisTrialN,jwws.thisN,jwws.thisIndex,wiws.thisRepN,wiws.thisTrialN,wiws.thisN,wiws.thisIndex,thisRow.t,notes,Waiting_for_Scanner_Discard.started,SyncPulse_Discard.started,text_3.started,Waiting_for_Scanner_Discard.stopped,SyncPulse_Discard.keys,SyncPulse_Discard.rt,SyncPulse_Discard.duration,W4S_Baseline.started,SyncPulse_Baseline.started,fix_baseline.started,W4S_Baseline.stopped,SyncPulse_Baseline.keys,SyncPulse_Baseline.rt,SyncPulse_Baseline.duration,Baseline_Fixation.started,Baseline.started,Baseline_Fixation.stopped,Description.started,text_2.started,Progress.started,Description.stopped,Progress.keys,Progress.rt,Progress.duration,Trial_prep.started,prep_spacebar.started,prep_points.started,text_prep.started,image_left_prep.started,image_right_prep.started,key_resp_prep.started,Trial_prep.stopped,key_resp_prep.keys,key_resp_prep.rt,key_resp_prep.duration,Fixation_Start.started,Fixation_start.started,Fixation_Start.stopped,W4S_Trial.started,SyncPulse_Trial.started,fix_Trial.started,W4S_Trial.stopped,SyncPulse_Trial.keys,SyncPulse_Trial.rt,SyncPulse_Trial.duration,just_images.started,image_left_ji.started,image_right_ji.started,image_center_ji.started,key_resp_ji.started,just_images.stopped,key_resp_ji.keys,key_resp_ji.corr,key_resp_ji.rt,key_resp_ji.duration,feedback_ji.started,image_left_ji_2.started,image_right_ji_2.started,image_center_ji_fb.started,feedback_image_2.started,feedback_ji.stopped,fixation_practice.started,text.started,text.stopped,fixation_practice.stopped,prep_jwsw.started,prep_spacebar_jwsw.started,prep_points_2.started,text_prep_2.started,text_left_sw_2.started,text_right_sw_2.started,key_resp_prep_2.started,prep_jwsw.stopped,key_resp_prep_2.keys,key_resp_prep_2.rt,key_resp_prep_2.duration,just_words_sw.started,key_resp_jwsw.started,text_left_sw.started,text_right_sw.started,text_middle_sw.started,just_words_sw.stopped,key_resp_jwsw.keys,key_resp_jwsw.corr,key_resp_jwsw.rt,key_resp_jwsw.duration,feedback_2.started,text_left_sw_3.started,text_right_sw_3.started,text_middle_sw_3.started,feedback_image2.started,text_left_sw_3.stopped,text_right_sw_3.stopped,text_middle_sw_3.stopped,feedback_image2.stopped,feedback_2.stopped,prep_wisw.started,prep_spacebar_2.started,prep_points_3.started,text_prep_3.started,image_left_sw_2.started,image_right_sw_2.started,under_image_left_2.started,under_image_right_2.started,key_resp_prep_3.started,prep_wisw.stopped,key_resp_prep_3.keys,key_resp_prep_3.rt,key_resp_prep_3.duration,words_images_sw.started,key_resp_wisw.started,image_left_sw.started,image_right_sw.started,under_image_left.started,under_image_right.started,image_stim_wisw.started,word_stim_wisw.started,words_images_sw.stopped,key_resp_wisw.keys,key_resp_wisw.corr,key_resp_wisw.rt,key_resp_wisw.duration,feedback_5.started,image_left_sw_8.started,image_right_sw_8.started,under_image_left_8.started,under_image_right_8.started,center_image_wisw_fb.started,center_word_wisw_fb.started,image_wisw_fb.started,feedback_5.stopped,ITI_Interval.started,fixation_point.started,fixation_point.stopped,ITI_Interval.stopped,image_left_sw_8.stopped,image_right_sw_8.stopped,under_image_left_8.stopped,under_image_right_8.stopped,center_image_wisw_fb.stopped,center_word_wisw_fb.stopped,image_wisw_fb.stopped,prep_jwws.started,prep_spacebar_4.started,prep_points_4.started,text_prep_4.started,text_left_ws_2.started,text_right_ws_2.started,key_resp_prep_4.started,prep_jwws.stopped,key_resp_prep_4.keys,key_resp_prep_4.rt,key_resp_prep_4.duration,just_words_ws.started,key_resp_jwws.started,text_left_ws.started,text_right_ws.started,text_middle_ws.started,just_words_ws.stopped,key_resp_jwws.keys,key_resp_jwws.corr,key_resp_jwws.rt,key_resp_jwws.duration,feedback_4.started,text_left_ws_3.started,text_right_ws_3.started,text_middle_jwws_fb.started,image_jwws_fb.started,feedback_4.stopped,text_left_ws_3.stopped,text_right_ws_3.stopped,text_middle_jwws_fb.stopped,image_jwws_fb.stopped,prep_wiws.started,prep_spacebar_3.started,prep_points_5.started,text_prep_5.started,image_left_sw_3.started,image_right_sw_3.started,under_image_left_3.started,under_image_right_3.started,key_resp_prep_5.started,prep_wiws.stopped,key_resp_prep_5.keys,key_resp_prep_5.rt,key_resp_prep_5.duration,words_images_ws.started,key_resp_wiws.started,image_left_ws.started,image_right_ws.started,under_image_left_ws.started,under_image_right_ws.started,image_center_ws.started,text_center_ws.started,words_images_ws.stopped,key_resp_wiws.keys,key_resp_wiws.corr,key_resp_wiws.rt,key_resp_wiws.duration,feedback_8.started,image_left_ws_2.started,image_right_ws_2.started,under_image_left_ws_2.started,under_image_right_ws_2.started,image_center_wiws_fb.started,text_center_wiws_feedback.started,image_wiws_fb.started,feedback_8.stopped,image_left_ws_2.stopped,image_right_ws_2.stopped,under_image_left_ws_2.stopped,under_image_right_ws_2.stopped,image_center_wiws_fb.stopped,text_center_wiws_feedback.stopped,image_wiws_fb.stopped,Baseline.stopped,participant,session,date,expName,psychopyVersion,frameRate,expStart,
,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,0.005750299999817798,,0.0017646999999669788,0.005750299999817798,0.005750299999817798,13.941111099999944,5,13.925614799999948,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,RBDCW008_Run1,RBDCW008_Run1,2024-04-12_16h16.02.424,IAT_test,2023.2.2,60.039433900124266,2024-04-12 16h16.09.221822 -0400,
,,,,,,,,,,,,,,,,,,,,,,,,1,0,1,0,,,,,,,,,,,,,,,,,,,,,13.957292499999767,,13.942476999999599,13.957292499999767,13.957292499999767,14.940050299999712,5,0.9738201000000117,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,RBDCW008_Run1,RBDCW008_Run1,2024-04-12_16h16.02.424,IAT_test,2023.2.2,60.039433900124266,2024-04-12 16h16.09.221822 -0400,
,,,,,,,,,,,,,,,,,,,,,,,,2,0,2,0,,,,,,,,,,,,,,,,,,,,,14.956344799999897,,14.940625799999907,14.956344799999897,14.956344799999897,15.940666599999986,5,0.9750140000001011,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,RBDCW008_Run1,RBDCW008_Run1,2024-04-12_16h16.02.424,IAT_test,2023.2.2,60.039433900124266,2024-04-12 16h16.09.221822 -0400,
,,,,,,,,,,,,,,,,,,,,,,,,3,0,3,0,,,,,,,,,,,,,,,,,,,,,15.957112399999914,,15.94159929999978,15.957112399999914,15.957112399999914,16.940774299999703,5,0.9752846999999747,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,RBDCW008_Run1,RBDCW008_Run1,2024-04-12_16h16.02.424,IAT_test,2023.2.2,60.039433900124266,2024-04-12 16h16.09.221822 -0400,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16.941405999999915,16.957066899999973,16.957066899999973,17.939471199999844,5,0.9741248999998788,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,RBDCW008_Run1,RBDCW008_Run1,2024-04-12_16h16.02.424,IAT_test,2023.2.2,60.039433900124266,2024-04-12 16h16.09.221822 -0400,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17.939492199999677,17.95630540000002,33.93978709999965,33.93980439999996,33.95732029999999,33.95732029999999,39.990083700000014,1,6.024038700000347,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,RBDCW008_Run1,RBDCW008_Run1,2024-04-12_16h16.02.424,IAT_test,2023.2.2,60.039433900124266,2024-04-12 16h16.09.221822 -0400,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,39.990125199999966,40.023953899999924,40.023953899999924,40.023953899999924,40.023953899999924,40.023953899999924,40.023953899999924,49.05610269999988,1,9.019267000000127,0.0010990999999194173,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,RBDCW008_Run1,RBDCW008_Run1,2024-04-12_16h16.02.424,IAT_test,2023.2.2,60.039433900124266,2024-04-12 16h16.09.221822 -0400,
cropped/af00009_fg.png,cropped/wf00009_fg.png,IAT_image/am00003_fg.png,2,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,,,,,,,,,,,,,,,,,52.087934700000005,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,49.056128199999876,49.07251009999982,52.056450999999925,52.08526419999998,52.087934700000005,52.087934700000005,52.9404055,5,0.8437767999998869,None,52.941253199999665,52.959815199999866,52.959815199999866,52.959815199999866,52.959815199999866,55.956268499999624,2,1,2.9947222000000693,0.0005253999997876235,55.95693099999971,55.971998299999996,55.971998299999996,55.971998299999996,55.971998299999996,56.23961889999964,56.23963889999959,56.256058799999664,57.255868199999895,57.23948679999967,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,RBDCW008_Run1,RBDCW008_Run1,2024-04-12_16h16.02.424,IAT_test,2023.2.2,60.039433900124266,2024-04-12 16h16.09.221822 -0400,
cropped/af00009_fg.png,cropped/wf00009_fg.png,IAT_image/wf00009_fg.png,1,,,,,,,,,,,,,,,,,,,,,,,,,0,1,1,1,,,,,,,,,,,,,,,,,57.255868199999895,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,57.23980739999979,57.255868199999895,57.255868199999895,57.939708699999755,5,0.6775306000004093,None,57.940120399999614,57.95589519999976,57.95589519999976,57.95589519999976,57.95589519999976,59.32310339999958,1,1,1.3622747999997955,0.001754599999912898,59.32356919999984,59.34060309999995,59.34060309999995,59.34060309999995,59.34060309999995,59.606285599999865,59.606306700000005,59.62276959999963,60.6225187,60.606305599999814,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,RBDCW008_Run1,RBDCW008_Run1,2024-04-12_16h16.02.424,IAT_test,2023.2.2,60.039433900124266,2024-04-12 16h16.09.221822 -0400,
cropped/af00009_fg.png,cropped/wf00009_fg.png,IAT_image/am00008_fg.png,2,,,,,,,,,,,,,,,,,,,,,,,,,0,2,2,2,,,,,,,,,,,,,,,,,60.6225187,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,60.606661399999666,60.6225187,60.6225187,60.940706299999874,5,0.3097693000004256,None,60.94133859999965,60.95686319999959,60.95686319999959,60.95686319999959,60.95686319999959,62.92345519999981,2,1,1.9635465000001204,0.0011101000000053318,62.924001099999714,62.94174669999984,62.94174669999984,62.94174669999984,62.94174669999984,63.20665519999966,63.20668039999964,63.22302779999973,64.22287319999987,64.2064390999999,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,RBDCW008_Run1,RBDCW008_Run1,2024-04-12_16h16.02.424,IAT_test,2023.2.2,60.039433900124266,2024-04-12 16h16.09.221822 -0400,
