ImageLeft_ji,ImageRight_ji,ImageCentre_ji,CorrAns,TextLeft_jwsi,TextRight_jwsi,TextCentre_jwsi,Answer,ImageLeft_wisi,ImageRight_wisi,ImageCentre_wisi,TextLeft_wisi,TextRight_wisi,TextCentre_wisi,ITI,TextLeft_jwis,TextRight_jwis,TextCentre_jwis,ImageLeft_wiis,ImageRight_wiis,ImageCentre_wiis,TextLeft_wiis,TextRight_wiis,TextCentre_wiis,ImagesDiscarded.thisRepN,ImagesDiscarded.thisTrialN,ImagesDiscarded.thisN,ImagesDiscarded.thisIndex,ji.thisRepN,ji.thisTrialN,ji.thisN,ji.thisIndex,jwsi.thisRepN,jwsi.thisTrialN,jwsi.thisN,jwsi.thisIndex,wisi.thisRepN,wisi.thisTrialN,wisi.thisN,wisi.thisIndex,jwis.thisRepN,jwis.thisTrialN,jwis.thisN,jwis.thisIndex,wiis.thisRepN,wiis.thisTrialN,wiis.thisN,wiis.thisIndex,thisRow.t,notes,Waiting_for_Scanner_Discard.started,SyncPulse_Discard.started,text_3.started,Waiting_for_Scanner_Discard.stopped,SyncPulse_Discard.keys,SyncPulse_Discard.rt,SyncPulse_Discard.duration,W4S_Baseline.started,SyncPulse_Baseline.started,fix_Baseline.started,W4S_Baseline.stopped,SyncPulse_Baseline.keys,SyncPulse_Baseline.rt,SyncPulse_Baseline.duration,Baseline_Fixation.started,Baseline.started,Baseline.stopped,Baseline_Fixation.stopped,Description.started,text_2.started,Progress.started,Description.stopped,Progress.keys,Progress.rt,Progress.duration,Trial_prep.started,prep_spacebar.started,prep_points.started,text_prep.started,image_left_prep.started,image_right_prep.started,key_resp_prep.started,Trial_prep.stopped,key_resp_prep.keys,key_resp_prep.rt,key_resp_prep.duration,Fixation_Start.started,Fixation_start.started,Fixation_Start.stopped,W4S_Trial.started,SyncPulse_Trial.started,fix_Trial.started,W4S_Trial.stopped,SyncPulse_Trial.keys,SyncPulse_Trial.rt,SyncPulse_Trial.duration,just_images.started,image_left_ji.started,image_right_ji.started,image_center_ji.started,key_resp_ji.started,just_images.stopped,key_resp_ji.keys,key_resp_ji.corr,key_resp_ji.rt,key_resp_ji.duration,feedback_ji.started,image_left_ji_2.started,image_right_ji_2.started,image_center_ji_fb.started,feedback_image_2.started,feedback_ji.stopped,fixation_practice.started,text.started,text.stopped,fixation_practice.stopped,image_left_ji_2.stopped,image_right_ji_2.stopped,image_center_ji_fb.stopped,feedback_image_2.stopped,prep_jwsi.started,prep_spacebar_9.started,prep_points_10.started,text_prep_10.started,text_left_prep_2.started,text_right_prep_2.started,key_resp_prep_10.started,prep_jwsi.stopped,key_resp_prep_10.keys,key_resp_prep_10.rt,key_resp_prep_10.duration,just_words_si.started,key_resp_jwsi.started,text_left_si.started,text_right_si.started,text_stim_jwsi.started,just_words_si.stopped,key_resp_jwsi.keys,key_resp_jwsi.corr,key_resp_jwsi.rt,key_resp_jwsi.duration,feedback_18.started,text_left_si_2.started,text_right_si_2.started,text_center.started,image_jwsi_fb.started,feedback_18.stopped,text_left_si_2.stopped,text_right_si_2.stopped,text_center.stopped,image_jwsi_fb.stopped,prep_wisi.started,prep_spacebar_10.started,prep_points_11.started,text_prep_11.started,image_left_sw_6.started,image_right_sw_6.started,under_image_left_6.started,under_image_right_6.started,key_resp_prep_11.started,prep_wisi.stopped,key_resp_prep_11.keys,key_resp_prep_11.rt,key_resp_prep_11.duration,words_images_si.started,key_resp_wisi.started,image_left_si.started,image_right_si.started,under_image_left_si.started,under_image_right_si.started,image_stim_wisi.started,text_stim_wisi.started,words_images_si.stopped,key_resp_wisi.keys,key_resp_wisi.corr,key_resp_wisi.rt,key_resp_wisi.duration,feedback_20.started,image_left_si_2.started,image_right_si_2.started,under_image_left_si_2.started,under_image_right_si_2.started,image_center_wisi_fb.started,text_center_wisi_fb.started,image_wisi_fb.started,feedback_20.stopped,ITI_Interval.started,fixation_point.started,fixation_point.stopped,ITI_Interval.stopped,image_left_si_2.stopped,image_right_si_2.stopped,under_image_left_si_2.stopped,under_image_right_si_2.stopped,image_center_wisi_fb.stopped,text_center_wisi_fb.stopped,image_wisi_fb.stopped,prep_jwis.started,prep_spacebar_11.started,prep_points_12.started,text_prep_12.started,text_left_prep_4.started,text_right_prep_4.started,key_resp_prep_12.started,prep_jwis.stopped,key_resp_prep_12.keys,key_resp_prep_12.rt,key_resp_prep_12.duration,just_word_is.started,key_resp_jwis.started,text_left_is.started,text_right_is.started,text_stim_jwis.started,just_word_is.stopped,key_resp_jwis.keys,key_resp_jwis.corr,key_resp_jwis.rt,key_resp_jwis.duration,feedback_22.started,text_left_is_2.started,text_right_is_2.started,text_center_jwis_fb.started,image_jwis_fb.started,feedback_22.stopped,text_left_is_2.stopped,text_right_is_2.stopped,text_center_jwis_fb.stopped,image_jwis_fb.stopped,prep_wiis.started,prep_spacebar_12.started,prep_points_13.started,text_prep_13.started,image_left_sw_7.started,image_right_sw_7.started,under_image_left_7.started,under_image_right_7.started,key_resp_prep_13.started,prep_wiis.stopped,key_resp_prep_13.keys,key_resp_prep_13.rt,key_resp_prep_13.duration,word_image_is.started,key_resp_wiis.started,image_left_is.started,image_right_is.started,under_image_left_is.started,under_image_is.started,image_stim_wiis.started,text_stim_wiis.started,word_image_is.stopped,key_resp_wiis.keys,key_resp_wiis.corr,key_resp_wiis.rt,key_resp_wiis.duration,feedback_24.started,image_left_is_2.started,image_right_is_2.started,under_image_left_is_2.started,under_image_is_2.started,image_center_wiis_fb.started,text_center_wiis_fb.started,image_wiis_fb.started,feedback_24.stopped,image_left_is_2.stopped,image_right_is_2.stopped,under_image_left_is_2.stopped,under_image_is_2.stopped,image_center_wiis_fb.stopped,text_center_wiis_fb.stopped,image_wiis_fb.stopped,participant,session,date,expName,psychopyVersion,frameRate,expStart,
,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,0.0046045000199228525,,0.0018928000354208052,0.0046045000199228525,0.0046045000199228525,15.55449370003771,5,15.537114700011443,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,RBDCW011_Run2,RBDCW011_Run2,2024-04-18_17h17.49.949,IAT_test,2023.2.2,60.01878588328431,2024-04-18 17h18.45.498812 -0400,
,,,,,,,,,,,,,,,,,,,,,,,,1,0,1,0,,,,,,,,,,,,,,,,,,,,,15.56905170000391,,15.555913600022905,15.56905170000391,15.56905170000391,16.5542350000469,5,0.9727160999900661,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,RBDCW011_Run2,RBDCW011_Run2,2024-04-18_17h17.49.949,IAT_test,2023.2.2,60.01878588328431,2024-04-18 17h18.45.498812 -0400,
,,,,,,,,,,,,,,,,,,,,,,,,2,0,2,0,,,,,,,,,,,,,,,,,,,,,16.568942100042477,,16.555241100024432,16.568942100042477,16.568942100042477,17.55427410005359,5,0.9730084000038914,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,RBDCW011_Run2,RBDCW011_Run2,2024-04-18_17h17.49.949,IAT_test,2023.2.2,60.01878588328431,2024-04-18 17h18.45.498812 -0400,
,,,,,,,,,,,,,,,,,,,,,,,,3,0,3,0,,,,,,,,,,,,,,,,,,,,,17.568910300033167,,17.555218500026967,17.568910300033167,17.568910300033167,18.553911500028335,5,0.972728599968832,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,RBDCW011_Run2,RBDCW011_Run2,2024-04-18_17h17.49.949,IAT_test,2023.2.2,60.01878588328431,2024-04-18 17h18.45.498812 -0400,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18.554510100046173,18.570370500034187,18.570370500034187,19.553844800044317,5,0.9715734000201337,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,RBDCW011_Run2,RBDCW011_Run2,2024-04-18_17h17.49.949,IAT_test,2023.2.2,60.01878588328431,2024-04-18 17h18.45.498812 -0400,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,19.55388970003696,19.570189300051425,35.56894390005618,35.55287130002398,35.55288460000884,35.56894390005618,35.56894390005618,38.08608030003961,1,2.5037215999909677,0.0013778000138700008,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,RBDCW011_Run2,RBDCW011_Run2,2024-04-18_17h17.49.949,IAT_test,2023.2.2,60.01878588328431,2024-04-18 17h18.45.498812 -0400,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,38.08613670000341,38.11494270002004,38.11494270002004,38.11494270002004,38.11494270002004,38.11494270002004,38.11494270002004,40.1023550000391,1,1.9866481999633834,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,RBDCW011_Run2,RBDCW011_Run2,2024-04-18_17h17.49.949,IAT_test,2023.2.2,60.01878588328431,2024-04-18 17h18.45.498812 -0400,
cropped/af00009_fg.png,cropped/wf00009_fg.png,IAT_image/am00003_fg.png,2,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,,,,,,,,,,,,,,,,,43.11944700003369,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,40.102397300011944,40.11948780005332,43.10309670004062,43.11356590001378,43.11944700003369,43.11944700003369,43.55315450002672,5,0.42248180002206936,None,43.553722300042864,43.5694313000422,43.5694313000422,43.5694313000422,43.5694313000422,44.28680510004051,2,1,0.7155506000271998,0.0006376999663189054,44.28752660000464,44.30767210002523,44.30767210002523,44.30767210002523,44.30767210002523,44.586320200003684,44.58634050004184,44.602792700054124,45.60302230005618,45.58611520001432,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,RBDCW011_Run2,RBDCW011_Run2,2024-04-18_17h17.49.949,IAT_test,2023.2.2,60.01878588328431,2024-04-18 17h18.45.498812 -0400,
cropped/af00009_fg.png,cropped/wf00009_fg.png,IAT_image/wf00009_fg.png,1,,,,,,,,,,,,,,,,,,,,,,,,,0,1,1,1,,,,,,,,,,,,,,,,,45.60302230005618,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,45.58642800000962,45.60302230005618,45.60302230005618,46.55340130004333,5,0.9399561999598518,None,46.553851500037126,46.56917400000384,46.56917400000384,46.56917400000384,46.56917400000384,47.070132500026375,1,1,0.4954812999931164,0.001227299973834306,47.07067610003287,47.08945330005372,47.08945330005372,47.08945330005372,47.08945330005372,47.36990610003704,47.36992880003527,47.38629260001471,48.386186100018676,48.369855000055395,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,RBDCW011_Run2,RBDCW011_Run2,2024-04-18_17h17.49.949,IAT_test,2023.2.2,60.01878588328431,2024-04-18 17h18.45.498812 -0400,
cropped/af00009_fg.png,cropped/wf00009_fg.png,IAT_image/am00008_fg.png,2,,,,,,,,,,,,,,,,,,,,,,,,,0,2,2,2,,,,,,,,,,,,,,,,,48.386186100018676,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,48.37020050000865,48.386186100018676,48.386186100018676,48.554011600033846,5,0.15574399998877198,None,48.55456680001225,48.571101400011685,48.571101400011685,48.571101400011685,48.571101400011685,49.15302970004268,2,1,0.5758402000064962,0.0008808000129647553,49.153517100028694,49.170369800005574,49.170369800005574,49.170369800005574,49.170369800005574,49.43650500004878,49.436527400044724,49.452346300007775,50.452826200053096,50.436241500021424,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,RBDCW011_Run2,RBDCW011_Run2,2024-04-18_17h17.49.949,IAT_test,2023.2.2,60.01878588328431,2024-04-18 17h18.45.498812 -0400,
