ConditionCode,Condition,PlayerA,PlayerB
1000,WhiteFemale_InGrp,<em><b>Becky</b>,<em><b>Emma</b>
1001,WhiteFemale_InGrp_Swap,<em><b>Emma</b>,<em><b>Becky</b>
1010,WhiteFemale_OutGrp,<em><b>Aisha</b>,<em><b>Emma</b>
1011,WhiteFemale_OutGrp_Swap,<em><b>Emma</b>,<em><b>Aisha</b>
1100,BlackFemale_InGrp,<em><b>Aisha</b>,<em><b>Aaliyiah</b>
1101,BlackFemale_InGrp_Swap,<em><b>Aaliyiah</b>,<em><b>Aisha</b>
1110,BlackFemale_OutGrp,<em><b>Emma</b>,<em><b>Aisha</b>
1111,BlackFemale_OutGrp_Swap,<em><b>Aisha</b>,<em><b>Emma</b>
0000,WhiteMale_InGrp,<em><b>Jack</b>,<em><b>Spencer</b>
0001,WhiteMale_InGrp_Swap,<em><b>Spencer</b>,<em><b>Jack</b>
0010,WhiteMale_OutGrp,<em><b>Deshawn</b>,<em><b>Jack</b>
0011,WhiteMale_OutGrp_Swap,<em><b>Jack</b>,<em><b>Deshawn</b>
0100,BlackMale_InGrp,<em><b>Deshawn</b>,<em><b>Jamal</b>
0101,BlackMale_InGrp_Swap,<em><b>Jamal</b>,<em><b>Deshawn</b>
0110,Blackale_OutGrp,<em><b>Jack</b>,<em><b>Deshawn</b>
0111,BlackMale_OutGrp_Swap,<em><b>Deshawn</b>,<em><b>Jack</b>
