Scenario,EncNumber,EncounterText,Type,AdvNumber,ActionText,RewardText,PunishText,
1,1,"A gate opens in front of the duo, and a menacing mechanical golem with a crossbow becomes activated.",STR,1,xADV1x lunges forward attempting to force xpro1x blade through the protective plate.,xADV1x’s sword pierces the plate and destroys the construct before it is able to shoot. xpro2x is able to proceed uninjured.,xADV1x’s sword grazes the exterior plate. xpro2x is shot by the crossbow and is injured., 
1,2,"In the next room, the adventurers encounter a massive stone door with intricate runes. The inscription reads, ""Solve the riddle to reveal what is behind."" ",INT,2,xADV2x relies on xpro1x wit to decipher the riddle.,"xADV2x correctly deciphers the riddle, causing the stone door to open smoothly. xpro2x finds a small room filled with treasure.","xADV2x misinterprets the riddle, instead triggering a magical flash. xpro2x takes damage.", 
1,3,"The floor is covered in a thick layer of mist. A booming voice announces, ""Use your wit to navigate the mist or the mist might bite.""",INT,1,xADV1x decides to use xpro1x intuition to find a way through the mist.,"xADV1x cleverly observes the patterns in the mist, using xpro1x intelligence to discern a safe path and reach the other side unharmed.","xADV1x's vision is blocked by the mist, causing xpro1x to trip,  triggering a hidden trap. xpro2x suffers an injury.", 
1,4,"A gigantic salamander emerges from the shadows, hungry for flesh.",STR,2,xADV2x tries to climb on the salamander’s back. xpro2x wrestles it into a choke hold.,xADV2x chokes the salamander into unconsciousness. xpro2x is unharmed in the encounter.,"The salamander’s giant maw bites xADV2x’s arm. xpro2x takes damage, but the salamander cowers into its den.", 
1,5,The floor between the entrance and exit of this chamber is segmented by large tiles with magical symbols. The tiles rest over a sticky tar-like substance. ,INT,2,xADV2x attempts to rely on xpro1x intellect to solve the puzzle of the magical symbols.,xADV2x correctly identifies the sequence of tiles necessary to get across. xpro2x is showered by applause from the crowd.,xADV2x repeatedly steps on incorrect tiles but manages to make it across. xpro2x loses some valuables from xpro1x pack to the tar-like substance., 
1,6,An ogre emerges from a lift in the center of the room,STR,1,xADV1x leaps at the ogre. xpro2x attempts to land a killing blow.,"xADV1x stabs the ogre in the chest, killing it instantly. xpro2x is met by roaring applause from the audience watching from above.",xADV1x stabs the ogre in the chest but fails to kill it instantly. xpro2x is bashed by the ogre’s fist dealing damage before it bleeds to death., 
1,7,The floor of the next room is covered with small spikes.,STR,2,xADV2x tries to use their strength to push a nearby boulder. xpro2x pushes in the direction of the spikes.,xADV2x successfully pushes the boulder carving a path along the spikes. xpro2x makes it across safely.,xADV2x fails to push the boulder and slips in the process. xpro2x suffer damage but is able to make it across., 
1,8,Inside the next chamber is puzzle box that requires a sequence of clever moves to open. ,INT,1,xADV1x tries to rely on xpro1x intelligence to open the box.,xADV1x was able to successfully open the box finding a valuable gemstone. xpro2x adds the gemstone to her pack.,"After too many failed attempts, the box explodes in xADV1x’s hand. xpro2x suffers damage.", 
1,9,A wizard shoots an ice blast towards the players.,STR,2,xADV2x holds up a shield and tries to overpower the blast. xpro2x then attacks the wizard.,xADV2x holds steady with the shield. xpro2x stabs the wizard.,xADV2x’s shield gets blown away from the blast. xpro2x stabs the wizard but is damaged from the blast., 
1,10,A ditch of dense noxious gas separates the entrance and exit of this chamber. On the entrance wall is a series of crystals flashing rythmically.,INT,1,xADV1x attempts to use xpro1x wit to solve the mystery of the crystals.,xADV1x deciphers that the crystals required a specific sequence of touches. xpro2x inputs the sequence and waits for the gas to dissipate before proceeding.,xADV1x is unable to decipher the mystery of the flashing crystals. xpro2x runs across and suffers damage before pulling a lever dissipating the gas., 
