,Totpval,Medpval,Dirpval,Sumpval,SobelTpval
0,0.0026,0.0,0.0314,0.0027,0.0
1,0.0895,0.0008,0.2413,0.0868,0.0008
2,0.0,0.0004,0.0,0.0,0.0004
3,0.098,0.006,0.22,0.0975,0.006
4,0.0196,0.0029,0.0715,0.0199,0.0026
5,0.0005,0.008,0.002,0.0005,0.0073
6,0.0001,0.0,0.0023,0.0001,0.0
7,0.3793,0.0113,0.4381,0.3898,0.0113
8,0.0137,0.0112,0.0042,0.0137,0.011
9,0.0,0.0069,0.0,0.0,0.0053
10,0.002,0.0,0.0251,0.0019,0.0
11,0.0698,0.0004,0.0161,0.0706,0.0004
12,0.0982,0.0,0.0117,0.0957,0.0
13,0.0516,0.0,0.0061,0.0511,0.0
14,0.1074,0.0,0.4005,0.1085,0.0
15,0.4885,0.0,0.1175,0.4824,0.0
16,0.0783,0.0,0.3926,0.08,0.0
17,0.2906,0.0,0.109,0.2882,0.0
18,0.2565,0.0,0.1702,0.2592,0.0
19,0.0471,0.0,0.0049,0.0456,0.0
20,0.0001,0.0,0.0,0.0001,0.0
21,0.0019,0.0,0.0404,0.0019,0.0
22,0.0841,0.0,0.4425,0.084,0.0
23,0.0033,0.0,0.0629,0.0033,0.0
24,0.2979,0.0,0.3164,0.2987,0.0
25,0.0091,0.0,0.0672,0.0091,0.0
26,0.3047,0.0,0.2335,0.3099,0.0
27,0.3114,0.0063,0.1637,0.3084,0.0064
28,0.2092,0.0093,0.1082,0.2104,0.0094
29,0.1658,0.015,0.0832,0.1654,0.015
30,0.068,0.0171,0.032,0.0662,0.0168
31,0.1533,0.0056,0.3029,0.1582,0.0055
32,0.4777,0.0095,0.2995,0.4674,0.0096
33,0.1156,0.0002,0.3127,0.1217,0.0002
34,0.0002,0.0121,0.0001,0.0002,0.0114
35,0.084,0.002,0.0263,0.0828,0.002
36,0.1572,0.0005,0.0523,0.1583,0.0005
37,0.0017,0.0,0.0001,0.0016,0.0
38,0.1097,0.0,0.0171,0.1101,0.0
39,0.0261,0.0036,0.0071,0.0255,0.0036
40,0.0345,0.0,0.0052,0.0343,0.0
41,0.1827,0.0005,0.0585,0.1809,0.0005
42,0.0396,0.0022,0.0117,0.0397,0.0022
43,0.0359,0.0001,0.0055,0.0344,0.0001
