,0,1,2,3,4,5
0,0.6763,0.0066,0.3289,0.3798,0.1775,0.1158
1,0.028,0.0418,0.4654,0.1733,0.4728,0.0
2,0.004,0.0001,0.0848,0.4902,0.0241,0.4117
3,0.8091,0.0686,0.348,0.3892,0.1924,0.1045
4,0.0439,0.0504,0.4335,0.28,0.0326,0.2645
5,0.4036,0.3129,0.3784,0.1562,0.222,0.2624
6,0.2524,0.4816,0.3359,0.0433,0.3325,0.1872
7,0.6743,0.0066,0.3655,0.2678,0.4521,0.353
8,0.083,0.4798,0.1064,0.2307,0.0798,0.2079
9,0.012,0.3355,0.0842,0.3804,0.0356,0.002
10,0.0032,0.0007,0.1634,0.0235,0.0392,0.0006
11,0.0106,0.3394,0.4347,0.2695,0.066,0.0065
12,0.0286,0.1104,0.1373,0.0805,0.3863,0.0025
13,0.1116,0.0056,0.413,0.2035,0.3383,0.0061
14,0.016,0.0057,0.4366,0.1577,0.1748,0.0
15,0.1008,0.0866,0.4722,0.1909,0.039,0.399
16,0.4895,0.0005,0.1485,0.0437,0.3244,0.054
17,0.5238,0.4898,0.1432,0.0432,0.4525,0.0163
18,0.7021,0.4903,0.2139,0.0298,0.2511,0.3836
19,0.8371,0.0045,0.2612,0.2174,0.3342,0.2691
20,0.8772,0.1028,0.4828,0.4944,0.2927,0.1322
21,0.4459,0.2513,0.4415,0.2044,0.4559,0.4295
22,0.0838,0.0063,0.0642,0.2773,0.3525,0.0077
23,0.1894,0.335,0.2661,0.3272,0.2806,0.4481
24,0.2627,0.3328,0.3279,0.295,0.4445,0.0409
25,0.2238,0.414,0.1639,0.2892,0.0902,0.327
26,0.5765,0.1678,0.4851,0.3066,0.2052,0.4663
27,0.0888,0.4482,0.4016,0.2163,0.2316,0.1715
28,0.9291,0.2739,0.0222,0.4115,0.1675,0.2133
29,0.5406,0.0,0.0498,0.0112,0.2627,0.0056
30,0.0473,0.0338,0.4362,0.2574,0.4195,0.0
31,0.2576,0.2909,0.2124,0.2814,0.4052,0.1793
32,0.1864,0.0492,0.0683,0.3395,0.4742,0.2368
33,0.0795,0.1219,0.2446,0.1878,0.0509,0.1546
34,0.7132,0.1933,0.0043,0.2259,0.1714,0.2234
35,0.6143,0.2288,0.171,0.1234,0.3929,0.087
36,0.9162,0.4722,0.1851,0.2146,0.1187,0.5045
37,0.6403,0.2432,0.2361,0.3827,0.2715,0.4967
